dataset,seed,method,stage,class_id,centroid_x,centroid_y
natops,1,umap,baseline,0,9.039437687915305,0.6624063396024134
natops,1,umap,baseline,1,9.228333473205566,-2.833992227911949
natops,1,umap,baseline,2,10.007028623060746,-3.3332637467167596
natops,1,umap,baseline,3,-5.173001444858054,3.1453724684922593
natops,1,umap,baseline,4,-4.4686174392700195,2.822178900241852
natops,1,umap,baseline,5,1.2581076006526533,14.689758051996646
natops,1,umap,t2a_default,0,9.046540571295697,0.6680007225469403
natops,1,umap,t2a_default,1,9.231628721410578,-2.833163656971671
natops,1,umap,t2a_default,2,10.008994124152444,-3.334275321526961
natops,1,umap,t2a_default,3,-5.165451920550803,3.1357078014508537
natops,1,umap,t2a_default,4,-4.487570318308744,2.822716345163909
natops,1,umap,t2a_default,5,1.2758808796820433,14.70526123046875
natops,1,umap,t2b_saliency,0,9.045599294745404,0.6686514452423739
natops,1,umap,t2b_saliency,1,9.228138121691616,-2.8422216204079715
natops,1,umap,t2b_saliency,2,10.004352721300991,-3.332694953138178
natops,1,umap,t2b_saliency,3,-5.188283422718877,3.1607374224973763
natops,1,umap,t2b_saliency,4,-4.473397157408974,2.825776456431909
natops,1,umap,t2b_saliency,5,1.2618784220970196,14.688269863957943
natops,1,umap,t3_rebasis,0,9.050191547559654,0.662443386633759
natops,1,umap,t3_rebasis,1,9.232956626198508,-2.828929764303294
natops,1,umap,t3_rebasis,2,10.004509687423706,-3.3224462162364614
natops,1,umap,t3_rebasis,3,-5.168731461400571,3.1440120145030646
natops,1,umap,t3_rebasis,4,-4.466494776985862,2.819387590343302
natops,1,umap,t3_rebasis,5,1.265440954097911,14.705523615298064
natops,1,pca,baseline,0,-5.545079584673533,0.18516604959080962
natops,1,pca,baseline,1,-5.603469950030547,0.2920423541580334
natops,1,pca,baseline,2,-5.3701451038187225,0.4638514897906802
natops,1,pca,baseline,3,6.86477474712095,1.250772790955086
natops,1,pca,baseline,4,6.264876413960079,1.16556695125235
natops,1,pca,baseline,5,3.184789671843469,-3.2739712050855165
natops,1,pca,t2a_default,0,-5.550423404757886,0.18850130083438787
natops,1,pca,t2a_default,1,-5.607036171233852,0.2942681490121259
natops,1,pca,t2a_default,2,-5.374372821978478,0.4664901482195694
natops,1,pca,t2a_default,3,6.86887747350676,1.2482121463685925
natops,1,pca,t2a_default,4,6.270705323292108,1.161928936860113
natops,1,pca,t2a_default,5,3.1879103491491696,-3.2759189209688375
natops,1,pca,t2b_saliency,0,-5.550513283385492,0.18855739548206624
natops,1,pca,t2b_saliency,1,-5.606983251681421,0.29423511977268085
natops,1,pca,t2b_saliency,2,-5.374341440187946,0.4664705593347961
natops,1,pca,t2b_saliency,3,6.868808711956354,1.2482550613818348
natops,1,pca,t2b_saliency,4,6.270624716144895,1.161979250272962
natops,1,pca,t2b_saliency,5,3.1879230981117557,-3.2759268791588503
natops,1,pca,t3_rebasis,0,-5.59120333090195,0.19475430920694317
natops,1,pca,t3_rebasis,1,-5.66097922558071,0.3039974485697307
natops,1,pca,t3_rebasis,2,-5.429211230783012,0.4761302253039816
natops,1,pca,t3_rebasis,3,6.929948597864517,1.2372243734836768
natops,1,pca,t3_rebasis,4,6.320163865778352,1.1540737290932244
natops,1,pca,t3_rebasis,5,3.222609357410394,-3.281833202789559
selfregulationscp1,1,umap,baseline,0,7.297095764981638,3.341274375409478
selfregulationscp1,1,umap,baseline,1,7.315968370437622,3.7185604955255984
selfregulationscp1,1,umap,t2a_default,0,7.30153739806449,3.3460464241481063
selfregulationscp1,1,umap,t2a_default,1,7.3177348589897155,3.7233326593786478
selfregulationscp1,1,umap,t2b_saliency,0,7.3011204960322615,3.341696695894888
selfregulationscp1,1,umap,t2b_saliency,1,7.315563637018204,3.7257870652899148
selfregulationscp1,1,umap,t3_rebasis,0,7.304013125967272,3.3442370252739084
selfregulationscp1,1,umap,t3_rebasis,1,7.315356969833374,3.7277178766811265
selfregulationscp1,1,pca,baseline,0,0.001740368528009931,-0.025901378590232112
selfregulationscp1,1,pca,baseline,1,-0.00044306089298671913,0.025639892357027492
selfregulationscp1,1,pca,t2a_default,0,0.002182554899143773,-0.02607638188764833
selfregulationscp1,1,pca,t2a_default,1,-0.0008896689811155956,0.02581664604091856
selfregulationscp1,1,pca,t2b_saliency,0,-0.0003684038934628632,-0.02506679238564404
selfregulationscp1,1,pca,t2b_saliency,1,-0.003556198689937134,0.026871974649404117
selfregulationscp1,1,pca,t3_rebasis,0,0.002213934016101071,-0.026110111925116492
selfregulationscp1,1,pca,t3_rebasis,1,-0.0009372095212504206,0.025857698389177113
