dataset,label,prototype_geometry_mode,prob_tangent_version,rank_selection_mode,subproto_temperature,test_acc,test_macro_f1,final_acc,local_acc,final_override_rate,helpful_override_rate,harmful_override_rate,selected_rank_distribution,mean_selected_rank,k0_fallback_rate,lw_shrinkage_alpha_mean,ppca_sigma2_mean,posterior_confidence_mean,posterior_confidence_far_decay_mean,run_dir,E0_acc
har,center_only,center_only,v1,mdl,1.0,0.9341703427214116,0.9349081465963457,0.9341703427214116,0.9290804207668816,0.005429250084832033,0.0016966406515100101,0.003053953172718018,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_har_seed1,0.9429928741092637
har,best_center_subproto,center_subproto,v1,mdl,1.0,0.9300984051577876,0.9308603263745368,0.9300984051577876,0.9290804207668816,0.0010179843909060061,0.0006786562606040041,0.00033932813030200206,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_har_seed1,0.9429928741092637
har,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.8876823888700374,0.8866497564942507,0.8876823888700374,0.30403800475059384,0.0006786562606040041,0.0006786562606040041,0.0,"{""0"": 2412, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 535}",0.7261621988462844,0.8184594502884289,0.13858296242575746,0.0006143339028136855,2.9509562646134346e-20,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_har_seed1,0.9429928741092637
natops,center_only,center_only,v1,mdl,1.0,0.9777777777777777,0.977562386458038,0.9777777777777777,0.9222222222222223,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_natops_seed1,0.8388888888888889
natops,best_center_subproto,center_subproto,v1,mdl,0.5,0.9555555555555556,0.9552434239013845,0.9555555555555556,0.9444444444444444,0.011111111111111112,0.011111111111111112,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.9388888888888889,0.938553810882477,0.9388888888888889,0.7888888888888889,0.011111111111111112,0.005555555555555556,0.005555555555555556,"{""0"": 56, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 124}",2.7555555555555555,0.3111111111111111,0.5291707687907748,0.00231989120517129,1.1579723066205495e-23,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_natops_seed1,0.8388888888888889
fingermovements,center_only,center_only,v1,mdl,1.0,0.58,0.5798319327731092,0.58,0.56,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_fingermovements_seed1,0.61
fingermovements,best_center_subproto,center_subproto,v1,mdl,1.0,0.57,0.5696126513862476,0.57,0.52,0.02,0.01,0.01,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.46,0.4591346153846154,0.46,0.47,0.02,0.01,0.01,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.7741763889789581,0.0033924714662134647,2.348295756125002e-13,0.9999999999997652,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_fingermovements_seed1,0.61
selfregulationscp1,center_only,center_only,v1,mdl,1.0,0.7679180887372014,0.7594417077175698,0.7679180887372014,0.5187713310580204,0.04778156996587031,0.0034129692832764505,0.04436860068259386,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_selfregulationscp1_seed1,0.78839590443686
selfregulationscp1,best_center_subproto,center_subproto,v1,mdl,0.1,0.8361774744027304,0.8340726757904672,0.8361774744027304,0.7064846416382252,0.013651877133105802,0.0034129692832764505,0.010238907849829351,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_selfregulationscp1_seed1,0.78839590443686
selfregulationscp1,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.7952218430034129,0.7888237555256583,0.7952218430034129,0.5017064846416383,0.0,0.0,0.0,"{""0"": 293}",0.0,1.0,0.0,9.999999974752427e-07,0.0,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_prob_tangent_v3_selfregulationscp1_seed1,0.78839590443686
basicmotions,center_only,center_only,v1,mdl,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/center_only_basicmotions_seed1,1.0
basicmotions,best_center_subproto,center_subproto,v1,mdl,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase1_fullscale/e2/best_center_subproto_basicmotions_seed1,1.0
