dataset,label,prototype_geometry_mode,prob_tangent_version,rank_selection_mode,subproto_temperature,test_acc,test_macro_f1,final_acc,local_acc,final_override_rate,helpful_override_rate,harmful_override_rate,selected_rank_distribution,mean_selected_rank,k0_fallback_rate,lw_shrinkage_alpha_mean,ppca_sigma2_mean,posterior_confidence_mean,posterior_confidence_far_decay_mean,run_dir,E0_acc
natops,center_tangent_v1,center_tangent,v1,mdl,1.0,0.8888888888888888,0.8840412842425117,0.8888888888888888,0.16666666666666666,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_tangent_v1_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v1,center_prob_tangent,v1,mdl,1.0,0.8944444444444445,0.881394525462322,0.8944444444444445,0.7277777777777777,0.005555555555555556,0.0,0.0,"{""0"": 63, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 117}",2.6,0.35,0.4918954173723857,0.002155404324409144,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_prob_tangent_v1_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v2,center_prob_tangent,v2,mdl,1.0,0.9333333333333333,0.9329131264222315,0.9333333333333333,0.7555555555555555,0.005555555555555556,0.0,0.005555555555555556,"{""0"": 51, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 129}",2.8666666666666667,0.2833333333333333,0.5424620459477106,0.0023825510732668437,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_prob_tangent_v2_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.8111111111111111,0.7982540888547563,0.8111111111111111,0.6333333333333333,0.016666666666666666,0.0,0.011111111111111112,"{""0"": 39, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 141}",3.1333333333333333,0.21666666666666667,0.6020342561933729,0.002643019902266512,1.568777650804273e-22,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_prob_tangent_v3_natops_seed1,0.8388888888888889
natops,center_only,center_only,v1,mdl,1.0,0.9333333333333333,0.9297794966520434,0.9333333333333333,0.8888888888888888,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_only_natops_seed1,0.8388888888888889
natops,best_center_subproto,center_subproto,v1,mdl,0.5,0.9222222222222223,0.923115267380782,0.9222222222222223,0.9166666666666666,0.005555555555555556,0.005555555555555556,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/best_center_subproto_natops_seed1,0.8388888888888889
fingermovements,center_tangent_v1,center_tangent,v1,mdl,1.0,0.5,0.49269480519480524,0.5,0.49,0.0,0.0,0.0,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_tangent_v1_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v1,center_prob_tangent,v1,mdl,1.0,0.57,0.567882624861823,0.57,0.58,0.0,0.0,0.0,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.7558717262744904,0.003325459165498614,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_prob_tangent_v1_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v2,center_prob_tangent,v2,mdl,1.0,0.54,0.537037037037037,0.54,0.5,0.01,0.01,0.0,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.7555443781614304,0.00332510129082948,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_prob_tangent_v2_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3,center_prob_tangent,v3,mdl,1.0,0.48,0.46960424316605465,0.48,0.51,0.02,0.01,0.01,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.7741888880729675,0.003396956603974104,7.042160678574854e-20,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_prob_tangent_v3_fingermovements_seed1,0.61
fingermovements,center_only,center_only,v1,mdl,1.0,0.57,0.5696126513862476,0.57,0.56,0.01,0.0,0.01,{},,,,,,,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_20260419/phase05_short_formal/e2/center_only_fingermovements_seed1,0.61
