dataset,label,prototype_geometry_mode,prob_tangent_version,rank_selection_mode,posterior_mode,posterior_student_dof,mdl_penalty_beta,subproto_temperature,test_acc,test_macro_f1,final_acc,local_acc,final_override_rate,helpful_override_rate,harmful_override_rate,selected_rank_distribution,mean_selected_rank,k0_fallback_rate,lw_shrinkage_alpha_mean,ppca_sigma2_mean,posterior_confidence_mean,posterior_confidence_std,posterior_confidence_q10,posterior_confidence_q50,posterior_confidence_q90,posterior_confidence_qgap,posterior_confidence_qratio,posterior_confidence_far_decay_mean,posterior_log_confidence_mean,posterior_log_confidence_std,posterior_residual_energy_mean,posterior_residual_energy_per_dim_mean,posterior_sigma2_eff_mean,run_dir,E0_acc
natops,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,0.5,1.0,0.8833333333333333,0.8744766601498836,0.8833333333333333,0.7111111111111111,0.0,0.0,0.0,"{""0"": 58, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 122}",2.7111111111111112,0.32222222222222224,0.5120203302966224,0.002238081046512737,0.1853625444824704,0.18106584201528578,8.75651089272076e-27,0.1653609722852707,0.43397373557090757,0.43397373557090757,433973735570.9076,0.8146374555175296,-1692.3233839387694,2782.0433021363588,166.29284976323444,1.3271047735379802,35.52298770697995,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b0p5_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,1.0,1.0,0.9333333333333333,0.9323843310260324,0.9333333333333333,0.7777777777777778,0.0,0.0,0.0,"{""0"": 61, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 119}",2.6444444444444444,0.3388888888888889,0.5005331204997169,0.0022008025992925517,0.1687375167436484,0.1651843082697409,8.75651089272076e-27,0.15892186760902405,0.39261098504066466,0.39261098504066466,392610985040.6647,0.8312624832563517,-2853.0261343388092,5270.512714056917,201.97303280300565,1.6052627550231087,34.931311734610546,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b1p0_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3_refined_b2p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,2.0,1.0,0.95,0.9482481517197042,0.95,0.7555555555555555,0.005555555555555556,0.005555555555555556,0.0,"{""0"": 59, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 121}",2.688888888888889,0.3277777777777778,0.5094201756848229,0.0022274586864512004,0.17032873128126894,0.16285302068054264,8.75651089272076e-27,0.1560654491186142,0.39381663203239436,0.39381663203239436,393816632032.39435,0.8296712687187311,-2123.9350800343686,3517.1443843847,180.86874374813505,1.441088017490175,35.354392286296935,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b2p0_natops_seed1,0.8388888888888889
natops,center_prob_tangent_v3_refined_b4p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,4.0,1.0,0.8833333333333333,0.8804557928688997,0.8833333333333333,0.8444444444444444,0.016666666666666666,0.005555555555555556,0.011111111111111112,"{""0"": 180}",0.0,1.0,0.774165830347273,0.004379932305568622,0.17384126432605423,0.12484382745102315,0.03831116817891598,0.14619189500808716,0.35391173064708703,0.31560056246817103,9.237821436148675,0.8261587356739457,-2.1402316969301967,1.183733613871638,307.20529787275524,2.4000413896309003,71.7608108944363,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b4p0_natops_seed1,0.8388888888888889
fingermovements,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,0.5,1.0,0.53,0.5123975516132379,0.53,0.55,0.01,0.0,0.01,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.755509865283966,0.003317084023728967,0.33332381797838023,0.20389352481030118,0.04775523617863655,0.3516770154237747,0.6241806566715241,0.5764254204928876,13.070412935173657,0.6666761820216197,-1.4550851392745972,1.1122749144530861,153.33319465637206,1.2365579795837403,52.648756408691405,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b0p5_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,1.0,1.0,0.53,0.52995299529953,0.53,0.55,0.02,0.02,0.0,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.7514710307121277,0.003293519001454115,0.3748177199308702,0.2102602924700708,0.04406501278281212,0.4019189327955246,0.6473279118537903,0.6032628990709782,14.690292160911055,0.6251822800691298,-1.4534177353978157,1.569688241591358,152.0853051185608,1.226494361758232,52.274732971191405,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b1p0_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3_refined_b2p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,2.0,1.0,0.53,0.5123975516132379,0.53,0.59,0.01,0.01,0.0,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 100}",4.0,0.0,0.7533342599868774,0.0032841698732227085,0.3506701080254061,0.20578492081074062,0.0551581259816885,0.36198191344738007,0.623339867591858,0.5681817416101695,11.300961671518637,0.6493298919745939,-1.4411227974295615,1.3449571547987231,150.91909948349,1.2170894819498062,52.12634353637695,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b2p0_fingermovements_seed1,0.61
fingermovements,center_prob_tangent_v3_refined_b4p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,4.0,1.0,0.55,0.54995499549955,0.55,0.51,0.03,0.02,0.01,"{""0"": 100}",0.0,1.0,0.7741903448104859,0.004389257468283177,0.4986126049980521,0.205195797140864,0.21836277693510056,0.5200481116771698,0.7602755129337312,0.5419127359986307,3.4817083919009333,0.5013873950019478,-0.8290767940878868,0.6032515654704668,119.24757177352905,0.9316216544806957,71.91359436035157,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b4p0_fingermovements_seed1,0.61
selfregulationscp1,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,0.5,1.0,0.78839590443686,0.7845792619296081,0.78839590443686,0.5017064846416383,0.0,0.0,0.0,"{""0"": 293}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-1665.5588828858256,1285.2005840755585,54.577033332590354,0.42638307291086214,0.016383999958634377,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b0p5_selfregulationscp1_seed1,0.78839590443686
selfregulationscp1,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,1.0,1.0,0.8327645051194539,0.8302011755940062,0.8327645051194539,0.5017064846416383,0.0,0.0,0.0,"{""0"": 293}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-2989.873575151984,3595.435623581523,97.97217682848205,0.765407631472516,0.016383999958634377,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b1p0_selfregulationscp1_seed1,0.78839590443686
selfregulationscp1,center_prob_tangent_v3_refined_b2p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,2.0,1.0,0.8327645051194539,0.8324835190478969,0.8327645051194539,0.5017064846416383,0.0,0.0,0.0,"{""0"": 293}",0.0,1.0,0.0,9.999999974752427e-07,8.75651089272076e-27,0.0,8.75651089272076e-27,8.75651089272076e-27,8.75651089272076e-27,0.0,8.75651089272076e-15,1.0,-2119.9777954934807,1990.0755069020622,69.46743234758084,0.5427143152154753,0.016383999958634377,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b2p0_selfregulationscp1_seed1,0.78839590443686
selfregulationscp1,center_prob_tangent_v3_refined_b4p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,4.0,1.0,0.757679180887372,0.7470729127405804,0.757679180887372,0.5221843003412969,0.030716723549488054,0.006825938566552901,0.023890784982935155,"{""0"": 293}",0.0,1.0,0.77419276754197,0.0043915567614468696,0.5711320146075776,0.22446507596568596,0.2297287315130234,0.6317247748374939,0.7986289739608765,0.5689002424478531,3.4764000510558777,0.42886798539242243,-0.7366046790580294,0.8471234465946397,106.0003523712679,0.8281277529005304,71.95126597954551,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b4p0_selfregulationscp1_seed1,0.78839590443686
epilepsy,center_prob_tangent_v3_refined_b0p5,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,0.5,1.0,0.9637681159420289,0.9630047948503175,0.9637681159420289,0.427536231884058,0.007246376811594203,0.007246376811594203,0.0,"{""0"": 51, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 87}",2.5217391304347827,0.3695652173913043,0.47421105659526325,0.0020957505251678176,0.06646576070905186,0.12762371125218228,8.75651089272076e-27,0.008897614665329456,0.16953779011964795,0.16953779011964795,169537790119.64795,0.9335342392909481,-2755.810195355096,4467.5401090391815,319.9273537069127,2.5573195676872698,33.263942755313344,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b0p5_epilepsy_seed1,0.9347826086956522
epilepsy,center_prob_tangent_v3_refined_b1p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,1.0,1.0,0.9565217391304348,0.9556946976301814,0.9565217391304348,0.43478260869565216,0.007246376811594203,0.007246376811594203,0.0,"{""0"": 52, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 86}",2.4927536231884058,0.37681159420289856,0.46978429175805353,0.0020870773389956216,0.06515761708742239,0.12664289187043096,8.75651089272076e-27,0.008010836085304618,0.16495423614978788,0.16495423614978788,164954236149.78787,0.9348423829125776,-2787.019592627883,4469.9420466307265,319.80414512191993,2.5560680023138076,33.12628489781333,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b1p0_epilepsy_seed1,0.9347826086956522
epilepsy,center_prob_tangent_v3_refined_b2p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,2.0,1.0,0.9565217391304348,0.9556946976301814,0.9565217391304348,0.42028985507246375,0.007246376811594203,0.007246376811594203,0.0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 88}",2.550724637681159,0.36231884057971014,0.48060783441515936,0.0021316129113011957,0.07098574727169235,0.1341765003833548,8.75651089272076e-27,0.009341520257294178,0.1722006231546402,0.1722006231546402,172200623154.6402,0.9290142527283076,-2714.6465085187683,4435.276597034948,322.77199117688167,2.5806003452643105,33.83314548338345,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b2p0_epilepsy_seed1,0.9347826086956522
epilepsy,center_prob_tangent_v3_refined_b4p0,center_prob_tangent,v3,mdl,gaussian_dimnorm,3.0,4.0,1.0,0.9565217391304348,0.9571595214925555,0.9565217391304348,0.6231884057971014,0.014492753623188406,0.007246376811594203,0.007246376811594203,"{""0"": 138}",0.0,1.0,0.7741786500682002,0.0043823584455294886,0.2883127687196362,0.2136858019834486,0.015979483723640445,0.25590501725673676,0.5813972651958466,0.5654177814722061,36.38398306546744,0.7116872312803638,-1.986240567072578,1.955860193920539,285.2275820331297,2.2283404846338257,71.80056077155514,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_center_prob_tangent_refined_20260420/phaseB_short_formal_refined_gaussian_dimnorm/e2/center_prob_tangent_v3_refined_b4p0_epilepsy_seed1,0.9347826086956522
