dataset,E0_acc,center_only_acc,best_subproto_tau,best_center_subproto_acc,center_tangent_rank4_acc,delta_tangent_vs_E0,delta_tangent_vs_center_only,delta_tangent_vs_best_subproto,winner_among_three,winner_acc
har,0.9429928741092637,0.9409569053274517,1.0,0.9518154054971157,0.9440108585001696,0.001017984390905946,0.003053953172717949,-0.0078045469969461045,best_center_subproto,0.9518154054971157
natops,0.8388888888888889,0.9611111111111111,0.5,0.9611111111111111,0.9888888888888889,0.15000000000000002,0.02777777777777779,0.02777777777777779,center_tangent_rank4,0.9888888888888889
fingermovements,0.61,0.59,1.0,0.58,0.56,-0.04999999999999993,-0.029999999999999916,-0.019999999999999907,center_only,0.59
selfregulationscp1,0.78839590443686,0.8600682593856656,0.1,0.8703071672354948,0.6757679180887372,-0.11262798634812288,-0.1843003412969284,-0.1945392491467577,best_center_subproto,0.8703071672354948
basicmotions,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,center_only,1.0
handmovementdirection,0.35135135135135137,0.35135135135135137,0.2,0.3918918918918919,0.36486486486486486,0.013513513513513487,0.013513513513513487,-0.02702702702702703,best_center_subproto,0.3918918918918919
uwavegesturelibrary,0.815625,0.828125,0.1,0.840625,0.828125,0.012499999999999956,0.0,-0.012499999999999956,best_center_subproto,0.840625
epilepsy,0.9347826086956522,0.8623188405797102,0.5,0.9927536231884058,0.9782608695652174,0.04347826086956519,0.1159420289855072,-0.01449275362318836,best_center_subproto,0.9927536231884058
atrialfibrillation,0.26666666666666666,0.13333333333333333,1.0,0.13333333333333333,0.13333333333333333,-0.13333333333333333,0.0,0.0,center_only,0.13333333333333333
pendigits,0.9888507718696398,0.9882790165809033,0.1,0.9914236706689536,0.9865637507146942,-0.002287021154945612,-0.0017152658662091813,-0.004859919954259495,best_center_subproto,0.9914236706689536
racketsports,0.8881578947368421,0.8421052631578947,0.2,0.8486842105263158,0.868421052631579,-0.019736842105263164,0.026315789473684292,0.019736842105263164,center_tangent_rank4,0.868421052631579
articularywordrecognition,0.98,0.97,0.2,0.9766666666666667,0.9833333333333333,0.0033333333333332993,0.013333333333333308,0.006666666666666599,center_tangent_rank4,0.9833333333333333
heartbeat,0.6731707317073171,0.6682926829268293,1.0,0.6439024390243903,0.47317073170731705,-0.20000000000000007,-0.19512195121951226,-0.1707317073170732,center_only,0.6682926829268293
selfregulationscp2,0.5277777777777778,0.5388888888888889,0.2,0.55,0.4888888888888889,-0.03888888888888892,-0.04999999999999999,-0.06111111111111117,best_center_subproto,0.55
libras,0.9,0.8555555555555555,0.5,0.9444444444444444,0.9611111111111111,0.061111111111111116,0.10555555555555562,0.01666666666666672,center_tangent_rank4,0.9611111111111111
japanesevowels,0.9783783783783784,0.9351351351351351,0.2,0.9891891891891892,0.9945945945945946,0.016216216216216273,0.05945945945945952,0.005405405405405461,center_tangent_rank4,0.9945945945945946
cricket,0.9722222222222222,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,0.01388888888888895,0.0,0.0,center_only,0.9861111111111112
handwriting,0.591764705882353,0.5576470588235294,0.1,0.5776470588235294,0.5094117647058823,-0.08235294117647063,-0.04823529411764704,-0.06823529411764706,best_center_subproto,0.5776470588235294
ering,0.8555555555555555,0.8888888888888888,1.0,0.8925925925925926,0.8740740740740741,0.0185185185185186,-0.014814814814814725,-0.01851851851851849,best_center_subproto,0.8925925925925926
motorimagery,0.5,0.54,1.0,0.55,0.54,0.040000000000000036,0.0,-0.010000000000000009,best_center_subproto,0.55
ethanolconcentration,0.27756653992395436,0.2965779467680608,1.0,0.28517110266159695,0.2737642585551331,-0.0038022813688212698,-0.02281368821292773,-0.011406844106463865,center_only,0.2965779467680608
