dataset,label,arm,prototype_geometry_mode,subproto_temperature,run_dir,local_acc,final_acc,final_override_rate,helpful_override_rate,harmful_override_rate,subproto_weight_entropy_mean,same_weight_max_mean,subproto_cos_top1_top2_gap_mean,subproto_top1_occupancy_entropy,subproto_usage_effective_count,subproto_pairwise_cos_mean
har,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_har_seed1,,0.9429928741092637,,,,,,,,,
har,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_har_seed1,0.9402782490668476,0.9409569053274517,0.0020359687818120122,0.0010179843909060061,0.00033932813030200206,0.0,1.0,0.0,0.0,1.0,1.0
har,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_har_seed1,0.9477434679334917,0.9518154054971157,0.0023752969121140144,0.0,0.0006786562606040041,0.9978597662915688,0.27698961812478223,0.11241595078200294,0.9234563275065534,3.5972954511862967,0.5779353181521097
har,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_har_seed1,0.9460468272819816,0.9484221241940957,0.0033932813030200203,0.0020359687818120122,0.0006786562606040041,0.9924625061834146,0.29708791867247425,0.08759711963757569,0.9090753654122831,3.5262890342871986,0.6482146978378296
har,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_har_seed1,0.9491007804546997,0.9491007804546997,0.007804546996946046,0.006447234475738039,0.0,0.9518498498219573,0.37398944337529005,0.0807429459413705,0.9240245044608626,3.6001300149387756,0.632798507809639
har,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_har_seed1,0.9457074991516796,0.9443501866304717,0.004411265693926026,0.0016966406515100101,0.0006786562606040041,0.842815862162703,0.5010042893186762,0.08905183158759288,0.7946184514869965,3.008901549809627,0.6078109492858251
natops,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_natops_seed1,,0.8388888888888889,,,,,,,,,
natops,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_natops_seed1,0.9222222222222223,0.9611111111111111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
natops,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_natops_seed1,0.8888888888888888,0.9111111111111111,0.005555555555555556,0.0,0.005555555555555556,0.9997143526871999,0.2578196648094389,0.020827736208836236,0.7111827223577359,2.6802460438901563,0.5808257758617401
natops,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_natops_seed1,0.9444444444444444,0.9611111111111111,0.011111111111111112,0.011111111111111112,0.0,0.998839787973298,0.266203401154942,0.020071816361612742,0.8449558649764708,3.2263696282169656,0.5654458900292715
natops,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_natops_seed1,0.9277777777777778,0.9388888888888889,0.0,0.0,0.0,0.9934959613614612,0.2886240909496943,0.020211777339378994,0.7518063419424988,2.835518725752356,0.5802287658055624
natops,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_natops_seed1,0.8111111111111111,0.8222222222222222,0.0,0.0,0.0,0.9748980889717738,0.33391555498043696,0.021334141823980544,0.7662881204533648,2.8930198876602895,0.5709813833236694
