dataset,E0_acc,center_only_acc,center_subproto_tau1.0_acc,center_subproto_tau0.5_acc,center_subproto_tau0.2_acc,center_subproto_tau0.1_acc,best_subproto_tau,best_subproto_acc,best_subproto_delta_vs_E0,best_subproto_delta_vs_center_only
articularywordrecognition,0.98,0.97,0.9733333333333334,0.9666666666666667,0.9766666666666667,0.97,0.2,0.9766666666666667,-0.0033333333333332993,0.00666666666666671
atrialfibrillation,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,0.13333333333333333,-0.13333333333333333,0.0
basicmotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
cricket,0.9722222222222222,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,0.01388888888888895,0.0
epilepsy,0.9347826086956522,0.8623188405797102,0.9782608695652174,0.9927536231884058,0.9782608695652174,0.9927536231884058,0.5,0.9927536231884058,0.05797101449275355,0.13043478260869557
ering,0.8555555555555555,0.8888888888888888,0.8925925925925926,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.8925925925925926,0.03703703703703709,0.0037037037037037646
ethanolconcentration,0.27756653992395436,0.2965779467680608,0.28517110266159695,0.2813688212927757,0.2813688212927757,0.2509505703422053,1.0,0.28517110266159695,0.007604562737642595,-0.011406844106463865
fingermovements,0.61,0.59,0.58,0.58,0.58,0.58,1.0,0.58,-0.030000000000000027,-0.010000000000000009
handmovementdirection,0.35135135135135137,0.35135135135135137,0.3783783783783784,0.36486486486486486,0.3918918918918919,0.35135135135135137,0.2,0.3918918918918919,0.040540540540540515,0.040540540540540515
handwriting,0.591764705882353,0.5576470588235294,0.5752941176470588,0.56,0.5694117647058824,0.5776470588235294,0.1,0.5776470588235294,-0.014117647058823568,0.020000000000000018
har,0.9429928741092637,0.9409569053274517,0.9518154054971157,0.9484221241940957,0.9491007804546997,0.9443501866304717,1.0,0.9518154054971157,0.00882253138785205,0.010858500169664054
heartbeat,0.6731707317073171,0.6682926829268293,0.6439024390243903,0.5170731707317073,0.35121951219512193,0.5414634146341464,1.0,0.6439024390243903,-0.029268292682926855,-0.024390243902439046
japanesevowels,0.9783783783783784,0.9351351351351351,0.9783783783783784,0.981081081081081,0.9891891891891892,0.9864864864864865,0.2,0.9891891891891892,0.010810810810810811,0.05405405405405406
libras,0.9,0.8555555555555555,0.9388888888888889,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.5,0.9444444444444444,0.0444444444444444,0.0888888888888889
motorimagery,0.5,0.54,0.55,0.53,0.54,0.51,1.0,0.55,0.050000000000000044,0.010000000000000009
natops,0.8388888888888889,0.9611111111111111,0.9111111111111111,0.9611111111111111,0.9388888888888889,0.8222222222222222,0.5,0.9611111111111111,0.12222222222222223,0.0
pendigits,0.9888507718696398,0.9882790165809033,0.985134362492853,0.9877072612921669,0.9845626072041166,0.9914236706689536,0.1,0.9914236706689536,0.002572898799313883,0.0031446540880503138
racketsports,0.8881578947368421,0.8421052631578947,0.75,0.35526315789473684,0.8486842105263158,0.8223684210526315,0.2,0.8486842105263158,-0.03947368421052633,0.006578947368421129
selfregulationscp1,0.78839590443686,0.8600682593856656,0.7474402730375427,0.7337883959044369,0.8122866894197952,0.8703071672354948,0.1,0.8703071672354948,0.08191126279863481,0.010238907849829282
selfregulationscp2,0.5277777777777778,0.5388888888888889,0.5166666666666667,0.5222222222222223,0.55,0.4777777777777778,0.2,0.55,0.022222222222222254,0.011111111111111183
uwavegesturelibrary,0.815625,0.828125,0.828125,0.83125,0.828125,0.840625,0.1,0.840625,0.02499999999999991,0.012499999999999956
