split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,0,fixed,same_only,pooled,0.00040883346810005605,1582665.75,0.009999999776482582,4.948184490203857
train,1,0,-1,1,fixed,same_only,pooled,0.0004056887701153755,1826575.75,0.009999999776482582,4.910392761230469
train,1,0,-1,2,fixed,same_only,pooled,0.0004087980487383902,1609413.5,0.009999999776482582,4.945659160614014
train,1,0,-1,3,fixed,same_only,pooled,0.0004087315173819661,1633306.25,0.009999999776482582,4.939343452453613
train,1,0,-1,4,fixed,same_only,pooled,0.00040876754792407155,1606920.0,0.009999999776482582,4.941220760345459
train,1,0,-1,5,fixed,same_only,pooled,0.0004090704896952957,1575209.25,0.009999999776482582,4.954716205596924
train,1,0,-1,6,fixed,same_only,pooled,0.00040877622086554766,1581938.375,0.009999999776482582,4.946029186248779
train,1,0,-1,7,fixed,same_only,pooled,0.00040916813304647803,1571465.125,0.009999999776482582,4.95533561706543
train,1,0,-1,8,fixed,same_only,pooled,0.0004060089704580605,1805948.5,0.009999999776482582,4.915606498718262
train,1,0,-1,9,fixed,same_only,pooled,0.00040757606620900333,1641086.375,0.009999999776482582,4.935427188873291
train,1,0,-1,10,fixed,same_only,pooled,0.000408754131058231,1660964.125,0.009999999776482582,4.932600975036621
train,1,0,-1,11,fixed,same_only,pooled,0.00040849443757906556,1588694.75,0.009999999776482582,4.947972297668457
train,1,0,-1,12,fixed,same_only,pooled,0.00040539714973419905,1887147.125,0.009999999776482582,4.89588737487793
train,1,0,-1,13,fixed,same_only,pooled,0.0004086099215783179,1587628.375,0.009999999776482582,4.942957878112793
train,1,0,-1,14,fixed,same_only,pooled,0.00040695126517675817,1681160.0,0.009999999776482582,4.931811809539795
train,1,0,-1,15,fixed,same_only,pooled,0.0004064238746650517,1776179.625,0.009999999776482582,4.924831867218018
train,1,0,-1,16,fixed,same_only,pooled,0.00040954971336759627,1565076.25,0.009999999776482582,4.958282947540283
train,1,0,-1,17,fixed,same_only,pooled,0.00040891955723054707,1654872.625,0.009999999776482582,4.936853408813477
train,1,0,-1,18,fixed,same_only,pooled,0.00040836125845089555,1582998.625,0.009999999776482582,4.9389567375183105
train,1,0,-1,19,fixed,same_only,pooled,0.0004087043344043195,1574494.0,0.009999999776482582,4.947177886962891
train,1,0,-1,20,fixed,same_only,pooled,0.0004089288995601237,1661086.125,0.009999999776482582,4.933763027191162
train,1,0,-1,21,fixed,same_only,pooled,0.00040630422881804407,1749112.25,0.009999999776482582,4.92235803604126
train,1,0,-1,22,fixed,same_only,pooled,0.00041023100493475795,1680144.625,0.009999999776482582,4.955188274383545
train,1,0,-1,23,fixed,same_only,pooled,0.00040863509639166296,1611729.875,0.009999999776482582,4.942374229431152
train,1,0,-1,24,fixed,same_only,pooled,0.00040886044735088944,1607446.0,0.009999999776482582,4.942368030548096
train,1,0,-1,25,fixed,same_only,pooled,0.000408671738114208,1622104.625,0.009999999776482582,4.940621852874756
train,1,0,-1,26,fixed,same_only,pooled,0.00040941458428278565,1566130.625,0.009999999776482582,4.957520008087158
train,1,0,-1,27,fixed,same_only,pooled,0.00040883178007788956,1672571.875,0.009999999776482582,4.932972431182861
train,1,0,-1,28,fixed,same_only,pooled,0.0004101662489119917,1597249.0,0.009999999776482582,4.956479072570801
train,1,0,-1,29,fixed,same_only,pooled,0.00041008583502843976,1646286.125,0.009999999776482582,4.957394123077393
train,1,0,-1,30,fixed,same_only,pooled,0.0004104875260964036,1770161.25,0.009999999776482582,4.9438700675964355
train,1,0,-1,31,fixed,same_only,pooled,0.0004087691195309162,1633087.875,0.009999999776482582,4.940203666687012
train,1,1,-1,0,fixed,same_only,pooled,0.00042606150964275,1797049.0,0.009999999776482582,4.981039524078369
train,1,1,-1,1,fixed,same_only,pooled,0.0004224434669595212,1760182.75,0.009999999776482582,4.932420253753662
train,1,1,-1,2,fixed,same_only,pooled,0.0004271069192327559,1847489.375,0.009999999776482582,4.982697486877441
train,1,1,-1,3,fixed,same_only,pooled,0.00042631482938304543,1822050.5,0.009999999776482582,4.979699611663818
train,1,1,-1,4,fixed,same_only,pooled,0.00042598569416441023,1790787.125,0.009999999776482582,4.9811930656433105
train,1,1,-1,5,fixed,same_only,pooled,0.00042796292109414935,1878848.125,0.009999999776482582,4.982076644897461
train,1,1,-1,6,fixed,same_only,pooled,0.0004253010265529156,1770533.5,0.009999999776482582,4.978119373321533
train,1,1,-1,7,fixed,same_only,pooled,0.000425672042183578,1780955.0,0.009999999776482582,4.978414058685303
train,1,1,-1,8,fixed,same_only,pooled,0.00042289524571970105,1758077.75,0.009999999776482582,4.940995693206787
train,1,1,-1,9,fixed,same_only,pooled,0.00042524002492427826,1791408.25,0.009999999776482582,4.975914478302002
train,1,1,-1,10,fixed,same_only,pooled,0.00042639090679585934,1816866.75,0.009999999776482582,4.9813737869262695
train,1,1,-1,11,fixed,same_only,pooled,0.000427893886808306,1896985.5,0.009999999776482582,4.98189115524292
train,1,1,-1,12,fixed,same_only,pooled,0.0004212656931485981,1851223.75,0.009999999776482582,4.901974678039551
train,1,1,-1,13,fixed,same_only,pooled,0.0004260092682670802,1805000.625,0.009999999776482582,4.9798736572265625
train,1,1,-1,14,fixed,same_only,pooled,0.00042347691487520933,1721360.875,0.009999999776482582,4.964155673980713
train,1,1,-1,15,fixed,same_only,pooled,0.0004218479443807155,1754435.0,0.009999999776482582,4.931471347808838
train,1,1,-1,16,fixed,same_only,pooled,0.00042812342871911824,1891969.75,0.009999999776482582,4.980819225311279
