split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,0,trace_adaptive,same_only,pooled,0.00041738239815458655,1598873.5,4.1738239815458655e-06,9.582404136657715
train,1,0,-1,1,trace_adaptive,same_only,pooled,0.0004193704226054251,1516934.0,4.193704171484569e-06,9.582388877868652
train,1,0,-1,2,trace_adaptive,same_only,pooled,0.0004137149662710726,1483643.0,4.137149517191574e-06,9.582385063171387
train,1,0,-1,3,trace_adaptive,same_only,pooled,0.00042181031312793493,1642039.0,4.2181031858490314e-06,9.582286834716797
train,1,0,-1,4,trace_adaptive,same_only,pooled,0.00041932452586479485,1615294.25,4.193245331407525e-06,9.582160949707031
train,1,0,-1,5,trace_adaptive,same_only,pooled,0.0004227898025419563,1640654.5,4.227897989039775e-06,9.582332611083984
train,1,0,-1,6,trace_adaptive,same_only,pooled,0.00041976236389018595,1552349.5,4.1976236389018595e-06,9.582383155822754
train,1,0,-1,7,trace_adaptive,same_only,pooled,0.00041922094533219934,1589012.125,4.192209416942205e-06,9.582324981689453
train,1,0,-1,8,trace_adaptive,same_only,pooled,0.00041478333878330886,1556757.25,4.1478333514533006e-06,9.582297325134277
train,1,0,-1,9,trace_adaptive,same_only,pooled,0.0004181903786957264,1539813.875,4.181903477729065e-06,9.582357406616211
train,1,0,-1,10,trace_adaptive,same_only,pooled,0.00042019819375127554,1532752.0,4.201981937512755e-06,9.582382202148438
train,1,0,-1,11,trace_adaptive,same_only,pooled,0.0004200954281259328,1537402.125,4.200954208499752e-06,9.582383155822754
train,1,0,-1,12,trace_adaptive,same_only,pooled,0.00042296102037653327,1617529.75,4.2296101128158625e-06,9.582342147827148
train,1,0,-1,13,trace_adaptive,same_only,pooled,0.0004180526302661747,1490787.125,4.18052604800323e-06,9.58239459991455
train,1,0,-1,14,trace_adaptive,same_only,pooled,0.0004207369638606906,1630282.625,4.207369329378707e-06,9.582304954528809
train,1,0,-1,15,trace_adaptive,same_only,pooled,0.000421562057454139,1615589.125,4.215620265313191e-06,9.582301139831543
train,1,0,-1,16,trace_adaptive,same_only,pooled,0.00042031859629787505,1590498.125,4.203185653750552e-06,9.58230209350586
train,1,0,-1,17,trace_adaptive,same_only,pooled,0.000415508053265512,1554493.5,4.155080659984378e-06,9.582308769226074
