split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,0,trace_adaptive,same_only,pooled,0.00040883346810005605,1582665.75,4.0883346628106665e-06,8.938347816467285
train,1,0,-1,1,trace_adaptive,same_only,pooled,0.0004056887701153755,1826575.75,4.056887519254815e-06,8.938191413879395
train,1,0,-1,2,trace_adaptive,same_only,pooled,0.0004087980487383902,1609413.5,4.087980414624326e-06,8.938339233398438
train,1,0,-1,3,trace_adaptive,same_only,pooled,0.0004087315173819661,1633306.25,4.087315119249979e-06,8.938313484191895
train,1,0,-1,4,trace_adaptive,same_only,pooled,0.00040876754792407155,1606920.0,4.087675279151881e-06,8.938318252563477
train,1,0,-1,5,trace_adaptive,same_only,pooled,0.0004090704896952957,1575209.25,4.090704806003487e-06,8.938373565673828
train,1,0,-1,6,trace_adaptive,same_only,pooled,0.00040877622086554766,1581938.375,4.0877621358959004e-06,8.938338279724121
train,1,0,-1,7,trace_adaptive,same_only,pooled,0.00040916813304647803,1571465.125,4.09168114856584e-06,8.938374519348145
train,1,0,-1,8,trace_adaptive,same_only,pooled,0.0004060089704580605,1805948.5,4.0600893953524064e-06,8.938213348388672
train,1,0,-1,9,trace_adaptive,same_only,pooled,0.00040757606620900333,1641086.375,4.075760443811305e-06,8.938289642333984
train,1,0,-1,10,trace_adaptive,same_only,pooled,0.000408754131058231,1660964.125,4.08754112868337e-06,8.938284873962402
train,1,0,-1,11,trace_adaptive,same_only,pooled,0.00040849443757906556,1588694.75,4.084944066562457e-06,8.938348770141602
train,1,0,-1,12,trace_adaptive,same_only,pooled,0.00040539714973419905,1887147.125,4.05397122449358e-06,8.93812084197998
train,1,0,-1,13,trace_adaptive,same_only,pooled,0.0004086099215783179,1587628.375,4.086099124833709e-06,8.938324928283691
train,1,0,-1,14,trace_adaptive,same_only,pooled,0.00040695126517675817,1681160.0,4.069512669957476e-06,8.938275337219238
train,1,0,-1,15,trace_adaptive,same_only,pooled,0.0004064238746650517,1776179.625,4.0642385101818945e-06,8.938257217407227
train,1,0,-1,16,trace_adaptive,same_only,pooled,0.00040954971336759627,1565076.25,4.095496933587128e-06,8.93838119506836
train,1,0,-1,17,trace_adaptive,same_only,pooled,0.00040891955723054707,1654872.625,4.0891954995458946e-06,8.93830394744873
train,1,0,-1,18,trace_adaptive,same_only,pooled,0.00040836125845089555,1582998.625,4.0836125663190614e-06,8.938305854797363
train,1,0,-1,19,trace_adaptive,same_only,pooled,0.0004087043344043195,1574494.0,4.087043180334149e-06,8.938343048095703
train,1,0,-1,20,trace_adaptive,same_only,pooled,0.0004089288995601237,1661086.125,4.089288722752826e-06,8.938289642333984
train,1,0,-1,21,trace_adaptive,same_only,pooled,0.00040630422881804407,1749112.25,4.063042069901712e-06,8.93823528289795
train,1,0,-1,22,trace_adaptive,same_only,pooled,0.00041023100493475795,1680144.625,4.102309958398109e-06,8.938365936279297
train,1,0,-1,23,trace_adaptive,same_only,pooled,0.00040863509639166296,1611729.875,4.0863510548661e-06,8.938325881958008
train,1,0,-1,24,trace_adaptive,same_only,pooled,0.00040886044735088944,1607446.0,4.088604327989742e-06,8.938323974609375
train,1,0,-1,25,trace_adaptive,same_only,pooled,0.000408671738114208,1622104.625,4.086717126483563e-06,8.938318252563477
train,1,0,-1,26,trace_adaptive,same_only,pooled,0.00040941458428278565,1566130.625,4.094145879207645e-06,8.938380241394043
train,1,0,-1,27,trace_adaptive,same_only,pooled,0.00040883178007788956,1672571.875,4.088317837158684e-06,8.938288688659668
train,1,0,-1,28,trace_adaptive,same_only,pooled,0.0004101662489119917,1597249.0,4.101662398170447e-06,8.938365936279297
train,1,0,-1,29,trace_adaptive,same_only,pooled,0.00041008583502843976,1646286.125,4.10085840485408e-06,8.938374519348145
train,1,0,-1,30,trace_adaptive,same_only,pooled,0.0004104875260964036,1770161.25,4.10487518820446e-06,8.938325881958008
train,1,0,-1,31,trace_adaptive,same_only,pooled,0.0004087691195309162,1633087.875,4.087691195309162e-06,8.93831729888916
train,1,1,-1,0,trace_adaptive,same_only,pooled,0.00042606150964275,1797049.0,4.260614787199302e-06,9.212163925170898
train,1,1,-1,1,trace_adaptive,same_only,pooled,0.0004224434669595212,1760182.75,4.224434633215424e-06,9.211956977844238
train,1,1,-1,2,trace_adaptive,same_only,pooled,0.0004271069192327559,1847489.375,4.2710689740488306e-06,9.212165832519531
train,1,1,-1,3,trace_adaptive,same_only,pooled,0.00042631482938304543,1822050.5,4.26314818469109e-06,9.212157249450684
train,1,1,-1,4,trace_adaptive,same_only,pooled,0.00042598569416441023,1790787.125,4.259856723365374e-06,9.212166786193848
train,1,1,-1,5,trace_adaptive,same_only,pooled,0.00042796292109414935,1878848.125,4.279629138181917e-06,9.212153434753418
train,1,1,-1,6,trace_adaptive,same_only,pooled,0.0004253010265529156,1770533.5,4.253010047250427e-06,9.212156295776367
train,1,1,-1,7,trace_adaptive,same_only,pooled,0.000425672042183578,1780955.0,4.25672033088631e-06,9.21216106414795
train,1,1,-1,8,trace_adaptive,same_only,pooled,0.00042289524571970105,1758077.75,4.228952548146481e-06,9.211992263793945
train,1,1,-1,9,trace_adaptive,same_only,pooled,0.00042524002492427826,1791408.25,4.2524002310528886e-06,9.21214771270752
train,1,1,-1,10,trace_adaptive,same_only,pooled,0.00042639090679585934,1816866.75,4.263908977009123e-06,9.212164878845215
train,1,1,-1,11,trace_adaptive,same_only,pooled,0.000427893886808306,1896985.5,4.278938831703272e-06,9.212156295776367
train,1,1,-1,12,trace_adaptive,same_only,pooled,0.0004212656931485981,1851223.75,4.212656676827464e-06,9.211823463439941
train,1,1,-1,13,trace_adaptive,same_only,pooled,0.0004260092682670802,1805000.625,4.260092737240484e-06,9.212158203125
train,1,1,-1,14,trace_adaptive,same_only,pooled,0.00042347691487520933,1721360.875,4.2347692215116695e-06,9.212103843688965
train,1,1,-1,15,trace_adaptive,same_only,pooled,0.0004218479443807155,1754435.0,4.2184792619082145e-06,9.21196460723877
train,1,1,-1,16,trace_adaptive,same_only,pooled,0.00042812342871911824,1891969.75,4.281234396330547e-06,9.21214485168457
train,1,1,-1,17,trace_adaptive,same_only,pooled,0.000425834849011153,1806516.75,4.2583483264024835e-06,9.212156295776367
train,1,1,-1,18,trace_adaptive,same_only,pooled,0.000424425583332777,1721461.625,4.244255705998512e-06,9.212151527404785
train,1,1,-1,19,trace_adaptive,same_only,pooled,0.00042732589645311236,1873068.125,4.2732590372907e-06,9.212159156799316
train,1,1,-1,20,trace_adaptive,same_only,pooled,0.0004254605155438185,1770317.0,4.254604846209986e-06,9.212162017822266
train,1,1,-1,21,trace_adaptive,same_only,pooled,0.00042249925900250673,1715292.25,4.224992608214961e-06,9.2120361328125
train,1,1,-1,22,trace_adaptive,same_only,pooled,0.0004327405767980963,2114787.25,4.327405804360751e-06,9.211942672729492
train,1,1,-1,23,trace_adaptive,same_only,pooled,0.00042725366074591875,1862699.75,4.272536443750141e-06,9.21216106414795
train,1,1,-1,24,trace_adaptive,same_only,pooled,0.00042584381299093366,1789605.875,4.258437911630608e-06,9.212159156799316
train,1,1,-1,25,trace_adaptive,same_only,pooled,0.00042781091178767383,1881736.375,4.278108917787904e-06,9.212162017822266
train,1,1,-1,26,trace_adaptive,same_only,pooled,0.0004293022211641073,1940774.75,4.293021902412875e-06,9.212109565734863
train,1,1,-1,27,trace_adaptive,same_only,pooled,0.0004271430370863527,1851110.875,4.271430498192785e-06,9.212163925170898
train,1,1,-1,28,trace_adaptive,same_only,pooled,0.0004283731977920979,1905110.625,4.283731868781615e-06,9.212101936340332
train,1,1,-1,29,trace_adaptive,same_only,pooled,0.0004339704173617065,2175894.5,4.339703991718125e-06,9.211801528930664
train,1,1,-1,30,trace_adaptive,same_only,pooled,0.0004369218950159848,2353413.5,4.36921891378006e-06,9.211583137512207
train,1,1,-1,31,trace_adaptive,same_only,pooled,0.0004261555732227862,1802271.625,4.261555659468286e-06,9.212164878845215
train,1,0,-1,0,trace_adaptive,same_only,pooled,0.0004093236057087779,1593728.125,4.093235929758521e-06,8.904730796813965
train,1,0,-1,1,trace_adaptive,same_only,pooled,0.0004021220956929028,2264484.5,4.021220775030088e-06,8.901969909667969
