split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,0,fixed,pinv,same_only,pooled,none,0.007812499534338713,95495752.0,0.0,1.0235466957092285
train,1,0,-1,1,fixed,pinv,same_only,pooled,none,0.0078125,95494928.0,0.0,1.0235469341278076
train,1,0,-1,2,fixed,pinv,same_only,pooled,none,0.007812499534338713,95494632.0,0.0,1.023546576499939
train,1,0,-1,3,fixed,pinv,same_only,pooled,none,0.0078125,95495800.0,0.0,1.023546576499939
train,1,0,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,95496792.0,0.0,1.023546576499939
train,1,0,-1,5,fixed,pinv,same_only,pooled,none,0.007812499068677425,95493240.0,0.0,1.023546576499939
train,1,0,-1,6,fixed,pinv,same_only,pooled,none,0.0078125,95500016.0,0.0,1.0235469341278076
train,1,0,-1,7,fixed,pinv,same_only,pooled,none,0.007812499534338713,95499480.0,0.0,1.0235466957092285
train,1,0,-1,8,fixed,pinv,same_only,pooled,none,0.007812499534338713,95494176.0,0.0,1.0235469341278076
train,1,0,-1,9,fixed,pinv,same_only,pooled,none,0.0078125,95501856.0,0.0,1.023546814918518
train,1,0,-1,10,fixed,pinv,same_only,pooled,none,0.007812499534338713,95493840.0,0.0,1.023546576499939
train,1,0,-1,11,fixed,pinv,same_only,pooled,none,0.0078125,95493904.0,0.0,1.023546576499939
train,1,0,-1,12,fixed,pinv,same_only,pooled,none,0.0078125,95491712.0,0.0,1.023546576499939
train,1,0,-1,13,fixed,pinv,same_only,pooled,none,0.007812499534338713,95495080.0,0.0,1.023546576499939
train,1,0,-1,14,fixed,pinv,same_only,pooled,none,0.0078125,95501280.0,0.0,1.0235469341278076
train,1,0,-1,15,fixed,pinv,same_only,pooled,none,0.007812499068677425,95494536.0,0.0,1.0235466957092285
train,1,0,-1,16,fixed,pinv,same_only,pooled,none,0.007812499534338713,95493056.0,0.0,1.0235469341278076
train,1,0,-1,17,fixed,pinv,same_only,pooled,none,0.0078125,95492312.0,0.0,1.0235466957092285
train,1,0,-1,18,fixed,pinv,same_only,pooled,none,0.007812499068677425,95494720.0,0.0,1.023546576499939
train,1,0,-1,19,fixed,pinv,same_only,pooled,none,0.007812499534338713,95497512.0,0.0,1.0235466957092285
train,1,0,-1,20,fixed,pinv,same_only,pooled,none,0.007812499068677425,95493440.0,0.0,1.0235466957092285
train,1,0,-1,21,fixed,pinv,same_only,pooled,none,0.0078125,95497392.0,0.0,1.0235466957092285
train,1,0,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,95499456.0,0.0,1.023546814918518
train,1,0,-1,23,fixed,pinv,same_only,pooled,none,0.007812499068677425,95493808.0,0.0,1.023546576499939
train,1,0,-1,24,fixed,pinv,same_only,pooled,none,0.0078125,95494560.0,0.0,1.023546814918518
train,1,0,-1,25,fixed,pinv,same_only,pooled,none,0.007812499534338713,95495832.0,0.0,1.0235469341278076
train,1,0,-1,26,fixed,pinv,same_only,pooled,none,0.0078125,95492528.0,0.0,1.023546576499939
train,1,0,-1,27,fixed,pinv,same_only,pooled,none,0.007812499534338713,95492760.0,0.0,1.023546814918518
train,1,0,-1,28,fixed,pinv,same_only,pooled,none,0.007812499534338713,95499728.0,0.0,1.0235469341278076
train,1,0,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,95497176.0,0.0,1.023546576499939
train,1,0,-1,30,fixed,pinv,same_only,pooled,none,0.007812499534338713,95494632.0,0.0,1.023546576499939
train,1,0,-1,31,fixed,pinv,same_only,pooled,none,0.0078125,95493576.0,0.0,1.0235466957092285
train,1,0,-1,32,fixed,pinv,same_only,pooled,none,0.0078125,95495832.0,0.0,1.0235469341278076
train,1,0,-1,33,fixed,pinv,same_only,pooled,none,0.0078125,95499368.0,0.0,1.023546814918518
train,1,0,-1,34,fixed,pinv,same_only,pooled,none,0.0078125,95497040.0,0.0,1.023546814918518
train,1,0,-1,35,fixed,pinv,same_only,pooled,none,0.007812499068677425,95498600.0,0.0,1.023546814918518
train,1,0,-1,36,fixed,pinv,same_only,pooled,none,0.007812499068677425,95494424.0,0.0,1.023546576499939
train,1,0,-1,37,fixed,pinv,same_only,pooled,none,0.007812499534338713,95495240.0,0.0,1.0235466957092285
train,1,0,-1,38,fixed,pinv,same_only,pooled,none,0.007812499534338713,95495664.0,0.0,1.023546576499939
train,1,0,-1,39,fixed,pinv,same_only,pooled,none,0.0078125,95499800.0,0.0,1.023546576499939
train,1,0,-1,40,fixed,pinv,same_only,pooled,none,0.007812499534338713,95498208.0,0.0,1.023546576499939
train,1,0,-1,41,fixed,pinv,same_only,pooled,none,0.007812499534338713,95494816.0,0.0,1.023546576499939
train,1,0,-1,42,fixed,pinv,same_only,pooled,none,0.0078125,95493416.0,0.0,1.0235469341278076
train,1,0,-1,43,fixed,pinv,same_only,pooled,none,0.007812499068677425,95492360.0,0.0,1.023546814918518
train,1,0,-1,44,fixed,pinv,same_only,pooled,none,0.0078125,95493672.0,0.0,1.023546576499939
train,1,0,-1,45,fixed,pinv,same_only,pooled,none,0.0078125,95493480.0,0.0,1.0235466957092285
train,1,0,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,95500208.0,0.0,1.0235466957092285
train,1,0,-1,47,fixed,pinv,same_only,pooled,none,0.007812499534338713,95500632.0,0.0,1.023546576499939
train,1,0,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,95494112.0,0.0,1.023546576499939
train,1,0,-1,49,fixed,pinv,same_only,pooled,none,0.007812499068677425,95496888.0,0.0,1.023546814918518
train,1,0,-1,50,fixed,pinv,same_only,pooled,none,0.0078125,95496088.0,0.0,1.0235466957092285
train,1,0,-1,51,fixed,pinv,same_only,pooled,none,0.007812499534338713,95499824.0,0.0,1.023546576499939
train,1,0,-1,52,fixed,pinv,same_only,pooled,none,0.007812499534338713,95493080.0,0.0,1.0235464572906494
train,1,0,-1,53,fixed,pinv,same_only,pooled,none,0.007812499068677425,95494744.0,0.0,1.023546576499939
train,1,0,-1,54,fixed,pinv,same_only,pooled,none,0.0078125,95495856.0,0.0,1.023546814918518
train,1,0,-1,55,fixed,pinv,same_only,pooled,none,0.007812499068677425,95501472.0,0.0,1.0235466957092285
train,1,0,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,95501736.0,0.0,1.023546814918518
train,1,0,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,95494584.0,0.0,1.023546576499939
train,1,0,-1,58,fixed,pinv,same_only,pooled,none,0.0078125,95494672.0,0.0,1.023546814918518
train,1,0,-1,59,fixed,pinv,same_only,pooled,none,0.0078125,95496696.0,0.0,1.023546576499939
train,1,0,-1,60,fixed,pinv,same_only,pooled,none,0.007812499534338713,95498416.0,0.0,1.0235470533370972
train,1,0,-1,61,fixed,pinv,same_only,pooled,none,0.007812499534338713,95493392.0,0.0,1.023546576499939
train,1,0,-1,62,fixed,pinv,same_only,pooled,none,0.007812499068677425,95499328.0,0.0,1.0235466957092285
train,1,0,-1,63,fixed,pinv,same_only,pooled,none,0.0078125,95498696.0,0.0,1.023546576499939
train,1,1,-1,0,fixed,pinv,same_only,pooled,none,0.007812499534338713,96444616.0,0.0,1.01829993724823
train,1,1,-1,1,fixed,pinv,same_only,pooled,none,0.007812499068677425,96443208.0,0.0,1.018300175666809
train,1,1,-1,2,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443152.0,0.0,1.018300175666809
train,1,1,-1,3,fixed,pinv,same_only,pooled,none,0.0078125,96442984.0,0.0,1.0183002948760986
train,1,1,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,96442880.0,0.0,1.0182998180389404
train,1,1,-1,5,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443336.0,0.0,1.0183000564575195
train,1,1,-1,6,fixed,pinv,same_only,pooled,none,0.0078125,96443504.0,0.0,1.01829993724823
train,1,1,-1,7,fixed,pinv,same_only,pooled,none,0.0078125,96444232.0,0.0,1.0182996988296509
