split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,0,fixed,pinv,same_only,pooled,none,0.007812500931322575,97008440.0,0.0,1.0154128074645996
train,1,0,-1,1,fixed,pinv,same_only,pooled,none,0.007812499068677425,97006768.0,0.0,1.0154129266738892
train,1,0,-1,2,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007608.0,0.0,1.0154129266738892
train,1,0,-1,3,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008272.0,0.0,1.0154130458831787
train,1,0,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,97009120.0,0.0,1.0154131650924683
train,1,0,-1,5,fixed,pinv,same_only,pooled,none,0.0078125,97007952.0,0.0,1.0154128074645996
train,1,0,-1,6,fixed,pinv,same_only,pooled,none,0.0078125,97007456.0,0.0,1.0154128074645996
train,1,0,-1,7,fixed,pinv,same_only,pooled,none,0.0078125,97009144.0,0.0,1.0154128074645996
train,1,0,-1,8,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007728.0,0.0,1.0154131650924683
train,1,0,-1,9,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008728.0,0.0,1.0154130458831787
train,1,0,-1,10,fixed,pinv,same_only,pooled,none,0.0078125,97011264.0,0.0,1.0154130458831787
train,1,0,-1,11,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008136.0,0.0,1.0154132843017578
train,1,0,-1,12,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007104.0,0.0,1.01541268825531
train,1,0,-1,13,fixed,pinv,same_only,pooled,none,0.0078125,97008632.0,0.0,1.0154131650924683
train,1,0,-1,14,fixed,pinv,same_only,pooled,none,0.0078125,97010208.0,0.0,1.0154130458831787
train,1,0,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,97008400.0,0.0,1.0154132843017578
train,1,0,-1,16,fixed,pinv,same_only,pooled,none,0.0078125,97009328.0,0.0,1.0154129266738892
train,1,0,-1,17,fixed,pinv,same_only,pooled,none,0.007812499534338713,97011344.0,0.0,1.01541268825531
train,1,0,-1,18,fixed,pinv,same_only,pooled,none,0.0078125,97009168.0,0.0,1.0154129266738892
train,1,0,-1,19,fixed,pinv,same_only,pooled,none,0.0078125,97008528.0,0.0,1.0154128074645996
train,1,0,-1,20,fixed,pinv,same_only,pooled,none,0.007812499534338713,97009584.0,0.0,1.01541268825531
train,1,0,-1,21,fixed,pinv,same_only,pooled,none,0.0078125,97008384.0,0.0,1.0154129266738892
train,1,0,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,97009496.0,0.0,1.0154128074645996
train,1,0,-1,23,fixed,pinv,same_only,pooled,none,0.007812499534338713,97009408.0,0.0,1.01541268825531
train,1,0,-1,24,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008960.0,0.0,1.01541268825531
train,1,0,-1,25,fixed,pinv,same_only,pooled,none,0.0078125,97008848.0,0.0,1.0154128074645996
train,1,0,-1,26,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008840.0,0.0,1.0154125690460205
train,1,0,-1,27,fixed,pinv,same_only,pooled,none,0.0078125,97007864.0,0.0,1.0154131650924683
train,1,0,-1,28,fixed,pinv,same_only,pooled,none,0.0078125,97007832.0,0.0,1.0154134035110474
train,1,0,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,97006152.0,0.0,1.0154125690460205
train,1,0,-1,30,fixed,pinv,same_only,pooled,none,0.0078125,97007376.0,0.0,1.0154128074645996
train,1,0,-1,31,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008440.0,0.0,1.0154128074645996
train,1,0,-1,32,fixed,pinv,same_only,pooled,none,0.0078125,97007136.0,0.0,1.0154129266738892
train,1,0,-1,33,fixed,pinv,same_only,pooled,none,0.0078125,97008680.0,0.0,1.0154125690460205
train,1,0,-1,34,fixed,pinv,same_only,pooled,none,0.0078125,97009048.0,0.0,1.0154125690460205
train,1,0,-1,35,fixed,pinv,same_only,pooled,none,0.0078125,97009472.0,0.0,1.0154129266738892
train,1,0,-1,36,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008504.0,0.0,1.0154130458831787
train,1,0,-1,37,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007528.0,0.0,1.0154131650924683
train,1,0,-1,38,fixed,pinv,same_only,pooled,none,0.007812499534338713,97009584.0,0.0,1.0154129266738892
train,1,0,-1,39,fixed,pinv,same_only,pooled,none,0.0078125,97008232.0,0.0,1.0154125690460205
train,1,0,-1,40,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008176.0,0.0,1.0154131650924683
train,1,0,-1,41,fixed,pinv,same_only,pooled,none,0.0078125,97010736.0,0.0,1.0154129266738892
train,1,0,-1,42,fixed,pinv,same_only,pooled,none,0.007812499534338713,97009328.0,0.0,1.0154129266738892
train,1,0,-1,43,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008496.0,0.0,1.01541268825531
train,1,0,-1,44,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008176.0,0.0,1.0154125690460205
train,1,0,-1,45,fixed,pinv,same_only,pooled,none,0.007812499534338713,97006776.0,0.0,1.01541268825531
train,1,0,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,97007184.0,0.0,1.0154130458831787
train,1,0,-1,47,fixed,pinv,same_only,pooled,none,0.0078125,97008344.0,0.0,1.0154128074645996
train,1,0,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,97007248.0,0.0,1.0154128074645996
train,1,0,-1,49,fixed,pinv,same_only,pooled,none,0.0078125,97008960.0,0.0,1.0154129266738892
train,1,0,-1,50,fixed,pinv,same_only,pooled,none,0.007812499068677425,97007960.0,0.0,1.0154128074645996
train,1,0,-1,51,fixed,pinv,same_only,pooled,none,0.007812499068677425,97008664.0,0.0,1.0154130458831787
train,1,0,-1,52,fixed,pinv,same_only,pooled,none,0.0078125,97008984.0,0.0,1.0154128074645996
train,1,0,-1,53,fixed,pinv,same_only,pooled,none,0.0078125,97008240.0,0.0,1.0154129266738892
train,1,0,-1,54,fixed,pinv,same_only,pooled,none,0.0078125,97008168.0,0.0,1.0154131650924683
train,1,0,-1,55,fixed,pinv,same_only,pooled,none,0.0078125,97008000.0,0.0,1.01541268825531
train,1,0,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,97008560.0,0.0,1.0154128074645996
train,1,0,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,97008872.0,0.0,1.0154130458831787
train,1,0,-1,58,fixed,pinv,same_only,pooled,none,0.0078125,97006504.0,0.0,1.0154131650924683
train,1,0,-1,59,fixed,pinv,same_only,pooled,none,0.0078125,97006216.0,0.0,1.01541268825531
train,1,0,-1,60,fixed,pinv,same_only,pooled,none,0.0078125,97008672.0,0.0,1.0154130458831787
train,1,0,-1,61,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007744.0,0.0,1.0154128074645996
train,1,0,-1,62,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008752.0,0.0,1.0154130458831787
train,1,0,-1,63,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007416.0,0.0,1.0154129266738892
train,1,1,-1,0,fixed,pinv,same_only,pooled,none,0.007812500931322575,96490088.0,0.0,1.018140435218811
train,1,1,-1,1,fixed,pinv,same_only,pooled,none,0.0078125,96492640.0,0.0,1.018140196800232
train,1,1,-1,2,fixed,pinv,same_only,pooled,none,0.007812499534338713,96491800.0,0.0,1.0181403160095215
train,1,1,-1,3,fixed,pinv,same_only,pooled,none,0.0078125,96488832.0,0.0,1.0181405544281006
train,1,1,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,96489176.0,0.0,1.0181403160095215
train,1,1,-1,5,fixed,pinv,same_only,pooled,none,0.0078125,96489176.0,0.0,1.0181403160095215
train,1,1,-1,6,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489176.0,0.0,1.0181405544281006
train,1,1,-1,7,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489800.0,0.0,1.0181403160095215
train,1,1,-1,8,fixed,pinv,same_only,pooled,none,0.0078125,96490816.0,0.0,1.018140435218811
train,1,1,-1,9,fixed,pinv,same_only,pooled,none,0.0078125,96493008.0,0.0,1.018140435218811
train,1,1,-1,10,fixed,pinv,same_only,pooled,none,0.0078125,96488592.0,0.0,1.018140435218811
train,1,1,-1,11,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489152.0,0.0,1.018140435218811
train,1,1,-1,12,fixed,pinv,same_only,pooled,none,0.0078125,96489856.0,0.0,1.018140196800232
train,1,1,-1,13,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489272.0,0.0,1.018140196800232
train,1,1,-1,14,fixed,pinv,same_only,pooled,none,0.007812499534338713,96488192.0,0.0,1.018140435218811
train,1,1,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,96490600.0,0.0,1.018140196800232
