dataset,prototype_geometry_mode,class_idx,tangent_source,requested_tangent_rank,actual_tangent_rank,rank95,effective_rank,top1_energy_ratio,top1_top2_spectral_gap,singular_values,energy_probs,cumulative_energy,run_dir
har,center_subproto,0,subproto_offsets,3,3,4,3.7991158962249756,0.35332584381103516,0.08876606822013855,"[1.7277607917785645, 1.495057225227356, 1.4467413425445557, 1.0655156373977661]","[0.35332584381103516, 0.2645597755908966, 0.24773648381233215, 0.13437789678573608]","[0.35332584381103516, 0.6178855895996094, 0.8656220436096191, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
har,center_subproto,1,subproto_offsets,3,3,4,3.693652629852295,0.41241592168807983,0.15213337540626526,"[1.6193366050720215, 1.2864471673965454, 1.0666438341140747, 0.9712578654289246]","[0.41241592168807983, 0.2602825462818146, 0.1789369434118271, 0.1483645886182785]","[0.41241592168807983, 0.6726984977722168, 0.8516354560852051, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
har,center_subproto,2,subproto_offsets,3,3,4,3.8472461700439453,0.31631577014923096,0.034409940242767334,"[1.5623323917388916, 1.4749083518981934, 1.420308232307434, 1.0407148599624634]","[0.31631577014923096, 0.2819058299064636, 0.26142024993896484, 0.140358105301857]","[0.31631577014923096, 0.5982216000556946, 0.8596418499946594, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
har,center_subproto,3,subproto_offsets,3,3,4,3.7784976959228516,0.3688777685165405,0.0833284854888916,"[1.4089808464050293, 1.239665150642395, 1.0273981094360352, 0.8968045115470886]","[0.3688777685165405, 0.2855492830276489, 0.196132630109787, 0.14944036304950714]","[0.3688777685165405, 0.6544270515441895, 0.8505597114562988, 1.0000001192092896]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
har,center_subproto,4,subproto_offsets,3,3,4,3.861968755722046,0.3559565544128418,0.09902939200401306,"[1.2787036895751953, 1.0863666534423828, 0.981836199760437, 0.9023374319076538]","[0.3559565544128418, 0.25692716240882874, 0.20986269414424896, 0.1772536188364029]","[0.3559565544128418, 0.6128836870193481, 0.8227463960647583, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
har,center_subproto,5,subproto_offsets,3,3,4,3.636162757873535,0.3931629955768585,0.08500656485557556,"[1.8711944818496704, 1.656602144241333, 1.2698830366134644, 1.0233957767486572]","[0.3931629955768585, 0.30815643072128296, 0.1810765564441681, 0.11760398745536804]","[0.3931629955768585, 0.7013194561004639, 0.8823959827423096, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
natops,center_subproto,0,subproto_offsets,3,3,4,3.9001212120056152,0.3159792125225067,0.023747235536575317,"[0.9548688530921936, 0.9182868003845215, 0.7808970212936401, 0.7216140031814575]","[0.3159792125225067, 0.2922319769859314, 0.21132875978946686, 0.18046000599861145]","[0.3159792125225067, 0.6082111597061157, 0.8195399045944214, 0.9999998807907104]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_natops_seed1
natops,center_subproto,1,subproto_offsets,3,3,4,3.9826200008392334,0.28636109828948975,0.03204891085624695,"[0.8535218238830566, 0.8043428659439087, 0.7719731330871582, 0.7566898465156555]","[0.28636109828948975, 0.2543121874332428, 0.2342551201581955, 0.225071519613266]","[0.28636109828948975, 0.5406732559204102, 0.7749283909797668, 0.9999998807907104]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_natops_seed1
natops,center_subproto,2,subproto_offsets,3,3,4,3.9606072902679443,0.2928555905818939,0.0228060781955719,"[0.8836235404014587, 0.8485202789306641, 0.7943028807640076, 0.7310500144958496]","[0.2928555905818939, 0.270049512386322, 0.23664167523384094, 0.2004532665014267]","[0.2928555905818939, 0.5629050731658936, 0.7995467185974121, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_natops_seed1
natops,center_subproto,3,subproto_offsets,3,3,4,3.9773383140563965,0.28363242745399475,0.015823036432266235,"[0.8969525694847107, 0.871574342250824, 0.8079357147216797, 0.7871314883232117]","[0.28363242745399475, 0.2678093910217285, 0.23012858629226685, 0.21842961013317108]","[0.28363242745399475, 0.5514417886734009, 0.7815703749656677, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_natops_seed1
