dataset,prototype_geometry_mode,subproto_temperature,tangent_rank,tangent_source,requested_tangent_rank,num_classes,prototypes_per_class,rank95_mean,effective_rank_mean,top1_energy_ratio_mean,top1_top2_spectral_gap_mean,actual_tangent_rank_mean,recommended_candidate_ranks,rank95_values,run_dir
har,center_subproto,1.0,3,subproto_offsets,3,6,4,4.0,3.7694406509399414,0.36667580902576447,0.0904456377029419,3.0,[4],"[4, 4, 4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_har_seed1
natops,center_subproto,1.0,3,subproto_offsets,3,6,4,4.0,3.9429937998453775,0.30363284548123676,0.036940380930900574,3.0,[4],"[4, 4, 4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_natops_seed1
fingermovements,center_subproto,1.0,3,subproto_offsets,3,2,4,4.0,3.986306071281433,0.2785980999469757,0.02322430908679962,3.0,[4],"[4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_fingermovements_seed1
selfregulationscp1,center_subproto,1.0,3,subproto_offsets,3,2,4,4.0,3.8991867303848267,0.3334573358297348,0.06600449979305267,3.0,[4],"[4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_selfregulationscp1_seed1
basicmotions,center_subproto,1.0,3,subproto_offsets,3,4,4,4.0,3.9967598915100098,0.26148688793182373,0.00618463009595871,3.0,[4],"[4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_basicmotions_seed1
handmovementdirection,center_subproto,1.0,3,subproto_offsets,3,4,4,4.0,3.972921848297119,0.2871096059679985,0.029556065797805786,3.0,[4],"[4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_handmovementdirection_seed1
uwavegesturelibrary,center_subproto,1.0,3,subproto_offsets,3,8,4,4.0,3.962391823530197,0.2918892912566662,0.025534737855196,3.0,[4],"[4, 4, 4, 4, 4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_uwavegesturelibrary_seed1
epilepsy,center_subproto,1.0,3,subproto_offsets,3,4,4,4.0,3.9835813641548157,0.2784806415438652,0.01777748018503189,3.0,[4],"[4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_epilepsy_seed1
atrialfibrillation,center_subproto,1.0,3,subproto_offsets,3,3,4,4.0,3.991252342859904,0.2697708308696747,0.013006210327148438,3.0,[4],"[4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_atrialfibrillation_seed1
pendigits,center_subproto,1.0,3,subproto_offsets,3,10,4,4.0,3.8825048208236694,0.33303403854370117,0.07217523157596588,3.0,[4],"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_pendigits_seed1
