dataset,dataset_role,seed,mode,gamma_main,smooth_lambda,window_len,hop_len,epochs,batch_size
selfregulationscp1,main,1,baseline,0.05,0.5,179,90,3,32
selfregulationscp1,main,1,t2a_default,0.05,0.5,179,90,3,32
selfregulationscp1,main,1,t3_shared_rebasis,0.05,0.5,179,90,3,32
selfregulationscp1,main,1,t4b_window_radial_gate,0.05,0.5,179,90,3,32
selfregulationscp1,main,1,t4b_window_margin_gate,0.05,0.5,179,90,3,32
selfregulationscp1,main,1,t5_dual_role_policy,0.05,0.5,179,90,3,32
natops,anchor,1,t3_shared_rebasis,0.05,0.5,28,5,3,32
natops,anchor,1,t4b_window_radial_gate,0.05,0.5,28,5,3,32
natops,anchor,1,t4b_window_margin_gate,0.05,0.5,28,5,3,32
natops,anchor,1,t5_dual_role_policy,0.05,0.5,28,5,3,32
