dataset,dataset_role,seed,mode,pool_role,class_id,safe_window_count_class,admitted_window_count_class,coverage_ratio_class,coverage_threshold_class,low_coverage_flag,effective_trigger
selfregulationscp1,main,1,t6b_dual_role_policy,constructive,0.0,444.0,444.0,1.0,23.0,0.0,1.0
selfregulationscp1,main,1,t6b_dual_role_policy,constructive,1.0,410.0,410.0,1.0,21.0,0.0,1.0
selfregulationscp1,main,1,t6b_dual_role_policy,discriminative,0.0,444.0,222.0,0.5,23.0,0.0,1.0
selfregulationscp1,main,1,t6b_dual_role_policy,discriminative,1.0,409.0,205.0,0.5012224938875306,21.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,constructive,0.0,86.0,86.0,1.0,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,constructive,1.0,82.0,82.0,1.0,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,constructive,2.0,82.0,82.0,1.0,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,constructive,3.0,85.0,85.0,1.0,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,constructive,4.0,82.0,82.0,1.0,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,constructive,5.0,86.0,86.0,1.0,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,discriminative,0.0,86.0,43.0,0.5,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,discriminative,1.0,82.0,41.0,0.5,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,discriminative,2.0,82.0,41.0,0.5,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,discriminative,3.0,85.0,43.0,0.5058823529411764,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,discriminative,4.0,82.0,41.0,0.5,8.0,0.0,1.0
natops,anchor,1,t6b_dual_role_policy,discriminative,5.0,86.0,43.0,0.5,8.0,0.0,1.0
