dataset,dataset_role,seed,mode,test_macro_f1,delta_vs_baseline,delta_vs_t2a_default,delta_vs_t3_shared_rebasis,delta_vs_window_safety_only,delta_vs_window_radial_gate,delta_vs_window_margin_gate
selfregulationscp1,main,1,baseline,0.5144024276377217,0.0,-0.0475582781975441,-0.0475582781975441,-0.0475582781975441,-0.0475582781975441,-0.0475582781975441
selfregulationscp1,main,1,t2a_default,0.5619607058352658,0.0475582781975441,0.0,0.0,0.0,0.0,0.0
selfregulationscp1,main,1,t3_shared_rebasis,0.5619607058352658,0.0475582781975441,0.0,0.0,0.0,0.0,0.0
selfregulationscp1,main,1,t4b_window_safety_only,0.5619607058352658,0.0475582781975441,0.0,0.0,0.0,0.0,0.0
selfregulationscp1,main,1,t4b_window_radial_gate,0.5619607058352658,0.0475582781975441,0.0,0.0,0.0,0.0,0.0
selfregulationscp1,main,1,t4b_window_margin_gate,0.5619607058352658,0.0475582781975441,0.0,0.0,0.0,0.0,0.0
natops,anchor,1,t3_shared_rebasis,0.7335235639182134,,,0.0,-0.005373306603487116,-0.005373306603487116,-0.0066538854347708565
natops,anchor,1,t4b_window_safety_only,0.7388968705217005,,,0.005373306603487116,0.0,0.0,-0.0012805788312837407
natops,anchor,1,t4b_window_radial_gate,0.7388968705217005,,,0.005373306603487116,0.0,0.0,-0.0012805788312837407
natops,anchor,1,t4b_window_margin_gate,0.7401774493529842,,,0.0066538854347708565,0.0012805788312837407,0.0012805788312837407,0.0
