dataset,seed,class_id,pooled_window_count_orig,pooled_window_count_feedback,pooled_window_count_total,ovr_negative_window_count,basis_cosine_to_old_shared,basis_angle_to_old_shared,inter_basis_cosine_mean,inter_basis_cosine_min,inter_basis_cosine_max,basis_mode,basis_solver_mode,routing_scope
basicmotions,1,0.0,63.0,45.0,108.0,362.0,0.057619878438111435,1.513144517144463,0.4657667002209256,0.0714778905742803,0.8688885516008824,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
basicmotions,1,1.0,72.0,54.0,126.0,344.0,0.3813564365237371,1.1795331485215517,0.4657667002209256,0.0714778905742803,0.8688885516008824,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
basicmotions,1,2.0,63.0,47.0,110.0,360.0,0.06687626303049375,1.5038701132170713,0.4657667002209256,0.0714778905742803,0.8688885516008824,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
basicmotions,1,3.0,72.0,54.0,126.0,344.0,0.48988309250018064,1.0588406797292973,0.4657667002209256,0.0714778905742803,0.8688885516008824,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
handmovementdirection,1,0.0,270.0,157.0,427.0,1250.0,0.043955958313921954,1.526826201416224,0.32895508737389134,0.09366266157212705,0.46770278815776395,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
handmovementdirection,1,1.0,270.0,136.0,406.0,1271.0,0.007501958540350173,1.5632942978851658,0.32895508737389134,0.09366266157212705,0.46770278815776395,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
handmovementdirection,1,2.0,270.0,172.0,442.0,1235.0,0.07302798054399638,1.4977032792266076,0.32895508737389134,0.09366266157212705,0.46770278815776395,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
handmovementdirection,1,3.0,270.0,132.0,402.0,1275.0,0.030161933932471227,1.5406298177248732,0.32895508737389134,0.09366266157212705,0.46770278815776395,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,0.0,96.0,34.0,130.0,868.0,0.06251308491918522,1.5082424544422377,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,1.0,88.0,53.0,141.0,857.0,0.5395445432902516,1.0009002612620173,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,2.0,88.0,22.0,110.0,888.0,0.18048237938578685,1.3893194644218525,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,3.0,88.0,19.0,107.0,891.0,0.181135696101312,1.388655199424495,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,4.0,88.0,37.0,125.0,873.0,0.2838423253005879,1.2829974457929578,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,5.0,88.0,31.0,119.0,879.0,0.2737147450517376,1.2935431654878866,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,6.0,96.0,40.0,136.0,862.0,0.4062057322470388,1.152498385436386,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
uwavegesturelibrary,1,7.0,88.0,42.0,130.0,868.0,0.17978954155731347,1.3900238243826826,0.4292151097579598,0.0008203604970042984,0.8825722675153419,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
epilepsy,1,0.0,200.0,132.0,332.0,1064.0,0.04051755758018146,1.530267674923669,0.32670637372929734,0.0069706499729667365,0.7695531908056779,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
epilepsy,1,1.0,224.0,162.0,386.0,1010.0,0.7364799659279143,0.7429444314465143,0.32670637372929734,0.0069706499729667365,0.7695531908056779,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
epilepsy,1,2.0,216.0,160.0,376.0,1020.0,0.8331650700423219,0.5859898733960716,0.32670637372929734,0.0069706499729667365,0.7695531908056779,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
epilepsy,1,3.0,176.0,126.0,302.0,1094.0,0.15702824793411396,1.4131154809822422,0.32670637372929734,0.0069706499729667365,0.7695531908056779,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
natops,1,0.0,115.0,86.0,201.0,977.0,0.05045962788579131,1.5203152611712965,0.20152024265672433,0.001581333604494223,0.8583676629315372,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
natops,1,1.0,110.0,82.0,192.0,986.0,0.004944265853821645,1.56585204079646,0.20152024265672433,0.001581333604494223,0.8583676629315372,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
natops,1,2.0,110.0,82.0,192.0,986.0,0.03142114007528824,1.5393700141352191,0.20152024265672433,0.001581333604494223,0.8583676629315372,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
natops,1,3.0,115.0,85.0,200.0,978.0,0.04411927552102929,1.5266627256167409,0.20152024265672433,0.001581333604494223,0.8583676629315372,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
natops,1,4.0,110.0,82.0,192.0,986.0,0.10298965451299971,1.4676237314417915,0.20152024265672433,0.001581333604494223,0.8583676629315372,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
natops,1,5.0,115.0,86.0,201.0,977.0,0.08534090630983193,1.4853514888633261,0.20152024265672433,0.001581333604494223,0.8583676629315372,class_conditioned_single_axis_ovr,ovr_fisher_single_axis,train_augmentation_only
