dataset,seed,class_id,safe_window_count_class,admitted_window_count_class,coverage_ratio_class,coverage_threshold_class,low_coverage_flag,effective_trigger
basicmotions,1,0.0,45.0,45.0,1.0,8.0,0.0,1.0
basicmotions,1,1.0,54.0,54.0,1.0,8.0,0.0,1.0
basicmotions,1,2.0,47.0,47.0,1.0,8.0,0.0,1.0
basicmotions,1,3.0,54.0,54.0,1.0,8.0,0.0,1.0
handmovementdirection,1,0.0,157.0,157.0,1.0,8.0,0.0,1.0
handmovementdirection,1,1.0,136.0,136.0,1.0,8.0,0.0,1.0
handmovementdirection,1,2.0,172.0,172.0,1.0,9.0,0.0,1.0
handmovementdirection,1,3.0,132.0,132.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,0.0,34.0,34.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,1.0,53.0,53.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,2.0,22.0,22.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,3.0,19.0,19.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,4.0,37.0,37.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,5.0,31.0,31.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,6.0,40.0,40.0,1.0,8.0,0.0,1.0
uwavegesturelibrary,1,7.0,42.0,42.0,1.0,8.0,0.0,1.0
epilepsy,1,0.0,132.0,132.0,1.0,8.0,0.0,1.0
epilepsy,1,1.0,162.0,162.0,1.0,9.0,0.0,1.0
epilepsy,1,2.0,160.0,160.0,1.0,8.0,0.0,1.0
epilepsy,1,3.0,126.0,126.0,1.0,8.0,0.0,1.0
natops,1,0.0,86.0,86.0,1.0,8.0,0.0,1.0
natops,1,1.0,82.0,82.0,1.0,8.0,0.0,1.0
natops,1,2.0,82.0,82.0,1.0,8.0,0.0,1.0
natops,1,3.0,85.0,85.0,1.0,8.0,0.0,1.0
natops,1,4.0,82.0,82.0,1.0,8.0,0.0,1.0
natops,1,5.0,86.0,86.0,1.0,8.0,0.0,1.0
