dataset,seed,mode,gamma_main,smooth_lambda,axis_count,window_len,hop_len,epochs,batch_size
basicmotions,1,baseline,0.05,0.5,1,20,10,3,32
basicmotions,1,t2a_default,0.05,0.5,1,20,10,3,32
basicmotions,1,t3_shared_rebasis,0.05,0.5,1,20,10,3,32
basicmotions,1,t4b_window_radial_gate,0.05,0.5,1,20,10,3,32
basicmotions,1,t7a_class_conditioned_rebasis,0.05,0.5,1,20,10,3,32
handmovementdirection,1,baseline,0.05,0.5,1,80,40,3,32
handmovementdirection,1,t2a_default,0.05,0.5,1,80,40,3,32
handmovementdirection,1,t3_shared_rebasis,0.05,0.5,1,80,40,3,32
handmovementdirection,1,t4b_window_radial_gate,0.05,0.5,1,80,40,3,32
handmovementdirection,1,t7a_class_conditioned_rebasis,0.05,0.5,1,80,40,3,32
uwavegesturelibrary,1,baseline,0.05,0.5,1,63,32,3,32
uwavegesturelibrary,1,t2a_default,0.05,0.5,1,63,32,3,32
uwavegesturelibrary,1,t3_shared_rebasis,0.05,0.5,1,63,32,3,32
uwavegesturelibrary,1,t4b_window_radial_gate,0.05,0.5,1,63,32,3,32
uwavegesturelibrary,1,t7a_class_conditioned_rebasis,0.05,0.5,1,63,32,3,32
epilepsy,1,baseline,0.05,0.5,1,41,21,3,32
epilepsy,1,t2a_default,0.05,0.5,1,41,21,3,32
epilepsy,1,t3_shared_rebasis,0.05,0.5,1,41,21,3,32
epilepsy,1,t4b_window_radial_gate,0.05,0.5,1,41,21,3,32
epilepsy,1,t7a_class_conditioned_rebasis,0.05,0.5,1,41,21,3,32
natops,1,baseline,0.05,0.5,1,28,5,3,32
natops,1,t2a_default,0.05,0.5,1,28,5,3,32
natops,1,t3_shared_rebasis,0.05,0.5,1,28,5,3,32
natops,1,t4b_window_radial_gate,0.05,0.5,1,28,5,3,32
natops,1,t7a_class_conditioned_rebasis,0.05,0.5,1,28,5,3,32
