dataset,seed,mode,trajectory_len_mean,step_change_mean,local_curvature_proxy,classwise_dispersion,transition_separation_proxy,continuity_distortion_ratio
basicmotions,1,baseline,9.0,2.020198667049408,2.911801830927531,2.3477965891361237,0.4861256778240204,1.0
basicmotions,1,t2a_default,9.0,2.021241897344589,2.9126592059930165,2.183558613061905,0.4861627519130707,1.001041390666575
basicmotions,1,t3_shared_rebasis,9.0,2.021726762255033,2.9129446764787037,2.1892284750938416,0.48695316910743713,1.0013743747005561
basicmotions,1,t4b_window_radial_gate,9.0,2.0628196933052756,2.973035045103593,2.1722617745399475,0.5123385190963745,1.000838716589397
basicmotions,1,t7a_class_conditioned_rebasis,9.0,2.020766222476959,2.912303924560547,2.1832480132579803,0.48642417788505554,1.0006203488867729
handmovementdirection,1,baseline,9.0,1.7566134403149287,2.6881076633930205,1.113635927438736,0.0847083106637001,1.0
handmovementdirection,1,t2a_default,9.0,1.7574214478333792,2.6888841797908145,1.0960952043533325,0.08481768518686295,1.000913036691629
handmovementdirection,1,t3_shared_rebasis,9.0,1.7574202363689742,2.688886292775472,1.096192181110382,0.0848022922873497,1.0009110826770382
handmovementdirection,1,t4b_window_radial_gate,9.0,1.7536017636716108,2.6824286273031523,1.0966648161411285,0.08622059971094131,1.0004169850813152
handmovementdirection,1,t7a_class_conditioned_rebasis,9.0,1.7568757514158884,2.6883863389492033,1.0952155888080597,0.08474394679069519,1.0002980349031592
uwavegesturelibrary,1,baseline,8.0,3.2885230355792574,4.772230156262716,2.3497440069913864,0.4449009895324707,1.0
uwavegesturelibrary,1,t2a_default,8.0,3.300351373354594,4.780286745230357,2.261578753590584,0.4491695761680603,1.0069170277561097
uwavegesturelibrary,1,t3_shared_rebasis,8.0,3.2958350870344373,4.778643663724264,2.2527613639831543,0.44689980149269104,1.0043622561176586
uwavegesturelibrary,1,t4b_window_radial_gate,8.0,3.284920055161482,4.7893455763283015,2.2535713464021683,0.45143499970436096,1.0031935813635993
uwavegesturelibrary,1,t7a_class_conditioned_rebasis,8.0,3.2930879837936824,4.7767526692814295,2.25191667675972,0.4450109302997589,1.0027999271192733
epilepsy,1,baseline,8.0,0.9751739382159477,1.338478491002438,2.2954298853874207,0.10814105719327927,1.0
epilepsy,1,t2a_default,8.0,0.9785552406866177,1.3411432771998293,2.2677702605724335,0.10902655869722366,1.0060674905042863
epilepsy,1,t3_shared_rebasis,8.0,0.9785502997099185,1.341130299457148,2.26787868142128,0.10902518033981323,1.006052633166811
epilepsy,1,t4b_window_radial_gate,8.0,0.9850597447053545,1.3489937239644156,2.252666860818863,0.113224558532238,1.010971766185281
epilepsy,1,t7a_class_conditioned_rebasis,8.0,0.9780378819388502,1.3409415907135196,2.2598342299461365,0.10888102650642395,1.0053782725280793
natops,1,baseline,5.0,3.2731580204433866,4.577633928369592,6.626492102940877,0.861331582069397,1.0
natops,1,t2a_default,5.0,3.2733727627330356,4.577777869613082,6.478785753250122,0.8614986538887024,1.000136821937273
natops,1,t3_shared_rebasis,5.0,3.274394265369133,4.5782121071109065,6.4828150272369385,0.8628184795379639,1.0006977231210752
natops,1,t4b_window_radial_gate,5.0,3.267821672889921,4.563411209318373,6.4782945315043134,0.8351513147354126,1.000330804975176
natops,1,t7a_class_conditioned_rebasis,5.0,3.2731923584584837,4.577668045626746,6.476924498875936,0.8613431453704834,1.0000245920417659
