dataset,seed,mode,test_macro_f1,delta_vs_baseline,delta_vs_t2a_default,delta_vs_t3_shared_rebasis,delta_vs_t4b_window_radial_gate,delta_vs_t6b_reference
basicmotions,1,baseline,0.7109226755218216,0.0,-0.028648474575644234,-0.028648474575644234,-0.12736870510365506,
basicmotions,1,t2a_default,0.7395711500974659,0.028648474575644234,0.0,0.0,-0.09872023052801082,
basicmotions,1,t3_shared_rebasis,0.7395711500974659,0.028648474575644234,0.0,0.0,-0.09872023052801082,
basicmotions,1,t4b_window_radial_gate,0.8382913806254767,0.12736870510365506,0.09872023052801082,0.09872023052801082,0.0,
basicmotions,1,t7a_class_conditioned_rebasis,0.7611673414304994,0.05024466590867771,0.021596191333033476,0.021596191333033476,-0.07712403919497735,
handmovementdirection,1,baseline,0.20421308273058442,0.0,-0.0498720740594043,-0.0498720740594043,-0.06169370551662934,
handmovementdirection,1,t2a_default,0.2540851567899887,0.0498720740594043,0.0,0.0,-0.011821631457225035,
handmovementdirection,1,t3_shared_rebasis,0.2540851567899887,0.0498720740594043,0.0,0.0,-0.011821631457225035,
handmovementdirection,1,t4b_window_radial_gate,0.26590678824721375,0.06169370551662934,0.011821631457225035,0.011821631457225035,0.0,
handmovementdirection,1,t7a_class_conditioned_rebasis,0.2540851567899887,0.0498720740594043,0.0,0.0,-0.011821631457225035,
uwavegesturelibrary,1,baseline,0.2808597659837164,0.0,-0.06752115496859734,-0.07207888678636853,-0.10720195131340654,
uwavegesturelibrary,1,t2a_default,0.34838092095231377,0.06752115496859734,0.0,-0.004557731817771193,-0.0396807963448092,
uwavegesturelibrary,1,t3_shared_rebasis,0.35293865277008496,0.07207888678636853,0.004557731817771193,0.0,-0.035123064527038006,
uwavegesturelibrary,1,t4b_window_radial_gate,0.38806171729712297,0.10720195131340654,0.0396807963448092,0.035123064527038006,0.0,
uwavegesturelibrary,1,t7a_class_conditioned_rebasis,0.34633686043244355,0.06547709444872712,-0.0020440605198702166,-0.00660179233764141,-0.041724856864679416,
epilepsy,1,baseline,0.6104066729066728,0.0,-0.11196591803481226,-0.11196591803481226,0.05507640103871969,
epilepsy,1,t2a_default,0.7223725909414851,0.11196591803481226,0.0,0.0,0.16704231907353195,
epilepsy,1,t3_shared_rebasis,0.7223725909414851,0.11196591803481226,0.0,0.0,0.16704231907353195,
epilepsy,1,t4b_window_radial_gate,0.5553302718679531,-0.05507640103871969,-0.16704231907353195,-0.16704231907353195,0.0,
epilepsy,1,t7a_class_conditioned_rebasis,0.7266620168599788,0.11625534395330595,0.004289425918493683,0.004289425918493683,0.17133174499202564,
natops,1,baseline,0.6856807630081206,0.0,-0.04784280091009274,-0.04784280091009274,-0.04800248568281629,
natops,1,t2a_default,0.7335235639182134,0.04784280091009274,0.0,0.0,-0.0001596847727235451,
natops,1,t3_shared_rebasis,0.7335235639182134,0.04784280091009274,0.0,0.0,-0.0001596847727235451,
natops,1,t4b_window_radial_gate,0.7336832486909369,0.04800248568281629,0.0001596847727235451,0.0001596847727235451,0.0,
natops,1,t7a_class_conditioned_rebasis,0.7335235639182134,0.04784280091009274,0.0,0.0,-0.0001596847727235451,
