dataset,seed,arm,terminal,train_macro_f1,val_macro_f1,test_macro_f1
natops,1,baseline_0,dynamic_gru,1.0,0.9790849673202615,0.8286955114786415
natops,1,mean_centered,dynamic_gru,1.0,0.9361111111111112,0.7836666189541989
natops,1,c0_unweighted_a2r,dynamic_gru,1.0,0.9790849673202615,0.8231285890549479
natops,1,c3lr_r1_global_a2r,dynamic_gru,1.0,0.9790849673202615,0.7945518608722546
natops,1,b3_r1_continuous_geom,dynamic_gru,1.0,0.9790849673202615,0.782916410562979
natops,1,c3lr_r4_global_a2r,dynamic_gru,1.0,0.9790849673202615,0.8233096409695645
natops,1,b3_r4_continuous_geom,dynamic_gru,1.0,0.9790849673202615,0.8286955114786415
natops,2,baseline_0,dynamic_gru,0.9776094276094276,0.8834805717158658,0.7816789679326662
natops,2,mean_centered,dynamic_gru,0.9776094276094276,0.8834805717158658,0.7816789679326662
natops,2,c0_unweighted_a2r,dynamic_gru,0.9776094276094276,0.8834805717158658,0.7928269318169486
natops,2,c3lr_r1_global_a2r,dynamic_gru,0.9851778656126483,0.8834805717158658,0.7747872374686517
natops,2,b3_r1_continuous_geom,dynamic_gru,1.0,0.8835622710622711,0.8508414234032462
natops,2,c3lr_r4_global_a2r,dynamic_gru,0.9776094276094276,0.8834805717158658,0.7934424946215661
natops,2,b3_r4_continuous_geom,dynamic_gru,0.9776094276094276,0.8834805717158658,0.7866457302393276
natops,3,baseline_0,dynamic_gru,1.0,0.8890711412770237,0.82889754948756
natops,3,mean_centered,dynamic_gru,1.0,0.8643518518518518,0.8013019210722595
natops,3,c0_unweighted_a2r,dynamic_gru,1.0,0.8643518518518518,0.7958374401979426
natops,3,c3lr_r1_global_a2r,dynamic_gru,1.0,0.8643518518518518,0.817279491216696
natops,3,b3_r1_continuous_geom,dynamic_gru,1.0,0.8330387205387205,0.793997354144948
natops,3,c3lr_r4_global_a2r,dynamic_gru,1.0,0.8890711412770237,0.8226245315468746
natops,3,b3_r4_continuous_geom,dynamic_gru,1.0,0.8643518518518518,0.7952518344316863
