dataset,seed,arm,fit_window_count,fit_trial_count,operator_norm_mean,operator_norm_p95,operator_to_step_ratio_mean,local_step_distortion_ratio_mean,local_step_distortion_ratio_p95,operator_direction_stability,response_vs_margin_correlation,activation_coverage_ratio,preactivation_clip_rate,response_centering_std_after_fix,gate_saturation_ratio,budget_scale_factor,template_mean_direction_cosine,local_pair_axis_router_cosine_mean,local_template_direction_cosine_mean,local_pool_same_count_mean,local_pool_opp_count_mean,local_same_weight_mass_mean,local_opp_weight_mass_mean,local_operator_fit_count,local_operator_runtime_seconds,router_mode,local_topk,applied_window_count_total
fingermovements,1,f1_global_mainline,128,25,0.18346433383960226,0.4740506215292316,0.07574446670169344,1.001724449175047,1.0075752792331876,0.9999999999990001,0.05301118990362596,0.09994939271255061,0.01847165991902834,0.5287649368348691,0.005060728744939271,2.2989208060655573,0.05071824383622674,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,7904
fingermovements,1,p1a_s1_offline_local_wls,64,25,0.1757959065420054,0.5604897929223908,0.07049353908916084,1.001780670627135,1.0087499523982744,0.7376369427038549,-0.04250930211423515,0.00860323886639676,0.0,0.2504150495078973,0.0006325910931174089,5.035661069487847,-0.03264169905629717,-0.19460103026509684,-0.03264169905629717,4.0,4.0,0.9999999949132818,0.9999999949236995,7904,11.840863204444759,nearest_prototype_frozen_geometry,4,7904
natops,1,f1_global_mainline,384,58,0.09147292293910501,0.34819963234277357,0.07660159939983027,1.0022869137580162,1.0090764276952473,0.999999999999,-0.06181198789561836,0.001388888888888889,0.010532407407407407,0.1958754481822904,0.00011574074074074075,5.94003135597131,0.08608425128425212,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,8640
natops,1,p1a_s1_offline_local_wls,192,58,0.07991939114162294,0.3143842118769329,0.07294284488797312,1.0019672284029255,1.0101977395437998,0.888566076916757,0.10723684931304416,0.013425925925925926,0.0,0.2771846542880348,0.0032407407407407406,5.564782509614812,0.2319444440698389,0.36329252250325667,0.2319444440698389,4.0,4.0,0.9999999949046506,0.999999994896741,8640,13.691310681286268,nearest_prototype_frozen_geometry,4,8640
basicmotions,1,f1_global_mainline,256,22,0.03774682114021858,0.13148254824742617,0.07511368382834349,1.004114277897702,1.0157303446295756,0.9999999999989997,-0.10971168208999005,0.004166666666666667,0.02345679012345679,0.27624548722944703,0.0,3.8935471165849225,0.05012195782235801,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,6480
basicmotions,1,p1a_s1_offline_local_wls,128,22,0.04699811168234292,0.19356134258470276,0.08853978429349915,1.005255554377368,1.0240401548459919,0.9664419606289593,-0.17090256605846102,0.04552469135802469,0.0,0.46200451276273735,0.010030864197530864,3.8605777110260813,0.02006140594660016,0.8901757440349918,0.02006140594660016,4.0,4.0,0.9999999949500361,0.9999999949788777,6480,8.705030629294924,nearest_prototype_frozen_geometry,4,6480
handmovementdirection,1,f1_global_mainline,256,31,0.011208757949094306,0.024773168534910864,0.0695451629031186,1.001069998759029,1.005079648033805,0.9999999999989999,0.006307525662350806,0.1984583433181564,0.016574806294432462,0.7885607404525844,0.02703890087067657,1.4772815965584625,-0.0015277337751169462,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,75114
handmovementdirection,1,p1a_s1_offline_local_wls,128,31,0.011691033209453928,0.030494811776260046,0.07236028850568417,1.001024927852483,1.006737737954277,0.8982530889950766,-0.08726197995974691,0.0073488297787363205,0.0,0.3232594563920809,0.000625715578986607,3.2293432915356037,-0.04254865934544859,-0.024474450912379826,-0.04254865934544859,4.0,4.0,0.9999999949583286,0.9999999949419868,75114,102.85512742307037,nearest_prototype_frozen_geometry,4,75114
uwavegesturelibrary,1,f1_global_mainline,512,53,0.018574120523962963,0.0480156224307218,0.6271616364061781,2.9626351124572485,1.0174998784016362,0.999999999999,0.050362458330944895,0.24882321236076177,0.021424721523535754,0.8856742166481603,0.04530183255479698,2.5156989214115097,-0.1152263980845448,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,111320
uwavegesturelibrary,1,p1a_s1_offline_local_wls,256,53,0.006619016480455422,0.017444890276461185,0.7380784034179524,3.486187514884038,1.009556366102722,0.9242304779078662,0.050347129929138576,0.3023895077254761,0.0,1.7736632819663547,0.12488321954725116,0.869365657629526,-0.05183256391785447,0.15774188684829232,-0.05183256391785447,4.0,4.0,0.999999994876138,0.9999999948131287,111320,160.39614409860224,nearest_prototype_frozen_geometry,4,111320
epilepsy,1,f1_global_mainline,256,29,0.009465233252832436,0.0346279360356289,0.07890839722052195,1.0035504152245474,1.020355874478588,0.9999999999989998,-0.15106520328059805,0.0636144578313253,0.017130339539978095,0.5557499630769537,0.014742606790799561,2.9230354991840923,-0.14510084647853091,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,45650
epilepsy,1,p1a_s1_offline_local_wls,128,29,0.008713314681095851,0.0331715753802756,0.0751058520028112,1.002388663735723,1.024274422659855,0.9647888720981233,-0.045446548079063155,0.13347207009857612,0.0,0.8435746629642558,0.04061336254107339,2.676725387668776,-0.08630887158560953,0.405423404790618,-0.08630887158560953,4.0,4.0,0.9999999949541395,0.999999994942789,45650,60.48066667013336,nearest_prototype_frozen_geometry,4,45650
