dataset,phase,config_id,seed,operator_mode,gamma_main,smooth_lambda,axis_count,basis_reused,window_len,hop_len,epochs,batch_size
selfregulationscp1,baseline,scp1_baseline,1,baseline,0.1,0.0,1,True,179,90,3,32
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g005_l050,1,operator_smoothed,0.05,0.5,1,True,179,90,3,32
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g008_l050,1,operator_smoothed,0.08,0.5,1,True,179,90,3,32
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g010_l050,1,operator_smoothed,0.1,0.5,1,True,179,90,3,32
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g012_l050,1,operator_smoothed,0.12,0.5,1,True,179,90,3,32
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g015_l050,1,operator_smoothed,0.15,0.5,1,True,179,90,3,32
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l000,1,operator_unsmoothed,0.1,0.0,1,True,179,90,3,32
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l025,1,operator_smoothed,0.1,0.25,1,True,179,90,3,32
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l050,1,operator_smoothed,0.1,0.5,1,True,179,90,3,32
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l075,1,operator_smoothed,0.1,0.75,1,True,179,90,3,32
natops,natops_anchor,natops_baseline,1,baseline,0.1,0.0,1,True,28,5,3,32
natops,natops_anchor,natops_formal_best_g010_l050,1,operator_smoothed,0.1,0.5,1,True,28,5,3,32
natops,natops_anchor,natops_candidate_g012_l050,1,operator_smoothed,0.12,0.5,1,True,28,5,3,32
