dataset,phase,config_id,seed,trajectory_len_mean,step_change_mean,local_curvature_proxy,classwise_dispersion,transition_separation_proxy,continuity_distortion_ratio
selfregulationscp1,baseline,scp1_baseline,1,8.0,1.1183780129276104,1.6809517945816268,0.8313723802566528,0.08121607452630997,1.0
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g005_l050,1,8.0,1.1227439363204426,1.6847907924533483,0.8363214433193207,0.08134962618350983,1.0077427068087528
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g008_l050,1,8.0,1.1254048977621751,1.6871226901438698,0.8418927490711212,0.08143158257007599,1.0124627187545634
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g010_l050,1,8.0,1.1271957264314243,1.688688995529763,0.8456499874591827,0.08148696273565292,1.0156396903645741
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g012_l050,1,8.0,1.1289998264751624,1.690264572848135,0.8494407534599304,0.0815429538488388,1.0188405171984327
selfregulationscp1,phase_a_gamma,scp1_phaseA_gamma_g015_l050,1,8.0,1.1317304651535565,1.6926451547821957,0.855188250541687,0.08162806928157806,1.0236857822690868
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l000,1,8.0,1.1362961592958933,1.7058703558361945,0.8456499874591827,0.08143741637468338,1.0317460595766437
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l025,1,8.0,1.1317022783839288,1.6971971959023926,0.8456499874591827,0.08146213740110397,1.0236149992182413
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l050,1,8.0,1.1271957264314243,1.688688995529763,0.8456499874591827,0.08148696273565292,1.0156396903645741
selfregulationscp1,phase_a_smooth,scp1_phaseA_smooth_g010_l075,1,8.0,1.1227795201451032,1.6803531771275535,0.8456499874591827,0.08151192963123322,1.007825434645647
natops,natops_anchor,natops_baseline,1,5.0,3.2731580204433866,4.577633928369592,6.626492102940877,0.861331582069397,1.0
natops,natops_anchor,natops_formal_best_g010_l050,1,5.0,3.2735950770201505,4.5779250100806905,6.481691122055054,0.8616694808006287,1.000278508038829
natops,natops_anchor,natops_candidate_g012_l050,1,5.0,3.2736861171545804,4.577984752036907,6.4829048315684,0.8617388010025024,1.0003365430534035
