dataset,method,n_seeds,tangent_available_rate_mean,tangent_available_rate_std,selected_alignment_mean_mean,selected_alignment_mean_std,random_alignment_mean_mean,random_alignment_mean_std,pca_alignment_mean_mean,pca_alignment_mean_std,selected_minus_random_alignment_mean,selected_minus_random_alignment_std,selected_minus_pca_alignment_mean,selected_minus_pca_alignment_std,selected_normal_leakage_mean_mean,selected_normal_leakage_mean_std,random_normal_leakage_mean_mean,random_normal_leakage_mean_std,pca_normal_leakage_mean_mean,pca_normal_leakage_mean_std,fallback_count_mean,fallback_count_std,insufficient_neighbor_count_mean,insufficient_neighbor_count_std,top1_alignment_mean_mean,top1_alignment_mean_std,top5_alignment_mean_mean,top5_alignment_mean_std,top5_alignment_std_mean_mean,top5_alignment_std_mean_std,selected_alignment_rank_within_top5_mean_mean,selected_alignment_rank_within_top5_mean_std,selected_alignment_minus_top5_mean_mean,selected_alignment_minus_top5_mean_std,top5_response_mean_mean,top5_response_mean_std,top5_response_std_mean_mean,top5_response_std_mean_std
atrialfibrillation,csta_top1_current,3,1.0,0.0,0.7162617154203378,0.11908022349239292,0.49868588133933806,0.046367021401064176,0.48238179872843734,0.09065886626171826,0.21757583408099954,0.10569538399251054,0.23387991669190025,0.18971085276090474,0.28373828457966227,0.11908022349239294,0.5013141186606619,0.04636702140106419,0.5176182012715627,0.09065886626171824,0.0,0.0,0.0,0.0,0.7162617154203378,0.11908022349239303,0.5868890882140546,0.07555473111127396,0.18797532149918283,0.05242828515214846,2.2777777777777777,0.1272937693043289,0.12937262720628298,0.04519764753089809,0.8667083685500622,0.0684332265517316,0.2092462565196437,0.04075184845885617
atrialfibrillation,csta_topk_uniform_top5,3,1.0,0.0,0.5448714887633154,0.060812561180803484,0.49868588133933806,0.046367021401064176,0.48238179872843734,0.09065886626171826,0.0461856074239772,0.04136364272214098,0.062489690034878,0.1250145129554001,0.4551285112366846,0.06081256118080353,0.5013141186606619,0.04636702140106419,0.5176182012715627,0.09065886626171824,0.0,0.0,0.0,0.0,0.7162617154203378,0.11908022349239303,0.5868890882140546,0.07555473111127396,0.18797532149918283,0.05242828515214846,2.3333333333333335,0.3333333333333333,-0.04201759945073923,0.0346043358050551,0.8667083685500622,0.0684332265517316,0.2092462565196437,0.04075184845885617
atrialfibrillation,pca_cov_state,3,1.0,0.0,,,,,0.48238179872843734,0.09065886626171826,,,,,,,,,0.5176182012715627,0.09065886626171824,0.0,0.0,0.0,0.0,0.7162617154203378,0.11908022349239297,0.5868890882140546,0.075554731111274,0.18797532149918283,0.05242828515214846,,,,,0.8667083685500622,0.06843322655173133,0.2092462565196437,0.04075184845885617
atrialfibrillation,random_cov_state,3,1.0,0.0,,,0.49868588133933806,0.046367021401064176,,,,,,,,,0.5013141186606619,0.04636702140106419,,,0.0,0.0,0.0,0.0,0.7162617154203378,0.11908022349239297,0.5868890882140546,0.075554731111274,0.18797532149918283,0.05242828515214846,,,,,0.8667083685500622,0.06843322655173133,0.2092462565196437,0.04075184845885617
ering,csta_top1_current,3,1.0,0.0,0.18282353260984932,0.006530044253581467,0.1965807195899504,0.0020081263075531234,0.1902777777772069,0.00636468846519736,-0.013757186980101066,0.008430991038516552,-0.007454245167357566,0.012526438561364043,0.8171764673901506,0.006530044253581508,0.8034192804100496,0.002008126307553072,0.809722222222793,0.006364688465197431,0.0,0.0,0.0,0.0,0.1828235326098493,0.006530044253581519,0.18645843904137957,0.01518615380053705,0.12974499426835093,0.01082503446770532,3.069444444444444,0.12028130608117192,-0.0036349064315302003,0.008825294603200235,0.593450963012902,0.017712749860685464,0.18955408083183375,0.029370768331696103
ering,csta_topk_uniform_top5,3,1.0,0.0,0.17793313602608452,0.015214196065125698,0.1965807195899504,0.0020081263075531234,0.1902777777772069,0.00636468846519736,-0.0186475835638658,0.014719618018044264,-0.012344641751122301,0.009688920322817651,0.8220668639739154,0.015214196065125772,0.8034192804100496,0.002008126307553072,0.809722222222793,0.006364688465197431,0.0,0.0,0.0,0.0,0.1828235326098493,0.006530044253581519,0.18645843904137957,0.01518615380053705,0.12974499426835093,0.01082503446770532,3.1805555555555554,0.15774745405000742,-0.008525303015295,0.026262478730759056,0.593450963012902,0.017712749860685464,0.18955408083183375,0.029370768331696103
ering,pca_cov_state,3,1.0,0.0,,,,,0.1902777777772069,0.00636468846519736,,,,,,,,,0.809722222222793,0.006364688465197431,0.0,0.0,0.0,0.0,0.18282353260984932,0.006530044253581467,0.18645843904137957,0.01518615380053705,0.12974499426835093,0.01082503446770532,,,,,0.593450963012902,0.017712749860685353,0.18955408083183375,0.029370768331696103
ering,random_cov_state,3,1.0,0.0,,,0.1965807195899504,0.0020081263075531234,,,,,,,,,0.8034192804100496,0.002008126307553072,,,0.0,0.0,0.0,0.0,0.18282353260984932,0.006530044253581467,0.18645843904137957,0.01518615380053705,0.12974499426835093,0.01082503446770532,,,,,0.593450963012902,0.017712749860685353,0.18955408083183375,0.029370768331696103
handmovementdirection,csta_top1_current,3,1.0,0.0,0.24044949052272027,0.01524846283247137,0.10956368187173122,0.0018460445302139316,0.256390759131466,0.005175468146759891,0.13088580865098906,0.01679268149910463,-0.0159412686087456,0.010630336512690592,0.7595505094772795,0.015248462832471362,0.8904363181282688,0.001846044530213935,0.7436092408685339,0.005175468146759868,0.0,0.0,0.0,0.0,0.24044949052272027,0.01524846283247137,0.23875974602464853,0.00546377573089477,0.09209594322628023,0.005079016209556107,2.9713541666666665,0.1317358319785597,0.0016897444980718001,0.0114151953959635,0.2803253269317489,0.002558547190140337,0.08945885407261596,0.0005477084337427258
handmovementdirection,csta_topk_uniform_top5,3,1.0,0.0,0.23085510575271417,0.005102412473583658,0.10956368187173122,0.0018460445302139316,0.256390759131466,0.005175468146759891,0.12129142388098296,0.004713594366585802,-0.0255356533787517,0.010236208897372593,0.7691448942472857,0.005102412473583727,0.8904363181282688,0.001846044530213935,0.7436092408685339,0.005175468146759868,0.0,0.0,0.0,0.0,0.24044949052272027,0.01524846283247137,0.23875974602464853,0.00546377573089477,0.09209594322628023,0.005079016209556107,3.078125,0.0900981452708656,-0.007904640271934235,0.010555289570446746,0.2803253269317489,0.002558547190140337,0.08945885407261596,0.0005477084337427258
handmovementdirection,pca_cov_state,3,1.0,0.0,,,,,0.256390759131466,0.005175468146759891,,,,,,,,,0.7436092408685339,0.005175468146759868,0.0,0.0,0.0,0.0,0.24044949052272027,0.01524846283247137,0.23875974602464853,0.005463775730894812,0.09209594322628023,0.005079016209556107,,,,,0.28032532693174894,0.002558547190140342,0.08945885407261596,0.0005477084337427258
handmovementdirection,random_cov_state,3,1.0,0.0,,,0.10956368187173122,0.0018460445302139316,,,,,,,,,0.8904363181282688,0.001846044530213935,,,0.0,0.0,0.0,0.0,0.24044949052272027,0.01524846283247137,0.23875974602464853,0.005463775730894812,0.09209594322628023,0.005079016209556107,,,,,0.28032532693174894,0.002558547190140342,0.08945885407261596,0.0005477084337427258
handwriting,csta_top1_current,3,0.9333333333333332,0.0,0.424890335029414,0.01934002842180464,0.3061799219656312,0.004301561242017866,0.2919721598589774,0.02741726309769599,0.11871041306378276,0.023077378160469807,0.13291817517043658,0.04674362168228837,0.5751096649705859,0.01934002842180456,0.6938200780343688,0.0043015612420178526,0.7080278401410225,0.027417263097695935,20.0,0.0,20.0,0.0,0.424890335029414,0.019340028421804527,0.3330202812355872,0.03006903479058552,0.2049629896318852,0.021939885913905617,2.4464285714285716,0.23419423301078604,0.0918700537938268,0.046110538183473576,0.3731241901513746,0.016666349965102342,0.11691112632561956,0.010179001957307638
