anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,1,libras_train_165,13,0.011926167216333168,0.011926167216333168,0.9999999999989999,0.23106079647401606,3,0.00012627421678677463,0.004717050612190617,1.0068428083086784,0.013277202971518484,-0.17093339562416077,1.0,2.702997922897339,2.702993392944336,-4.5299530029296875e-06,0.5854666978120804,0.0,1.0,0.0,0.7,0.9952940571988163,0.6967058400384745,1,1
1,2,libras_train_0,0,0.07737863022856271,0.07737863022856271,0.9999999999989999,0.7422443372627803,3,0.00012933247186898284,0.016165714706639793,1.081559674714147,0.11250704753390388,-0.3473752439022064,1.0,2.702648401260376,2.7026305198669434,-1.7881393432617188e-05,0.6736876219511032,0.0,1.0,0.0,0.7,0.9839642491971389,0.6887749744373083,1,1
2,1,libras_train_135,11,0.060312865644890266,0.060312865644890266,0.9999999999989999,0.35068275469943094,3,0.00012409800992337004,0.00473209484829732,1.0404100753571328,0.06260562058944392,-0.21134573221206665,1.0,2.7027859687805176,2.702775239944458,-1.0728836059570312e-05,0.6056728661060333,0.0,1.0,0.0,0.7,0.9952790838726556,0.6966953587101621,1,1
3,2,libras_train_83,6,0.04619936098379267,0.04619936098379267,0.9999999999989999,0.49634075250427623,3,0.00013083749000425638,0.8315328709664794,1.090104320869953,0.1266199514339966,-0.399959921836853,1.0,2.7028987407684326,2.7028982639312744,-4.76837158203125e-07,0.6999799609184265,0.0,1.0,0.0,0.7,0.43538139105998586,0.30476697374168527,1,1
4,0,libras_train_132,11,0.10933185841377199,0.10933185841377199,0.9999999999989999,0.3199866763375561,3,0.00012299863526603225,0.014187872336831008,1.0886054850027442,0.12438759922017886,-0.6287391185760498,1.0,2.702845811843872,2.7028162479400635,-2.956390380859375e-05,0.8143695592880249,0.0,1.0,0.0,0.7,0.9859123012144451,0.6901386108494213,1,1
5,0,libras_train_35,2,0.08813329708150569,0.08813329708150569,0.9999999999989999,0.9592328082085517,3,0.000134783518177165,0.19929938159689076,1.1356041706259237,0.19343686953733333,-0.6043382883071899,1.0,2.70277738571167,2.702782154083252,4.76837158203125e-06,0.802169144153595,4.76837158203125e-06,1.0,0.625,0.8875,0.8193045719013212,0.7271328075616953,1,1
6,3,libras_train_108,9,0.1674441303171757,0.1674441303171757,0.9999999999989999,0.6866063710699176,3,0.00013783181748641343,0.02354042119814815,1.1296682153796023,0.19956740723505406,-0.07031267881393433,1.0,2.702714204788208,2.702714681625366,4.76837158203125e-07,0.5351563394069672,4.76837158203125e-07,1.0,1.0,1.0,0.9767344930924196,0.9767344930914428,1,1
7,2,libras_train_37,3,0.1734251301635148,0.1734251301635148,0.9999999999989999,0.5197512218912642,3,0.00013449772489158415,0.01387496116926613,1.1881445770749017,0.25150785155068,-0.18315522372722626,1.0,2.7023682594299316,2.702380895614624,1.2636184692382812e-05,0.5915776118636131,1.2636184692382812e-05,0.9549157570621712,1.0,0.9684410299435199,0.9862208524557816,0.9550967381030981,1,1
8,0,libras_train_106,8,0.038081600066103824,0.038081600066103824,0.9999999999989999,1.4100926310571287,3,0.00012445413006486084,0.6363270879456309,1.0241100623998585,0.04217514770680748,-0.11971959471702576,1.0,2.7027969360351562,2.7027969360351562,0.0,0.5598597973585129,0.0,1.0,0.0,0.7,0.529232683763932,0.3704628786343818,1,1
9,2,libras_train_124,10,0.007868881626511084,0.007868881626511084,0.9999999999989999,0.3574865020829438,3,0.00012645569214515785,0.008522399374042118,1.0023061416371495,0.008167599252671787,-0.25601041316986084,1.0,2.7028000354766846,2.7027993202209473,-7.152557373046875e-07,0.6280052065849304,0.0,1.0,0.0,0.7,0.9915138133254552,0.6940596693271244,1,1
10,0,libras_train_114,9,0.007114896208297716,0.007114896208297716,0.9999999999989999,0.24304432248291855,3,0.00012695664193863876,0.00869092636026769,1.0049435775380888,0.007573277686590499,-0.003968099132180214,1.0,2.702800989151001,2.702800989151001,0.0,0.5019840495660901,0.0,0.8250832697804621,0.0,0.5775582888463234,0.9913467305700665,0.5725605213608722,1,1
11,0,libras_train_17,1,0.061579646561668096,0.061579646561668096,0.9999999999989999,0.481252503091469,3,0.00012202757619201198,0.3026381003278845,1.0512422244949897,0.08441928042187336,-0.1584092676639557,1.0,2.702737808227539,2.702730894088745,-6.9141387939453125e-06,0.5792046338319778,0.0,1.0,0.0,0.7,0.7388664435147879,0.5172065104598342,1,1
12,1,libras_train_169,14,0.10478926933316796,0.10478926933316796,0.9999999999989999,0.3105418781001063,3,0.00011942563335345691,0.009839424395955677,1.061222858147721,0.10885374615465507,-0.05706673860549927,1.0,2.702255964279175,2.702241897583008,-1.4066696166992188e-05,0.5285333693027496,0.0,0.9999982530005938,0.0,0.6999987771004156,0.9902088243639218,0.6931449661280922,1,1
13,2,libras_train_88,7,0.08424743995301186,0.08424743995301186,0.9999999999989999,1.1825086474819217,3,0.00013100422595565693,0.9564606162842194,1.2309198931631966,0.28931373882820977,0.15450957417488098,0.0,2.702542543411255,2.702545166015625,2.6226043701171875e-06,0.4227452129125595,2.6226043701171875e-06,1.0,0.24444444444444444,0.7733333333333333,0.3842504919476023,0.29715371377251526,1,1
14,1,libras_train_15,1,0.05544136988070923,0.05544136988070923,0.9999999999989999,0.25961682541354303,3,0.0001252140095079563,0.3413393344315099,1.103265744049597,0.13855328492778637,-0.1380031406879425,1.0,2.7029073238372803,2.7029056549072266,-1.6689300537109375e-06,0.5690015703439713,0.0,1.0,0.0,0.7,0.7108176623698479,0.49757236365839586,1,1
15,1,libras_train_13,1,0.08039224602124444,0.08039224602124444,0.9999999999989999,0.27288697280087565,3,0.0001230101327276395,0.33802010760664497,1.0861424696363293,0.12139885344867714,-0.23890721797943115,1.0,2.702564001083374,2.7025649547576904,9.5367431640625e-07,0.6194536089897156,9.5367431640625e-07,1.0,0.1111111111111111,0.7333333333333333,0.7131809473921493,0.5229993614203864,1,1
16,0,libras_train_41,3,0.17674736600272384,0.17674736600272384,0.9999999999989999,0.5027141597603182,3,0.00013498364982223956,0.03363263036802984,1.211840105798899,0.27847810870782896,-0.06540658324956894,1.0,2.7018167972564697,2.701887607574463,7.081031799316406e-05,0.5327032916247845,7.081031799316406e-05,0.8320212363467319,1.0,0.8824148654427123,0.9669266588878871,0.853230457594673,1,1
17,3,libras_train_82,6,0.18632119131493668,0.18632119131493668,0.9999999999989999,0.7377406265761118,3,0.00014219521516635749,0.55443079641895,1.3699518099523047,0.4513754957613587,-0.3272536098957062,1.0,2.7028889656066895,2.70288348197937,-5.4836273193359375e-06,0.6636268049478531,0.0,1.0,0.0,0.7,0.5743991181985536,0.40207938273858534,1,1
18,0,libras_train_136,11,0.06983378145289144,0.06183575644815589,0.8854705439344895,0.12367151289808274,3,0.00013007107488936497,0.006825611747313674,1.0504401448294542,0.07442468900956319,-0.05307779461145401,1.0,2.7029836177825928,2.702995777130127,1.2159347534179688e-05,0.526538897305727,1.2159347534179688e-05,0.7194506279556105,0.7586206896551724,0.7312016464654791,0.9931976298311544,0.6430532739045136,1,1
19,3,libras_train_72,6,0.12517179932634576,0.12517179932634576,0.9999999999989999,0.3832318385281891,3,0.0001419032597000329,0.46204829352791016,1.0981267756819517,0.1903830508288612,-0.28584760427474976,1.0,2.7024283409118652,2.7024452686309814,1.6927719116210938e-05,0.6429238021373749,1.6927719116210938e-05,0.8815929064251045,1.0,0.9171150344975731,0.6299919146751319,0.577775056559898,1,1
20,0,libras_train_149,12,0.07309567969346505,0.07309567969346505,0.9999999999989999,0.32375341466116975,3,0.00013045433678260244,0.014453598405378116,1.0589372244901567,0.086403766509494,-0.29783469438552856,1.0,2.7026278972625732,2.7026336193084717,5.7220458984375e-06,0.6489173471927643,5.7220458984375e-06,1.0,1.0,1.0,0.9856503534194313,0.9856503534184455,1,1
21,2,libras_train_167,13,0.056447807370106254,0.056447807370106254,0.9999999999989999,0.406750188812546,3,0.00013332496577768752,0.05351862545176367,1.0171715489444364,0.06015399465603969,-0.3376781940460205,1.0,2.7027511596679688,2.702753782272339,2.6226043701171875e-06,0.6688390970230103,2.6226043701171875e-06,1.0,1.0,1.0,0.9478882859918393,0.9478882859908913,1,1
22,2,libras_train_131,10,0.10659761880630803,0.10659761880630803,0.9999999999989999,0.5094517343692553,3,0.00011656363526022375,0.015357520133787154,1.030888996174449,0.10602147487953222,-0.3608954846858978,1.0,2.7026431560516357,2.7026398181915283,-3.337860107421875e-06,0.6804477423429489,0.0,1.0,0.0,0.7,0.9847598052019405,0.6893318636406689,1,1
23,1,libras_train_152,12,0.1225871722914127,0.11636926201778733,0.9492776433494966,0.23273852403747322,3,0.00013239046437934644,0.008871916094868636,1.101749398363298,0.14544159086414665,-0.13450750708580017,1.0,2.7026047706604004,2.70259165763855,-1.3113021850585938e-05,0.5672537535429001,0.0,1.0,0.0,0.7,0.9911673232243368,0.6586250865287989,1,1
24,2,libras_train_145,12,0.1596620292110008,0.10058708752767115,0.6300000571497185,0.2011741750566023,3,0.0001303082166090326,0.00891844893954632,1.1098273210341614,0.1498415710242749,-0.19054417312145233,1.0,2.7027206420898438,2.7027320861816406,1.1444091796875e-05,0.5952720865607262,1.1444091796875e-05,1.0,1.0,1.0,0.9911212024623091,0.6244064141935525,1,1
25,2,libras_train_111,9,0.040206878763594925,0.040206878763594925,0.9999999999989999,0.12367151289808274,3,0.00012927144625780388,0.006730410325414802,1.0278915912279987,0.04308176799293498,-0.01825725845992565,1.0,2.702997922897339,2.7029967308044434,-1.1920928955078125e-06,0.5091286292299628,0.0,1.0,0.0,0.7,0.9932921881587132,0.6953045317104039,1,1
26,1,libras_train_73,6,0.1454829557860728,0.1454829557860728,0.9999999999989999,1.4100926310571287,3,0.00013786122116270832,1.4649004905717615,1.2389399227967073,0.31573171732251754,-0.09050296992063522,1.0,2.702422857284546,2.7024223804473877,-4.76837158203125e-07,0.5452514849603176,0.0,1.0,0.0,0.7,0.23110098706026028,0.1617706909420204,1,1
27,1,libras_train_1,0,0.0738711463683158,0.0738711463683158,0.9999999999989999,0.5197512218912642,3,0.00012530598427638588,0.017435413320648848,1.0717889392814652,0.09886367334637132,-0.3479293882846832,1.0,2.7027313709259033,2.702707290649414,-2.4080276489257812e-05,0.6739646941423416,0.0,1.0,0.0,0.7,0.9827157039595129,0.6879009927709709,1,1
28,0,libras_train_64,5,0.01308377410569871,0.01308377410569871,0.9999999999989999,0.16428108829765511,3,0.0001262668308850424,0.005571154662810273,1.0091298806972877,0.01579281130877232,-0.2479928731918335,1.0,2.702522039413452,2.702522039413452,0.0,0.6239964365959167,0.0,1.0,0.0,0.7,0.9944443354400587,0.6961110348073448,1,1
29,1,libras_train_125,10,0.08770044184339412,0.08214054414789095,0.9366035383776791,0.16428108829765511,3,0.0001351845285620255,0.0063824975126759225,1.0395549463746774,0.09104041681643818,-0.26009517908096313,1.0,2.702678680419922,2.7026894092559814,1.0728836059570312e-05,0.6300475895404816,1.0728836059570312e-05,1.0,1.0,1.0,0.993637827360434,0.9306447049716919,1,1
30,2,libras_train_156,13,0.1189212119901686,0.1189212119901686,0.9999999999989999,0.4788292672989923,3,0.00014027145047810612,0.004666676675950803,1.0288967664585997,0.1252130047764448,0.0031747196335345507,0.0,2.7030863761901855,2.7031266689300537,4.029273986816406e-05,0.4984126401832327,4.029273986816406e-05,0.8401711941568546,1.0,0.8881198359097983,0.9953441953410107,0.8839849234391446,1,1
31,0,libras_train_121,10,0.02265258306741057,0.02265258306741057,0.9999999999989999,0.2524477980153357,3,0.00012952553800936134,0.009343633022061553,1.0094564391732035,0.024424179935789585,-0.0057120975106954575,1.0,2.7026381492614746,2.7026400566101074,1.9073486328125e-06,0.5028560487553477,1.9073486328125e-06,0.8371038017091551,1.0,0.8859726611964086,0.9906998830786737,0.8777330118573056,1,1
32,3,libras_train_28,2,0.0862991813008161,0.0862991813008161,0.9999999999989999,0.8526818766713572,3,0.00012136109604092888,0.23914279257268448,1.0899037385440546,0.13085532034606231,-0.04686206579208374,1.0,2.7025575637817383,2.7025513648986816,-6.198883056640625e-06,0.5234310328960419,0.0,1.0,0.0,0.7,0.7873024534030658,0.5511117173815948,1,1
33,0,libras_train_70,5,0.015614876194537752,0.015614876194537752,0.9999999999989999,0.7558884410303744,3,0.00012654736622986544,0.012996883566624397,1.0134982005087352,0.020073252989067918,-0.1588507890701294,1.0,2.7028539180755615,2.7028541564941406,2.384185791015625e-07,0.5794253945350647,2.384185791015625e-07,1.0,0.00909090909090909,0.7027272727272726,0.9870872112070239,0.6936531038747876,1,1
34,1,libras_train_155,12,0.04988166971063316,0.04988166971063316,0.9999999999989999,0.3176052312987797,3,0.00012977313684151373,0.00815220840209261,1.0328236670168152,0.0512266314927104,-0.17490440607070923,1.0,2.702637195587158,2.7026402950286865,3.0994415283203125e-06,0.5874522030353546,3.0994415283203125e-06,1.0,1.0,1.0,0.9918809307352944,0.9918809307343024,1,1
35,3,libras_train_52,4,0.07953610287351726,0.07953610287351726,0.9999999999989999,0.23536041424226883,3,0.00012163525378758983,0.0053915997907208815,1.0549593123394636,0.09041275308851451,-0.33198028802871704,1.0,2.7027382850646973,2.7027275562286377,-1.0728836059570312e-05,0.6659901440143585,0.0,1.0,0.0,0.7,0.994622908796887,0.6962360361571245,1,1
36,1,libras_train_2,0,0.14867058576207626,0.14867058576207626,0.9999999999989999,0.3463478978590985,3,0.00013320004611210338,0.007642586799269352,1.1561707993797525,0.21196868940004707,-0.1541719287633896,1.0,2.7029500007629395,2.7029261589050293,-2.384185791015625e-05,0.5770859643816948,0.0,1.0,0.0,0.7,0.9923865435096789,0.6946705804560804,1,1
