anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,libras_train_165,13,0.09291951066669424,0.09291951066669424,0.9999999999989999,0.23106079647401606,3,0.00011909443853971914,0.00467536979022699,1.0426902938484068,0.09424363046147953,-0.5673520565032959,1.0,2.700408697128296,2.7001750469207764,-0.00023365020751953125,0.783676028251648,0.0,1.0,0.0,0.7,0.9953355427377856,0.696734879915753,1,1
1,0,libras_train_0,0,0.1598389424534786,0.1598389424534786,0.9999999999989999,0.7422443372627803,3,0.0001384229799467635,0.01649725900809138,1.1598039407416343,0.2349376062384158,-0.49049416184425354,1.0,2.699878692626953,2.6996288299560547,-0.0002498626708984375,0.7452470809221268,0.0,1.0,0.0,0.7,0.9836380755309835,0.6885466528709997,1,1
2,1,libras_train_135,11,0.03835831035231236,0.03835831035231236,0.9999999999989999,0.35068275469943094,3,0.00012401253868250816,0.00472531222466955,1.0186466833709582,0.039418578357460106,-0.7975716590881348,1.0,2.6989357471466064,2.698866128921509,-6.961822509765625e-05,0.8987858295440674,0.0,1.0,0.0,0.7,0.9952858344989796,0.6967000841485889,1,1
3,2,libras_train_83,6,0.055526139000230575,0.055526139000230575,0.9999999999989999,0.49634075250427623,3,0.00013294963799649438,0.8349316338947449,1.0762851542165255,0.11698907696082679,-0.20546095073223114,1.0,2.7004058361053467,2.7004318237304688,2.5987625122070312e-05,0.6027304753661156,2.5987625122070312e-05,1.0,1.0,1.0,0.4339041447554274,0.43390414475499345,1,1
4,2,libras_train_132,11,0.08634366502345857,0.08634366502345857,0.9999999999989999,0.3199866763375561,3,0.000122039965827782,0.014156679218165191,1.0767320226560202,0.11326803742719846,-0.6680495142936707,1.0,2.698051929473877,2.697995185852051,-5.6743621826171875e-05,0.8340247571468353,0.0,1.0,0.0,0.7,0.9859430553735075,0.6901601387607649,1,1
5,3,libras_train_35,2,0.08053816207718197,0.08053816207718197,0.9999999999989999,0.9592328082085517,3,0.00011978487527443352,0.19689990037311056,1.0276019548047124,0.07790101614024174,-0.3421858251094818,1.0,2.697037696838379,2.696958065032959,-7.963180541992188e-05,0.6710929125547409,0.0,1.0,0.0,0.7,0.8212728383029334,0.5748909868114783,1,1
6,1,libras_train_108,9,0.09168591094679582,0.09168591094679582,0.9999999999989999,0.6866063710699176,3,0.00013233390376545277,0.023307506135454733,1.069056641489877,0.10581650973148879,-0.05745938420295715,1.0,2.6969962120056152,2.6969919204711914,-4.291534423828125e-06,0.5287296921014786,0.0,1.0,0.0,0.7,0.976962015763813,0.6838734110339851,1,1
7,1,libras_train_37,3,0.10586131284601173,0.10586131284601173,0.9999999999989999,0.5197512218912642,3,0.00013431874006784262,0.014748067959636018,1.0937877753724305,0.14331726336235356,-0.17655815184116364,1.0,2.6990044116973877,2.6989824771881104,-2.193450927734375e-05,0.5882790759205818,0.0,1.0,0.0,0.7,0.9853601521290251,0.6897521064896276,1,1
8,1,libras_train_106,8,0.11813142247944342,0.11813142247944342,0.9999999999989999,1.4100926310571287,3,0.000140195204525979,0.649561587890398,1.0333555449069067,0.12679718053926936,-0.23402522504329681,1.0,2.6983773708343506,2.6983890533447266,1.1682510375976562e-05,0.6170126125216484,1.1682510375976562e-05,1.0,1.0,1.0,0.5222746981285978,0.5222746981280755,1,1
9,0,libras_train_124,10,0.06792188119630851,0.06792188119630851,0.9999999999989999,0.3574865020829438,3,0.00013342886473115726,0.008614216710558382,1.0366923026195505,0.07614993473834678,-0.27001890540122986,1.0,2.6990959644317627,2.6991477012634277,5.173683166503906e-05,0.6350094527006149,5.173683166503906e-05,1.0,1.0,1.0,0.9914227793473093,0.9914227793463177,1,1
10,0,libras_train_114,9,0.0994120520701921,0.0994120520701921,0.9999999999989999,0.24304432248291855,3,0.00012357716408692462,0.008550057288070428,1.0714793461707823,0.10210380039447485,-0.02781939134001732,1.0,2.6985950469970703,2.698601007461548,5.9604644775390625e-06,0.5139096956700087,5.9604644775390625e-06,1.0,1.0,1.0,0.9914863905008792,0.9914863904998876,1,1
11,0,libras_train_17,1,0.20680297935733163,0.20680297935733163,0.9999999999989999,0.481252503091469,3,0.00011144646157875249,0.2897183599134955,1.148527720850231,0.23464204019642587,-0.4345540702342987,1.0,2.6967601776123047,2.696660041809082,-0.00010013580322265625,0.7172770351171494,0.0,1.0,0.0,0.7,0.7484743382738115,0.523932036791144,1,1
12,3,libras_train_169,14,0.0642822970946471,0.0642822970946471,0.9999999999989999,0.3105418781001063,3,0.00013290856040993292,0.010027805077187696,1.0371371929196382,0.07313868613912447,-0.7861036062240601,1.0,2.6976659297943115,2.6977715492248535,0.00010561943054199219,0.89305180311203,0.00010561943054199219,1.0,1.0,1.0,0.9900223057198323,0.9900223057188422,1,1
13,2,libras_train_88,7,0.06898457887154112,0.06898457887154112,0.9999999999989999,1.1825086474819217,3,0.0001220266154839391,0.9726168525302668,1.0506402132124393,0.08376971309495006,-0.2564636468887329,1.0,2.6974971294403076,2.6973931789398193,-0.00010395050048828125,0.6282318234443665,0.0,1.0,0.0,0.7,0.3780923305291249,0.2646646313701227,1,1
14,0,libras_train_15,1,0.1710463838335304,0.1298084127060126,0.7589076705194647,0.25961682541354303,3,0.00011464869584246644,0.33749262460712254,1.045084601275643,0.12969319025964082,-0.6863238215446472,1.0,2.6981585025787354,2.6979434490203857,-0.00021505355834960938,0.8431619107723236,0.0,1.0,0.0,0.7,0.7135572374520619,0.3790668425999342,1,1
15,0,libras_train_13,1,0.08663880936204552,0.08663880936204552,0.9999999999989999,0.27288697280087565,3,0.00012882316638924025,0.3505635743614926,1.0625132255708392,0.08699979877336558,-0.520902156829834,1.0,2.6966893672943115,2.6966018676757812,-8.749961853027344e-05,0.760451078414917,0.0,0.9473265067848693,0.0,0.6631285547494085,0.7042910574676061,0.4670355110609592,1,1
16,1,libras_train_41,3,0.10634079671029963,0.10634079671029963,0.9999999999989999,0.5027141597603182,3,0.00011939587579695634,0.034538003363100984,1.0647964110620125,0.11254960186279639,-0.5240827798843384,1.0,2.699686288833618,2.6995630264282227,-0.0001232624053955078,0.7620413899421692,0.0,1.0,0.0,0.7,0.9660516257781613,0.6762361380440365,1,1
17,3,libras_train_82,6,0.168919336513037,0.168919336513037,0.9999999999989999,0.7377406265761118,3,0.0001435485860685478,0.5671878464190686,1.325835812153643,0.4190247969781677,-0.01039817277342081,1.0,2.6997528076171875,2.6997549533843994,2.1457672119140625e-06,0.5051990863867104,2.1457672119140625e-06,1.0,1.0,1.0,0.5671180213310195,0.5671180213304523,1,1
18,3,libras_train_136,11,0.11325963374426361,0.0618357564484954,0.5459646513430954,0.12367151289808274,3,0.00013032006206715132,0.006889499537823969,1.0624783734122587,0.0904600936112849,0.09146056324243546,0.0,2.7000253200531006,2.7000157833099365,-9.5367431640625e-06,0.4542697183787823,0.0,1.0,0.0,0.7,0.9931341786559438,0.37955130891076255,1,1
19,1,libras_train_72,6,0.11434851796422867,0.11434851796422867,0.9999999999989999,0.3832318385281891,3,0.00012009750656466585,0.44797517402845827,1.1411154197420637,0.19236463810374774,0.13740304112434387,0.0,2.696561813354492,2.6963934898376465,-0.00016832351684570312,0.43129847943782806,0.0,1.0,0.0,0.7,0.6389205456583091,0.44724438196036903,1,1
20,1,libras_train_149,12,0.09683874460912567,0.09683874460912567,0.9999999999989999,0.32375341466116975,3,0.0001247239590335631,0.013956639208766851,1.077097379124156,0.10650571613820475,-0.45819273591041565,1.0,2.697856903076172,2.6978983879089355,4.1484832763671875e-05,0.7290963679552078,4.1484832763671875e-05,1.0,1.0,1.0,0.9861403031596374,0.9861403031586512,1,1
21,3,libras_train_167,13,0.10323519912067272,0.10323519912067272,0.9999999999989999,0.406750188812546,3,0.00011762733574607644,0.05230577177714635,1.0431185213191714,0.10528294848507971,-0.369406521320343,1.0,2.6983048915863037,2.6982340812683105,-7.081031799316406e-05,0.6847032606601715,0.0,1.0,0.0,0.7,0.9490386332430618,0.6643270432694788,1,1
22,2,libras_train_131,10,0.16715001771568708,0.16715001771568708,0.9999999999989999,0.5094517343692553,3,0.00014611899662369602,0.01607392739960602,1.0596426399902912,0.19143627878637887,-0.18851391971111298,1.0,2.6970067024230957,2.6971118450164795,0.00010514259338378906,0.5942569598555565,0.00010514259338378906,1.0,1.0,1.0,0.984054568770822,0.9840545687698379,1,1
