dataset,variant,variant_type,n,mean_f1,std_f1,mean_delta_vs_frozen_main,mean_delta_vs_continue_ce,mean_delta_vs_mba,mean_selected_anchor_count,mean_selected_positive_count,mean_candidate_total_count,mean_valid_candidate_count,mean_selected_class_coverage_frac,mean_hard_positive_score,mean_alignment_cosine,mean_entropy_shift,mean_fidelity_score,mean_safe_radius_ratio,mean_alignment_norm_mean,mean_entropy_norm_mean,mean_safe_radius_ratio_mean,mean_fidelity_score_mean_selected,dominant_metric_majority,dominance_risk_majority,mean_acl_last_ce_loss,mean_acl_last_supcon_loss,mean_fidelity_score_mean,mean_hard_positive_score_mean
atrialfibrillation,continue_ce_ref,reference,3,0.26182336182336186,0.06031750151181942,0.12238933905600574,0.0,0.010541310541310559,,,,,,,,,,,,,,,,False,,,,
atrialfibrillation,gcg_acl_align1p0,acl,3,0.16265216265216265,0.08872138837795338,0.02321813988480655,-0.09917119917119918,-0.08862988862988862,12.0,12.0,48.0,48.0,1.0,0.9700976880505316,-0.20180637329920298,-0.0002998825576570299,0.9700976880515018,0.9999999999989999,0.5019204980093309,0.3071281225307979,0.9999999999989999,0.9700976880515018,alignment_norm,True,0.014512487997611364,1.9490922689437866,0.9700976880515018,0.9700976880505316
atrialfibrillation,gcg_acl_frozen_main,acl,3,0.13943402276735611,0.08740010479049684,0.0,-0.12238933905600574,-0.11184802851469518,12.0,12.0,48.0,48.0,1.0,0.814855959679182,-0.19770833316983447,0.00013947983582814533,0.9701261894856328,0.9999999999989999,0.48434424916720487,0.3303864853254374,0.9999999999989999,0.9701261894856328,alignment_norm,False,0.010263307640949884,1.9477450450261433,0.9701261894856329,0.814855959679182
atrialfibrillation,gcg_acl_loss0p1,acl,3,0.1602317435650769,0.054860857654344314,0.020797720797720794,-0.10159161825828494,-0.09105030771697438,12.0,12.0,48.0,48.0,1.0,0.8111176322421758,-0.1890819394417728,6.250540415445964e-05,0.9699098611367308,0.9999999999989999,0.5139730774821236,0.33999866244806287,0.9997319172632386,0.9699098611367308,alignment_norm,False,0.009267619190116724,1.9483036597569783,0.9699098611367309,0.8111176322421758
atrialfibrillation,gcg_acl_temp0p05,acl,3,0.17142857142857146,0.049487165930539374,0.03199454866121535,-0.0903947903947904,-0.07985347985347983,12.0,12.0,48.0,48.0,1.0,0.793146398964391,-0.15459032307585907,-7.165637281205918e-05,0.9701572396830098,0.9999999999989999,0.4845049472240498,0.3288912323887007,0.999532975411511,0.9701572396830098,alignment_norm,False,0.014084838641186556,1.948829968770345,0.9701572396830097,0.7931463989643909
atrialfibrillation,gcg_acl_temp0p10,acl,3,0.18676258382140737,0.026804905883701408,0.047328561054051255,-0.07506077800195449,-0.06451946746064392,12.0,12.0,48.0,48.0,1.0,0.7951682450610619,-0.21764916854186192,6.398393048180474e-05,0.9701652373395983,0.9978968273000347,0.509099120334286,0.334588333165959,0.9994742068242586,0.9701652373395983,alignment_norm,False,0.01197391872604688,1.9479905764261882,0.9701652373395983,0.7951682450610619
atrialfibrillation,mba_ref,reference,3,0.2512820512820513,0.07806839665455555,0.11184802851469518,-0.010541310541310559,0.0,,,,,,,,,,,,,,,,False,,,,
handwriting,continue_ce_ref,reference,3,0.42542663598089964,0.023668253328851575,0.0038549695911434165,0.0,-0.03182362130770833,,,,,,,,,,,,,,,,False,,,,
handwriting,gcg_acl_align1p0,acl,3,0.45244605089026985,0.04358589415634302,0.030874384500513663,0.027019414909370248,-0.0048042063983380805,120.0,120.0,480.0,480.0,1.0,0.9037984856472289,-0.08421610133502529,0.0009423004256354439,0.9996756711751671,0.9238838293840438,0.5049767270548433,0.35047292380781997,0.8601583736719046,0.9996756711751671,alignment_norm,False,0.23403309285640717,1.5388423204421997,0.9996756711751671,0.9037984856472289
handwriting,gcg_acl_frozen_main,acl,3,0.4215716663897562,0.03895394482410315,0.0,-0.0038549695911434165,-0.035678590898851746,120.0,120.0,480.0,480.0,1.0,0.8002422467206044,-0.10789563780611691,0.0007258269521925185,0.9996751094127548,0.9209686144819363,0.5167223535748777,0.3579080752100234,0.859825402416671,0.9996751094127548,alignment_norm,False,0.35385480771462124,1.5272668202718098,0.9996751094127548,0.8002422467206045
