anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate
0,0,atrialfibrillation_train_1,0,0.03806698504187744,0.03806698504187744,0.9999999999989999,0.4929764715196597,3,0.00012435141195266212,0.027283593072377783,1.0224535162775368,0.04099169143910562,-0.23095521330833435,1.0,1.0596427917480469,1.0593090057373047,-0.0003337860107421875,0.6154776066541672,0.0,0.8025904202582869,0.0,0.8025904202582869,0.9730852421569236,0.7809888934490811,1
0,1,atrialfibrillation_train_1,0,0.0829878680607832,0.0829878680607832,0.9999999999989999,0.4929764715196597,3,0.00011878510079129252,0.027018497472693935,1.020640650883514,0.08223507149889886,-0.3018055856227875,1.0,1.0596427917480469,1.0588361024856567,-0.0008066892623901367,0.6509027928113937,0.0,0.9026667990161015,0.0,0.9026667990161015,0.9733432369678703,0.8786046240568796,1
0,2,atrialfibrillation_train_1,0,0.030755791054520653,0.030755791054520653,0.9999999999989999,0.4929764715196597,3,0.00013068388607418392,0.027455293626014707,1.0028836848739318,0.031224666841381973,0.33724910020828247,0.0,1.0596427917480469,1.059918999671936,0.00027620792388916016,0.33137544989585876,0.00027620792388916016,0.0,1.0,0.0,0.9729181772250904,0.0,1
0,3,atrialfibrillation_train_1,0,0.061865016304310586,0.061865016304310586,0.9999999999989999,0.4929764715196597,3,0.00012079631311054782,0.02699384097901951,1.0093058422515635,0.06033068342570786,-0.37071388959884644,1.0,1.0596427917480469,1.0591273307800293,-0.0005154609680175781,0.6853569447994232,0.0,1.0,0.0,1.0,0.9733672364951066,0.9733672364941331,1
1,0,atrialfibrillation_train_14,2,0.08972604607303725,0.08972604607303725,0.9999999999989999,1.3721764948427948,3,0.00013665647818978793,0.125057140125519,1.0396791821147313,0.10213898424609393,-0.1749121993780136,1.0,1.0643842220306396,1.0646569728851318,0.0002727508544921875,0.5874560996890068,0.0002727508544921875,1.0,1.0,1.0,0.8824464780414577,0.8824464780405752,1
1,1,atrialfibrillation_train_14,2,0.06563130665643915,0.06563130665643915,0.9999999999989999,1.3721764948427948,3,0.0001211078578979629,0.12104601246340885,1.0307130439135275,0.0701443448769803,0.17069502174854279,0.0,1.0643842220306396,1.0641863346099854,-0.00019788742065429688,0.4146524891257286,0.0,0.05854220445709176,0.0,0.05854220445709176,0.8859931919256484,0.051867994589250774,1
1,2,atrialfibrillation_train_14,2,0.08512913981075348,0.08512913981075348,0.9999999999989999,1.3721764948427948,3,0.00011987455843203825,0.12038568410450172,1.0360257831683428,0.08331202887244556,0.19218574464321136,0.0,1.0643842220306396,1.0641264915466309,-0.00025773048400878906,0.4039071276783943,0.0,0.0,0.0,0.0,0.8865784315599738,0.0,1
1,3,atrialfibrillation_train_14,2,0.07399608868990923,0.07399608868990923,0.9999999999989999,1.3721764948427948,3,0.00012031946274568365,0.12071720441902421,1.0244073662989608,0.07159452091536876,0.19114363193511963,0.0,1.0643842220306396,1.0641555786132812,-0.00022864341735839844,0.4044281840324402,0.0,0.002838786555643261,0.0,0.002838786555643261,0.8862845615141307,0.002515972697697981,1
2,0,atrialfibrillation_train_0,0,0.10025269328388034,0.10025269328388034,0.9999999999989999,0.5023120398147947,3,0.00011680507897716856,0.023678876666688498,1.0164821154777142,0.0978459021001654,-0.16487976908683777,1.0,1.0605261325836182,1.0599524974822998,-0.0005736351013183594,0.5824398845434189,0.0,1.0,0.0,1.0,0.9765992682220663,0.9765992682210897,1
2,1,atrialfibrillation_train_0,0,0.013026730311611345,0.013026730311611345,0.9999999999989999,0.5023120398147947,3,0.0001284036284690599,0.024098400085033434,1.0061146182011653,0.013396610896873554,0.25787070393562317,0.0,1.0605261325836182,1.0605556964874268,2.956390380859375e-05,0.3710646480321884,2.956390380859375e-05,0.0,0.04029899252518687,0.0,0.9761896478873779,0.0,1
