anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,2,handwriting_train_77,8,0.04188397401341156,0.04188397401341156,0.9999999999989999,0.11318995290893556,6,0.00015715264868282005,0.0002110164772098012,1.0384475843936107,0.05895225070986605,-0.08057626336812973,1.0,3.2420926094055176,3.241955280303955,-0.0001373291015625,0.5402881316840649,0.0,1.0,0.0,0.7,0.9997890057852011,0.6998523040489408,1,1
1,3,handwriting_train_58,14,0.10866855829048025,0.09947121768457114,0.9153633695827332,0.19894243537097303,6,0.00016151746021518,0.0002057717696062902,1.0861606143111604,0.13456200002079624,-0.026897534728050232,1.0,3.229762077331543,3.230465888977051,0.0007038116455078125,0.5134487673640251,0.0007038116455078125,0.8113434845675459,1.0,0.8679404391972821,0.9997942493999523,0.7943174201019221,1,1
2,0,handwriting_train_87,21,0.11302546865902426,0.06195660881099853,0.5481650246268612,0.12391321762309339,6,0.0001544112784739027,0.00024258109633921052,1.0605321375553673,0.08411942206272385,-0.024475835263729095,1.0,3.2449913024902344,3.245081901550293,9.059906005859375e-05,0.5122379176318645,9.059906005859375e-05,1.0,0.4025423728813559,0.8207627118644067,0.999757448324076,0.4498042849098214,1,1
3,1,handwriting_train_42,14,0.03993056127626447,0.03993056127626447,0.9999999999989999,0.12066052739871197,6,0.00015425648874959307,0.00020398534014325106,1.0350708652684155,0.05186791163286013,-0.08263140916824341,1.0,3.2179479598999023,3.218351364135742,0.00040340423583984375,0.5413157045841217,0.00040340423583984375,0.7369348378613128,1.0,0.815854386502919,0.9997960354634517,0.8156879811402693,1,1
4,0,handwriting_train_53,14,0.056493385649319675,0.056493385649319675,0.9999999999989999,0.29735635993443,6,0.00015498892225935797,0.0003008367950203482,1.0534469231906811,0.07385937152371772,0.0065192654728889465,0.0,3.240908145904541,3.240917205810547,9.059906005859375e-06,0.4967403672635555,9.059906005859375e-06,1.0,1.0,1.0,0.9996992084518309,0.9996992084508312,1,1
5,2,handwriting_train_9,25,0.04141084972204526,0.04141084972204526,0.9999999999989999,0.312589249110149,6,0.00015591101963770304,0.00031780262502766033,1.0379430941709393,0.05373251057770414,-0.11571258306503296,1.0,3.1923413276672363,3.1933987140655518,0.0010573863983154297,0.5578562915325165,0.0010573863983154297,1.0,1.0,1.0,0.9996822478688775,0.9996822478678777,1,1
6,1,handwriting_train_28,7,0.0806933914574647,0.0806933914574647,0.9999999999989999,0.30800091853851697,6,0.00015619971645015808,0.0003064164537002627,1.0850605889193172,0.11521025877887751,-0.018838226795196533,1.0,3.245908737182617,3.2454607486724854,-0.00044798851013183594,0.5094191133975983,0.0,0.9880267381727981,0.0,0.6916187167209586,0.9996936304870268,0.6914068258308622,1,1
7,0,handwriting_train_18,15,0.08305261950365371,0.08305261950365371,0.9999999999989999,0.44131428567507347,6,0.000150308940166752,0.0007626194787346716,1.055661331791313,0.09938380601489744,0.12873728573322296,0.0,3.2413575649261475,3.2412397861480713,-0.00011777877807617188,0.4356313571333885,0.0,1.0,0.0,0.7,0.9992376712415924,0.699466369868415,1,1
8,2,handwriting_train_48,24,0.15625807806127576,0.15625807806127576,0.9999999999989999,0.3327913249056531,6,0.0001658577255955143,0.0006300563373223886,1.1557854208435352,0.2246707655377157,-0.09235681593418121,1.0,3.244758129119873,3.2445502281188965,-0.0002079010009765625,0.5461784079670906,0.0,1.0,0.0,0.7,0.9993701421064927,0.6995590994738452,1,1
9,3,handwriting_train_72,20,0.05108480868046611,0.05108480868046611,0.9999999999989999,0.17275995774121342,6,0.00015789954038232973,0.0002089174329804546,1.0495747615440703,0.07100856610425385,-0.03084404394030571,1.0,3.241187572479248,3.240534782409668,-0.0006527900695800781,0.5154220219701529,0.0,1.0,0.0,0.7,0.9997911043887469,0.6998537730714228,1,1
10,3,handwriting_train_20,0,0.04768085336015766,0.04768085336015766,0.9999999999989999,0.20006577657538163,6,0.0001564889362684612,0.00020929540115171942,1.0477852849252214,0.06714077574128005,-0.05707917734980583,1.0,3.2343122959136963,3.2348899841308594,0.0005776882171630859,0.5285395886749029,0.0005776882171630859,0.7436201599271384,0.5042663891779396,0.6718140287023787,0.9997907264996029,0.6716734358283045,1,1
