anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,3,motorimagery_train_253,0,0.29763909749093775,0.29763909749093775,0.9999999999989999,5.191633618292209,10,0.0007019540497869896,8.853291357358596e-05,1.2838727543011466,0.4914572609307082,0.013398116454482079,0.0,0.6931275129318237,0.6931470632553101,1.9550323486328125e-05,0.49330094177275896,1.9550323486328125e-05,0.7222844230340411,1.0,0.8055990961238287,0.9999114710053492,0.8055277772449516,1,1
1,0,motorimagery_train_45,1,0.1941002741865931,0.1941002741865931,0.9999999999989999,5.933630580153005,10,0.0007153168931783501,0.00010769290532958075,1.2535334688553497,0.3949895902311987,-0.055053453892469406,1.0,0.21515044569969177,0.22597241401672363,0.01082196831703186,0.5275267269462347,0.01082196831703186,1.0,1.0,1.0,0.9998923128933432,0.9998923128923433,1,1
2,3,motorimagery_train_169,1,0.22294581251406445,0.22294581251406445,0.9999999999989999,4.961788672741905,10,0.0007173774202878029,6.525134784360164e-05,1.5200626549463565,0.698810801097224,-0.14707157015800476,1.0,0.6930872797966003,0.690730631351471,-0.0023566484451293945,0.5735357850790024,0.0,1.0,0.0,0.7,0.9999347507809794,0.6999543255459855,1,1
3,3,motorimagery_train_107,0,0.11978687413278143,0.11978687413278143,0.9999999999989999,5.968356738294744,10,0.0007151707415709525,0.00010566022115084583,1.0452449275095206,0.16294227563727287,-0.12811151146888733,1.0,0.6645033359527588,0.660916805267334,-0.0035865306854248047,0.5640557557344437,0.0,1.0,0.0,0.7,0.9998943453606938,0.6999260417517855,1,1
4,3,motorimagery_train_193,0,0.06888110230689957,0.06888110230689957,0.9999999999989999,5.157665047919663,10,0.0007181633758942971,9.531091774808003e-05,1.0284323063922514,0.10259671263256721,-0.1363949477672577,1.0,0.5965036153793335,0.5875950455665588,-0.008908569812774658,0.5681974738836288,0.0,1.0,0.0,0.7,0.9999046936241932,0.6999332855362351,1,1
5,3,motorimagery_train_50,1,0.3464175286225658,0.3464175286225658,0.9999999999989999,6.335207484687489,10,0.0007184971375996657,0.00013462878478811115,1.3754286560637088,0.6470680227438816,-0.058035265654325485,1.0,0.5659087896347046,0.5782328248023987,0.012324035167694092,0.5290176328271627,0.012324035167694092,1.0,1.0,1.0,0.9998653802772601,0.9998653802762602,1,1
6,3,motorimagery_train_109,1,0.171450025891959,0.171450025891959,0.9999999999989999,5.788561608027553,10,0.0007252242974111717,0.00013513415175246744,1.167250108444587,0.2936568263059806,-0.10012184083461761,1.0,0.47462260723114014,0.49193984270095825,0.017317235469818115,0.5500609204173088,0.017317235469818115,1.0,0.9923253478697461,0.9976976043609238,0.9998648749784558,0.9975627904496422,1,1
7,2,motorimagery_train_143,1,0.25371304360956115,0.25371304360956115,0.9999999999989999,5.581615301777731,10,0.0007284983124281122,0.00011590434108084608,1.1640046525093068,0.40293913917587104,-0.14567795395851135,1.0,0.6735278964042664,0.6590732336044312,-0.014454662799835205,0.5728389769792557,0.0,1.0,0.0,0.7,0.9998841023755679,0.6999188716621975,1,1
8,2,motorimagery_train_195,1,0.18974039506893042,0.18974039506893042,0.9999999999989999,5.429304710853633,10,0.0007241203352556513,0.00011135341614553008,1.1660973249636422,0.35772152678965974,-0.041239045560359955,1.0,0.6470050811767578,0.6545292139053345,0.00752413272857666,0.52061952278018,0.00752413272857666,1.0,1.0,1.0,0.9998886527834161,0.9998886527824161,1,1
9,2,motorimagery_train_218,1,0.18703428083337242,0.18703428083337242,0.9999999999989999,5.9923708472788375,10,0.000714029090585495,0.0001290146472085695,1.1313640683835986,0.3017731061608233,-0.14070814847946167,1.0,0.4732125401496887,0.49595415592193604,0.022741615772247314,0.5703540742397308,0.022741615772247314,1.0,1.0,1.0,0.9998709936748232,0.9998709936738233,1,1
10,0,motorimagery_train_126,0,0.072797264712976,0.072797264712976,0.9999999999989999,5.301887453568055,10,0.0007160805300445043,8.889620048439118e-05,1.0307823083937482,0.10638274440204143,-0.01724918559193611,1.0,0.5778706073760986,0.5786237120628357,0.0007531046867370605,0.5086245927959681,0.0007531046867370605,1.0,1.0,1.0,0.9999111077506658,0.9999111077496659,1,1
11,1,motorimagery_train_76,0,0.20940779383245334,0.20940779383245334,0.9999999999989999,6.352247319811301,10,0.0007047080606607343,9.158183917622667e-05,1.0689972108523556,0.2583311707565894,-0.058761678636074066,1.0,0.6028103232383728,0.6052793860435486,0.0024690628051757812,0.529380839318037,0.0024690628051757812,1.0,1.0,1.0,0.9999084223543124,0.9999084223533125,1,1
12,0,motorimagery_train_16,1,0.17557568100362309,0.17557568100362309,0.9999999999989999,5.036245920109834,10,0.0007139945844777033,8.530576834798e-05,1.2163618390728201,0.3663760899588431,-0.08263841271400452,1.0,0.6648082733154297,0.6602749824523926,-0.004533290863037109,0.5413192063570023,0.0,1.0,0.0,0.7,0.9999146978700857,0.6999402885083599,1,1
13,0,motorimagery_train_250,0,0.07887504243192359,0.07887504243192359,0.9999999999989999,5.454953700449757,10,0.0007165604752726869,0.00011979015450234407,1.037733860562835,0.11463903879447825,-0.023732516914606094,1.0,0.5861322283744812,0.5851418972015381,-0.0009903311729431152,0.511866258457303,0.0,1.0,0.0,0.7,0.9998802170200518,0.6999161519133362,1,1
14,1,motorimagery_train_117,1,0.2546248224007536,0.2546248224007536,0.9999999999989999,5.133375301074025,10,0.0007236945946168207,0.00010867094322151842,1.2693180564870534,0.49048210334437126,-0.08337150514125824,1.0,0.6911921501159668,0.6928678750991821,0.001675724983215332,0.5416857525706291,0.001675724983215332,1.0,1.0,1.0,0.9998913349612516,0.9998913349602516,1,1
15,0,motorimagery_train_49,1,0.15202441492491098,0.15202441492491098,0.9999999999989999,6.096840575034875,10,0.0007251251875121512,0.00013010712180148184,1.2259117884157709,0.35919489114331465,-0.09908322989940643,1.0,0.655709981918335,0.6611760854721069,0.005466103553771973,0.5495416149497032,0.005466103553771973,1.0,1.0,1.0,0.9998699013417631,0.9998699013407631,1,1
16,0,motorimagery_train_166,0,0.16933319990152454,0.16933319990152454,0.9999999999989999,4.796443793676382,10,0.0007339650136221909,9.120962147249433e-05,1.1062422972573016,0.25633917198673634,0.01838099956512451,0.0,0.6711199283599854,0.6698445081710815,-0.0012754201889038086,0.49080950021743774,0.0,1.0,0.0,0.7,0.9999087945379986,0.699936156175899,1,1
17,2,motorimagery_train_190,1,0.19722122723249322,0.19722122723249322,0.9999999999989999,5.598218499769602,10,0.000713642133592325,0.00010093395233014163,1.1448399113302703,0.30393251368171803,-0.08475735783576965,1.0,0.21594324707984924,0.22221507132053375,0.006271824240684509,0.5423786789178848,0.006271824240684509,1.0,1.0,1.0,0.9998990711413299,0.9998990711403299,1,1
18,1,motorimagery_train_48,1,0.20794501159039835,0.20794501159039835,0.9999999999989999,5.440409435924852,10,0.0007363909309864835,0.00012569774077544627,1.1356820389956506,0.3476606630708808,0.023060224950313568,0.0,0.6855844259262085,0.6846237182617188,-0.0009607076644897461,0.4884698875248432,0.0,1.0,0.0,0.7,0.9998743101588546,0.6999120171104982,1,1
19,3,motorimagery_train_9,0,0.11706696407794971,0.11706696407794971,0.9999999999989999,6.768718072527966,10,0.0007131159050458849,0.00011793869899348429,1.0936459759574937,0.20402242108338983,-0.044494546949863434,1.0,0.61931312084198,0.6225351095199585,0.0032219886779785156,0.5222472734749317,0.0032219886779785156,1.0,1.0,1.0,0.9998820682555015,0.9998820682545015,1,1
20,1,motorimagery_train_97,1,0.1813672863801055,0.1813672863801055,0.9999999999989999,5.7220018697400405,10,0.0007195204415157558,0.00010787714019140206,1.3205556570045724,0.4723819222751456,-0.10958637297153473,1.0,0.6648744940757751,0.6565576791763306,-0.00831681489944458,0.5547931864857674,0.0,1.0,0.0,0.7,0.9998921286783381,0.6999244900741366,1,1
21,2,motorimagery_train_153,1,0.1435995856512686,0.1435995856512686,0.9999999999989999,5.293171909046201,10,0.0007167922248758826,0.00010736838843887151,1.1115328488963465,0.2532496141314753,-0.04692976176738739,1.0,0.4631446897983551,0.45880353450775146,-0.004341155290603638,0.5234648808836937,0.0,1.0,0.0,0.7,0.9998926373753403,0.6999248461620381,1,1
22,1,motorimagery_train_181,0,0.061399349232724165,0.061399349232724165,0.9999999999989999,6.1080987154345925,10,0.0007176834430225528,9.605178814479672e-05,1.0362876955935265,0.10148928602028683,-0.04489454627037048,1.0,0.6929845809936523,0.693031907081604,4.7326087951660156e-05,0.5224472731351852,4.7326087951660156e-05,1.0,1.0,1.0,0.9999039528246806,0.9999039528236806,1,1
23,3,motorimagery_train_270,0,0.08662147858886189,0.08662147858886189,0.9999999999989999,5.939826426676137,10,0.0007184509495742569,0.0001104140557183277,1.0370088675556397,0.13787147016483425,-0.018571197986602783,1.0,0.45438152551651,0.45535188913345337,0.0009703636169433594,0.5092855989933014,0.0009703636169433594,1.0,1.0,1.0,0.9998895920396892,0.9998895920386892,1,1
24,1,motorimagery_train_75,0,0.10571253837142643,0.10571253837142643,0.9999999999989999,5.345741648722199,10,0.0007256876995035452,9.012006216709809e-05,1.0689979912940701,0.1705382423378925,-0.0831919014453888,1.0,0.515812873840332,0.524048924446106,0.008236050605773926,0.5415959507226944,0.008236050605773926,1.0,1.0,1.0,0.9999098839985238,0.9999098839975238,1,1
25,1,motorimagery_train_239,1,0.1886436312940492,0.1886436312940492,0.9999999999989999,5.625208722731395,10,0.0007307197769396807,0.0001473568137441208,1.1114487117374037,0.2793056840788036,-0.028021294623613358,1.0,0.5419057607650757,0.5501877069473267,0.008281946182250977,0.5140106473118067,0.008281946182250977,1.0,1.0,1.0,0.9998526540427379,0.999852654041738,1,1
26,0,motorimagery_train_59,0,0.11228583872711047,0.11228583872711047,0.9999999999989999,5.367039268530121,10,0.0007270016346256691,0.00010238359754947443,1.0769171184731585,0.17636430431181913,-0.042973775416612625,1.0,0.6388592720031738,0.6400147676467896,0.0011554956436157227,0.5214868877083063,0.0011554956436157227,1.0,1.0,1.0,0.9998976216434723,0.9998976216424723,1,1
27,2,motorimagery_train_276,1,0.23502881011831106,0.23502881011831106,0.9999999999989999,5.221531568498575,10,0.0007208950755595323,0.00010897931245054944,1.4079149837544562,0.5636815371210185,-0.003077799454331398,1.0,0.5509772300720215,0.5528801679611206,0.001902937889099121,0.5015388997271657,0.001902937889099121,1.0,1.0,1.0,0.999891026625579,0.9998910266245791,1,1
28,2,motorimagery_train_71,0,0.11401090883476236,0.11401090883476236,0.9999999999989999,5.963820498543657,10,0.0007208083944548693,5.600612350975864e-05,1.2112613621088129,0.32464992711063206,-0.11092235893011093,1.0,0.6637487411499023,0.6672619581222534,0.0035132169723510742,0.5554611794650555,0.0035132169723510742,1.0,0.10823400465817236,0.7324702013974517,0.999943995444804,0.7324291797288955,1,1
