anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,2,atrialfibrillation_train_1,0,0.016152031927203953,0.016152031927203953,0.9999999999989999,0.4929764715196597,3,0.00012816670045200947,0.02730516093354297,1.0118035141256658,0.01849656387311727,-0.07123397290706635,1.0,1.0352697372436523,1.0354595184326172,0.00018978118896484375,0.5356169864535332,0.00018978118896484375,1.0,1.0,1.0,0.9730642550158435,0.9730642550148704,1,1
1,0,atrialfibrillation_train_14,2,0.014831075825409346,0.014831075825409346,0.9999999999989999,1.3721764948427948,3,0.00012614727890473292,0.1224227104816415,1.0104584585523348,0.017931575746794787,0.009364000521600246,0.0,1.0839718580245972,1.083977222442627,5.364418029785156e-06,0.4953179997391999,5.364418029785156e-06,1.0,0.14018691588785046,0.7420560747663552,0.8847742860793041,0.656552133781556,1,1
2,3,atrialfibrillation_train_0,0,0.016079394895005768,0.016079394895005768,0.9999999999989999,0.5023120398147947,3,0.00012848055637970106,0.02402812269126199,1.0099031674453653,0.017749084931073307,-0.059844765812158585,1.0,1.0246440172195435,1.0248725414276123,0.00022852420806884766,0.5299223829060793,0.00022852420806884766,1.0,1.0,1.0,0.976258254362372,0.9762582543613957,1,1
3,2,atrialfibrillation_train_2,0,0.1930207311597087,0.1930207311597087,0.9999999999989999,1.1526897026553438,3,0.00014997696425840464,0.005571207858647825,1.0256539516863223,0.2097789847115536,-0.030902298167347908,1.0,0.876431405544281,0.879963755607605,0.0035323500633239746,0.515451149083674,0.0035323500633239746,1.0,1.0,1.0,0.9944442825397608,0.9944442825387663,1,1
4,0,atrialfibrillation_train_12,2,0.03682133014981279,0.03682133014981279,0.9999999999989999,1.1926839542108387,3,0.00012424449266764363,0.0021825405336589393,1.0179668338783117,0.037230715266633733,-0.15581931173801422,1.0,1.075071930885315,1.0747759342193604,-0.00029599666595458984,0.5779096558690071,0.0,1.0,0.0,0.7,0.9978198394761275,0.6984738876325907,1,1
5,1,atrialfibrillation_train_7,1,0.07302812936971882,0.07302812936971882,0.9999999999989999,0.8700947984730791,3,0.00012179392151220345,0.028087988185948574,1.063102629418879,0.09865016494413074,-0.030559856444597244,1.0,1.083827257156372,1.0834589004516602,-0.00036835670471191406,0.5152799282222986,0.0,1.0,0.0,0.7,0.9723028118767811,0.680611968313066,1,1
6,3,atrialfibrillation_train_11,2,0.09483972827577039,0.09483972827577039,0.9999999999989999,0.6058605899977758,3,0.00011833589759595958,0.013528555453909281,1.036269007523691,0.09503883416926903,-0.14899101853370667,1.0,1.0468642711639404,1.0457587242126465,-0.0011055469512939453,0.5744955092668533,0.0,1.0,0.0,0.7,0.9865625441742416,0.6905937809212784,1,1
7,3,atrialfibrillation_train_5,1,0.07767743922679718,0.07767743922679718,0.9999999999989999,0.4929764715196597,3,0.0001357157608530642,0.03695077307668854,1.0380533203140287,0.09373019827299746,-0.05065939575433731,1.0,1.0659905672073364,1.0663690567016602,0.00037848949432373047,0.5253296978771687,0.00037848949432373047,1.0,1.0,1.0,0.963723575327918,0.9637235753269542,1,1
8,3,atrialfibrillation_train_4,0,0.08125648112275405,0.08125648112275405,0.9999999999989999,0.529409981883341,3,0.00011880311032384391,0.017582855823170374,1.0117582836892876,0.0787383037692555,-0.1334778368473053,1.0,1.0253270864486694,1.0264132022857666,0.001086115837097168,0.5667389184236526,0.001086115837097168,1.0,1.0,1.0,0.9825708205781006,0.982570820577118,1,1
9,3,atrialfibrillation_train_13,2,0.0986809559027707,0.0986809559027707,0.9999999999989999,3.6649452583733537,3,0.00011828144515515352,0.007380960934994916,1.0346834357889232,0.09438839134778174,-0.26119616627693176,1.0,1.0817807912826538,1.079586148262024,-0.002194643020629883,0.6305980831384659,0.0,1.0,0.0,0.7,0.9926462114632641,0.6948523480235899,1,1
10,2,atrialfibrillation_train_9,1,0.1295804521898201,0.1295804521898201,0.9999999999989999,0.4948631350834936,3,0.00014181816657686175,0.02591132730384283,1.0412566958130183,0.1448114909794125,-0.02493898570537567,1.0,1.0553300380706787,1.0555927753448486,0.0002627372741699219,0.5124694928526878,0.0002627372741699219,0.8347120293454874,1.0,0.8842984205418412,0.9744214903587427,0.8616793848654013,1,1
11,2,atrialfibrillation_train_8,1,0.1750076625203802,0.1750076625203802,0.9999999999989999,1.1526897026553438,3,0.00011036968525227002,0.01320883451033291,1.0525634247861013,0.16858854602974432,-0.12158163636922836,1.0,1.067757487297058,1.063773512840271,-0.003983974456787109,0.5607908181846142,0.0,1.0,0.0,0.7,0.986878019311079,0.6908146135170643,1,1
