anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,3,handwriting_train_108,14,0.17881776133505603,0.16980564183329802,0.9496016534675125,0.3396112836684953,6,0.00016146077045948152,0.0003122155992635017,1.1673277858762874,0.2483716885304148,-0.07175297290086746,1.0,3.2117669582366943,3.212212562561035,0.0004456043243408203,0.5358764864504337,0.0004456043243408203,1.0,1.0,1.0,0.9996878331349548,0.9493052192963077,1,1
1,2,handwriting_train_95,5,0.17260267509592153,0.16908663807339736,0.9796293016852763,0.338173276148754,6,0.00015299838208516733,0.00022466873098737292,1.1678315363037466,0.21947932946516924,-0.18585500121116638,1.0,3.199382781982422,3.205275058746338,0.005892276763916016,0.5929275006055832,0.005892276763916016,1.0,1.0,1.0,0.999775356505142,0.9794092343352805,1,1
2,0,handwriting_train_56,12,0.06393543781611664,0.060330263698412365,0.9436122713645383,0.12066052739871196,6,0.000156704744899796,0.00020683769331352462,1.0607409658149227,0.08466557465810484,-0.036713454872369766,1.0,3.192593574523926,3.1918764114379883,-0.0007171630859375,0.5183567274361849,0.0,1.0,0.0,0.7,0.9997931836961275,0.6603919818736,1,1
3,2,handwriting_train_35,25,0.08914380843321824,0.08914380843321824,0.9999999999989999,0.668692138957542,6,0.00016397209449559342,0.0005581719083724839,1.0565465380426071,0.10865929807745185,-0.29361212253570557,1.0,3.2120933532714844,3.2145345211029053,0.0024411678314208984,0.6468060612678528,0.0024411678314208984,0.9623523004390588,1.0,0.9736466103073412,0.9994419838405877,0.9731032997642595,1,1
4,1,handwriting_train_83,19,0.15328654472320477,0.15328654472320477,0.9999999999989999,0.4031293327268683,6,0.0001631685018351202,0.0005335105178394374,1.1595696906780728,0.21927676168476007,-0.15745702385902405,1.0,3.2396178245544434,3.240790843963623,0.0011730194091796875,0.578728511929512,0.0011730194091796875,1.0,1.0,1.0,0.9994666317735912,0.9994666317725917,1,1
5,2,handwriting_train_82,15,0.019185194175011144,0.019185194175011144,0.9999999999989999,0.22282041005631392,6,0.0001549167602137369,0.0001782566370947782,1.0167418268552246,0.0252303743512076,-0.055160630494356155,1.0,3.234119415283203,3.2341039180755615,-1.5497207641601562e-05,0.5275803152471781,0.0,1.0,0.0,0.7,0.9998217592496756,0.6998752314740729,1,1
6,1,handwriting_train_67,5,0.038858928381239694,0.038858928381239694,0.9999999999989999,0.1638437502532283,6,0.000154872573245087,0.0002412608510552608,1.0369678232415247,0.0531045945114347,-0.10013425350189209,1.0,3.1931610107421875,3.193117618560791,-4.3392181396484375e-05,0.550067126750946,0.0,1.0,0.0,0.7,0.9997587682500035,0.6998311377743025,1,1
7,3,handwriting_train_106,17,0.10805140009729441,0.10805140009729441,0.9999999999989999,0.381948688544221,6,0.00015624966742234164,0.0003201749123556487,1.1077884263685163,0.1480164040931025,-0.0037915613502264023,1.0,3.2227604389190674,3.2235474586486816,0.0007870197296142578,0.5018957806751132,0.0007870197296142578,0.969233899898319,1.0,0.9784637299288232,0.9996798763381618,0.9781505005356443,1,1
8,3,handwriting_train_5,6,0.08329242218314377,0.08329242218314377,0.9999999999989999,0.32926235474217663,6,0.00015221388397622244,0.00020967020010067937,1.0745366118489317,0.10636873712108655,-0.18805071711540222,1.0,3.1343517303466797,3.138678550720215,0.004326820373535156,0.5940253585577011,0.004326820373535156,1.0,0.4865415549597855,0.8459624664879356,0.9997903517791596,0.8457851119610929,1,1
9,1,handwriting_train_2,21,0.08371304749564196,0.08371304749564196,0.9999999999989999,0.24600798394874088,6,0.0001563910486600661,0.0004511550249355692,1.0897735831726252,0.12235454053075162,-0.07367025315761566,1.0,3.1884357929229736,3.1928555965423584,0.004419803619384766,0.5368351265788078,0.004419803619384766,1.0,1.0,1.0,0.9995489467301898,0.9995489467291901,1,1
10,1,handwriting_train_64,15,0.027420046622455257,0.027420046622455257,0.9999999999989999,0.267768354575116,6,0.00015658763170747932,0.00042940867379591776,1.025586670186313,0.03743997718702936,-0.1118059903383255,1.0,3.2294816970825195,3.229544162750244,6.246566772460938e-05,0.5559029951691628,6.246566772460938e-05,1.0,0.24304267161410018,0.77291280148423,0.9995706835089135,0.7725809772716085,1,1
11,3,handwriting_train_84,21,0.12631932941508492,0.12631932941508492,0.9999999999989999,0.5169555763085335,6,0.00015956280700081942,0.00041570111851460805,1.1406622806190445,0.1926876782696416,-0.0675451010465622,1.0,3.2070131301879883,3.2115345001220703,0.004521369934082031,0.5337725505232811,0.004521369934082031,1.0,1.0,1.0,0.999584385273224,0.9995843852722244,1,1
12,0,handwriting_train_80,16,0.14745710554109287,0.1246024241824096,0.8450079345112412,0.24920484836650925,6,0.0001581445381738034,0.0002474372706195439,1.1241313731725329,0.16726029568139106,-0.17335978150367737,1.0,3.1896862983703613,3.1915862560272217,0.0018999576568603516,0.5866798907518387,0.0018999576568603516,1.0,1.0,1.0,0.9997525933394572,0.8447988739200316,1,1
13,1,handwriting_train_132,17,0.055932873485152336,0.055932873485152336,0.9999999999989999,0.19585024493368403,6,0.00015589941983941804,0.00020914232424379425,1.0551108809900367,0.07865328291654158,-0.022645436227321625,1.0,3.2381224632263184,3.238018035888672,-0.00010442733764648438,0.5113227181136608,0.0,1.0,0.0,0.7,0.9997908795444875,0.6998536156804412,1,1
14,1,handwriting_train_28,7,0.0858786236758213,0.0858786236758213,0.9999999999989999,0.30800091853851697,6,0.00015652718928443922,0.0003062721202086035,1.0909382260438356,0.12299770928097131,-0.052592407912015915,1.0,3.23795223236084,3.2375528812408447,-0.0003993511199951172,0.526296203956008,0.0,1.0,0.0,0.7,0.9996937747763095,0.6997856423427167,1,1
15,0,handwriting_train_65,25,0.21112648568369738,0.21112648568369738,0.9999999999989999,0.5062992691276228,6,0.00017707065143326517,0.0011666451658518167,1.1580268645631198,0.29957605623032757,-0.2548372149467468,1.0,3.1787333488464355,3.184190511703491,0.005457162857055664,0.6274186074733734,0.005457162857055664,0.8374306648655392,1.0,0.8862014654058774,0.9988340351000511,0.8851681856020456,1,1
16,1,handwriting_train_70,9,0.027981626202856467,0.027981626202856467,0.9999999999989999,0.31029889949808653,6,0.00015703718492394395,0.00022381081802602212,1.0245913783744502,0.03693656494147344,-0.07715727388858795,1.0,3.2269887924194336,3.227233409881592,0.0002446174621582031,0.538578636944294,0.0002446174621582031,1.0,1.0,1.0,0.9997762142257468,0.9997762142247469,1,1
17,0,handwriting_train_111,13,0.1918574210702825,0.07272215850859665,0.3790427188213056,0.14544431701795138,6,0.0001557955835763638,0.0001684749464264738,1.0738485131877795,0.10057132323466114,-0.06824618577957153,1.0,3.236959218978882,3.23761248588562,0.0006532669067382812,0.5341230928897858,0.0006532669067382812,1.0,1.0,1.0,0.9998315392446804,0.37897886499859457,1,1
18,1,handwriting_train_130,0,0.11377966474328999,0.06344555563597365,0.5576177059323935,0.12689111127306252,6,0.00015662644270714095,0.00017096875089730047,1.0614334561553445,0.08825921143001327,-0.12494897842407227,1.0,3.2070953845977783,3.2057294845581055,-0.0013659000396728516,0.5624744892120361,0.0,1.0,0.0,0.7,0.9998290458634268,0.39026566521525646,1,1
19,2,handwriting_train_9,25,0.1222975886197078,0.1222975886197078,0.9999999999989999,0.31258924911014907,6,0.0001674094866171149,0.0003225511972183306,1.0737221623296456,0.15239418383735615,-0.05463181436061859,1.0,3.2022855281829834,3.2037949562072754,0.0015094280242919922,0.5273159071803093,0.0015094280242919922,1.0,1.0,1.0,0.9996775008168266,0.9996775008158268,1,1
20,2,handwriting_train_66,25,0.0851345270214994,0.0851345270214994,0.9999999999989999,1.3757184615463518,6,0.00016356978273465622,0.002263635330206194,1.0506304774159623,0.10522544019912976,-0.13666710257530212,1.0,3.158764362335205,3.1616485118865967,0.0028841495513916016,0.5683335512876511,0.0028841495513916016,1.0,1.0,1.0,0.99773892476018,0.9977389247591821,1,1
21,3,handwriting_train_74,24,0.07573413495613274,0.07573413495613274,0.9999999999989999,0.23617920622898309,6,0.00015892631196843062,0.00047676428926811783,1.0741372798303308,0.11019063243457419,-0.14111757278442383,1.0,3.236645460128784,3.237300157546997,0.0006546974182128906,0.5705587863922119,0.0006546974182128906,1.0,1.0,1.0,0.9995233493447662,0.9995233493437665,1,1
22,2,handwriting_train_113,20,0.007474522132577186,0.007474522132577186,0.9999999999989999,0.21468692114163374,6,0.00015543009925481744,0.00041097874971397216,1.0060928864582885,0.009591067008746883,-0.09177987277507782,1.0,3.2412872314453125,3.241321086883545,3.3855438232421875e-05,0.5458899363875389,3.3855438232421875e-05,1.0,0.03980099502487562,0.7119402985074627,0.9995891056904843,0.7116477662893793,1,1
23,0,handwriting_train_90,10,0.08216763024789085,0.08114759826841526,0.9875859632743526,0.16229519653880572,6,0.00015506022183032377,0.00022147462046997636,1.083919113398371,0.11355003040109642,-0.11349543929100037,1.0,3.215529441833496,3.217423439025879,0.0018939971923828125,0.5567477196455002,0.0018939971923828125,1.0,1.0,1.0,0.9997785499032233,0.9873672622672102,1,1
24,2,handwriting_train_102,25,0.17168367181196398,0.17168367181196398,0.9999999999989999,0.4623095435397425,6,0.0001718422177375899,0.0006870046080656762,1.116537250131987,0.21992335615180886,-0.15349751710891724,1.0,3.173614978790283,3.177462339401245,0.003847360610961914,0.5767487585544586,0.003847360610961914,0.9976576872195201,1.0,0.9983603810536641,0.9993132313255679,0.9976747384171646,1,1
25,2,handwriting_train_33,0,0.10975652780818952,0.08797483949799884,0.801545395565498,0.17594967899760075,6,0.0001564809309587766,0.00021381202293987764,1.0904279099333127,0.12344449866706489,-0.0003004958853125572,1.0,3.2358903884887695,3.236358642578125,0.00046825408935546875,0.5001502479426563,0.00046825408935546875,0.6445506336560126,1.0,0.7511854435592089,0.9997862108332217,0.6019805090693705,1,1
