anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,1,motorimagery_train_253,0,0.0649732616707546,0.0649732616707546,0.9999999999989999,5.191633618292209,10,0.0007213538728690906,8.900133371315829e-05,1.0358145606661255,0.1051735520058947,-0.029153335839509964,1.0,0.6855474710464478,0.6853450536727905,-0.00020241737365722656,0.514576667919755,0.0,1.0,0.0,0.7,0.9999110026267881,0.6999377018380516,1,1
1,1,motorimagery_train_45,1,0.20780458033637716,0.20780458033637716,0.9999999999989999,5.933630580153005,10,0.0007287453792174344,0.00010817550861922549,1.1667773920023568,0.3469987662403304,0.021416831761598587,0.0,0.5583398938179016,0.5551699995994568,-0.0031698942184448242,0.4892915841192007,0.0,1.0,0.0,0.7,0.9998918303421402,0.6999242812387981,1,1
2,1,motorimagery_train_169,1,0.2946445821959715,0.2946445821959715,0.9999999999989999,4.961788672741905,10,0.000728841799927173,6.526757277693753e-05,1.7467044824902074,0.928062168243806,-0.08977814763784409,1.0,0.6522293090820312,0.6321067810058594,-0.020122528076171875,0.544889073818922,0.0,1.0,0.0,0.7,0.9999347345571048,0.6999543141892732,1,1
3,1,motorimagery_train_107,0,0.2533561252125213,0.2533561252125213,0.9999999999989999,5.968356738294744,10,0.0007065785896581935,0.00010543657361291239,1.099159033193478,0.33239997134409327,-0.12084506452083588,1.0,0.6886515617370605,0.6854107975959778,-0.0032407641410827637,0.5604225322604179,0.0,1.0,0.0,0.7,0.9998945689846274,0.6999261982885391,1,1
4,1,motorimagery_train_193,0,0.2566327167302101,0.2566327167302101,0.9999999999989999,5.157665047919663,10,0.0007005056151675393,9.507342491102407e-05,1.0998702874249076,0.30426293336276955,-0.1423569619655609,1.0,0.6250091791152954,0.5987350344657898,-0.026274144649505615,0.5711784809827805,0.0,1.0,0.0,0.7,0.9999049310944239,0.6999334517653967,1,1
5,3,motorimagery_train_50,1,0.23899866658692878,0.23899866658692878,0.9999999999989999,6.335207484687489,10,0.0007265233209847797,0.00013596830085893817,1.2058550695812245,0.41691733059239544,0.02851342409849167,0.0,0.6183568239212036,0.6160979270935059,-0.002258896827697754,0.48574328795075417,0.0,1.0,0.0,0.7,0.9998640409424117,0.6999048286589881,1,1
6,3,motorimagery_train_109,1,0.2207356946546916,0.2207356946546916,0.9999999999989999,5.788561608027553,10,0.0007303502139474746,0.00013534837779559795,1.1220664882699987,0.3197926014491636,-0.08364155888557434,1.0,0.6335840225219727,0.6420014500617981,0.00841742753982544,0.5418207794427872,0.00841742753982544,1.0,1.0,1.0,0.9998646607813829,0.9998646607803829,1,1
7,0,motorimagery_train_143,1,0.1313541004883171,0.1313541004883171,0.9999999999989999,5.581615301777731,10,0.0007186441074958295,0.00011544407534851828,1.0926334838731948,0.2112795905822431,-0.1469491422176361,1.0,0.6715502142906189,0.67612624168396,0.0045760273933410645,0.573474571108818,0.0045760273933410645,1.0,1.0,1.0,0.9998845625880624,0.9998845625870624,1,1
8,3,motorimagery_train_195,1,0.21088355717083646,0.21088355717083646,0.9999999999989999,5.429304710853633,10,0.0007226902512590531,0.00011134472613583057,1.2034264207801788,0.37152515286021065,-0.0734899714589119,1.0,0.6631947755813599,0.6718964576721191,0.008701682090759277,0.536744985729456,0.008701682090759277,1.0,1.0,1.0,0.9998886614724581,0.9998886614714582,1,1
9,1,motorimagery_train_218,1,0.21871152476172984,0.21871152476172984,0.9999999999989999,5.9923708472788375,10,0.0007329778241152255,0.00012936165845990483,1.3732253435132509,0.5343362612873969,-0.19118182361125946,1.0,0.5165738463401794,0.5558236837387085,0.03924983739852905,0.5955909118056297,0.03924983739852905,1.0,1.0,1.0,0.9998706467083988,0.9998706467073988,1,1
10,1,motorimagery_train_126,0,0.17664719557251415,0.17664719557251415,0.9999999999989999,5.301887453568055,10,0.0007083387853445719,8.874711255527628e-05,1.1109016814903576,0.2508613443617271,-0.058998268097639084,1.0,0.5591957569122314,0.5664538741111755,0.007258117198944092,0.5294991340488195,0.007258117198944092,0.8622935162094656,1.0,0.9036054613466259,0.9999112568253533,0.9035252725284543,1,1
11,2,motorimagery_train_76,0,0.24449850332812353,0.24449850332812353,0.9999999999989999,6.352247319811301,10,0.000701372128071388,9.142208433517253e-05,1.1013389914100176,0.2972449877863926,-0.054095309227705,1.0,0.5443382263183594,0.5501364469528198,0.005798220634460449,0.5270476546138525,0.005798220634460449,1.0,1.0,1.0,0.9999085820945363,0.9999085820935363,1,1
12,3,motorimagery_train_16,1,0.28173013050159573,0.28173013050159573,0.9999999999989999,5.036245920109834,10,0.0007197007488842487,8.54407026854018e-05,1.3470954500970522,0.538346504051714,-0.0750550776720047,1.0,0.684759795665741,0.6906384229660034,0.005878627300262451,0.5375275388360023,0.005878627300262451,0.9445258232424428,1.0,0.96116807626971,0.9999145629472675,0.9610859569011319,1,1
13,0,motorimagery_train_250,0,0.1782627212572609,0.1782627212572609,0.9999999999989999,5.454953700449757,10,0.0007090378012869436,0.00011953964370750197,1.10517143801026,0.24634973139105393,-0.05776623636484146,1.0,0.687756359577179,0.6866195201873779,-0.0011368393898010254,0.5288831181824207,0.0,1.0,0.0,0.7,0.9998804675008711,0.6999163272499097,1,1
14,0,motorimagery_train_117,1,0.2152689086727061,0.2152689086727061,0.9999999999989999,5.133375301074025,10,0.0007204114085817491,0.00010904201733575115,1.187942016744968,0.3729583540982949,-0.026422448456287384,1.0,0.6740828156471252,0.6755927801132202,0.0015099644660949707,0.5132112242281437,0.0015099644660949707,1.0,1.0,1.0,0.999890963927529,0.999890963926529,1,1
15,1,motorimagery_train_49,1,0.22825100455016287,0.22825100455016287,0.9999999999989999,6.096840575034875,10,0.00073085851495451,0.0001302986070335364,1.1814703779175957,0.39379233161067395,-0.0017137285321950912,1.0,0.5023753046989441,0.5035011172294617,0.0011258125305175781,0.5008568642660975,0.0011258125305175781,1.0,1.0,1.0,0.9998697098814613,0.9998697098804613,1,1
16,1,motorimagery_train_166,0,0.14207990117581454,0.14207990117581454,0.9999999999989999,4.796443793676382,10,0.0007148845797816747,9.116240121366919e-05,1.099814202475953,0.22760692071321525,-0.12340185046195984,1.0,0.6929371356964111,0.6930841207504272,0.00014698505401611328,0.5617009252309799,0.00014698505401611328,1.0,0.7053775743707094,0.9116132723112128,0.9999088417539518,0.911530171243323,1,1
17,2,motorimagery_train_190,1,0.2469809975366428,0.2469809975366428,0.9999999999989999,5.598218499769602,10,0.0007204361739881133,0.00010124266105940815,1.1692272270511328,0.35676434112475697,-0.02229233831167221,1.0,0.5217545628547668,0.5241080522537231,0.002353489398956299,0.5111461691558361,0.002353489398956299,1.0,1.0,1.0,0.9998987624638059,0.999898762462806,1,1
18,1,motorimagery_train_48,1,0.23290290029123,0.23290290029123,0.9999999999989999,5.440409435924852,10,0.0007210972065654198,0.00012537242199879298,1.2157545959536291,0.404435747102146,-0.012509798631072044,1.0,0.6378369331359863,0.6401289701461792,0.002292037010192871,0.506254899315536,0.002292037010192871,1.0,1.0,1.0,0.9998746354367949,0.9998746354357949,1,1
19,0,motorimagery_train_9,0,0.1685135339336471,0.1685135339336471,0.9999999999989999,6.768718072527966,10,0.0007090972162231749,0.0001178340678551827,1.0947467502179844,0.26173148645594574,-0.06540670990943909,1.0,0.6634272336959839,0.6658672094345093,0.0024399757385253906,0.5327033549547195,0.0024399757385253906,1.0,1.0,1.0,0.9998821728743059,0.9998821728733059,1,1
20,0,motorimagery_train_97,1,0.15986571455653514,0.15986571455653514,0.9999999999989999,5.7220018697400405,10,0.0007182878424948826,0.00010779112207828892,1.2778867430648047,0.41463997877390507,-0.07430372387170792,1.0,0.6931318044662476,0.6930397748947144,-9.202957153320312e-05,0.537151861935854,0.0,1.0,0.0,0.7,0.999892214687176,0.6999245502803232,1,1
21,0,motorimagery_train_153,1,0.2379096073908881,0.2379096073908881,0.9999999999989999,5.293171909046201,10,0.0007188344482906624,0.00010727940861333521,1.3671612419675474,0.56019011076936,-0.08107519149780273,1.0,0.6359992623329163,0.6266821622848511,-0.009317100048065186,0.5405375957489014,0.0,1.0,0.0,0.7,0.9998927263456168,0.6999249084412317,1,1
22,2,motorimagery_train_181,0,0.18833102804167748,0.18833102804167748,0.9999999999989999,6.1080987154345925,10,0.0007369038238552284,9.644170844170482e-05,1.1071096795381845,0.2714953513598628,-0.023709919303655624,1.0,0.6912813186645508,0.6910626292228699,-0.0002186894416809082,0.5118549596518278,0.0,1.0,0.0,0.7,0.9999035629419104,0.6999324940586372,1,1
23,1,motorimagery_train_270,0,0.10441997734530843,0.10441997734530843,0.9999999999989999,5.939826426676137,10,0.0007182633507818244,0.00011039768757973705,1.0639778440872143,0.1724393588187601,-0.07519915699958801,1.0,0.5861694812774658,0.5900684595108032,0.0038989782333374023,0.537599578499794,0.0038989782333374023,1.0,0.902187405180261,0.9706562215540783,0.9998896084060208,0.9705490692656045,1,1
24,2,motorimagery_train_75,0,0.1116312274649718,0.1116312274649718,0.9999999999989999,5.345741648722199,10,0.0007200055589045021,9.010776137592564e-05,1.070647697726155,0.2011559082147338,-0.06271447241306305,1.0,0.5876133441925049,0.5910863876342773,0.003473043441772461,0.5313572362065315,0.003473043441772461,1.0,1.0,1.0,0.9999098962982065,0.9999098962972065,1,1
25,0,motorimagery_train_239,1,0.18797570590711915,0.18797570590711915,0.9999999999989999,5.625208722731395,10,0.0007203361217058001,0.00014734558747164068,1.1542753844826368,0.2982729987048351,-0.03554927557706833,1.0,0.572141706943512,0.5788582563400269,0.006716549396514893,0.5177746377885342,0.006716549396514893,0.956133691069343,1.0,0.9692935837485401,0.9998526652673564,0.9691507731365562,1,1
26,0,motorimagery_train_59,0,0.15023031804656056,0.15023031804656056,0.9999999999989999,5.367039268530121,10,0.00073078244971573,0.00010242296230123973,1.0880244313543719,0.22175299258623993,-0.05489015951752663,1.0,0.6444611549377441,0.6461364030838013,0.001675248146057129,0.5274450797587633,0.001675248146057129,1.0,1.0,1.0,0.9998975822827514,0.9998975822817514,1,1
27,2,motorimagery_train_276,1,0.23284364148857667,0.23284364148857667,0.9999999999989999,5.221531568498575,10,0.0007328934257746006,0.00010921307076250591,1.1588316057675625,0.39065010509189924,-0.11656227707862854,1.0,0.5231202840805054,0.5373526811599731,0.014232397079467773,0.5582811385393143,0.014232397079467773,1.0,1.0,1.0,0.9998907928927678,0.9998907928917679,1,1
28,0,motorimagery_train_71,0,0.15043931852052952,0.15043931852052952,0.9999999999989999,5.963820498543657,10,0.000715232106793019,5.6050770912003065e-05,1.1525584480762663,0.28760618235897206,-0.03656045347452164,1.0,0.5329979658126831,0.5381952524185181,0.005197286605834961,0.5182802267372608,0.005197286605834961,1.0,1.0,1.0,0.9999439507999032,0.9999439507989032,1,1
29,0,motorimagery_train_24,0,0.09251374578586877,0.09251374578586877,0.9999999999989999,6.029864579770738,10,0.0007164670066668435,9.231191103708403e-05,1.0387153011065515,0.1315947336552809,-0.07143161445856094,1.0,0.6776866912841797,0.6788032054901123,0.0011165142059326172,0.5357158072292805,0.0011165142059326172,1.0,1.0,1.0,0.9999076923495763,0.9999076923485763,1,1
30,0,motorimagery_train_144,1,0.17976277528613938,0.17976277528613938,0.9999999999989999,5.392805128331468,10,0.0007126931590377131,0.000103178920943306,1.1194797645886643,0.27299265563572833,-0.01894034445285797,1.0,0.5268182158470154,0.5281882882118225,0.001370072364807129,0.509470172226429,0.001370072364807129,1.0,1.0,1.0,0.9998968264018185,0.9998968264008186,1,1
31,0,motorimagery_train_175,1,0.20302075762661861,0.20302075762661861,0.9999999999989999,6.392280435868691,10,0.0007311796483171568,0.00010338664425017287,1.0818375188599565,0.29011491152836927,-0.08185231685638428,1.0,0.4832332730293274,0.4905412197113037,0.007307946681976318,0.5409261584281921,0.007307946681976318,1.0,1.0,1.0,0.9998966186999648,0.9998966186989648,1,1
32,1,motorimagery_train_225,1,0.1786827865112722,0.1786827865112722,0.9999999999989999,6.244670215601389,10,0.0007244624664521912,8.744543076840047e-05,1.103117717388594,0.27495549989414214,-0.0812937542796135,1.0,0.6145504117012024,0.6244145631790161,0.00986415147781372,0.5406468771398067,0.00986415147781372,1.0,0.9384615384615385,0.9815384615384615,0.999912558392472,0.9814526342365524,1,1
33,2,motorimagery_train_228,0,0.19299446233888684,0.19299446233888684,0.9999999999989999,6.44870403276289,10,0.0007067250785999557,0.00010764323258719686,1.1110766260980178,0.2730248135734555,-0.04552876949310303,1.0,0.6434000730514526,0.6484266519546509,0.005026578903198242,0.5227643847465515,0.005026578903198242,1.0,1.0,1.0,0.9998923625607378,0.9998923625597378,1,1
34,3,motorimagery_train_148,0,0.09821642589206517,0.09821642589206517,0.9999999999989999,5.440409435924852,10,0.0007239913474985494,0.00010764953491063583,1.05026608607423,0.15594436275277668,0.022003749385476112,0.0,0.6473197937011719,0.6478593349456787,0.0005395412445068359,0.48899812530726194,0.0005395412445068359,1.0,0.0,0.7,0.9998923562590927,0.6999246493806648,1,1
35,2,motorimagery_train_52,0,0.29960269268896844,0.29960269268896844,0.9999999999989999,5.351086922084331,10,0.0007045752582457154,7.603510944372584e-05,1.4288870196639527,0.6324524262959653,-0.07357096672058105,1.0,0.5714758038520813,0.584398627281189,0.012922823429107666,0.5367854833602905,0.012922823429107666,0.9136346020345582,1.0,0.9395442214241907,0.999923967781152,0.9394727857913905,1,1
36,2,motorimagery_train_22,1,0.19417264191784744,0.19417264191784744,0.9999999999989999,6.815055590164215,10,0.0007182010274658636,9.838885594373772e-05,1.228176473063147,0.4319423166985551,-0.10099567472934723,1.0,0.33163976669311523,0.34731951355934143,0.015679746866226196,0.5504978373646736,0.015679746866226196,1.0,1.0,1.0,0.9999016159840811,0.9999016159830811,1,1
37,1,motorimagery_train_118,1,0.13666665257879068,0.13666665257879068,0.9999999999989999,7.163304746221776,10,0.0007199496229519735,0.00012192341354054491,1.1169685252123234,0.23811821284603307,-0.1457464098930359,1.0,0.45883864164352417,0.478171169757843,0.019332528114318848,0.5728732049465179,0.019332528114318848,1.0,1.0,1.0,0.9998780840188168,0.9998780840178169,1,1
38,3,motorimagery_train_222,1,0.23043346103350254,0.23043346103350254,0.9999999999989999,5.479408519172219,10,0.0007289821256362965,9.847880389764072e-05,1.355386021738492,0.5552493604462754,-0.03359321877360344,1.0,0.6931394338607788,0.6927906274795532,-0.00034880638122558594,0.5167966093868017,0.0,1.0,0.0,0.7,0.9999015260449806,0.6999310682307863,1,1
39,1,motorimagery_train_243,1,0.17043418428411203,0.17043418428411203,0.9999999999989999,5.936609430214273,10,0.0007322291018729378,0.00011776017911533041,1.1096643395775945,0.2820719034423524,-0.06768796592950821,1.0,0.6926746368408203,0.6917895078659058,-0.0008851289749145508,0.5338439829647541,0.0,1.0,0.0,0.7,0.9998822467543425,0.6999175727273397,1,1
40,0,motorimagery_train_30,0,0.09677751401919814,0.09677751401919814,0.9999999999989999,4.797458058383488,10,0.0007248672851387743,0.00010845597589098828,1.0419850671629336,0.14649027534856868,-0.03986179083585739,1.0,0.6482340693473816,0.6491087079048157,0.000874638557434082,0.5199308954179287,0.000874638557434082,1.0,1.0,1.0,0.9998915499052458,0.9998915499042458,1,1
41,0,motorimagery_train_29,0,0.13875096409118154,0.13875096409118154,0.9999999999989999,6.3512350686074175,10,0.0007119380261713532,9.4303894600579e-05,1.0853935022790189,0.21276838241846294,-0.09464258700609207,1.0,0.6917011737823486,0.6929939985275269,0.0012928247451782227,0.547321293503046,0.0012928247451782227,1.0,1.0,1.0,0.999905700551872,0.999905700550872,1,1
42,0,motorimagery_train_245,0,0.08064280072529124,0.08064280072529124,0.9999999999989999,7.105368026041363,10,0.0007249165143801283,0.0001402156467849629,1.025465396146521,0.11092984665247334,-0.06362284719944,1.0,0.5494157075881958,0.5509722232818604,0.0015565156936645508,0.53181142359972,0.0015565156936645508,1.0,0.8953576081739011,0.9686072824521703,0.9998597941829694,0.9684714780757838,1,1
43,2,motorimagery_train_241,0,0.20316141696488876,0.20316141696488876,0.9999999999989999,5.919053074448359,10,0.000707840432727059,0.00011107753082887796,1.2309554427380986,0.3906181411826524,-0.10729694366455078,1.0,0.5993821024894714,0.6150705814361572,0.01568847894668579,0.5536484718322754,0.01568847894668579,1.0,1.0,1.0,0.9998889286380517,0.9998889286370517,1,1
44,0,motorimagery_train_110,1,0.18974261298383743,0.18974261298383743,0.9999999999989999,6.5710596612680785,10,0.0007305895465247018,0.00011324303770923977,1.1640003320854293,0.2972332561005553,-0.18288393318653107,1.0,0.6902512311935425,0.6800019145011902,-0.010249316692352295,0.5914419665932655,0.0,1.0,0.0,0.7,0.9998867633740416,0.699920734361129,1,1
45,0,motorimagery_train_131,1,0.18464226838654157,0.18464226838654157,0.9999999999989999,5.701092810800693,10,0.0007157512058119128,0.00012302475146726174,1.1622679975873658,0.3204893796197568,-0.01957865059375763,1.0,0.6135914325714111,0.6159220337867737,0.002330601215362549,0.5097893252968788,0.002330601215362549,1.0,1.0,1.0,0.9998769828157672,0.9998769828147672,1,1
46,1,motorimagery_train_154,1,0.2119995319506235,0.2119995319506235,0.9999999999989999,5.847337135079324,10,0.00072661906500292,0.00011111313647312264,1.2832179332538967,0.45031743339080704,0.043684568256139755,0.0,0.6634013652801514,0.6584098935127258,-0.004991471767425537,0.4781577158719301,0.0,1.0,0.0,0.7,0.9998888930363629,0.6999222251247539,1,1
47,1,motorimagery_train_111,1,0.23203546475765857,0.23203546475765857,0.9999999999989999,4.797458058383488,10,0.0007194472617551284,0.00011416232027113678,1.2800306208601542,0.459266665384046,-0.009853626601397991,1.0,0.6864000558853149,0.6867592334747314,0.0003591775894165039,0.504926813300699,0.0003591775894165039,1.0,1.0,1.0,0.9998858441959987,0.9998858441949987,1,1
48,1,motorimagery_train_264,0,0.13306243328970602,0.13306243328970602,0.9999999999989999,5.880453979812571,10,0.0007308127552103772,0.00012922356100616116,1.042827938113529,0.1652731356330586,-0.021476907655596733,1.0,0.6929323673248291,0.6929620504379272,2.968311309814453e-05,0.5107384538277984,2.968311309814453e-05,1.0,1.0,1.0,0.9998707847879986,0.9998707847869986,1,1
49,3,motorimagery_train_104,0,0.1833157093890453,0.1833157093890453,0.9999999999989999,5.894486217208566,10,0.0007120982324558896,9.847844855856444e-05,1.1287946023560411,0.2908016551874818,-0.08242723345756531,1.0,0.6288574934005737,0.6358051300048828,0.006947636604309082,0.5412136167287827,0.006947636604309082,1.0,1.0,1.0,0.9999015264002847,0.9999015263992848,1,1
50,2,motorimagery_train_267,0,0.2187984762206307,0.2187984762206307,0.9999999999989999,5.1530762827326795,10,0.0007025885289293123,0.00011059684520239235,1.1091975956469755,0.28545073458438963,-0.04996202513575554,1.0,0.6785562038421631,0.6828112602233887,0.004255056381225586,0.5249810125678778,0.004255056381225586,1.0,1.0,1.0,0.9998894092704033,0.9998894092694033,1,1
51,0,motorimagery_train_96,1,0.1266145641300572,0.1266145641300572,0.9999999999989999,6.8086779069162,10,0.0007173269644224472,0.00012586886703550384,1.1309220815365788,0.22546187017776814,-0.2576758563518524,1.0,0.6848505735397339,0.6923030614852905,0.007452487945556641,0.6288379281759262,0.007452487945556641,1.0,1.0,1.0,0.999874139054118,0.9998741390531181,1,1
52,2,motorimagery_train_223,1,0.2562579717347281,0.2562579717347281,0.9999999999989999,5.610987999096156,10,0.0007243936462446843,0.00014238862173283654,1.2761867712108168,0.4975283836724848,0.00032014958560466766,0.0,0.6300139427185059,0.630423903465271,0.0004099607467651367,0.49983992520719767,0.0004099607467651367,1.0,1.0,1.0,0.9998576215150459,0.9998576215140459,1,1
53,2,motorimagery_train_20,0,0.18763111904287624,0.18763111904287624,0.9999999999989999,5.523903068573263,10,0.0007082070577723673,0.00010445353307948906,1.100261019519116,0.2507844605491857,-0.059267617762088776,1.0,0.6907737255096436,0.6896216869354248,-0.00115203857421875,0.5296338088810444,0.0,1.0,0.0,0.7,0.999895551922001,0.6999268863447006,1,1
54,3,motorimagery_train_98,0,0.15888231764412866,0.15888231764412866,0.9999999999989999,5.971679134107167,10,0.0007087791857831688,0.00012346294537375087,1.088068202920715,0.2242083073295166,-0.08329230546951294,1.0,0.6895976662635803,0.6914122104644775,0.0018145442008972168,0.5416461527347565,0.0018145442008972168,1.0,1.0,1.0,0.9998765446758621,0.9998765446748621,1,1
55,3,motorimagery_train_86,1,0.12167599535474,0.12167599535474,0.9999999999989999,5.919053074448359,10,0.0007261222191457692,0.00011113101226927044,1.0911350606126786,0.20916001939682735,-0.02437571808695793,1.0,0.5699059963226318,0.5719379782676697,0.002031981945037842,0.512187859043479,0.002031981945037842,1.0,1.0,1.0,0.999888875162553,0.999888875161553,1,1
56,1,motorimagery_train_95,1,0.1944348421413224,0.1944348421413224,0.9999999999989999,5.60436164702021,10,0.0007164583848189198,9.284087087896376e-05,1.2005601735952727,0.3502252008001837,-0.04824689030647278,1.0,0.625053882598877,0.6342830657958984,0.009229183197021484,0.5241234451532364,0.009229183197021484,1.0,1.0,1.0,0.9999071634387013,0.9999071634377014,1,1
57,1,motorimagery_train_259,1,0.13947623087658728,0.13947623087658728,0.9999999999989999,5.575611879979345,10,0.0007231427629539241,0.00012980664725661045,1.1049883760637336,0.24804947761376026,-0.06751453876495361,1.0,0.635667085647583,0.6422069072723389,0.006539821624755859,0.5337572693824768,0.006539821624755859,1.0,1.0,1.0,0.9998702017772617,0.9998702017762617,1,1
58,2,motorimagery_train_32,1,0.24823575025045735,0.24823575025045735,0.9999999999989999,5.374920653504545,10,0.0007289391818828207,0.00010244023328276839,1.3523404685560265,0.552947149901477,-0.026102017611265182,1.0,0.6828778982162476,0.6841424703598022,0.0012645721435546875,0.5130510088056326,0.0012645721435546875,1.0,0.8979557286155669,0.9693867185846701,0.9998975650135388,0.9692874194683068,1,1
59,0,motorimagery_train_204,1,0.22498281545137724,0.22498281545137724,0.9999999999989999,4.925978092474562,10,0.0007287472525726764,9.551051441074859e-05,1.1850871415342286,0.3931267297799751,-0.1369635909795761,1.0,0.45756226778030396,0.49760276079177856,0.04004049301147461,0.568481795489788,0.04004049301147461,1.0,1.0,1.0,0.9999044940465733,0.9999044940455734,1,1
60,1,motorimagery_train_133,1,0.21268758953238429,0.21268758953238429,0.9999999999989999,5.371090876823187,10,0.000725333272469,0.00010201157943976773,1.3255973081711805,0.5003704690242259,-0.08439666032791138,1.0,0.6866033673286438,0.6898963451385498,0.003292977809906006,0.5421983301639557,0.003292977809906006,1.0,1.0,1.0,0.9998979936235646,0.9998979936225646,1,1
