anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,natops_train_45,5,0.1799343854654579,0.1799343854654579,0.9999999999989999,8.56003059520893,10,0.00045375702038238073,2.3204197515475364,1.682197066232638,0.8361444460532157,-0.11425425112247467,1.0,1.3103487491607666,1.3235325813293457,0.013183832168579102,0.5571271255612373,0.013183832168579102,1.0,1.0,1.0,0.09823234377098937,0.09823234377089113,1,1
1,2,natops_train_2,2,0.17388976104831655,0.17388976104831655,0.9999999999989999,3.403803584599296,10,0.00044659419251405166,5.358572188012579,1.3396378784100427,0.5016876621873516,-0.13461412489414215,1.0,1.14371919631958,1.1439449787139893,0.0002257823944091797,0.5673070624470711,0.0002257823944091797,1.0,0.3817778673654505,0.8145333602096352,0.004707622911701043,0.0038345159088638823,1,1
2,2,natops_train_70,2,0.18011350763804287,0.18011350763804287,0.9999999999989999,3.7057251736594052,10,0.00046175145075402405,4.762926422480695,1.7340517042684356,0.8698390213896233,-0.05597829073667526,1.0,1.0262494087219238,1.0288360118865967,0.0025866031646728516,0.5279891453683376,0.0025866031646728516,1.0,1.0,1.0,0.008540579447563389,0.008540579447554847,1,1
3,2,natops_train_48,0,0.20819576415360885,0.20819576415360885,0.9999999999989999,5.125926047346305,10,0.0004495032849004371,4.409369034230318,1.4417792908634426,0.6564404856543127,-0.11526723206043243,1.0,1.0247697830200195,1.0106194019317627,-0.014150381088256836,0.5576336160302162,0.0,1.0,0.0,0.7,0.012162850251470911,0.008513995176021121,1,1
4,2,natops_train_58,1,0.2335604987535052,0.2335604987535052,0.9999999999989999,4.64570038529819,10,0.0004684352379863378,4.685491831965941,1.782206289925366,0.9651206392345064,-0.010393422096967697,1.0,1.131870985031128,1.1317729949951172,-9.799003601074219e-05,0.5051967110484838,0.0,1.0,0.0,0.7,0.009228194774726384,0.006459736342302008,1,1
5,1,natops_train_106,1,0.24345263386646604,0.24345263386646604,0.9999999999989999,5.467487014082286,10,0.0004666334220015444,4.2356454839459925,1.6717924408658424,0.8943660188318517,-0.039279647171497345,1.0,1.0965412855148315,1.099286437034607,0.0027451515197753906,0.5196398235857487,0.0027451515197753906,0.8935619943960377,0.9166736384171338,0.9004954876023665,0.014470466728590104,0.013030589992582536,1,1
6,1,natops_train_50,3,0.20187016131179092,0.20187016131179092,0.9999999999989999,5.88439185467116,10,0.0004572165763698672,0.8891701194827977,1.4649517794962987,0.7005709911741427,-0.020132744684815407,1.0,1.429701328277588,1.431126594543457,0.0014252662658691406,0.5100663723424077,0.0014252662658691406,0.9465688167086164,1.0,0.9625981716960315,0.4109966894096095,0.39562466179841616,1,1
7,3,natops_train_73,2,0.17126010867938987,0.17126010867938987,0.9999999999989999,6.19161671181926,10,0.00044978042160891693,3.732575788275879,1.27693560562539,0.436811214696537,0.004492845386266708,0.0,1.0091722011566162,1.0106990337371826,0.0015268325805664062,0.49775357730686665,0.0015268325805664062,0.7913169195529579,1.0,0.8539218436870706,0.023931114895619023,0.020435301753133676,1,1
8,3,natops_train_133,5,0.22731712944414925,0.22731712944414925,0.9999999999989999,7.5988793742812035,10,0.00046088949788533135,2.011471006758102,1.4886455589412249,0.7978782620750744,-0.07764755189418793,1.0,1.1313350200653076,1.138221025466919,0.006886005401611328,0.538823775947094,0.006886005401611328,1.0,1.0,1.0,0.13379172131822786,0.13379172131809405,1,1
9,3,natops_train_145,5,0.19098223524859356,0.19098223524859356,0.9999999999989999,7.345372575857983,10,0.00044530677171799454,1.0116369102056317,1.3211634693781702,0.5550881476319722,-0.02717430889606476,1.0,1.0573657751083374,1.059381365776062,0.0020155906677246094,0.5135871544480324,0.0020155906677246094,1.0,1.0,1.0,0.3636232734984682,0.3636232734981045,1,1
10,3,natops_train_44,0,0.1412252985454986,0.1412252985454986,0.9999999999989999,4.975266532659251,10,0.000445683124271528,4.4233405199411875,1.2522574409939162,0.41734348015960715,-0.23213309049606323,1.0,0.7300671935081482,0.7426847219467163,0.012617528438568115,0.6160665452480316,0.012617528438568115,1.0,1.0,1.0,0.011994098762536431,0.011994098762524436,1,1
11,2,natops_train_100,5,0.1442180599099874,0.1442180599099874,0.9999999999989999,7.720682627195307,10,0.0004453782767393345,1.4689786793356228,1.4228748099912834,0.582143058845361,-0.10015707463026047,1.0,0.8587050437927246,0.8624786734580994,0.003773629665374756,0.5500785373151302,0.003773629665374756,1.0,1.0,1.0,0.23016043279401244,0.23016043279378226,1,1
12,0,natops_train_131,1,0.3350130929352645,0.3350130929352645,0.9999999999989999,4.49658668319937,10,0.0004791598736125427,5.207425130739703,2.124354503549944,1.3503526068958351,-0.07564780116081238,1.0,0.9559154510498047,0.9591303467750549,0.003214895725250244,0.5378239005804062,0.003214895725250244,1.0,1.0,1.0,0.005475754904194868,0.005475754904189391,1,1
13,0,natops_train_85,1,0.14682205548868152,0.14682205548868152,0.9999999999989999,4.676362313912464,10,0.00044923950034366823,4.406560703343354,1.4764455078210443,0.6184358464826558,-0.03775659203529358,1.0,0.7621831297874451,0.7644219398498535,0.0022388100624084473,0.5188782960176468,0.0022388100624084473,0.8552939087361718,1.0,0.8987057361153203,0.01219705556694696,0.01096156380172157,1,1
14,1,natops_train_111,3,0.16617801960810985,0.16617801960810985,0.9999999999989999,6.894502278677198,10,0.00044593077754778504,0.9611397845053921,1.2587246853764908,0.4569650070932469,0.027540607377886772,0.0,1.0529100894927979,1.0511738061904907,-0.001736283302307129,0.4862296963110566,0.0,1.0,0.0,0.7,0.3824567192117311,0.267719703447944,1,1
15,3,natops_train_49,5,0.15829741515964413,0.15829741515964413,0.9999999999989999,8.370226390272217,10,0.0004391592398915051,2.1272149366033846,1.2482531702080224,0.39371532181666047,-0.021340012550354004,1.0,0.973074197769165,0.9744806885719299,0.0014064908027648926,0.510670006275177,0.0014064908027648926,0.9810937616719381,1.0,0.9867656331703567,0.11916872456321075,0.11759160194760289,1,1
16,0,natops_train_78,2,0.3025982294803598,0.3025982294803598,0.9999999999989999,3.973017217025196,10,0.00046955794580871835,4.342140587594228,1.9210561644704565,1.2000849009367163,-0.06209029257297516,1.0,0.7941266298294067,0.7962462306022644,0.002119600772857666,0.5310451462864876,0.002119600772857666,0.9108220402405812,1.0,0.9375754281684069,0.013008652219031096,0.012196592674139778,1,1
17,0,natops_train_71,3,0.2867114417724946,0.2867114417724946,0.9999999999989999,6.631276359118053,10,0.0004609103196824205,0.8037790350062852,1.5505094858626611,0.8905830656705236,-0.14531032741069794,1.0,1.2960023880004883,1.3139972686767578,0.01799488067626953,0.572655163705349,0.01799488067626953,1.0,1.0,1.0,0.44763413865186424,0.44763413865141655,1,1
18,1,natops_train_60,3,0.19898976115953249,0.19898976115953249,0.9999999999989999,6.105773926929595,10,0.0004502974818950179,1.3380512335080894,1.3213171568060282,0.6130241499591577,-0.08841554820537567,1.0,1.1894588470458984,1.1952571868896484,0.00579833984375,0.5442077741026878,0.00579833984375,1.0,1.0,1.0,0.2623564421728916,0.2623564421726292,1,1
19,3,natops_train_98,4,0.08591038260665976,0.08591038260665976,0.9999999999989999,6.22630189604209,10,0.00044412089829340765,0.7237656597294384,1.2367226305779597,0.3400942185797095,-0.1899837702512741,1.0,1.0136559009552002,1.0242462158203125,0.010590314865112305,0.594991885125637,0.010590314865112305,1.0,1.0,1.0,0.4849227593841643,0.48492275938367935,1,1
20,2,natops_train_57,0,0.15930888659953352,0.15930888659953352,0.9999999999989999,4.068594733339137,10,0.0004504812137881613,4.511670756617591,1.4265115088801101,0.6427876509730708,-0.2581897974014282,1.0,0.702176570892334,0.6990792155265808,-0.003097355365753174,0.6290948987007141,0.0,1.0,0.0,0.7,0.010980099767842368,0.007686069837481969,1,1
21,0,natops_train_157,4,0.16300400287617772,0.16300400287617772,0.9999999999989999,5.3820657786474975,10,0.0004489720710372957,1.3164849475771503,1.21873427834639,0.4487730732635254,-0.1384124755859375,1.0,1.1774542331695557,1.1857306957244873,0.00827646255493164,0.5692062377929688,0.00827646255493164,1.0,1.0,1.0,0.26807594879919877,0.26807594879893065,1,1
22,2,natops_train_9,1,0.15196978335665268,0.15196978335665268,0.9999999999989999,3.7057251736594052,10,0.0004468932615616785,4.405663631794608,1.3694063246330317,0.5288787448115781,-0.13506878912448883,1.0,0.9578019976615906,0.959408164024353,0.0016061663627624512,0.5675343945622444,0.0016061663627624512,1.0,1.0,1.0,0.01220800210765556,0.012208002107643352,1,1
23,2,natops_train_59,4,0.13264186775080603,0.13264186775080603,0.9999999999989999,5.874341035620344,10,0.00044491442658129994,1.408575628069699,1.2572242311054078,0.4014178624388764,-0.05210547521710396,1.0,1.2892022132873535,1.29107666015625,0.0018744468688964844,0.526052737608552,0.0018744468688964844,1.0,0.7687869750158901,0.930636092504767,0.24449128177382973,0.2275324111212513,1,1
24,1,natops_train_128,5,0.18399610298007732,0.18399610298007732,0.9999999999989999,7.387980861809311,10,0.0004437909705883287,1.4574327686228241,1.2798911413709644,0.48522154176539717,-0.14475379884243011,1.0,0.8260842561721802,0.8395212888717651,0.013437032699584961,0.5723768994212151,0.013437032699584961,1.0,1.0,1.0,0.23283324493361301,0.23283324493338017,1,1
25,2,natops_train_84,1,0.20551463450452562,0.20551463450452562,0.9999999999989999,3.4570340570937756,10,0.0004427667867046018,5.333883608229184,1.366100122668167,0.5476670967753178,-0.12888315320014954,1.0,1.017937183380127,1.0183987617492676,0.000461578369140625,0.5644415766000748,0.000461578369140625,1.0,1.0,1.0,0.004825294024974927,0.004825294024970101,1,1
26,1,natops_train_11,0,0.14707754785243107,0.14707754785243107,0.9999999999989999,5.004781869480009,10,0.00045148235512591046,4.538635427578077,1.539283183119558,0.6822578802028416,-0.11068123579025269,1.0,1.4163541793823242,1.4204354286193848,0.004081249237060547,0.5553406178951263,0.004081249237060547,1.0,0.6054539666819935,0.881636190004598,0.010687981131525876,0.009422910963630082,1,1
27,1,natops_train_90,1,0.29355998438373754,0.29355998438373754,0.9999999999989999,4.822716720696434,10,0.00045890442854901376,5.3824189440690136,1.8675301797760915,1.0722252926953857,0.015253370627760887,0.0,0.8937222957611084,0.894399881362915,0.0006775856018066406,0.49237331468611956,0.0006775856018066406,0.7833635467844079,1.0,0.8483544827490855,0.004596689336453018,0.0038996220043809376,1,1
28,0,natops_train_146,5,0.15326075517586216,0.15326075517586216,0.9999999999989999,7.292305383113128,10,0.0004421143018680996,1.5657325274899123,1.2245908330922108,0.45635899918322875,-0.09080931544303894,1.0,1.206432580947876,1.2129530906677246,0.006520509719848633,0.5454046577215195,0.006520509719848633,1.0,1.0,1.0,0.2089349065400776,0.20893490653986865,1,1
29,3,natops_train_28,4,0.13376444050104888,0.13376444050104888,0.9999999999989999,6.2982921019696,10,0.00044192654194695876,0.8268084846291629,1.2538777182986338,0.4437732433670038,-0.03680270165205002,1.0,1.1398658752441406,1.141926884651184,0.002061009407043457,0.518401350826025,0.002061009407043457,1.0,1.0,1.0,0.43744316743462625,0.43744316743418876,1,1
30,1,natops_train_93,2,0.22056178314173447,0.22056178314173447,0.9999999999989999,3.2057775972443427,10,0.0004571670217835489,5.50782127729189,1.3505756716521706,0.5522620952288851,-0.15033936500549316,1.0,1.1824798583984375,1.1835445165634155,0.0010646581649780273,0.5751696825027466,0.0010646581649780273,1.0,1.0,1.0,0.004054932339332733,0.004054932339328678,1,1
31,1,natops_train_110,2,0.23045527417459544,0.23045527417459544,0.9999999999989999,6.279860691408564,10,0.000458211616755033,4.221674667548311,1.6324960702406832,0.8584771357369013,-0.12381519377231598,1.0,1.223461627960205,1.2261018753051758,0.002640247344970703,0.561907596886158,0.002640247344970703,1.0,1.0,1.0,0.014674049761702428,0.014674049761687753,1,1
32,2,natops_train_175,3,0.21253091787690706,0.21253091787690706,0.9999999999989999,6.64288722228018,10,0.00044542435577399933,1.1050112176022608,1.285616141148597,0.5521832212628668,-0.004625273868441582,1.0,1.1230380535125732,1.123652696609497,0.0006146430969238281,0.5023126369342208,0.0006146430969238281,0.9141615848022513,1.0,0.9399131093615759,0.33120716687087837,0.31130595805613426,1,1
33,0,natops_train_52,2,0.25455823665285104,0.25455823665285104,0.9999999999989999,5.024186462765771,10,0.0004880846691004779,4.651125855155515,2.138160120307853,1.386418175754536,-0.03958649933338165,1.0,1.0934600830078125,1.0945019721984863,0.0010418891906738281,0.5197932496666908,0.0010418891906738281,1.0,1.0,1.0,0.009550843009344931,0.00955084300933538,1,1
34,0,natops_train_20,3,0.17590551766922263,0.17590551766922263,0.9999999999989999,6.246698450537528,10,0.00044138517044397065,1.0057611869181153,1.2042718633872809,0.43825659581651893,-0.1398678421974182,1.0,1.2246339321136475,1.2342082262039185,0.009574294090270996,0.5699339210987091,0.009574294090270996,1.0,0.6928007038851701,0.907840211165551,0.3657661124337967,0.33205718474876855,1,1
35,2,natops_train_74,4,0.1895405224557785,0.1895405224557785,0.9999999999989999,6.335508094487865,10,0.0004500622096348206,0.8840294290822939,1.6007108456535348,0.7991358769736894,-0.08596518635749817,1.0,0.8811297416687012,0.8915761113166809,0.010446369647979736,0.5429825931787491,0.010446369647979736,1.0,1.0,1.0,0.4131149361058716,0.4131149361054584,1,1
36,2,natops_train_137,3,0.20524732373334953,0.20524732373334953,0.9999999999989999,6.229619478580398,10,0.00045036079106564796,0.7012824684384144,1.3416681379500337,0.617654432393096,-0.03482092171907425,1.0,1.2874385118484497,1.2911708354949951,0.00373232364654541,0.5174104608595371,0.00373232364654541,1.0,1.0,1.0,0.4959488570110026,0.4959488570105066,1,1
37,2,natops_train_83,4,0.28355201673117875,0.28355201673117875,0.9999999999989999,5.906336367897119,10,0.0004712560682832797,1.1068339069787227,1.7162690471803173,1.026668625223302,-0.12700718641281128,1.0,1.2925734519958496,1.3175013065338135,0.024927854537963867,0.5635035932064056,0.024927854537963867,0.9123066574124677,1.0,0.9386146601887274,0.33060402891996116,0.3103097882614232,1,1
38,0,natops_train_25,5,0.14219693681878254,0.14219693681878254,0.9999999999989999,7.603883786305812,10,0.00044631058628654313,2.1833863180607294,1.2676567722553091,0.47618920728687736,-0.15745189785957336,1.0,1.1928696632385254,1.1980767250061035,0.005207061767578125,0.5787259489297867,0.005207061767578125,1.0,1.0,1.0,0.11265938346474925,0.11265938346463658,1,1
39,0,natops_train_19,5,0.29911302012631663,0.29911302012631663,0.9999999999989999,8.451391869270513,10,0.0004542281708865273,2.275284728698318,1.3995432249982322,0.7195751371953447,-0.054480794817209244,1.0,0.9887463450431824,0.9936071634292603,0.004860818386077881,0.5272403974086046,0.004860818386077881,1.0,1.0,1.0,0.10276764337185589,0.1027676433717531,1,1
40,2,natops_train_154,0,0.20386292254375857,0.20386292254375857,0.9999999999989999,4.455661288961681,10,0.0004490249079058259,4.241880092597338,1.4418125845446523,0.6493452950826382,0.06101295351982117,0.0,1.3063299655914307,1.3180599212646484,0.011729955673217773,0.4694935232400894,0.011729955673217773,0.6595894680427737,0.811553195594058,0.705178586308159,0.014380529683996656,0.010140841592913136,1,1
41,2,natops_train_136,5,0.2111465722038304,0.2111465722038304,0.9999999999989999,8.50725023254448,10,0.0004532026835379859,1.8211548698458693,1.3790995566840398,0.6638908068735582,-0.0580790713429451,1.0,1.0024278163909912,1.0080573558807373,0.005629539489746094,0.5290395356714725,0.005629539489746094,1.0,1.0,1.0,0.16183874028713635,0.1618387402869745,1,1
42,3,natops_train_8,2,0.28711021986893376,0.28711021986893376,0.9999999999989999,5.296130664129201,10,0.00048389142562155354,3.7666839278687685,2.211579445867756,1.3689654480335596,-0.04320482909679413,1.0,1.055065631866455,1.052496075630188,-0.00256955623626709,0.5216024145483971,0.0,1.0,0.0,0.7,0.02312863247617149,0.01619004273330385,1,1
43,3,natops_train_88,5,0.28131940272395767,0.28131940272395767,0.9999999999989999,7.022674918168927,10,0.00047046289638004554,0.9888218034557715,1.5447850826293965,0.9699387796202646,-0.010079767554998398,1.0,1.0870630741119385,1.0913752317428589,0.00431215763092041,0.5050398837774992,0.00431215763092041,1.0,1.0,1.0,0.37201473939819224,0.3720147393978202,1,1
44,0,natops_train_22,4,0.28712493041309517,0.28712493041309517,0.9999999999989999,6.462100882138056,10,0.0004559717273097439,1.758748533099927,1.6135595359351167,0.9098359240563784,0.0074417926371097565,0.0,1.2510883808135986,1.2520816326141357,0.0009932518005371094,0.4962791036814451,0.0009932518005371094,1.0,1.0,1.0,0.17226030705737255,0.17226030705720027,1,1
45,2,natops_train_86,3,0.17634624933575663,0.17634624933575663,0.9999999999989999,6.423893220936234,10,0.0004455690568070324,0.9133881964956989,1.28447275445899,0.5327375992446806,-0.11251458525657654,1.0,1.1853749752044678,1.2018520832061768,0.016477108001708984,0.5562572926282883,0.016477108001708984,1.0,1.0,1.0,0.4011627007250923,0.4011627007246911,1,1
46,3,natops_train_105,1,0.19504431454520618,0.19504431454520618,0.9999999999989999,3.7371834102000534,10,0.0004508944242294148,4.763675594838887,1.4073470846150198,0.582892985652309,-0.003631814382970333,1.0,0.9958535432815552,0.9969015121459961,0.001047968864440918,0.5018159071914852,0.001047968864440918,1.0,1.0,1.0,0.008534183477659413,0.008534183477650878,1,1
47,0,natops_train_53,2,0.17236508767733655,0.17236508767733655,0.9999999999989999,5.064445540160946,10,0.0004467568635139488,4.873874539141442,1.4387409159342592,0.587123613549547,-0.10605539381504059,1.0,1.0141022205352783,1.0171561241149902,0.003053903579711914,0.5530276969075203,0.003053903579711914,1.0,1.0,1.0,0.007643692055911677,0.007643692055904033,1,1
48,2,natops_train_132,4,0.21862420407053285,0.21862420407053285,0.9999999999989999,5.972300436453187,10,0.00046055915192293607,1.212053818328127,1.6637179466272283,0.9256851811663243,-0.18242968618869781,1.0,1.0208373069763184,1.0458943843841553,0.025057077407836914,0.5912148430943489,0.025057077407836914,1.0,1.0,1.0,0.2975854648850209,0.2975854648847233,1,1
49,2,natops_train_0,3,0.16185138100526975,0.16185138100526975,0.9999999999989999,6.241510373652427,10,0.0004433517065563763,0.9070753088603859,1.2243266597790445,0.43017361641334845,-0.16016677021980286,1.0,1.1604740619659424,1.170210599899292,0.00973653793334961,0.5800833851099014,0.00973653793334961,1.0,1.0,1.0,0.4037032063042476,0.4037032063038439,1,1
