anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,6,japanesevowels_train_102,3,0.14287693114065506,0.14287693114065506,0.9999999999989999,5.2258513365684705,10,0.0003222990186073797,2.811399450668555,1.256677281816445,0.5066193864729402,-0.14599862694740295,1.0,0.0905071496963501,0.09425109624862671,0.0037439465522766113,0.5729993134737015,0.0037439465522766113,1.0,1.0,1.0,0.06012079740262809,0.06012079740256796,1,1
1,6,japanesevowels_train_32,1,0.0719595549335085,0.0719595549335085,0.9999999999989999,5.085450469022424,10,0.00031139594490285665,2.849185288113824,1.1250776063725179,0.22269069039748812,-0.19336727261543274,1.0,0.8888489603996277,0.9050310850143433,0.016182124614715576,0.5966836363077164,0.016182124614715576,1.0,0.8950528148118844,0.9685158444435653,0.05789146653305926,0.05606880259528622,1,1
2,4,japanesevowels_train_175,5,0.16684555510282228,0.16684555510282228,0.9999999999989999,5.054020410127014,10,0.00032919359559802227,2.811733776240777,1.5640995386974843,0.711003279696859,-0.16960866749286652,1.0,0.29787129163742065,0.3106394410133362,0.012768149375915527,0.5848043337464333,0.012768149375915527,1.0,1.0,1.0,0.060100700842218246,0.06010070084215814,1,1
3,4,japanesevowels_train_158,5,0.17658203946413792,0.17658203946413792,0.9999999999989999,5.443928728552754,10,0.0003232654726701701,2.0948905177419888,1.352958732467878,0.5280893561944496,-0.08567804843187332,1.0,0.285672664642334,0.2935883402824402,0.007915675640106201,0.5428390242159367,0.007915675640106201,1.0,1.0,1.0,0.12308371839974631,0.12308371839962322,1,1
4,0,japanesevowels_train_232,7,0.137273804439854,0.137273804439854,0.9999999999989999,4.783975113688697,10,0.0003234000515256715,2.445834018321275,1.3274921392954373,0.5041405595360258,-0.026616327464580536,1.0,0.016115352511405945,0.016361745074391365,0.0002463925629854202,0.5133081637322903,0.0002463925629854202,1.0,0.8502223879062114,0.9550667163718634,0.08665383387067298,0.08276019257581382,1,1
5,1,japanesevowels_train_169,5,0.15547890916242876,0.15547890916242876,0.9999999999989999,5.456431488557774,10,0.00031815052956413994,3.0452199045084365,1.2022806928761405,0.33785157860018855,-0.25622379779815674,1.0,0.5779257416725159,0.5982367396354675,0.02031099796295166,0.6281118988990784,0.02031099796295166,1.0,0.6555498056024209,0.8966649416807263,0.04758584649468601,0.042668560271942955,1,1
6,6,japanesevowels_train_168,5,0.2748269086190429,0.2748269086190429,0.9999999999989999,5.3863087124823545,10,0.00034801226809027456,2.9661118019890504,1.6640299299033698,0.9396363123420861,-0.1299372762441635,1.0,0.8251346349716187,0.8481294512748718,0.022994816303253174,0.5649686381220818,0.022994816303253174,0.9891199565844526,1.0,0.9923839696091168,0.05150317606808688,0.05111092631387421,1,1
7,7,japanesevowels_train_63,2,0.15448226834261533,0.15448226834261533,0.9999999999989999,4.831549181236172,10,0.000325834355340529,3.0471407820381162,1.3694941154509823,0.5358844615196051,-0.027716070413589478,1.0,0.22951065003871918,0.2324487268924713,0.0029380768537521362,0.5138580352067947,0.0029380768537521362,1.0,1.0,1.0,0.04749452764566494,0.04749452764561744,1,1
8,3,japanesevowels_train_200,6,0.16731866291982983,0.16731866291982983,0.9999999999989999,6.162806860352844,10,0.0003177960068077376,2.3969319708529437,1.189076539480541,0.3519029391637483,-0.1705419272184372,1.0,0.6881961226463318,0.7321759462356567,0.04397982358932495,0.5852709636092186,0.04397982358932495,1.0,1.0,1.0,0.09099670600634223,0.09099670600625122,1,1
9,1,japanesevowels_train_248,8,0.17867649795243123,0.17867649795243123,0.9999999999989999,4.902409500470712,10,0.0003243194755032175,1.4682470956876639,1.3117551327425634,0.49501895476923463,-0.12930551171302795,1.0,0.033873461186885834,0.03540342301130295,0.0015299618244171143,0.564652755856514,0.0015299618244171143,1.0,1.0,1.0,0.23032887601069038,0.23032887601046004,1,1
