anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,5,basicmotions_train_28,2,0.0797549897652426,0.0797549897652426,0.9999999999989999,5.276856107863343,10,0.00022298357912711383,0.0009634724550953272,1.0678561441052088,0.11994146861504347,-0.17003753781318665,1.0,1.2401142120361328,1.2411582469940186,0.0010440349578857422,0.5850187689065933,0.0010440349578857422,1.0,0.537234695129432,0.8611704085388296,0.9990369915354647,0.860341094145139,1,1
1,4,basicmotions_train_27,2,0.072826989450036,0.072826989450036,0.9999999999989999,4.351173213034091,10,0.00022087954617887022,0.002815864305063552,1.0751494950820357,0.12872456741547214,-0.3028967082500458,1.0,1.247214913368225,1.2494474649429321,0.0022325515747070312,0.6514483541250229,0.0022325515747070312,1.0,1.0,1.0,0.9971880965222392,0.9971880965212419,1,1
2,7,basicmotions_train_35,3,0.09724209146572765,0.09724209146572765,0.9999999999989999,2.9648048610272175,10,0.00021180221677560867,2.9505789107825506e-05,1.0413233078406596,0.10737980323733069,-0.0748605877161026,1.0,1.3756946325302124,1.376416802406311,0.0007221698760986328,0.5374302938580513,0.0007221698760986328,0.7767552387932453,1.0,0.8437286671552717,0.9999704946461837,0.8437037726415786,1,1
3,6,basicmotions_train_26,2,0.1500036849219701,0.1500036849219701,0.9999999999989999,4.684074223865752,10,0.00022208815364567702,0.00251722913446746,1.2029191934620238,0.3239938524872603,-0.12837669253349304,1.0,1.2368566989898682,1.2387828826904297,0.0019261837005615234,0.5641883462667465,0.0019261837005615234,1.0,1.0,1.0,0.9974859364300829,0.9974859364290853,1,1
4,2,basicmotions_train_3,0,0.152439658693398,0.152439658693398,0.9999999999989999,6.1998270696628115,10,0.00021943545826615582,0.020109075626498277,1.1475056027657442,0.2179585199082738,-0.1918698400259018,1.0,0.9361698031425476,0.9369298219680786,0.0007600188255310059,0.5959349200129509,0.0007600188255310059,0.9644429305648465,1.0,0.9751100513953925,0.9800917633531128,0.9556973297344988,1,1
5,4,basicmotions_train_12,1,0.11652752606897497,0.11652752606897497,0.9999999999989999,3.7513799086917614,10,0.00021358209193661083,0.0003118036937795864,1.1207052602825578,0.21147256838356002,-0.6136592030525208,1.0,1.0054315328598022,1.0276683568954468,0.02223682403564453,0.8068296015262604,0.02223682403564453,0.9797086836702923,1.0,0.9857960785692046,0.9996882449119403,0.9854887516249358,1,1
6,6,basicmotions_train_9,0,0.12290972721722193,0.12290972721722193,0.9999999999989999,4.5268838257768165,10,0.00022542870300210814,0.010568950318189897,1.11702504936102,0.19831516405545577,-0.4509003460407257,1.0,1.0186421871185303,1.0222225189208984,0.003580331802368164,0.7254501730203629,0.003580331802368164,1.0,1.0,1.0,0.9894867047926228,0.9894867047916333,1,1
7,4,basicmotions_train_31,3,0.07061359948790995,0.07061359948790995,0.9999999999989999,3.3057627079281313,10,0.00021842388951700406,2.9316854176648523e-05,1.0566875863324876,0.0910573505132821,-0.10302136838436127,1.0,1.3788505792617798,1.3790247440338135,0.0001741647720336914,0.5515106841921806,0.0001741647720336914,1.0,0.11507561436672968,0.7345226843100189,0.9999706835755582,0.7345011507305089,1,1
8,0,basicmotions_train_30,3,0.20212489847416124,0.20212489847416124,0.9999999999989999,4.202793879124783,10,0.00020390509775400887,1.5049521567823701e-05,1.1040857583140746,0.22180750792462683,-0.0033293040469288826,1.0,1.3268684148788452,1.3344608545303345,0.007592439651489258,0.5016646520234644,0.007592439651489258,0.5987685260281884,0.9551159965808377,0.7056727671939832,0.9999849505916757,0.7056621472356606,1,1
9,0,basicmotions_train_6,0,0.11900834891388228,0.11900834891388228,0.9999999999989999,4.301637280735703,10,0.00022276033259524354,0.018203239043745552,1.114271560207937,0.18960671215043146,-0.5963732600212097,1.0,1.139263391494751,1.1485077142715454,0.009244322776794434,0.7981866300106049,0.009244322776794434,0.9866404574142671,1.0,0.9906483201899869,0.9819614391725313,0.9727784502066373,1,1
10,5,basicmotions_train_15,1,0.2957954673387178,0.2957954673387178,0.9999999999989999,3.4671843963841007,10,0.0002140188274340354,0.00012045564071010469,1.3596802311280878,0.5225551977307431,-0.5809354782104492,1.0,0.5878409743309021,0.6770308613777161,0.08918988704681396,0.7904677391052246,0.08918988704681396,0.9877955816094021,1.0,0.9914569071265814,0.9998795516137794,0.9913374877411193,1,1
11,3,basicmotions_train_36,3,0.06869825548209724,0.06869825548209724,0.9999999999989999,3.3586091441809516,10,0.0002262765091450324,2.0954389074662018e-05,1.039484740967106,0.0849918336169369,-0.058719269931316376,1.0,1.3687107563018799,1.3672816753387451,-0.0014290809631347656,0.5293596349656582,0.0,1.0,0.0,0.7,0.999979045830467,0.6999853320806267,1,1
12,0,basicmotions_train_2,0,0.0918178695383654,0.0918178695383654,0.9999999999989999,4.580562902491147,10,0.00022007245405557447,0.01719019268445067,1.0732119642760685,0.12407587198094977,-0.598503589630127,1.0,1.034278154373169,1.0382754802703857,0.003997325897216797,0.7992517948150635,0.003997325897216797,1.0,1.0,1.0,0.9829567156789557,0.9829567156779727,1,1
13,7,basicmotions_train_25,2,0.09185996404671791,0.09185996404671791,0.9999999999989999,4.301637280735703,10,0.0002219058212017544,0.0022131606218292518,1.1155090750766667,0.17672331741637973,-0.1597205102443695,1.0,1.2132298946380615,1.2149189710617065,0.0016890764236450195,0.5798602551221848,0.0016890764236450195,1.0,1.0,1.0,0.9977892866124328,0.997789286611435,1,1
14,5,basicmotions_train_33,3,0.059261617382276775,0.059261617382276775,0.9999999999989999,3.949923161436401,10,0.00021597977860120685,1.185844868839242e-05,1.0335351576306564,0.07085835357138855,-0.09059775620698929,1.0,1.3481563329696655,1.3497005701065063,0.0015442371368408203,0.5452988781034946,0.0015442371368408203,0.777141308008037,0.5994169635833603,0.7238240046806339,0.9999881416216228,0.723815421300984,1,1
15,6,basicmotions_train_18,1,0.12070162376032756,0.12070162376032756,0.9999999999989999,3.9188555172353006,10,0.00021404503354423586,0.0002065123670156676,1.1405898464917443,0.2227372670994851,-0.5952252149581909,1.0,0.9025338888168335,0.9354367256164551,0.03290283679962158,0.7976126074790955,0.03290283679962158,0.9013707540256584,1.0,0.9309595278179609,0.9997935089551955,0.9307672930114602,1,1
16,0,basicmotions_train_10,1,0.12155258476272132,0.12155258476272132,0.9999999999989999,3.642642920039576,10,0.00020918375822661915,0.00016725933436071677,1.058483471434127,0.13702472360351994,-0.7678207755088806,1.0,0.7633049488067627,0.805144190788269,0.04183924198150635,0.8839103877544403,0.04183924198150635,1.0,1.0,1.0,0.9998327546527019,0.9998327546517021,1,1
17,1,basicmotions_train_20,2,0.06460728058100461,0.06460728058100461,0.9999999999989999,5.440523670932459,10,0.00021985721912986424,0.0012329860878845303,1.04409529461698,0.08116948801121586,-0.28376585245132446,1.0,1.234926700592041,1.2366595268249512,0.0017328262329101562,0.6418829262256622,0.0017328262329101562,1.0,0.5972307818727146,0.8791692345618144,0.9987677737271495,0.8780858991318273,1,1
18,0,basicmotions_train_0,0,0.12288672714764416,0.12288672714764416,0.9999999999989999,4.836813989314786,10,0.00022569899961679305,0.01224661790008133,1.143706756094174,0.2107538802640612,-0.35193929076194763,1.0,1.0342998504638672,1.037029504776001,0.002729654312133789,0.6759696453809738,0.002729654312133789,1.0,1.0,1.0,0.9878280667359577,0.9878280667349698,1,1
19,5,basicmotions_train_21,2,0.14666259439292562,0.14666259439292562,0.9999999999989999,4.3729518049988405,10,0.00022047510540813427,0.0021202910606611296,1.1855266630309655,0.26438989491005604,-0.026948323473334312,1.0,1.264209508895874,1.2648171186447144,0.000607609748840332,0.5134741617366672,0.000607609748840332,0.9732537702272916,1.0,0.9812776391591042,0.9978819551685962,0.9791992491263318,1,1
20,6,basicmotions_train_23,2,0.08479715666558056,0.08479715666558056,0.9999999999989999,5.201240346021025,10,0.0002208258030582519,0.001555322753597079,1.1095896171993571,0.16223838681404826,-0.12881791591644287,1.0,1.2737619876861572,1.2752704620361328,0.001508474349975586,0.5644089579582214,0.001508474349975586,1.0,0.9789571406467584,0.9936871421940275,0.998445886134019,0.9921428392269045,1,1
21,7,basicmotions_train_1,0,0.1714593039687911,0.1714593039687911,0.9999999999989999,4.94546572349831,10,0.00023182649329128203,0.021722340428928188,1.2804278643443787,0.38850211118534916,-0.37987738847732544,1.0,0.9775320887565613,0.9800031185150146,0.002471029758453369,0.6899386942386627,0.002471029758453369,1.0,0.7609581497797356,0.9282874449339207,0.9785118905274058,0.9083403026942375,1,1
22,2,basicmotions_train_4,0,0.14050611295604276,0.14050611295604276,0.9999999999989999,8.992857390159559,10,0.00022551859204330852,0.06633766796617453,1.1062612235378713,0.18127594265816632,-0.5237681865692139,1.0,0.9084235429763794,0.9091097116470337,0.0006861686706542969,0.7618840932846069,0.0006861686706542969,1.0,1.0,1.0,0.9358148162492531,0.9358148162483172,1,1
23,5,basicmotions_train_7,0,0.1281236837535594,0.1281236837535594,0.9999999999989999,7.089204661227887,10,0.00022744552948126653,0.05418350860888302,1.201855180918613,0.30526786022450536,-0.3743292987346649,1.0,0.9780958294868469,0.9806147813796997,0.002518951892852783,0.6871646493673325,0.002518951892852783,1.0,1.0,1.0,0.9472582605055293,0.947258260504582,1,1
24,6,basicmotions_train_38,3,0.07447444759566708,0.07447444759566708,0.9999999999989999,3.6789139214147424,10,0.00022177992667515807,9.445744592290524e-05,1.0614620303736337,0.10027278837738554,-0.14222881197929382,1.0,1.3810133934020996,1.3811249732971191,0.00011157989501953125,0.5711144059896469,0.00011157989501953125,0.9974908979980598,0.22328244274809161,0.7652283614230694,0.9999055470150412,0.7651560833193927,1,1
25,3,basicmotions_train_34,3,0.05007936125547484,0.05007936125547484,0.9999999999989999,3.0063088429615568,10,0.0002214084807117635,3.084836974548812e-05,1.0425762427163352,0.06642709152110463,-0.19691401720046997,1.0,1.3810385465621948,1.3812286853790283,0.0001901388168334961,0.598457008600235,0.0001901388168334961,1.0,1.0,1.0,0.9999691521060606,0.9999691521050605,1,1
26,0,basicmotions_train_13,1,0.1483916753467567,0.1483916753467567,0.9999999999989999,2.9648048610272175,10,0.00021119689884206504,0.00011447870168655617,1.1339794272033228,0.2176255808237696,-0.591538667678833,1.0,0.6468581557273865,0.6960471868515015,0.04918903112411499,0.7957693338394165,0.04918903112411499,0.9204655995897214,1.0,0.944325919712805,0.99988552785075,0.9442178206942388,1,1
27,6,basicmotions_train_11,1,0.27597335221832864,0.27597335221832864,0.9999999999989999,3.787895220077172,10,0.00020518415004531585,0.00031454306805109056,1.26479568453892,0.4125513083472096,-0.675254762172699,1.0,0.9344474673271179,0.9972081780433655,0.06276071071624756,0.8376273810863495,0.06276071071624756,0.9760175828621847,1.0,0.9832123080035292,0.9996855063954335,0.9829030940197481,1,1
28,1,basicmotions_train_29,2,0.061509050716763845,0.061509050716763845,0.9999999999989999,5.315593860345345,10,0.00022114230360120748,0.0011914628303453252,1.067446789273147,0.10806366343224173,-0.1611628532409668,1.0,1.2266414165496826,1.2276639938354492,0.0010225772857666016,0.5805814266204834,0.0010225772857666016,1.0,1.0,1.0,0.9988092466796799,0.998809246678681,1,1
29,5,basicmotions_train_14,1,0.16735615334209786,0.16735615334209786,0.9999999999989999,3.53157975462433,10,0.00020706966978991103,0.0001646094489029352,1.1164864765941551,0.2213762289665612,-0.714000940322876,1.0,0.6883692741394043,0.742440402507782,0.054071128368377686,0.857000470161438,0.054071128368377686,1.0,1.0,1.0,0.9998354040984891,0.9998354040974892,1,1
30,6,basicmotions_train_32,3,0.16180844349705764,0.16180844349705764,0.9999999999989999,3.5895814752589152,10,0.00020988043095259028,4.8457223444582756e-05,1.1074340806130687,0.19076946496382388,-0.20030240714550018,1.0,1.374573826789856,1.3749865293502808,0.0004127025604248047,0.6001512035727501,0.0004127025604248047,1.0,1.0,1.0,0.9999515439505877,0.9999515439495876,1,1
31,1,basicmotions_train_19,1,0.11465054545178209,0.11465054545178209,0.9999999999989999,3.718897227105629,10,0.00021007416072900918,0.00017373768368456302,1.0642277594525715,0.1331594910918416,-0.7536081075668335,1.0,0.8453179597854614,0.8859822154045105,0.04066425561904907,0.8768040537834167,0.04066425561904907,1.0,1.0,1.0,0.9998262774078329,0.999826277406833,1,1
