anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,japanesevowels_train_186,6,0.20669773859832277,0.20669773859832277,0.9999999999989999,5.575960105096752,10,0.0003189239772785809,1.5123185143499696,1.3045966043685642,0.48244971849792573,-0.08053599298000336,1.0,0.06596177071332932,0.06741765141487122,0.0014558807015419006,0.5402679964900017,0.0014558807015419006,1.0,1.0,1.0,0.22039838829858405,0.22039838829836364,1,1
1,3,japanesevowels_train_240,8,0.1926205285738669,0.1926205285738669,0.9999999999989999,4.926660785127924,10,0.00032362710517075546,2.1250055009218225,1.5562516636055752,0.7083932922424283,-0.08499689400196075,1.0,1.0839874744415283,1.1133596897125244,0.029372215270996094,0.5424984470009804,0.029372215270996094,1.0,1.0,1.0,0.11943231127710519,0.11943231127698574,1,1
2,2,japanesevowels_train_260,8,0.2619421763863071,0.2619421763863071,0.9999999999989999,5.26659050723186,10,0.0003399377475519135,2.809256894937528,1.4640869269923344,0.7612029167125661,-0.1950254738330841,1.0,0.38373175263404846,0.4336111545562744,0.04987940192222595,0.597512736916542,0.04987940192222595,1.0,1.0,1.0,0.0602497476538776,0.06024974765381734,1,1
3,2,japanesevowels_train_251,8,0.13312445263052208,0.13312445263052208,0.9999999999989999,5.3710822250097685,10,0.00031586372960047926,1.4474951568600587,1.2447081721597728,0.4223628137263014,-0.18103685975074768,1.0,0.8454101085662842,0.8223961591720581,-0.023013949394226074,0.5905184298753738,0.0,1.0,0.0,0.7,0.23515858636060874,0.16461101045226148,1,1
4,1,japanesevowels_train_262,8,0.244778950561174,0.244778950561174,0.9999999999989999,5.285001254474274,10,0.0003225371302061683,3.203760397253728,1.4869589214868408,0.6441705253718198,-0.15198668837547302,1.0,0.354086697101593,0.3929727077484131,0.03888601064682007,0.5759933441877365,0.03888601064682007,1.0,1.0,1.0,0.040609209738315784,0.04060920973827517,1,1
5,0,japanesevowels_train_220,7,0.17920621784474536,0.17920621784474536,0.9999999999989999,4.860223167339933,10,0.00030898338495204266,3.2955995422740636,1.2597711846614188,0.429951698674508,-0.11191079765558243,1.0,0.03139843791723251,0.03259020298719406,0.0011917650699615479,0.5559553988277912,0.0011917650699615479,1.0,0.8743297239091102,0.9622989171727331,0.0370458278479174,0.035649160023782746,1,1
6,1,japanesevowels_train_15,0,0.16575107425866745,0.16575107425866745,0.9999999999989999,5.821069577844944,10,0.00031859219835629946,1.8750850361191573,1.2776657707418433,0.48166768493383677,-0.09522805362939835,1.0,0.5216847062110901,0.5297428369522095,0.008058130741119385,0.5476140268146992,0.008058130741119385,1.0,1.0,1.0,0.15334192668814448,0.15334192668799113,1,1
7,3,japanesevowels_train_16,0,0.23078610682803857,0.23078610682803857,0.9999999999989999,4.6177578073413335,10,0.00032066063941846925,1.3322883667592509,1.3684664229891272,0.5983839073305262,0.004721330478787422,0.0,0.7774812579154968,0.7742279767990112,-0.0032532811164855957,0.4976393347606063,0.0,1.0,0.0,0.7,0.26387273228234953,0.18471091259745992,1,1
8,1,japanesevowels_train_2,0,0.1730634207656684,0.1730634207656684,0.9999999999989999,5.123937917580476,10,0.00031504514170619893,0.8292777316988286,1.3367464455688485,0.4936836075308111,-0.07206284999847412,1.0,0.03339260816574097,0.03396422415971756,0.000571615993976593,0.5360314249992371,0.000571615993976593,1.0,1.0,1.0,0.43636434466342433,0.4363643446629879,1,1
9,0,japanesevowels_train_13,0,0.14437243419880516,0.14437243419880516,0.9999999999989999,5.125082792193543,10,0.00032214484759927615,2.2963701354791013,1.2480129147474155,0.4086052614620835,0.11100687086582184,0.0,0.83211350440979,0.8211441040039062,-0.010969400405883789,0.4444965645670891,0.0,1.0,0.0,0.7,0.10062343104351532,0.07043640173039027,1,1
10,1,japanesevowels_train_226,7,0.10335717027703654,0.10335717027703654,0.9999999999989999,5.091012522795362,10,0.00031854522403908594,3.2078590705849717,1.1394935288950951,0.2895070327413787,-0.003159385174512863,1.0,0.012817492708563805,0.012819756753742695,2.2640451788902283e-06,0.5015796925872564,2.2640451788902283e-06,1.0,1.0,1.0,0.04044310648737326,0.04044310648733281,1,1
11,2,japanesevowels_train_204,6,0.1838639943695649,0.1838639943695649,0.9999999999989999,4.962803300040227,10,0.0003136239808288252,1.9022102820142348,1.2243114106870845,0.381322320281553,-0.09989773482084274,1.0,0.11624056100845337,0.11977805197238922,0.003537490963935852,0.5499488674104214,0.003537490963935852,1.0,1.0,1.0,0.1492383954719199,0.14923839547177065,1,1
12,0,japanesevowels_train_72,2,0.23876299615845448,0.23876299615845448,0.9999999999989999,6.739564484213106,10,0.0003299425723028447,2.182695555763262,1.477978154903906,0.7167678011968425,-0.08928486704826355,1.0,0.005814589560031891,0.006068136543035507,0.00025354698300361633,0.5446424335241318,0.00025354698300361633,0.9958250211756087,0.9205767383982795,0.9732505363424099,0.11273723120334858,0.10972157073430754,1,1
13,3,japanesevowels_train_151,5,0.3632102168845802,0.3632102168845802,0.9999999999989999,5.008724887286,10,0.0003480316638745179,1.8575795001193127,1.9518221133797549,1.145599355109561,-0.10151107609272003,1.0,1.32393217086792,1.2739012241363525,-0.05003094673156738,0.55075553804636,0.0,1.0,0.0,0.7,0.15604989234832603,0.10923492464371896,1,1
14,0,japanesevowels_train_140,4,0.1933259551430151,0.1933259551430151,0.9999999999989999,5.745270348890198,10,0.00032454457358523434,2.4523680665850276,1.358845693318744,0.5512468055111321,-0.14355099201202393,1.0,0.09750515222549438,0.1016436219215393,0.004138469696044922,0.571775496006012,0.004138469696044922,1.0,1.0,1.0,0.08608947930577328,0.08608947930568718,1,1
15,3,japanesevowels_train_25,0,0.15909763832516766,0.15909763832516766,0.9999999999989999,6.170973170061325,10,0.00031636437752795494,1.6914873358013727,1.3248071992344028,0.4797584650269657,-0.06762048602104187,1.0,0.20233504474163055,0.20529843866825104,0.0029633939266204834,0.5338102430105209,0.0029633939266204834,1.0,1.0,1.0,0.18424528549182784,0.18424528549164357,1,1
16,1,japanesevowels_train_90,3,0.2249618248019864,0.2249618248019864,0.9999999999989999,5.935935082573698,10,0.00034054023719025064,2.0505216202825354,1.7061286879078184,0.9016824266388901,-0.225534588098526,1.0,0.2938030958175659,0.3267950415611267,0.03299194574356079,0.612767294049263,0.03299194574356079,1.0,1.0,1.0,0.12866777036157098,0.1286677703614423,1,1
17,0,japanesevowels_train_64,2,0.18126698181645218,0.18126698181645218,0.9999999999989999,5.663828588402429,10,0.00032674877704022554,2.533712948191002,1.4665296093498388,0.621853251869465,-0.058412544429302216,1.0,0.057946134358644485,0.05951026454567909,0.001564130187034607,0.5292062722146511,0.001564130187034607,1.0,1.0,1.0,0.07936379888068144,0.07936379888060208,1,1
18,0,japanesevowels_train_189,6,0.23416307172251563,0.23416307172251563,0.9999999999989999,6.185490872859304,10,0.00031911219308857223,2.2802480340067186,1.280975595277966,0.48949937563735935,-0.06651552766561508,1.0,0.36368680000305176,0.37247616052627563,0.008789360523223877,0.5332577638328075,0.008789360523223877,1.0,1.0,1.0,0.10225883989996827,0.102258839899866,1,1
19,2,japanesevowels_train_169,5,0.23143287809340052,0.23143287809340052,0.9999999999989999,5.456431488557774,10,0.0003370420478459502,3.0350059726418457,1.6214545579909296,0.8071579339612379,-0.23755773901939392,1.0,0.48086607456207275,0.5046834945678711,0.02381742000579834,0.618778869509697,0.02381742000579834,1.0,1.0,1.0,0.04807437574370945,0.04807437574366137,1,1
20,3,japanesevowels_train_17,0,0.22005053867324137,0.22005053867324137,0.9999999999989999,5.110634640856566,10,0.0003202955148071439,1.2652984848742517,1.2870971381526073,0.5241820689334615,-0.005622293800115585,1.0,0.13644495606422424,0.13654768466949463,0.00010272860527038574,0.5028111469000578,0.00010272860527038574,0.7577289267573882,1.0,0.8304102487301718,0.282155064551259,0.23430445733425434,1,1
21,3,japanesevowels_train_108,3,0.15170738646048235,0.15170738646048235,0.9999999999989999,5.785942175196678,10,0.00032316996034387495,2.9155722554877057,1.3111543149391442,0.5128991897814739,-0.1892751157283783,1.0,0.6563516855239868,0.7034568786621094,0.04710519313812256,0.5946375578641891,0.04710519313812256,1.0,1.0,1.0,0.054173021352335274,0.054173021352281095,1,1
22,0,japanesevowels_train_257,8,0.1997178414728875,0.1997178414728875,0.9999999999989999,6.045856607728196,10,0.00033090818780587375,3.3022413928326215,1.4292087966001266,0.6138926392783631,-0.3028203248977661,1.0,0.43095794320106506,0.48735159635543823,0.05639365315437317,0.6514101624488831,0.05639365315437317,1.0,1.0,1.0,0.036800590312600974,0.03680059031256417,1,1
23,1,japanesevowels_train_60,2,0.2633525247674493,0.2633525247674493,0.9999999999989999,5.272119513422288,10,0.0003348921935029416,2.0507895292157734,1.418373419002963,0.6969506715580975,-0.046953294426202774,1.0,0.026860561221837997,0.027646493166685104,0.0007859319448471069,0.5234766472131014,0.0007859319448471069,1.0,1.0,1.0,0.1286333037336362,0.12863330373350756,1,1
24,1,japanesevowels_train_152,5,0.11844476783142997,0.11844476783142997,0.9999999999989999,5.2118464849171655,10,0.0003157916613517379,2.317424682933948,1.234890529782445,0.36458283441722683,-0.21444672346115112,1.0,0.8392460942268372,0.8643069267272949,0.025060832500457764,0.6072233617305756,0.025060832500457764,1.0,1.0,1.0,0.09852699741433235,0.09852699741423382,1,1
25,0,japanesevowels_train_79,2,0.2971846632848048,0.2971846632848048,0.9999999999989999,6.104406588830151,10,0.00033623034475687715,1.9271028473408733,1.5608497885455048,0.8444937169185678,-0.06424476951360703,1.0,0.030528973788022995,0.03278746455907822,0.0022584907710552216,0.5321223847568035,0.0022584907710552216,1.0,1.0,1.0,0.14556932471175385,0.14556932471160827,1,1
26,1,japanesevowels_train_137,4,0.14459584150064866,0.14459584150064866,0.9999999999989999,4.936942813906159,10,0.00031759339558465837,2.4680747365168134,1.304481477360761,0.49875388554192895,-0.13880079984664917,1.0,0.05781623721122742,0.06072003021836281,0.0029037930071353912,0.5694003999233246,0.0029037930071353912,1.0,1.0,1.0,0.08474786400527144,0.08474786400518669,1,1
