anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
112,natops_train_1,2,0,4,-1.0,0.1,0.1,1.0,2.277368789568532,0.99999999999,4.554737579141619,lraes,lraes,lraes,0.000448814961328288,4.563955988468484,1.4859289836228218,0.6051301236209845,2.6117923259735107,0.9316166684489106
70,natops_train_100,5,0,3,1.0,0.1,0.1,1.0,3.86034130662901,0.99999999999,7.720682613265741,lraes,lraes,lraes,0.00044327455079990895,1.4672053639191418,1.1540468921294833,0.2739328406957993,3.894244909286499,0.9800474671129329
39,natops_train_101,3,0,2,-1.0,0.1,0.1,1.0,2.792949072101968,0.99999999999,5.585898144209523,lraes,lraes,lraes,0.00044728379151722474,0.8037246225914371,1.2513341602010355,0.42685647688006384,3.510291576385498,0.9709791815094821
96,natops_train_102,1,0,5,-1.0,0.1,0.1,1.0,2.4256249110926844,0.99999999999,4.851249822190221,lraes,lraes,lraes,0.00044692315674969434,4.771698157188915,1.3281043740255294,0.43917198655220124,0.7585479021072388,0.6810383846304021
79,natops_train_103,0,0,3,1.0,0.1,0.1,1.0,2.373890014111715,0.99999999999,4.747780028228179,lraes,lraes,lraes,0.00044537147163816707,4.331616503796956,1.2750209639038614,0.4008683238054127,3.0853888988494873,0.9562860118840535
73,natops_train_104,1,0,5,-1.0,0.1,0.1,1.0,2.31610784161473,0.99999999999,4.632215683234093,lraes,lraes,lraes,0.00044700933588721496,4.666906011391598,1.3095159349207448,0.442747862689419,1.4030581712722778,0.80266872572297
133,natops_train_106,1,0,1,-1.0,0.1,0.1,1.0,2.7337434955332967,0.99999999999,5.467486991072061,lraes,lraes,lraes,0.00044229265935698616,4.209193353303938,1.3865972002118905,0.4731668904265352,1.2710561752319336,0.7809234940844834
27,natops_train_107,5,0,9,1.0,0.1,0.1,1.0,4.377186584315057,0.99999999999,8.75437316863887,lraes,lraes,lraes,0.00044717359958447157,1.212088548852826,1.3382455966606832,0.46172134256271213,4.245056629180908,0.9858676640506899
30,natops_train_108,4,0,0,1.0,0.1,0.1,1.0,2.9619038556152817,0.99999999999,5.9238077112364875,lraes,lraes,lraes,0.00044726094022075525,0.873265439405633,1.2234180228679326,0.35047151714901265,0.9998899698257446,0.7310369448347465
40,natops_train_109,3,0,1,1.0,0.1,0.1,1.0,2.875117345822872,0.99999999999,5.750234691651495,lraes,lraes,lraes,0.0004488047907277422,1.8960547539508947,1.2292581543049543,0.3851547680627448,3.2060232162475586,0.9610603133923924
74,natops_train_11,0,0,3,1.0,0.1,0.1,1.0,2.5023909242782065,0.99999999999,5.004781848561418,lraes,lraes,lraes,0.0004458115873641548,4.541370904255788,1.289083087576452,0.42448560333775104,3.3049213886260986,0.9645972579450707
25,natops_train_110,2,0,5,-1.0,0.1,0.1,1.0,3.1399303381089525,0.99999999999,6.279860676224185,lraes,lraes,lraes,0.0004454627359608387,4.2327151556927145,1.2289326599245831,0.3619678289462249,2.580258846282959,0.9295802152861828
60,natops_train_111,3,0,8,1.0,0.1,0.1,1.0,3.447251133203819,0.99999999999,6.894502266414533,lraes,lraes,lraes,0.00044543922061223004,0.9617847304653643,1.2077431454350478,0.3655942506190483,3.3443093299865723,0.9659179924675
109,natops_train_112,0,0,8,-1.0,0.1,0.1,1.0,2.6223533855690566,0.99999999999,5.244706771143359,lraes,lraes,lraes,0.0004427716469990803,3.8236227916968923,1.240778110237905,0.3515365654455082,4.252704620361328,0.9859738255480586
81,natops_train_113,2,0,6,1.0,0.1,0.1,1.0,1.961235473472027,0.99999999999,3.9224709469479766,lraes,lraes,lraes,0.00044781292644867186,5.225306856276365,1.33444141501262,0.4457907963381045,2.002596616744995,0.8810694366229394
0,natops_train_114,4,0,7,-1.0,0.1,0.1,1.0,2.7494321651443685,0.99999999999,5.498864330294237,lraes,lraes,lraes,0.00044163893657117435,1.120992674376732,1.0988646119449232,0.22845576033600892,1.8766756057739258,0.8672288128224624
114,natops_train_115,4,0,7,1.0,0.1,0.1,1.0,3.2507766900013557,0.99999999999,6.501553380009214,lraes,lraes,lraes,0.00044345909096881413,1.1989985406790753,1.1264503542082716,0.28306401994317437,0.7794275283813477,0.6855567200845551
136,natops_train_116,4,0,8,-1.0,0.1,0.1,1.0,3.523873485257518,0.99999999999,7.047746970522085,lraes,lraes,lraes,0.000442946794475887,1.1998367033881592,1.2151970939992287,0.3627359841395524,1.9525924921035767,0.8757290516430588
16,natops_train_117,3,0,1,-1.0,0.1,0.1,1.0,3.032380335967672,0.99999999999,6.06476067194141,lraes,lraes,lraes,0.0004383067112268496,1.137069637156933,1.1390822592735919,0.2637727554627616,3.530207633972168,0.9715351549060874
94,natops_train_118,2,0,8,-1.0,0.1,0.1,1.0,2.8796693631136785,0.99999999999,5.759338726233117,lraes,lraes,lraes,0.0004463603743259344,3.878923831321398,1.4225611691912052,0.5232305783670543,2.7965855598449707,0.942491035064933
57,natops_train_119,5,0,1,-1.0,0.1,0.1,1.0,4.042213952362455,0.99999999999,8.084427904732996,lraes,lraes,lraes,0.00043912596214117425,1.9532323079765281,1.209751877170075,0.3152391604433789,3.676236152648926,0.9753070881945725
