dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,selected_template_entropy
japanesevowels,1,csta_topk_uniform_top5_ao_fisher,success,,0.9561456014766324,0.9757140534232271,0.0195684519465947,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.9627039627039627,19,0,0,9.58612739003729,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003153663957542,2.4621277570711007,1.201726889600001,0.3154305744407991,0.0372904423829499,5.394679395933378,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,1.0,2160,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5_ao_fisher/japanesevowels/s1/candidate_audit/japanesevowels_s1_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.099999999401194,,0.0999999999999999,0.0999999999999999,0.0372904423829499,0.0,0.0,5.394679395933378,2.4621277570711007,2.302169508537132,0.1037037037037037,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
japanesevowels,1,csta_topk_uniform_top5_ao_contrastive,success,,0.9561456014766324,0.9810471868571562,0.0249015853805237,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,30,0,0,12.353666159906425,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003169722019491,2.4619107473563924,1.2554821750329168,0.3770227811035688,0.0372904421510963,5.394679395933378,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,1.0,2160,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5_ao_contrastive/japanesevowels/s1/candidate_audit/japanesevowels_s1_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999987747934,,0.0999999999999999,0.0999999999999999,0.0372904421510963,0.0,0.0,5.394679395933378,2.4619107473563924,2.299664795551424,0.1129629629629629,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
japanesevowels,2,csta_topk_uniform_top5_ao_fisher,success,,0.9741476029508114,0.966575880926852,-0.0075717220239593,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,1.0,30,0,0,11.910359145025724,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003153210642901,2.4438926891970345,1.1979475686742442,0.3135756437608845,0.0375873300148598,5.356552201176859,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,1.0,2160,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5_ao_fisher/japanesevowels/s2/candidate_audit/japanesevowels_s2_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999994701809,,0.0999999999999999,0.0999999999999999,0.0375873300148598,0.0,0.0,5.356552201176859,2.4438926891970345,2.299006594420202,0.1111111111111111,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
japanesevowels,2,csta_topk_uniform_top5_ao_contrastive,success,,0.9741476029508114,0.9864514548745392,0.0123038519237278,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,30,0,0,11.517600420047527,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003163448667456,2.443838825821944,1.2338346378853098,0.352593353000985,0.0375873302124854,5.356552201176859,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,1.0,2160,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5_ao_contrastive/japanesevowels/s2/candidate_audit/japanesevowels_s2_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999999999999,,0.0999999999999999,0.0999999999999999,0.0375873302124854,0.0,0.0,5.356552201176859,2.443838825821944,2.3008777453860776,0.1101851851851851,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
japanesevowels,3,csta_topk_uniform_top5_ao_fisher,success,,0.9681596726696928,0.977043885042476,0.0088842123727831,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,1.0,14,0,0,8.59438487002626,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003153699549857,2.444208108183606,1.1981764336384455,0.3134300173374908,0.037416981383964,5.378469108461614,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,1.0,2160,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5_ao_fisher/japanesevowels/s3/candidate_audit/japanesevowels_s3_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999988410208,,0.0999999999999999,0.0999999999999999,0.037416981383964,0.0,0.0,5.378469108461614,2.444208108183606,2.301732278070358,0.1078703703703703,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
japanesevowels,3,csta_topk_uniform_top5_ao_contrastive,success,,0.9681596726696928,0.9805968720765024,0.0124371994068095,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,30,0,0,11.175987726077436,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003168229211008,2.443950404412901,1.2503100066269712,0.3703400277632921,0.0374169813568918,5.378469108461614,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,1.0,2160,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5_ao_contrastive/japanesevowels/s3/candidate_audit/japanesevowels_s3_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999987803123,,0.0999999999999999,0.0999999999999999,0.0374169813568918,0.0,0.0,5.378469108461614,2.443950404412901,2.301299318239006,0.1060185185185185,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
natops,1,csta_topk_uniform_top5_ao_fisher,success,,0.9373000436629222,0.9442201274753635,0.0069200838124413,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.972027972027972,30,0,0,10.563376346952282,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004450809011102,2.911341898629728,1.2747174939960682,0.4027850520007666,0.0361466768890022,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,1.0,1440,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5_ao_fisher/natops/s1/candidate_audit/natops_s1_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.099999999432928,,0.1,0.1,0.0361466768890022,0.0,0.0,5.82076716417455,2.911341898629728,2.2980034523503994,0.1138888888888888,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
natops,1,csta_topk_uniform_top5_ao_contrastive,success,,0.9373000436629222,0.9553349989929596,0.0180349553300374,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,0.972027972027972,30,0,0,10.426964667974971,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004469686810521,2.911278109235347,1.3357613695835,0.4887685005278904,0.0361466766338392,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,1.0,1440,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/natops/s1/candidate_audit/natops_s1_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999987375405,,0.1,0.1,0.0361466766338392,0.0,0.0,5.82076716417455,2.911278109235347,2.299957431074829,0.1076388888888889,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
natops,2,csta_topk_uniform_top5_ao_fisher,success,,0.9070392331641024,0.9494465937450712,0.0424073605809688,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,1.0,30,0,0,9.511998404050246,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000445374413379,2.9149221102285443,1.2828303299039263,0.4123219324882254,0.0367311611679246,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,1.0,1440,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5_ao_fisher/natops/s2/candidate_audit/natops_s2_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999994370672,,0.1,0.1,0.0367311611679246,0.0,0.0,5.7362806886113855,2.9149221102285443,2.2991347308574794,0.1090277777777777,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
natops,2,csta_topk_uniform_top5_ao_contrastive,success,,0.9070392331641024,0.9549397172347992,0.0479004840706968,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,13,0,0,7.952749734045938,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004472354751753,2.91480902631986,1.3473505525967593,0.5012325060913868,0.0367311609228788,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,1.0,1440,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/natops/s2/candidate_audit/natops_s2_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999987665149,,0.1,0.1,0.0367311609228788,0.0,0.0,5.7362806886113855,2.91480902631986,2.2992808832028464,0.1125,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
