method,reference,n_pairs,mean_delta,median_delta,win,tie,loss,bootstrap_ci_low,bootstrap_ci_high
csta_topk_uniform_top5,csta_template_random_within_bank,21,0.011695967842989315,0.006058464194225621,16,1,4,-0.004059948261500067,0.025215677330169686
csta_topk_uniform_top5,random_cov_state,21,0.01711169171121183,0.0,10,1,10,-0.011204489854583345,0.050135008763493305
csta_topk_uniform_top5,wdba_sameclass,21,-0.002680420456259293,0.006046160760143637,12,0,9,-0.030017033380700938,0.024298315900609345
csta_topk_uniform_top5,dba_sameclass,21,0.0019328525699877576,0.00011018765006842735,11,0,10,-0.027676803092458707,0.03239233553891614
csta_top1_current,csta_topk_uniform_top5,21,-0.016663069314560883,-0.006114793410316954,7,0,14,-0.03806878374645215,0.000943037485613911
csta_top1_current,csta_template_random_within_bank,21,-0.004967101471571568,0.004344022116982038,12,0,9,-0.023548018997205215,0.011675703471034226
csta_top1_current,random_cov_state,21,0.00044862239665094525,-0.005072510984496792,8,0,13,-0.021946747472901526,0.0274837400104184
csta_top1_current,wdba_sameclass,21,-0.019343489770820173,-0.007508798985776499,9,0,12,-0.05008363807354057,0.009927224387259142
csta_top1_current,dba_sameclass,21,-0.014730216744573124,-0.0010280914929716722,9,0,12,-0.041330845947989074,0.010363648926070064
csta_template_random_within_bank,csta_topk_uniform_top5,21,-0.011695967842989315,-0.006058464194225621,4,1,16,-0.025215677330169693,0.004059948261500037
csta_template_random_within_bank,random_cov_state,21,0.005415723868222513,-0.007560179605898831,7,0,14,-0.024672997229672547,0.04021928291584152
csta_template_random_within_bank,wdba_sameclass,21,-0.014376388299248612,-0.005625380649713185,8,0,13,-0.0415075592462139,0.011040777508172483
csta_template_random_within_bank,dba_sameclass,21,-0.009763115273001558,-0.0007379487452280342,9,0,12,-0.04337217205608925,0.020957501637050308
random_cov_state,csta_topk_uniform_top5,21,-0.01711169171121183,0.0,10,1,10,-0.050135008763493326,0.011204489854583343
random_cov_state,csta_template_random_within_bank,21,-0.005415723868222513,0.007560179605898831,14,0,7,-0.04021928291584153,0.024672997229672533
random_cov_state,wdba_sameclass,21,-0.01979211216747112,-0.004520700080119955,10,0,11,-0.061063829016745216,0.016679909157457824
random_cov_state,dba_sameclass,21,-0.015178839141224068,0.005592903721963638,12,0,9,-0.047172917961848186,0.013466416321838664
pca_cov_state,csta_topk_uniform_top5,21,-0.018211606705268994,-0.003997474516506783,8,0,13,-0.056819926468010984,0.010109182193689
pca_cov_state,csta_template_random_within_bank,21,-0.006515638862279677,0.001128869945079214,12,0,9,-0.0410765723116054,0.020879670090970776
pca_cov_state,random_cov_state,21,-0.0010999149940571628,0.0005791663380917411,11,0,10,-0.0251544767883652,0.023315548219999205
pca_cov_state,wdba_sameclass,21,-0.020892027161528284,-0.0033900952261955997,8,0,13,-0.06234804247716333,0.017599931105115294
pca_cov_state,dba_sameclass,21,-0.01627875413528123,-0.005383338303996732,7,0,14,-0.04714781008187467,0.012966958882524724
