dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,diffusionts_max_epochs,target_aug_ratio
handmovementdirection,1,diffusionts_classwise,success,,0.23844289670902574,0.16361481033091202,-0.07482808637811372,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.31513409961685823,15,0,0,174.6571104740724,200.0,10.0
handmovementdirection,2,diffusionts_classwise,success,,0.2030680813439434,0.21288543328017012,0.00981735193622671,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.34693979266347685,24,0,0,155.19330306199845,200.0,10.0
handmovementdirection,3,diffusionts_classwise,success,,0.18756284565108094,0.17140966378254513,-0.016153181868535815,1280,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.2725885225885226,13,0,0,142.71641018299852,200.0,10.0
japanesevowels,1,diffusionts_classwise,success,,0.9561456014766324,0.9381335091141627,-0.0180120923624697,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9813519813519813,30,0,0,43.19697258807719,200.0,10.0
japanesevowels,2,diffusionts_classwise,success,,0.9741476029508114,0.9645808487031169,-0.009566754247694487,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,1.0,23,0,0,40.516473983065225,200.0,10.0
japanesevowels,3,diffusionts_classwise,success,,0.9681596726696929,0.9137783646048572,-0.054381308064835765,2160,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9084175084175085,15,0,0,36.8837358339224,200.0,10.0
natops,1,diffusionts_classwise,success,,0.9373000436629222,0.9106095617705741,-0.026690481892348128,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9458874458874459,21,0,0,30.887354044942185,200.0,10.0
natops,2,diffusionts_classwise,success,,0.9070392331641024,0.873641554923294,-0.033397678240808415,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9160839160839161,15,0,0,28.00830278894864,200.0,10.0
natops,3,diffusionts_classwise,success,,0.9205883200225039,0.916239813658946,-0.00434850636355788,1440,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9458874458874459,26,0,0,33.350173787912354,200.0,10.0
racketsports,1,diffusionts_classwise,success,,0.8656212251404092,0.8705829636104134,0.004961738470004251,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9409722222222222,16,0,0,31.01173732802272,200.0,10.0
racketsports,2,diffusionts_classwise,success,,0.8588293650793651,0.8589636323070058,0.0001342672276406498,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.8529411764705883,30,0,0,29.348244220018387,200.0,10.0
racketsports,3,diffusionts_classwise,success,,0.8843719087962982,0.8587093433702249,-0.02566256542607337,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.9409722222222222,30,0,0,30.073180214036256,200.0,10.0
