dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,diffusionts_max_epochs,target_aug_ratio,timevqvae_vqvae_epochs,timevqvae_maskgit_epochs
atrialfibrillation,1,random_cov_state,success,,0.2164502164502164,0.0555555555555555,-0.1608946608946609,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.5555555555555555,30,0,0,1.463344278978184,0.027045971519681,,,,,,
atrialfibrillation,1,pca_cov_state,success,,0.2164502164502164,0.1309523809523809,-0.0854978354978354,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.4792226860299706,0.0270649199442162,3.0,0.9999999403953552,,,,
atrialfibrillation,2,random_cov_state,success,,0.3205128205128205,0.261111111111111,-0.0594017094017094,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.3991144959582016,0.0331437013935428,,,,,,
atrialfibrillation,2,pca_cov_state,success,,0.3205128205128205,0.1623931623931624,-0.1581196581196581,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.5555555555555555,26,0,0,1.2294934979872778,0.0331553035497111,3.0,1.0,,,,
atrialfibrillation,3,random_cov_state,success,,0.1666666666666666,0.2,0.0333333333333333,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,19,0,0,0.9472857280634344,0.0323938293342756,,,,,,
atrialfibrillation,3,pca_cov_state,success,,0.1666666666666666,0.0444444444444444,-0.1222222222222222,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.5555555555555555,30,0,0,1.4804633388994262,0.0323790748027359,3.0,0.9999999403953552,,,,
ering,1,random_cov_state,success,,0.5424850558740912,0.807341689553242,0.2648566336791508,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.7777777777777777,27,0,0,1.259232625947334,0.0013172613688911,,,,,,
ering,1,pca_cov_state,success,,0.5424850558740912,0.8528930220106692,0.3104079661365779,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,27,0,0,1.1828102900180966,0.0013174528043204,10.0,0.9999999403953552,,,,
ering,2,random_cov_state,success,,0.848105426301868,0.8771350496472868,0.0290296233454188,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,20,0,0,1.0169203189434484,0.0013012439198476,,,,,,
ering,2,pca_cov_state,success,,0.848105426301868,0.8701537940854668,0.0220483677835987,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,21,0,0,1.0171327809803188,0.0013016501458047,10.0,0.9999999403953552,,,,
ering,3,random_cov_state,success,,0.8501737413578302,0.6789918313366403,-0.1711819100211898,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,27,0,0,1.0819604139542207,0.0013502155897947,,,,,,
ering,3,pca_cov_state,success,,0.8501737413578302,0.827486048389814,-0.0226876929680162,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,15,0,0,0.6788473820779473,0.0013507066638475,10.0,0.9999998807907104,,,,
handmovementdirection,1,random_cov_state,success,,0.2384428967090257,0.2978106676959372,0.0593677709869114,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.3897530165912519,20,0,0,6.551601598039269,1.1122564932851677e-07,,,,,,
handmovementdirection,1,pca_cov_state,success,,0.2384428967090257,0.3510470507753117,0.1126041540662859,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.3720588235294117,13,0,0,4.492548684938811,1.1122576163040905e-07,10.0,0.614203155040741,,,,
handmovementdirection,2,random_cov_state,success,,0.2030680813439434,0.2469093406593406,0.0438412593153972,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.3883283383283383,22,0,0,7.100895280018449,1.1118641264596458e-07,,,,,,
handmovementdirection,2,pca_cov_state,success,,0.2030680813439434,0.2567315286065286,0.0536634472625851,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.4083333333333333,14,0,0,4.924166098004207,1.1119543866528438e-07,10.0,0.6061246395111084,,,,
handmovementdirection,3,random_cov_state,success,,0.1875628456510809,0.326324469181612,0.138761623530531,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.2836042311661506,25,0,0,7.463179714977741,1.1147033529183393e-07,,,,,,
handmovementdirection,3,pca_cov_state,success,,0.1875628456510809,0.2851921920996254,0.0976293464485444,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.29848660111818,21,0,0,6.137370920972899,1.114869669192624e-07,10.0,0.6058002710342407,,,,
