dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec
atrialfibrillation,1,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [40, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.21645021645021645,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,13.322878095903434
atrialfibrillation,2,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [40, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.32051282051282054,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,12.458145385957323
atrialfibrillation,3,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [40, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.16666666666666666,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,20.53460278804414
ering,1,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [40, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.5424850558740912,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,20.8159392910311
ering,2,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [40, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.848105426301868,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,14.72714791004546
ering,3,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [40, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.8501737413578302,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,16.49532253202051
handmovementdirection,1,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [64, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.23844289670902574,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,38.87363934307359
handmovementdirection,2,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [64, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.2030680813439434,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,31.27273411594797
handmovementdirection,3,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [64, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.18756284565108094,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,23.533528630039655
handwriting,1,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [60, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.382737297846506,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,21.34314100292977
handwriting,2,timevqvae_classwise,failed,"cannot reshape tensor of 0 elements into shape [60, 0, -1] because the unspecified dimension size -1 can be any value and is ambiguous",0.4136709560472157,,,0,0.0,0.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,,0,0,0,16.805678086006083
