dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
atrialfibrillation,1,no_aug,success,,0.21645021645021645,0.21645021645021645,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.5555555555555555,30,0,,,,,,,,,
atrialfibrillation,1,raw_aug_jitter,success,,0.21645021645021645,0.13888888888888887,-0.07756132756132758,120,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.3333333333333333,13,0,,,,,,,,,
atrialfibrillation,1,raw_aug_scaling,success,,0.21645021645021645,0.10683760683760683,-0.10961260961260962,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.5555555555555555,30,0,0.8,1.2,,,,,,,
atrialfibrillation,1,raw_aug_timewarp,success,,0.21645021645021645,0.10683760683760683,-0.10961260961260962,120,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.5555555555555555,30,0,,,,,,,,,
atrialfibrillation,1,raw_mixup,success,,0.21645021645021645,0.15555555555555556,-0.06089466089466089,120,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.5555555555555555,30,0,,,0.4,,,,,,
atrialfibrillation,1,dba_sameclass,success,,0.21645021645021645,0.24444444444444446,0.027994227994228016,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.2222222222222222,13,120,,,,5.0,5.0,,,,
atrialfibrillation,1,raw_smote_flatten_balanced,success,,0.21645021645021645,0.21645021645021645,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.5555555555555555,30,0,,,,,,3.0,,,
atrialfibrillation,1,random_cov_state,success,,0.21645021645021645,0.05555555555555555,-0.1608946608946609,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.5555555555555555,30,0,,,,,,,0.027045971519681054,,
atrialfibrillation,1,pca_cov_state,success,,0.21645021645021645,0.13095238095238096,-0.08549783549783549,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,,,,,,,0.02706491994421622,3.0,0.9999999403953552
atrialfibrillation,1,csta_top1_current,success,,0.2164502164502164,0.1631701631701631,-0.05328005328005328,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.5555555555555555,30,0,,,,,,,,,
atrialfibrillation,1,csta_group_template_top,success,,0.2164502164502164,0.1222222222222222,-0.09422799422799419,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,0.5555555555555555,30,0,,,,,,,,,
atrialfibrillation,2,no_aug,success,,0.32051282051282054,0.32051282051282054,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.5555555555555555,28,0,,,,,,,,,
atrialfibrillation,2,raw_aug_jitter,success,,0.32051282051282054,0.26666666666666666,-0.05384615384615388,120,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,,,,,,,,,
