phase,dataset,method,aug_f1_mean,aug_f1_std,gain_mean,actual_aug_ratio_mean,method_elapsed_sec_mean,fallback_count_mean,n_seeds
phase2_new,atrialfibrillation,wdba_sameclass,0.3112763779430446,0.023089811971497995,0.07673314339981006,10.0,21.772144165656453,120.0,3
phase1_locked,atrialfibrillation,dba_sameclass,0.2589506172839506,0.0682950141814794,0.024407382740716032,10.0,,,3
phase1_locked,atrialfibrillation,raw_aug_jitter,0.23888888888888885,0.08940820521906159,0.004345654345654371,10.0,,,3
phase1_locked,atrialfibrillation,no_aug,0.23454323454323447,0.078502724418324,0.0,0.0,,,3
phase1_locked,atrialfibrillation,raw_smote_flatten_balanced,0.23454323454323447,0.078502724418324,0.0,0.0,,,3
phase1_locked,atrialfibrillation,raw_aug_timewarp,0.23063356396689727,0.11080176518735335,-0.003909670576337269,10.0,,,3
phase2_new,atrialfibrillation,raw_aug_window_slicing,0.22277167277167273,0.07264503223004065,-0.011771561771561731,10.0,0.7457243536676591,0.0,3
phase2_new,atrialfibrillation,raw_aug_magnitude_warping,0.19830539830539828,0.10909133902537174,-0.036237836237836225,10.0,0.8141435079936249,0.0,3
phase2_new,atrialfibrillation,spawner_sameclass_style,0.1823361823361823,0.14688951429999098,-0.05220705220705223,10.0,1.9125999579943407,0.0,3
phase1_locked,atrialfibrillation,csta_top1_current,0.17670847670847667,0.03028377264448496,-0.0578347578347578,10.0,,,3
phase1_locked,atrialfibrillation,random_cov_state,0.17222222222222217,0.10555555555555554,-0.06232101232101234,10.0,,,3
phase1_locked,atrialfibrillation,raw_mixup,0.1461063627730294,0.017994071342075892,-0.08843687177020504,10.0,,,3
phase1_locked,atrialfibrillation,raw_aug_scaling,0.13190883190883188,0.059647669677997006,-0.10263440263440264,10.0,,,3
phase1_locked,atrialfibrillation,csta_group_template_top,0.1291033585151232,0.02503831978501921,-0.10543987602811122,10.0,,,3
phase1_locked,atrialfibrillation,pca_cov_state,0.11259666259666257,0.061079246178242896,-0.12194657194657192,10.0,,,3
phase2_new,atrialfibrillation,raw_aug_window_warping,0.0914902998236331,0.0434717212991322,-0.14305293471960137,10.0,0.8632955416687764,0.0,3
phase1_locked,ering,pca_cov_state,0.8501776214953166,0.02146308879579797,0.10325621365072013,10.0,,,3
phase1_locked,ering,csta_top1_current,0.837231988455564,0.05806227356985866,0.09031058061096736,10.0,,,3
phase1_locked,ering,dba_sameclass,0.8338175766315175,0.037837102528288646,0.08689616878692097,10.0,,,3
phase2_new,ering,raw_aug_window_slicing,0.8233078935407628,0.10826376431910299,0.07638648569616636,10.0,0.4884335673317158,0.0,3
phase1_locked,ering,raw_mixup,0.8188850184173725,0.039442666779172915,0.071963610572776,10.0,,,3
phase2_new,ering,spawner_sameclass_style,0.816630976766628,0.042269528911921525,0.06970956892203146,10.0,1.0208229963318445,0.0,3
phase2_new,ering,raw_aug_magnitude_warping,0.7948281323558142,0.05630317614763032,0.047906724511217635,10.0,0.7774496120012676,0.0,3
phase1_locked,ering,random_cov_state,0.7878228568457231,0.10050334503549231,0.040901449001126605,10.0,,,3
phase1_locked,ering,raw_aug_timewarp,0.7875608840443497,0.06057570483445047,0.04063947619975313,10.0,,,3
phase1_locked,ering,csta_group_template_top,0.7834727436167497,0.0721716666733134,0.036551335772153234,10.0,,,3
phase2_new,ering,wdba_sameclass,0.7726425828702798,0.08585020861739956,0.025721175025683263,10.0,2.3645683266610527,240.0,3
phase1_locked,ering,raw_aug_jitter,0.7665886700139781,0.11332925082018551,0.019667262169381694,10.0,,,3
phase1_locked,ering,no_aug,0.7469214078445964,0.1770500945694436,0.0,0.0,,,3
phase1_locked,ering,raw_smote_flatten_balanced,0.7469214078445964,0.1770500945694436,0.0,0.0,,,3
phase1_locked,ering,raw_aug_scaling,0.7391502936098485,0.05490520432294366,-0.007771114234748004,10.0,,,3
phase2_new,ering,raw_aug_window_warping,0.7309929823628466,0.08703676315565612,-0.01592842548174987,10.0,0.7125469576664424,0.0,3
