dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,activation_topk_mean,activation_topk_std,activation_tau_mean,activation_tau_std,transport_error_fro_mean_mean,transport_error_fro_mean_std,transport_error_logeuc_mean_mean,transport_error_logeuc_mean_std,bridge_cond_A_mean_mean,bridge_cond_A_mean_std,metric_preservation_error_mean_mean,metric_preservation_error_mean_std,safe_radius_ratio_mean_mean,safe_radius_ratio_mean_std,manifold_margin_mean_mean,manifold_margin_mean_std,gamma_requested_mean_mean,gamma_requested_mean_std,gamma_used_mean_mean,gamma_used_mean_std,gamma_zero_rate_mean,gamma_zero_rate_std,host_geom_cosine_mean_mean,host_geom_cosine_mean_std,host_conflict_rate_mean,host_conflict_rate_std,candidate_total_count_mean,candidate_total_count_std,aug_total_count_mean,aug_total_count_std,requested_k_dir_mean,requested_k_dir_std,effective_k_dir_mean,effective_k_dir_std,safe_clip_rate_mean,safe_clip_rate_std,template_usage_entropy_mean,template_usage_entropy_std,top_template_concentration_mean,top_template_concentration_std,aug_valid_rate_mean,aug_valid_rate_std,candidate_audit_rows_mean,candidate_audit_rows_std,candidate_audit_available_mean,candidate_audit_available_std,candidate_accept_rate_mean,candidate_accept_rate_std,candidate_physics_ok_mean,candidate_physics_ok_std,z_displacement_norm_mean_mean,z_displacement_norm_mean_std,template_response_abs_mean_mean,template_response_abs_mean_std,gamma_requested_mean_audit_mean,gamma_requested_mean_audit_std,gamma_used_mean_audit_mean,gamma_used_mean_audit_std,safe_radius_ratio_mean_audit_mean,safe_radius_ratio_mean_audit_std,safe_clip_rate_audit_mean,safe_clip_rate_audit_std,gamma_zero_rate_audit_mean,gamma_zero_rate_audit_std,manifold_margin_mean_audit_mean,manifold_margin_mean_audit_std,transport_error_logeuc_mean_audit_mean,transport_error_logeuc_mean_audit_std,template_usage_entropy_audit_mean,template_usage_entropy_audit_std,top_template_concentration_audit_mean,top_template_concentration_audit_std,gamma_used_gt_requested_count_mean,gamma_used_gt_requested_count_std,safe_radius_ratio_out_of_bounds_count_mean,safe_radius_ratio_out_of_bounds_count_std,aug_train_ratio_mean,aug_train_ratio_std,multi_template_pairs_mean,multi_template_pairs_std,zpia_z_dim_mean,zpia_z_dim_std,zpia_n_train_mean,zpia_n_train_std,zpia_n_train_lt_z_dim_mean,zpia_n_train_lt_z_dim_std,zpia_row_norm_min_mean,zpia_row_norm_min_std,zpia_row_norm_max_mean,zpia_row_norm_max_std,zpia_row_norm_mean_mean,zpia_row_norm_mean_std,zpia_fallback_row_count_mean,zpia_fallback_row_count_std,telm2_recon_last_mean,telm2_recon_last_std,telm2_recon_mean_mean,telm2_recon_mean_std,telm2_recon_std_mean,telm2_recon_std_std,selected_template_entropy_mean,selected_template_entropy_std
articularywordrecognition,csta_topk_uniform_top5,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9797708481534567,0.006062159447904349,0.016663909359561534,0.005965511297304581,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9816507936507938,0.01705409117189086,29.666666666666668,0.5773502691896255,0.0,0.0,0.0,0.0,10.948779156334544,0.3787974966239461,5.0,0.0,,,0.000271864908209,4.261311849861836e-08,0.026397378882803732,0.0006362637165631258,1.1298959606611463,0.0027092717230606154,0.21149493723066934,0.001949602667093014,0.0345035968343972,0.0002517377603556826,3.9344386908357354,0.01967571122099152,0.09999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,2200.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.2694580523202137,0.020233376198170887,0.1348484848484848,0.017208813169091747,1.0,0.0,2200.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10000000006498977,1.742126572173521e-10,1.3085074010513906,0.015327769909227774,0.09999999999999991,0.0,0.09999999999999991,0.0,0.0345035968343972,0.0002517377603556826,0.0,0.0,0.0,0.0,3.9344386908357354,0.01967571122099152,0.026397378882803732,0.0006362637165631258,2.2694580523202137,0.020233376198170887,0.1348484848484848,0.017208813169091747,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,45.0,0.0,220.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6836688026541538,0.0005070720216081396,0.6887684661461401,0.002002279128478051,0.016469792718866134,0.0029147234848739953,2.2694580523202137,0.020233376198170887
atrialfibrillation,csta_topk_uniform_top5,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.26854256854256847,0.10282668713089323,0.03399933399933403,0.18028480261812865,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7037037037037036,0.25660011963983376,21.333333333333332,7.767453465154029,0.0,0.0,0.0,0.0,5.049047416328297,0.10797767162239132,5.0,0.0,,,0.00012821149485486667,9.086581976552672e-08,0.030883898238377335,0.0033398746705592206,1.0657107700707582,0.01180496074508903,0.1119924883390821,0.0029158191569379206,0.17960435569349997,0.0035994473507286744,0.973736853808815,0.11263992542034644,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.6951126098834415,0.08488767693109073,0.3055555555555555,0.048112522432468795,1.0,0.0,120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09999999983321894,1.1218623112339368e-09,0.7325001142774988,0.034436383346930055,0.10000000000000002,0.0,0.10000000000000002,0.0,0.17960435569349997,0.0035994473507286744,0.0,0.0,0.0,0.0,0.973736853808815,0.11263992542034644,0.030883898238377335,0.0033398746705592206,1.6951126098834415,0.08488767693109073,0.3055555555555555,0.048112522432468795,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2874234441352856,0.06228379972099431,0.3039497286639982,0.06685538174055783,0.0378814051153146,0.03126943644608832,1.6951126098834415,0.08488767693109073
basicmotions,csta_topk_uniform_top5,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.608003688335884,0.17781773996921077,5.0,0.0,,,0.00022216003567709997,4.12038348949444e-08,0.0082292127026479,0.0006836070732471732,1.1180700788647684,0.002654465794416035,0.18456089071732593,0.0016507808848506545,0.0318380592004473,0.0002572863717867525,4.49870377382199,0.08226835771786785,0.09999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.9981081260265317,0.03382431775903567,0.22916666666666666,0.047735163489123336,1.0,0.0,320.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10000000034033536,2.3940255615205753e-10,1.9848974787487748,0.0378436173456617,0.09999999999999991,0.0,0.09999999999999991,0.0,0.0318380592004473,0.0002572863717867525,0.0,0.0,0.0,0.0,4.49870377382199,0.08226835771786785,0.0082292127026479,0.0006836070732471732,1.9981081260265317,0.03382431775903567,0.22916666666666666,0.047735163489123336,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,21.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5001662907077326,0.03624357747514961,0.49276370087623317,0.011294186277286936,0.034058585859391095,0.00300881283050199,1.9981081260265317,0.03382431775903567
cricket,csta_topk_uniform_top5,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9813843563843564,0.01612169342034551,-0.0092916342916343,0.008046937875877304,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,14.206290227652062,0.1644017406829741,5.0,0.0,,,0.00022174112608329999,5.238070169002238e-08,0.0129389509692065,0.0007331911739769714,1.1008332652685004,0.004193603548936564,0.15949502788725708,0.003102510675357054,0.07137747080081759,0.0008810944682042343,2.0060515483031103,0.03169308919360663,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,0.0,860.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.1265572208427383,0.049944283383667715,0.21317829457364335,0.024205418598443433,1.0,0.0,860.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10000000005165487,3.770537860983381e-10,1.1826859777474377,0.03162319735773014,0.10000000000000002,0.0,0.10000000000000002,0.0,0.07137747080081759,0.0008810944682042343,0.0,0.0,0.0,0.0,2.0060515483031103,0.03169308919360663,0.0129389509692065,0.0007331911739769714,2.1265572208427383,0.049944283383667715,0.21317829457364335,0.024205418598443433,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,21.0,0.0,86.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.42163043329886124,0.02133177167224233,0.41740387799640205,0.009325800258365562,0.018083393717243733,0.004530529152110014,2.1265572208427383,0.049944283383667715
epilepsy,csta_topk_uniform_top5,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9714943308852239,0.0004958398109402933,0.0130480921400542,0.02186041672403369,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.045173600995136,0.16551015104888736,5.0,0.0,,,0.00015700262752486668,5.465935657780829e-08,0.0038935021626632666,0.00020232309049125663,1.0850488859674188,0.004289271573216071,0.13065838029421503,0.003276998291933205,0.1033782809283917,0.001780790419832224,1.4312877343635062,0.03002245710736736,0.09999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.155464374036694,0.03666360958602382,0.1834862385321101,0.009174311926605505,1.0,0.0,1090.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1000000002995059,3.1344716929409176e-10,1.260630665839437,0.11185105702996485,0.09999999999999991,0.0,0.09999999999999991,0.0,0.1033782809283917,0.001780790419832224,0.0,0.0,0.0,0.0,1.4312877343635062,0.03002245710736736,0.0038935021626632666,0.00020232309049125663,2.155464374036694,0.03666360958602382,0.1834862385321101,0.009174311926605505,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,109.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3553523992552052,0.04716681853697351,0.32242540463294295,0.02046400532820435,0.023754896012139603,0.0026159040546464532,2.155464374036694,0.03666360958602382
ering,csta_topk_uniform_top5,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.8205151780046046,0.05623328413328154,0.07359377016000802,0.12405371550840205,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9259259259259259,0.12830005981991685,25.333333333333332,8.082903768654761,0.0,0.0,0.0,0.0,5.260462202325773,0.418460142385839,5.0,0.0,,,0.0001812659981216,8.042950822192226e-08,0.0013230440131503,2.4986829861127337e-05,1.0973347369535646,0.003261145853329936,0.14499490648757188,0.003946803993695624,0.14417342594165528,0.0024269926725948797,1.0777977562429353,0.026502555331996257,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1.9836156303531973,0.06626354867882459,0.2638888888888889,0.048112522432468836,1.0,0.0,240.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09999999992043594,5.150047278700361e-10,0.5314154573555565,0.020432292618054237,0.10000000000000002,0.0,0.10000000000000002,0.0,0.14417342594165528,0.0024269926725948797,0.0,0.0,0.0,0.0,1.0777977562429353,0.026502555331996257,0.0013230440131503,2.4986829861127337e-05,1.9836156303531973,0.06626354867882459,0.2638888888888889,0.048112522432468836,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.31094908049726394,0.021012974680491,0.3170689086828513,0.027121910612033475,0.012059588389978332,0.005892077172225917,1.9836156303531973,0.06626354867882459
ethanolconcentration,csta_topk_uniform_top5,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.27421298970049424,0.02939472251013186,-0.004940705404933733,0.007572481085273153,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.40735648132199853,0.05938119111459363,17.333333333333332,3.0550504633038935,0.0,0.0,0.0,0.0,25.915740369663883,2.7274542752762274,5.0,0.0,,,0.0001661220721267,1.9045335621850158e-06,5.606040846075486e-09,1.8095130838693827e-10,1.2652149290377384,0.028007892020509725,0.33736075392680404,0.03081919564353477,0.12762608281995805,0.003928245828174294,1.1855413061571498,0.01805296017185225,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,0.0,2080.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.253925822681308,0.00811650475300362,0.157051282051282,0.014687742612037915,1.0,0.0,2080.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10000000001057256,5.426155864606127e-10,1.3811336114326611,0.05218594716592143,0.10000000000000002,0.0,0.10000000000000002,0.0,0.12762608281995805,0.003928245828174294,0.0,0.0,0.0,0.0,1.1855413061571498,0.01805296017185225,5.606040846075486e-09,1.8095130838693827e-10,2.253925822681308,0.00811650475300362,0.157051282051282,0.014687742612037915,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,208.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5403165186234554,0.02937369070622278,0.5467662698240426,0.024239823307980954,0.028024644546423932,0.0036362738301301896,2.253925822681308,0.00811650475300362
fingermovements,csta_topk_uniform_top5,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5289125965573828,0.019479775255389353,0.0482922623637597,0.03526287912237682,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6592481217325735,0.037950854647827124,15.666666666666666,2.0816659994661326,0.0,0.0,0.0,0.0,10.274036559664333,0.31642763001519153,5.0,0.0,,,0.00047746349428419996,3.0850837375282176e-08,6.711776342556608e-05,4.926702108570431e-07,1.1181289914764505,0.003438841260177091,0.228472789790053,0.0030189434904816046,0.02202540598164013,0.00011477315038684636,6.096037604177513,0.028162838989420142,0.09999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,0.0,2520.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.2865903335446416,0.0040297238451688045,0.13359788359788358,0.0022910724967842534,1.0,0.0,2520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10000000000740272,7.742274746934035e-11,1.5108196922657269,0.018752446252525066,0.09999999999999991,0.0,0.09999999999999991,0.0,0.02202540598164013,0.00011477315038684636,0.0,0.0,0.0,0.0,6.096037604177513,0.028162838989420142,6.711776342556608e-05,4.926702108570431e-07,2.2865903335446416,0.0040297238451688045,0.13359788359788358,0.0022910724967842534,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,406.0,0.0,252.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.829263528613951,0.0013825120376660181,0.8342612429282958,0.0007745235210539774,0.010674798589898634,0.0006992851345752931,2.2865903335446416,0.0040297238451688045
handmovementdirection,csta_topk_uniform_top5,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.2723931737766877,0.03121677247031496,0.062701899208671,0.007994747477931158,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.36752671890925126,0.05553279831112296,18.333333333333332,10.214368964029708,0.0,0.0,0.0,0.0,8.471327389357612,1.6826099141180864,5.0,0.0,,,0.00028544566179536667,4.127806036869685e-09,1.1130233977571253e-07,1.5865023378103744e-10,1.0872434647902194,0.0015780803549836728,0.14855885233521934,0.0003494070890863408,0.13735308875579885,0.0013576701687677813,0.993777100912632,0.008427509469569524,0.09999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,1280.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.2580422624471654,0.020459781676041563,0.14583333333333334,0.004510548978043955,1.0,0.0,1280.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09999999996548899,1.3420485293612717e-10,0.2791149628119555,0.0030948225774310276,0.09999999999999991,0.0,0.09999999999999991,0.0,0.13735308875579885,0.0013576701687677813,0.0,0.0,0.0,0.0,0.993777100912632,0.008427509469569524,1.1130233977571253e-07,1.5865023378103744e-10,2.2580422624471654,0.020459781676041563,0.14583333333333334,0.004510548978043955,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,55.0,0.0,128.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7579838024736311,0.005232754319219318,0.7603477086519178,0.0050178763065378855,0.012259519859441967,0.000843734807464454,2.2580422624471654,0.020459781676041563
handwriting,csta_topk_uniform_top5,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.4680564886832321,0.011426032686779424,0.0679564709954557,0.017361488203659757,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.41865588115588115,0.06638402955772388,18.333333333333332,4.932882862316248,0.0,0.0,0.0,0.0,7.126068431670622,0.5492289292129601,5.0,0.0,,,0.00015691612131636667,5.514851294688321e-08,0.00032264816800470003,2.554097771329224e-06,1.0811365617894946,0.0022397650117805153,0.1226812943181903,0.003343141896337993,0.6514045036049999,0.014697442069072936,0.2547835638816705,0.010328354802092729,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,0.0,10.0,0.0,10.0,0.0,0.17499999999999996,0.022047927592204884,2.181205195183892,0.03308497397393388,0.16388888888888883,0.004811252243246865,1.0,0.0,1200.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09602718264559347,0.0009164546977744452,0.37534481656259766,0.018175616056946994,0.10000000000000002,0.0,0.09602718261310533,0.0009164550457574412,0.6514045036049999,0.014697442069072936,0.17499999999999996,0.022047927592204884,0.0,0.0,0.2547835638816705,0.010328354802092729,0.00032264816800470003,2.554097771329224e-06,2.181205195183892,0.03308497397393388,0.16388888888888883,0.004811252243246865,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,1.0,0.0,0.0,0.0,0.7503837828580132,0.0049461143494557835,0.7490993650452357,0.004679159054039683,0.0027473242785667333,0.0005967740229726549,2.181205195183892,0.03308497397393388
