dataset,method,gain_vs_no_aug
atrialfibrillation,wdba_sameclass,0.0767331433998101
atrialfibrillation,dba_sameclass,0.024407382740716105
atrialfibrillation,raw_aug_jitter,0.004345654345654371
atrialfibrillation,no_aug,0.0
atrialfibrillation,raw_smote_flatten_balanced,0.0
atrialfibrillation,raw_aug_timewarp,-0.003909670576337204
atrialfibrillation,best_rawaug,-0.0049136049136048465
atrialfibrillation,raw_aug_window_slicing,-0.011771561771561745
atrialfibrillation,raw_aug_magnitude_warping,-0.03623783623783619
atrialfibrillation,spawner_sameclass_style,-0.052207052207052185
atrialfibrillation,csta_top1_current,-0.057834757834757805
atrialfibrillation,random_cov_state,-0.06232101232101231
atrialfibrillation,raw_mixup,-0.08843687177020507
atrialfibrillation,raw_aug_scaling,-0.1026344026344026
atrialfibrillation,csta_group_template_top,-0.10543987602811128
atrialfibrillation,pca_cov_state,-0.12194657194657191
atrialfibrillation,raw_aug_window_warping,-0.14305293471960137
ering,pca_cov_state,0.10325621365072024
ering,csta_top1_current,0.09031058061096764
ering,dba_sameclass,0.08689616878692108
ering,raw_aug_window_slicing,0.07638648569616646
ering,raw_mixup,0.07196361057277612
ering,spawner_sameclass_style,0.06970956892203162
ering,raw_aug_magnitude_warping,0.0479067245112178
ering,random_cov_state,0.04090144900112669
ering,raw_aug_timewarp,0.04063947619975328
ering,csta_group_template_top,0.036551335772153304
ering,best_rawaug,0.03221387913465745
ering,wdba_sameclass,0.025721175025683385
ering,raw_aug_jitter,0.01966726216938175
ering,no_aug,0.0
ering,raw_smote_flatten_balanced,0.0
ering,raw_aug_scaling,-0.007771114234747856
ering,raw_aug_window_warping,-0.015928425481749775
handmovementdirection,wdba_sameclass,0.1597140137466375
handmovementdirection,dba_sameclass,0.14293369044837337
handmovementdirection,spawner_sameclass_style,0.13590513063597195
handmovementdirection,raw_aug_timewarp,0.10931543139413294
handmovementdirection,best_rawaug,0.10850191917397647
handmovementdirection,raw_aug_jitter,0.10284127983785954
handmovementdirection,raw_aug_window_warping,0.09739845688805457
handmovementdirection,pca_cov_state,0.08796564925913855
handmovementdirection,random_cov_state,0.08065688461094664
handmovementdirection,raw_aug_window_slicing,0.0715765432545594
handmovementdirection,raw_aug_magnitude_warping,0.06614525121915552
handmovementdirection,csta_top1_current,0.06576114328289598
handmovementdirection,raw_aug_scaling,0.0641923082496593
handmovementdirection,csta_group_template_top,0.059163193310044854
handmovementdirection,raw_mixup,0.003467860125569072
handmovementdirection,no_aug,0.0
handmovementdirection,raw_smote_flatten_balanced,0.0
handwriting,raw_aug_jitter,0.09702025128532932
handwriting,best_rawaug,0.0845167427956286
handwriting,raw_aug_window_warping,0.08227803877615358
handwriting,csta_group_template_top,0.07597043921292468
handwriting,pca_cov_state,0.06734057122944637
handwriting,raw_aug_timewarp,0.06730001415290143
handwriting,raw_aug_window_slicing,0.06576835885898746
handwriting,random_cov_state,0.06428401747772411
handwriting,csta_top1_current,0.06039182048138714
handwriting,raw_aug_scaling,0.05060558611325283
handwriting,raw_aug_magnitude_warping,0.04623541457666369
handwriting,spawner_sameclass_style,0.045223570182610195
handwriting,raw_smote_flatten_balanced,0.027691745270838675
handwriting,wdba_sameclass,0.003173435872383945
handwriting,no_aug,0.0
handwriting,dba_sameclass,-0.012200726450246169
handwriting,raw_mixup,-0.04033712631157199
japanesevowels,random_cov_state,0.017819569647162137
japanesevowels,raw_aug_jitter,0.016456540700933164
japanesevowels,spawner_sameclass_style,0.015344678500013753
japanesevowels,dba_sameclass,0.013934110721216086
japanesevowels,best_rawaug,0.013241620066010151
japanesevowels,raw_aug_window_slicing,0.011955222661489184
japanesevowels,raw_aug_timewarp,0.010954833396897845
japanesevowels,raw_mixup,0.01073351036151271
japanesevowels,raw_aug_scaling,0.010259399047363171
japanesevowels,raw_aug_magnitude_warping,0.009110413070810397
japanesevowels,wdba_sameclass,0.008704005579398433
japanesevowels,raw_aug_window_warping,0.008173146571953449
japanesevowels,csta_top1_current,0.004343171021411241
japanesevowels,pca_cov_state,0.004030102746036324
japanesevowels,csta_group_template_top,0.0037200694402113044
japanesevowels,no_aug,0.0
japanesevowels,raw_smote_flatten_balanced,0.0
natops,csta_group_template_top,0.04428788028061992
natops,best_rawaug,0.0409099301802448
natops,raw_aug_jitter,0.0409099301802448
natops,csta_top1_current,0.03914282115530332
natops,raw_aug_window_slicing,0.03766022218498177
natops,dba_sameclass,0.0356390092168557
natops,spawner_sameclass_style,0.03545478442288619
natops,random_cov_state,0.031881569029464485
natops,raw_aug_scaling,0.03163768371030207
natops,pca_cov_state,0.029631698431076492
natops,wdba_sameclass,0.02550264370083899
natops,raw_aug_magnitude_warping,0.023740199266431006
natops,raw_aug_timewarp,0.021588787633150197
natops,raw_aug_window_warping,0.01888388540772934
natops,raw_mixup,0.007965394468893106
natops,no_aug,0.0
natops,raw_smote_flatten_balanced,0.0
racketsports,raw_mixup,0.036986144292439294
racketsports,raw_aug_timewarp,0.03148148497676173
racketsports,spawner_sameclass_style,0.027602324993857397
racketsports,wdba_sameclass,0.02725023156265327
racketsports,csta_group_template_top,0.022594007549289197
racketsports,best_rawaug,0.019130302707328184
racketsports,random_cov_state,0.015031386269695801
racketsports,raw_aug_window_slicing,0.014507623293222749
racketsports,raw_aug_window_warping,0.014263393755100884
racketsports,raw_aug_magnitude_warping,0.010840705862408262
racketsports,pca_cov_state,0.010276795386861215
racketsports,dba_sameclass,0.002896102239839937
racketsports,csta_top1_current,0.0024980209451415103
racketsports,raw_aug_jitter,0.001701079733907651
racketsports,no_aug,0.0
racketsports,raw_aug_scaling,-0.0026484757010757365
racketsports,raw_smote_flatten_balanced,-0.016348014695833357
