dataset,method,macro_f1_mean,macro_f1_std_over_seeds,gain_vs_no_aug,rank_in_dataset,is_dataset_winner,gap_vs_best_external_dataset,actual_aug_ratio,method_elapsed_sec_mean,fallback_count_mean,n_seeds,best_external_method,best_external_f1
atrialfibrillation,wdba_sameclass,0.3112763779430446,0.023089811971497995,0.0767331433998101,1.0,True,0.0,10.0,21.772144165656453,120.0,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,dba_sameclass,0.2589506172839506,0.0682950141814794,0.024407382740716105,2.0,False,-0.052325760659094,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_aug_jitter,0.23888888888888885,0.08940820521906159,0.004345654345654371,3.0,False,-0.07238748905415573,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,no_aug,0.23454323454323447,0.078502724418324,0.0,4.5,False,-0.0767331433998101,0.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_smote_flatten_balanced,0.23454323454323447,0.078502724418324,0.0,4.5,False,-0.0767331433998101,0.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_aug_timewarp,0.23063356396689727,0.11080176518735335,-0.003909670576337204,6.0,False,-0.08064281397614731,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,best_rawaug,0.22962962962962963,0.10501812502783574,-0.0049136049136048465,7.0,False,-0.08164674831341495,10.0,0.9756147750013042,0.0,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_aug_window_slicing,0.22277167277167273,0.07264503223004065,-0.011771561771561745,8.0,False,-0.08850470517137185,10.0,0.7457243536676591,0.0,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_aug_magnitude_warping,0.19830539830539828,0.10909133902537174,-0.03623783623783619,9.0,False,-0.1129709796376463,10.0,0.8141435079936249,0.0,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,spawner_sameclass_style,0.1823361823361823,0.14688951429999098,-0.052207052207052185,10.0,False,-0.1289401956068623,10.0,1.9125999579943407,0.0,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,csta_top1_current,0.17670847670847667,0.03028377264448496,-0.057834757834757805,11.0,False,-0.1345679012345679,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,random_cov_state,0.17222222222222217,0.10555555555555554,-0.06232101232101231,12.0,False,-0.13905415572082241,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_mixup,0.1461063627730294,0.017994071342075892,-0.08843687177020507,13.0,False,-0.16517001517001517,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_aug_scaling,0.13190883190883188,0.059647669677997006,-0.1026344026344026,14.0,False,-0.1793675460342127,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,csta_group_template_top,0.1291033585151232,0.02503831978501921,-0.10543987602811128,15.0,False,-0.18217301942792138,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,pca_cov_state,0.11259666259666257,0.061079246178242896,-0.12194657194657191,16.0,False,-0.198679715346382,10.0,,,3,wdba_sameclass,0.3112763779430446
atrialfibrillation,raw_aug_window_warping,0.0914902998236331,0.0434717212991322,-0.14305293471960137,17.0,False,-0.21978607811941148,10.0,0.8632955416687764,0.0,3,wdba_sameclass,0.3112763779430446
ering,pca_cov_state,0.8501776214953166,0.02146308879579797,0.10325621365072024,1.0,True,0.0,10.0,,,3,pca_cov_state,0.8501776214953166
ering,csta_top1_current,0.837231988455564,0.05806227356985866,0.09031058061096764,2.0,False,-0.012945633039752602,10.0,,,3,pca_cov_state,0.8501776214953166
ering,dba_sameclass,0.8338175766315175,0.037837102528288646,0.08689616878692108,3.0,False,-0.01636004486379916,10.0,,,3,pca_cov_state,0.8501776214953166
ering,raw_aug_window_slicing,0.8233078935407628,0.10826376431910299,0.07638648569616646,4.0,False,-0.02686972795455378,10.0,0.4884335673317158,0.0,3,pca_cov_state,0.8501776214953166
ering,raw_mixup,0.8188850184173725,0.039442666779172915,0.07196361057277612,5.0,False,-0.031292603077944126,10.0,,,3,pca_cov_state,0.8501776214953166
ering,spawner_sameclass_style,0.816630976766628,0.042269528911921525,0.06970956892203162,6.0,False,-0.033546644728688624,10.0,1.0208229963318445,0.0,3,pca_cov_state,0.8501776214953166
ering,raw_aug_magnitude_warping,0.7948281323558142,0.05630317614763032,0.0479067245112178,7.0,False,-0.05534948913950244,10.0,0.7774496120012676,0.0,3,pca_cov_state,0.8501776214953166
ering,random_cov_state,0.7878228568457231,0.10050334503549231,0.04090144900112669,8.0,False,-0.06235476464959355,10.0,,,3,pca_cov_state,0.8501776214953166
ering,raw_aug_timewarp,0.7875608840443497,0.06057570483445047,0.04063947619975328,9.0,False,-0.06261673745096696,10.0,,,3,pca_cov_state,0.8501776214953166
ering,csta_group_template_top,0.7834727436167497,0.0721716666733134,0.036551335772153304,10.0,False,-0.06670487787856694,10.0,,,3,pca_cov_state,0.8501776214953166
ering,best_rawaug,0.7791352869792538,0.08957773769326859,0.03221387913465745,11.0,False,-0.07104233451606279,10.0,0.8118128630158026,0.0,3,pca_cov_state,0.8501776214953166
ering,wdba_sameclass,0.7726425828702798,0.08585020861739956,0.025721175025683385,12.0,False,-0.07753503862503686,10.0,2.3645683266610527,240.0,3,pca_cov_state,0.8501776214953166
ering,raw_aug_jitter,0.7665886700139781,0.11332925082018551,0.01966726216938175,13.0,False,-0.08358895148133849,10.0,,,3,pca_cov_state,0.8501776214953166
ering,no_aug,0.7469214078445964,0.1770500945694436,0.0,14.5,False,-0.10325621365072024,0.0,,,3,pca_cov_state,0.8501776214953166
ering,raw_smote_flatten_balanced,0.7469214078445964,0.1770500945694436,0.0,14.5,False,-0.10325621365072024,0.0,,,3,pca_cov_state,0.8501776214953166
ering,raw_aug_scaling,0.7391502936098485,0.05490520432294366,-0.007771114234747856,16.0,False,-0.1110273278854681,10.0,,,3,pca_cov_state,0.8501776214953166
ering,raw_aug_window_warping,0.7309929823628466,0.08703676315565612,-0.015928425481749775,17.0,False,-0.11918463913247002,10.0,0.7125469576664424,0.0,3,pca_cov_state,0.8501776214953166
