method,negative_transfer_rate_dataset,negative_transfer_dataset_count,n_dataset_comparisons,negative_transfer_rate_seed,n_seed_comparisons
best_rawaug,0.14285714285714285,1,7,0.14285714285714285,21
csta_group_template_top,0.14285714285714285,1,7,0.2857142857142857,21
csta_top1_current,0.14285714285714285,1,7,0.23809523809523808,21
dba_sameclass,0.14285714285714285,1,7,0.14285714285714285,21
no_aug,0.0,0,7,0.0,21
pca_cov_state,0.14285714285714285,1,7,0.2857142857142857,21
random_cov_state,0.14285714285714285,1,7,0.19047619047619047,21
raw_aug_jitter,0.0,0,7,0.23809523809523808,21
raw_aug_magnitude_warping,0.14285714285714285,1,7,0.19047619047619047,21
raw_aug_scaling,0.42857142857142855,3,7,0.2857142857142857,21
raw_aug_timewarp,0.14285714285714285,1,7,0.19047619047619047,21
raw_aug_window_slicing,0.14285714285714285,1,7,0.23809523809523808,21
raw_aug_window_warping,0.2857142857142857,2,7,0.3333333333333333,21
raw_mixup,0.2857142857142857,2,7,0.47619047619047616,21
raw_smote_flatten_balanced,0.14285714285714285,1,7,0.19047619047619047,21
spawner_sameclass_style,0.14285714285714285,1,7,0.14285714285714285,21
wdba_sameclass,0.0,0,7,0.23809523809523808,21
