dataset,seed,class_id,class_size,n_aug_requested,same_class_scarcity_count,dtw_path_true_fallback_count,fallback_reason,dtw_path_valid_rate,noise_scale,method_elapsed_sec,audit_detail_available
atrialfibrillation,1,0,4,40,0,,none,,0.05,2.4499541699769907,False
atrialfibrillation,1,1,4,40,0,,none,,0.05,2.4499541699769907,False
atrialfibrillation,1,2,4,40,0,,none,,0.05,2.4499541699769907,False
atrialfibrillation,1,__all__,12,120,0,0.0,scarcity_only_or_none,1.0,0.05,2.4499541699769907,False
atrialfibrillation,2,0,4,40,0,,none,,0.05,1.852672473003622,False
atrialfibrillation,2,1,4,40,0,,none,,0.05,1.852672473003622,False
atrialfibrillation,2,2,4,40,0,,none,,0.05,1.852672473003622,False
atrialfibrillation,2,__all__,12,120,0,0.0,scarcity_only_or_none,1.0,0.05,1.852672473003622,False
atrialfibrillation,3,0,4,40,0,,none,,0.05,1.435173231002409,False
atrialfibrillation,3,1,4,40,0,,none,,0.05,1.435173231002409,False
atrialfibrillation,3,2,4,40,0,,none,,0.05,1.435173231002409,False
atrialfibrillation,3,__all__,12,120,0,0.0,scarcity_only_or_none,1.0,0.05,1.435173231002409,False
ering,1,0,4,40,0,,none,,0.05,1.093873784004245,False
ering,1,1,4,40,0,,none,,0.05,1.093873784004245,False
ering,1,2,4,40,0,,none,,0.05,1.093873784004245,False
ering,1,3,4,40,0,,none,,0.05,1.093873784004245,False
ering,1,4,4,40,0,,none,,0.05,1.093873784004245,False
ering,1,5,4,40,0,,none,,0.05,1.093873784004245,False
ering,1,__all__,24,240,0,0.0,scarcity_only_or_none,1.0,0.05,1.093873784004245,False
ering,2,0,4,40,0,,none,,0.05,1.161779530986678,False
ering,2,1,4,40,0,,none,,0.05,1.161779530986678,False
ering,2,2,4,40,0,,none,,0.05,1.161779530986678,False
ering,2,3,4,40,0,,none,,0.05,1.161779530986678,False
ering,2,4,4,40,0,,none,,0.05,1.161779530986678,False
ering,2,5,4,40,0,,none,,0.05,1.161779530986678,False
ering,2,__all__,24,240,0,0.0,scarcity_only_or_none,1.0,0.05,1.161779530986678,False
ering,3,0,4,40,0,,none,,0.05,0.8068156740046106,False
ering,3,1,4,40,0,,none,,0.05,0.8068156740046106,False
