dataset,seed,n_train,n_val,n_test,n_classes_train,n_classes_test,n_classes_val
atrialfibrillation,1,12,3,15,3,3,3
atrialfibrillation,2,12,3,15,3,3,3
atrialfibrillation,3,12,3,15,3,3,3
ering,1,24,6,270,6,6,6
ering,2,24,6,270,6,6,6
ering,3,24,6,270,6,6,6
handmovementdirection,1,128,32,74,4,4,4
handmovementdirection,2,128,32,74,4,4,4
handmovementdirection,3,128,32,74,4,4,4
handwriting,1,120,30,850,26,26,24
handwriting,2,120,30,850,26,26,24
handwriting,3,120,30,850,26,26,24
japanesevowels,1,216,54,370,9,9,9
japanesevowels,2,216,54,370,9,9,9
japanesevowels,3,216,54,370,9,9,9
natops,1,144,36,180,6,6,6
natops,2,144,36,180,6,6,6
natops,3,144,36,180,6,6,6
racketsports,1,120,31,152,4,4,4
racketsports,2,120,31,152,4,4,4
racketsports,3,120,31,152,4,4,4
