dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.03399933399933403,0.18028480261812865,0.7037037037037036,120.0,10.0,3
atrialfibrillation,csta_topk_softmax_tau_0.05,0.21446208112874773,0.1138996680595213,-0.020081153414486796,0.19239235251371334,0.8518518518518517,120.0,10.0,3
atrialfibrillation,csta_topk_softmax_tau_0.10,0.1772486772486772,0.1122703448355711,-0.0572945572945573,0.18819608177973568,0.7037037037037036,120.0,10.0,3
atrialfibrillation,csta_top1_current,0.17670847670847667,0.03028377264448496,-0.0578347578347578,0.10491932850857354,0.7037037037037036,120.0,10.0,3
atrialfibrillation,csta_topk_softmax_tau_0.20,0.16931216931216928,0.10621618994648004,-0.06523106523106527,0.18021904759355412,0.5555555555555555,120.0,10.0,3
ering,csta_top1_current,0.837231988455564,0.05806227356985866,0.09031058061096736,0.12011791861717222,0.9259259259259259,240.0,10.0,3
ering,csta_topk_softmax_tau_0.05,0.8368133106871348,0.06480156013082915,0.08989190284253827,0.11288078665702941,1.0,240.0,10.0,3
ering,csta_topk_softmax_tau_0.20,0.831007110514371,0.05746334896173638,0.08408570266977457,0.12111891622362747,0.9259259259259259,240.0,10.0,3
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000802,0.12405371550840205,0.9259259259259259,240.0,10.0,3
ering,csta_topk_softmax_tau_0.10,0.8179086756367129,0.07294959999443477,0.0709872677921164,0.104149694857022,1.0,240.0,10.0,3
handmovementdirection,csta_topk_softmax_tau_0.20,0.29345061631654723,0.021943867490501773,0.08375934174853054,0.04771040485052331,0.38602989898083445,1280.0,10.0,3
handmovementdirection,csta_top1_current,0.2754524178509126,0.02892505053709172,0.0657611432828959,0.04240226160736508,0.41947244147321544,1280.0,10.0,3
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.062701899208671,0.007994747477931158,0.36752671890925126,1280.0,10.0,3
handmovementdirection,csta_topk_softmax_tau_0.10,0.2635669998529095,0.028482121103714862,0.053875725284892796,0.019271390379353954,0.38444330723742487,1280.0,10.0,3
handmovementdirection,csta_topk_softmax_tau_0.05,0.2600474424363319,0.026017862273319703,0.05035616786831517,0.0455493081004386,0.398543707754234,1280.0,10.0,3
handwriting,csta_topk_softmax_tau_0.10,0.4694234191690465,0.007804264467792115,0.06932340148127017,0.019710505080495468,0.4072777777777777,1200.0,10.0,3
handwriting,csta_topk_softmax_tau_0.05,0.4618812313810559,0.00882178209836443,0.0617812136932796,0.02437757625116695,0.4296296296296296,1200.0,10.0,3
handwriting,csta_top1_current,0.46049183816916345,0.024938794741042842,0.06039182048138706,0.03807863534458751,0.37807407407407406,1200.0,10.0,3
handwriting,csta_topk_uniform_top5,0.45256267016586116,0.025515696006250997,0.052462652478084765,0.032643754836837825,0.40212962962962956,1200.0,10.0,3
handwriting,csta_topk_softmax_tau_0.20,0.45197527089216943,0.027079960818786723,0.05187525320439313,0.04286706760618911,0.4047037037037036,1200.0,10.0,3
japanesevowels,csta_topk_softmax_tau_0.05,0.9797353892988706,0.005477479293283873,0.013584430266491634,0.009936906165661744,0.9875679875679876,2160.0,10.0,3
japanesevowels,csta_topk_softmax_tau_0.10,0.9792377620481977,0.005247012350364032,0.013086803015818766,0.008515987058709696,0.9937839937839937,2160.0,10.0,3
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,0.012729027076391916,0.9875679875679877,2160.0,10.0,3
japanesevowels,csta_topk_softmax_tau_0.20,0.9724101431881099,0.009206636397191728,0.006259184155731033,0.009679854464339758,0.987974987974988,2160.0,10.0,3
japanesevowels,csta_top1_current,0.97049413005379,0.010967015577437381,0.004343171021411134,0.018397649445351383,0.9937839937839938,2160.0,10.0,3
natops,csta_topk_softmax_tau_0.20,0.9759485108774241,0.011517402058363234,0.054305978594247704,0.0047423554840496755,0.9813519813519814,1440.0,10.0,3
natops,csta_topk_softmax_tau_0.05,0.9609250183807464,0.009697817307065986,0.03928248609757017,0.007655833460923831,0.9813519813519814,1440.0,10.0,3
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.039227108151362565,0.013092921635537344,0.9813519813519814,1440.0,10.0,3
natops,csta_top1_current,0.9607853534384795,0.00026791583104566216,0.03914282115530317,0.014999868107216747,0.9813519813519814,1440.0,10.0,3
natops,csta_topk_softmax_tau_0.10,0.950644693022408,0.020804763535092034,0.029002160739231734,0.005646912669757897,0.9813519813519814,1440.0,10.0,3
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.0181739489037295,0.006226852950702669,0.9606481481481483,1200.0,10.0,3
racketsports,csta_topk_softmax_tau_0.20,0.8859410800848452,0.016497957682826327,0.016333580412820934,0.00990649894484635,0.9599537037037037,1200.0,10.0,3
racketsports,csta_topk_softmax_tau_0.05,0.8853606009983747,0.007080885325750077,0.015753101326350466,0.009707512821658234,0.960233918128655,1200.0,10.0,3
racketsports,csta_top1_current,0.8721055206171656,0.020839551263019923,0.0024980209451413993,0.03276244547516004,0.9599537037037037,1200.0,10.0,3
racketsports,csta_topk_softmax_tau_0.10,0.8595356748508275,0.020975885863624755,-0.0100718248211966,0.03386822796058926,0.9497140522875817,1200.0,10.0,3
