dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
atrialfibrillation,1,csta_top1_current,success,,0.2164502164502164,0.1631701631701631,-0.0532800532800532,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.5555555555555555,30,0,0,5.196242405014345,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001279822550033,0.0270429828766721,1.0477543839995889,0.1062613060598323,0.2722070995828121,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.3086053872494494,0.4166666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.3086053872494494
atrialfibrillation,1,csta_topk_softmax_tau_0.05,success,,0.2164502164502164,0.2433862433862433,0.0269360269360268,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,0.5555555555555555,30,0,0,5.29050085900235,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001279608636827,0.0270432710909075,1.0454140324116703,0.1054528663810394,0.2722071000174342,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.3579778549823245,0.5,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.3579778549823245
atrialfibrillation,1,csta_topk_softmax_tau_0.10,success,,0.2164502164502164,0.2433862433862433,0.0269360269360268,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.10_response,0.5555555555555555,30,0,0,5.201968834997388,softmax_topk,single_anchor,5,0.1,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001280430098721,0.0270431830413921,1.0505628623820198,0.1080655855896863,0.2722070997753308,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.698782989506801,0.4166666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.698782989506801
atrialfibrillation,1,csta_topk_softmax_tau_0.20,success,,0.2164502164502164,0.2433862433862433,0.0269360269360268,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.20_response,0.5555555555555555,30,0,0,5.109313755994663,softmax_topk,single_anchor,5,0.2,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001280605964577,0.0270448161060874,1.055702288652249,0.1073369413717407,0.2722070984216844,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.704551445261297,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.704551445261297
atrialfibrillation,1,csta_topk_uniform_top5,success,,0.2164502164502164,0.2666666666666666,0.0502164502164502,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,19,0,0,4.720135769020999,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282294500337,0.0270561520931879,1.0722887506504823,0.1087524052987783,0.2722070968286711,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.6326309271483517,0.3333333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.6326309271483517
atrialfibrillation,2,csta_top1_current,success,,0.3205128205128205,0.1555555555555555,-0.1649572649572649,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,1.0,30,0,0,5.067780151002808,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001278538420499,0.0331853028157846,1.038810023727456,0.1019522452512836,0.2631824932480218,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.126928794796676,0.5,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.126928794796676
atrialfibrillation,2,csta_topk_softmax_tau_0.05,success,,0.3205128205128205,0.0888888888888888,-0.2316239316239317,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,1.0,30,0,0,5.086647374992026,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001278924322505,0.0331856683954114,1.042996185657614,0.1031229458905149,0.2631824920680969,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.4451858789430825,0.3333333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.4451858789430825
atrialfibrillation,2,csta_topk_softmax_tau_0.10,success,,0.3205128205128205,0.0476190476190476,-0.2728937728937728,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.10_response,0.5555555555555555,30,0,0,5.00429984802031,softmax_topk,single_anchor,5,0.1,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001279018159078,0.0331862557263799,1.044590684993834,0.1032251178984569,0.2631824913101127,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.5171063970560277,0.3333333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.5171063970560277
atrialfibrillation,2,csta_topk_softmax_tau_0.20,success,,0.3205128205128205,0.0476190476190476,-0.2728937728937728,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.20_response,0.5555555555555555,30,0,0,5.189823438005988,softmax_topk,single_anchor,5,0.2,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001278694970101,0.0331890501761684,1.0413941097567958,0.1033140170047688,0.2631824910988608,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.660947433280918,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.660947433280918
atrialfibrillation,2,csta_topk_uniform_top5,success,,0.3205128205128205,0.1666666666666666,-0.1538461538461538,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,30,0,0,5.195590348972473,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001281129918173,0.0332052420473859,1.0520823055770174,0.1128198144153842,0.2631824897001497,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.7917594692210548,0.3333333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.7917594692210548
