dataset,seed,csta_aug_f1,wdba_aug_f1,delta,result
articularywordrecognition,1,0.9867665551839464,0.9632278716452628,0.023538683538683602,win
articularywordrecognition,2,0.9764847481021394,0.9799417857504816,-0.003457037648342265,loss
articularywordrecognition,3,0.9760612411742846,0.9693990338164252,0.006662207357859384,win
atrialfibrillation,1,0.2666666666666666,0.334045584045584,-0.06737891737891738,loss
atrialfibrillation,2,0.1666666666666666,0.2878787878787879,-0.1212121212121213,loss
atrialfibrillation,3,0.3722943722943723,0.3119047619047619,0.06038961038961038,win
basicmotions,1,1.0,1.0,0.0,tie
basicmotions,2,1.0,1.0,0.0,tie
basicmotions,3,1.0,1.0,0.0,tie
cricket,1,0.972027972027972,0.9860139860139862,-0.013986013986014179,loss
cricket,2,1.0,0.9860139860139862,0.013986013986013845,win
cricket,3,0.9721250971250972,0.9860139860139862,-0.01388888888888895,loss
epilepsy,1,0.9717806041335452,0.9559729112740868,0.015807692859458378,win
epilepsy,2,0.9717806041335452,0.9716905901116428,9.001402190234042e-05,win
epilepsy,3,0.9709217843885812,0.9481675858388188,0.02275419854976246,win
ering,1,0.7580623914313596,0.6824783733543481,0.07558401807701143,win
ering,2,0.8671337553903701,0.7820445837687217,0.08508917162164842,win
ering,3,0.836349387192084,0.8534047914877695,-0.017055404295685528,loss
ethanolconcentration,1,0.2418378080544981,0.2690793443744747,-0.02724153631997664,loss
ethanolconcentration,2,0.2992286845945383,0.3008111422913494,-0.001582457696811146,loss
ethanolconcentration,3,0.2815724764524464,0.2815709836693336,1.4927831127886648e-06,win
fingermovements,1,0.50995099509951,0.5598239295718287,-0.049872934472318664,loss
fingermovements,2,0.5488721804511278,0.5798319327731092,-0.030959752321981338,loss
fingermovements,3,0.5279146141215106,0.5696126513862476,-0.041698037264736976,loss
handmovementdirection,1,0.3083036244800951,0.3542478354978355,-0.04594421101774043,loss
handmovementdirection,2,0.2571428571428571,0.3709514170040486,-0.11380855986119148,loss
handmovementdirection,3,0.2517330397071109,0.3830166124420783,-0.13128357273496738,loss
handwriting,1,0.4692893639142952,0.4456288664208622,0.02366049749343302,win
handwriting,2,0.4788160889086109,0.3658599739639416,0.11295611494466928,win
handwriting,3,0.4560640132267901,0.3983315202956768,0.057732492931113266,win
har,1,0.9508147535274212,0.9469055966251388,0.003909156902282329,win
har,2,0.9578174162272852,0.9471902044636574,0.010627211763627797,win
har,3,0.9574753499928174,0.9608629884886528,-0.0033876384958354544,loss
heartbeat,1,0.6479175611850579,0.6688408668353196,-0.02092330565026168,loss
heartbeat,2,0.6884776973272548,0.6781377166842898,0.010339980642965041,win
heartbeat,3,0.6299257272539716,0.6819141012909633,-0.05198837403699175,loss
japanesevowels,1,0.977748412110884,0.9660935593023928,0.011654852808491212,win
japanesevowels,2,0.9720074904623128,0.978029905954106,-0.006022415491793165,loss
japanesevowels,3,0.9858464973490269,0.9804414285788328,0.005405068770194088,win
libras,1,0.836057134011157,0.9259153687786214,-0.08985823476746435,loss
libras,2,0.9338687882166142,0.870429412777239,0.06343937543937528,win
libras,3,0.8325523912480434,0.8671686767338943,-0.03461628548585094,loss
motorimagery,1,0.3710691823899371,0.3686255463817387,0.0024436360081983577,win
motorimagery,2,0.4832575444398512,0.4230185241421196,0.060239020297731594,win
motorimagery,3,0.4916485112563544,0.4336319637524456,0.05801654750390878,win
natops,1,0.966476799110864,0.9604306383507204,0.006046160760143637,win
natops,2,0.96107248923737,0.9387630329108326,0.022309456326537358,win
natops,3,0.9550596329553824,0.9422418566904924,0.012817776264890002,win
pendigits,1,0.987749154904494,0.9880817323966744,-0.0003325774921804081,loss
pendigits,2,0.98091578172242,0.985139040935224,-0.004223259212803976,loss
pendigits,3,0.9870611976712284,0.9790358828367288,0.00802531483449953,win
racketsports,1,0.8836541979147613,0.8974447898202618,-0.013790591905500471,loss
racketsports,2,0.88329945799458,0.909135729891096,-0.02583627189651605,loss
racketsports,3,0.8963906898179199,0.883992673992674,0.012398015825245912,win
selfregulationscp2,1,0.5112206997721527,0.5542857142857143,-0.043065014513561595,loss
selfregulationscp2,2,0.4247773882287239,0.4335903731111034,-0.008812984882379471,loss
selfregulationscp2,3,0.4554883318928263,0.5314285714285715,-0.07594023953574519,loss
uwavegesturelibrary,1,0.801652632549187,0.7841518484730275,0.017500784076159404,win
uwavegesturelibrary,2,0.7654762492258662,0.6554065863617642,0.11006966286410202,win
uwavegesturelibrary,3,0.8029484355125502,0.7826687335071572,0.020279702005393085,win
