anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,articularywordrecognition_train_207,18,0.0927312414836997,0.0927312414836997,0.9999999999989999,3.66376788898821,10,0.0002685967516518549,0.018714145678121203,1.1137954848826197,0.2048952441923377,-0.18489745259284973,1.0,0.38226401805877686,0.4016176462173462,0.019353628158569336,0.5924487262964249,0.019353628158569336,1.0,1.0,1.0,0.9814598766952656,0.981459876694284,1,1
1,0,articularywordrecognition_train_72,6,0.1707094576002034,0.1707094576002034,0.9999999999989999,4.5710926126317695,10,0.0002806458198187917,0.01331288041918895,1.1759173601228068,0.3232210005544003,-0.044887296855449677,1.0,0.256112664937973,0.2605985701084137,0.004485905170440674,0.5224436484277248,0.004485905170440674,0.9941446475264011,1.0,0.9959012532684808,0.9867753440321937,0.9827308018151152,1,1
2,1,articularywordrecognition_train_38,3,0.18178455177533814,0.18178455177533814,0.9999999999989999,4.308117372006426,10,0.0002733291092166019,0.01005792441026009,1.165713698016108,0.30731526222004313,-0.18290144205093384,1.0,0.28014901280403137,0.3070182800292969,0.026869267225265503,0.5914507210254669,0.026869267225265503,1.0,1.0,1.0,0.989992487357314,0.989992487356324,1,1
3,3,articularywordrecognition_train_235,21,0.12065157978019735,0.12065157978019735,0.9999999999989999,4.1982108193100665,10,0.0002707513348665825,0.015542880519889545,1.115604736316644,0.21182509015297052,-0.31788158416748047,1.0,0.8912069201469421,0.977154016494751,0.08594709634780884,0.6589407920837402,0.08594709634780884,1.0,1.0,1.0,0.9845772866606064,0.9845772866596217,1,1
4,1,articularywordrecognition_train_164,14,0.09692988799553827,0.09692988799553827,0.9999999999989999,3.417879937040482,10,0.000266688877739945,0.005384493168711124,1.079942616223141,0.1427661147811782,-0.14029669761657715,1.0,0.7352592945098877,0.7570979595184326,0.021838665008544922,0.5701483488082886,0.021838665008544922,1.0,1.0,1.0,0.9946299772310584,0.9946299772300636,1,1
5,0,articularywordrecognition_train_260,23,0.15314437829608307,0.15314437829608307,0.9999999999989999,4.431179566781128,10,0.0002720229346612095,0.0675582250401743,1.271777273158123,0.42369976609955473,-0.21139609813690186,1.0,0.5971535444259644,0.6286633014678955,0.03150975704193115,0.6056980490684509,0.03150975704193115,1.0,1.0,1.0,0.934673297641348,0.9346732976404132,1,1
6,0,articularywordrecognition_train_165,15,0.1814123869258645,0.1814123869258645,0.9999999999989999,3.3502061066494178,10,0.0002635914913083086,0.018436718902552336,1.210066597732514,0.302049931114865,-0.14352768659591675,1.0,0.31913140416145325,0.3293713927268982,0.010239988565444946,0.5717638432979584,0.010239988565444946,1.0,0.8783985192873559,0.9635195557862068,0.9817321977170324,0.9459181710443857,1,1
7,0,articularywordrecognition_train_80,7,0.11401402061528663,0.11401402061528663,0.9999999999989999,4.313900357476432,10,0.0002669873068703065,0.020093530233593497,1.1363850710916237,0.22490414300211867,-0.2980215549468994,1.0,0.6255781650543213,0.6493524312973022,0.023774266242980957,0.6490107774734497,0.023774266242980957,1.0,1.0,1.0,0.9801069993830815,0.9801069993821013,1,1
8,2,articularywordrecognition_train_262,23,0.15931083247431138,0.15931083247431138,0.9999999999989999,3.7071235989580913,10,0.0002725203473373488,0.046305511109298265,1.1438674259520563,0.2626049763683993,-0.18445798754692078,1.0,1.0069924592971802,1.058694839477539,0.05170238018035889,0.5922289937734604,0.05170238018035889,1.0,1.0,1.0,0.9547502308272747,0.9547502308263199,1,1
9,0,articularywordrecognition_train_35,3,0.1460281726038752,0.1460281726038752,0.9999999999989999,3.3865870583449973,10,0.0002694394960723224,0.023942600349979918,1.1518399799645798,0.2593111615719584,-0.04893122613430023,1.0,0.696533739566803,0.7082825303077698,0.011748790740966797,0.5244656130671501,0.011748790740966797,1.0,1.0,1.0,0.9763417498242938,0.9763417498233173,1,1
10,3,articularywordrecognition_train_155,14,0.11313747156785176,0.11313747156785176,0.9999999999989999,3.654042319056589,10,0.0002707282828810504,0.007297262655962752,1.1461678024304658,0.2171931962299346,-0.12067046016454697,1.0,0.9638106822967529,0.9990385174751282,0.035227835178375244,0.5603352300822735,0.035227835178375244,1.0,1.0,1.0,0.9927292977198913,0.9927292977188984,1,1
11,0,articularywordrecognition_train_227,20,0.12422101137096245,0.12422101137096245,0.9999999999989999,3.493505257111022,10,0.00027887007038110504,0.024439418742415255,1.2491384879846643,0.3554159186449929,-0.06337867677211761,1.0,1.2572017908096313,1.278762936592102,0.021561145782470703,0.5316893383860588,0.021561145782470703,1.0,1.0,1.0,0.9758568057602186,0.9758568057592426,1,1
12,3,articularywordrecognition_train_219,19,0.20288477692798915,0.20288477692798915,0.9999999999989999,3.958743207041381,10,0.00027919439007252893,0.02205192930140679,1.338911470265711,0.4763340806287241,-0.035094767808914185,1.0,0.5735514163970947,0.5842666625976562,0.010715246200561523,0.5175473839044571,0.010715246200561523,1.0,1.0,1.0,0.97818943703816,0.9781894370371816,1,1
13,1,articularywordrecognition_train_22,2,0.1482381483080243,0.1482381483080243,0.9999999999989999,3.9406203324875753,10,0.0002787513539974899,0.04029927897022447,1.2356910002984307,0.3592074977994203,-0.17133945226669312,1.0,0.5207928419113159,0.5387699604034424,0.017977118492126465,0.5856697261333466,0.017977118492126465,1.0,1.0,1.0,0.9605019381020262,0.9605019381010657,1,1
14,1,articularywordrecognition_train_176,16,0.10064914056374173,0.10064914056374173,0.9999999999989999,3.5071395096545537,10,0.0002702886769909494,0.005680313780238918,1.0917653670387042,0.16381965918534605,-0.05100756138563156,1.0,0.5187242031097412,0.5265251398086548,0.007800936698913574,0.5255037806928158,0.007800936698913574,1.0,1.0,1.0,0.9943357886986112,0.9943357886976167,1,1
15,3,articularywordrecognition_train_173,15,0.08446640028315076,0.08446640028315076,0.9999999999989999,3.4886030144846725,10,0.0002675851432438204,0.024816818964890262,1.0715749768079226,0.1330055127085998,-0.1458526849746704,1.0,0.40945613384246826,0.41739022731781006,0.007934093475341797,0.5729263424873352,0.007934093475341797,1.0,1.0,1.0,0.9754885866719744,0.9754885866709988,1,1
16,2,articularywordrecognition_train_203,18,0.20104148447125247,0.20104148447125247,0.9999999999989999,3.0081216588201842,10,0.0002744092492960863,0.009807004587322537,1.2406563377896331,0.3764890481596541,-0.2735522985458374,1.0,0.9654524326324463,1.082392930984497,0.11694049835205078,0.6367761492729187,0.11694049835205078,1.0,1.0,1.0,0.9902409272648967,0.9902409272639063,1,1
17,3,articularywordrecognition_train_21,1,0.21080198459856087,0.21080198459856087,0.9999999999989999,4.0448117859359085,10,0.0002686747614178789,0.01813137214381795,1.1874354967982335,0.30644051934732325,-0.015349078923463821,1.0,0.5744144916534424,0.5774497389793396,0.003035247325897217,0.5076745394617319,0.003035247325897217,1.0,1.0,1.0,0.9820320122329163,0.9820320122319341,1,1
18,1,articularywordrecognition_train_55,5,0.22918674572996417,0.22918674572996417,0.9999999999989999,3.5118082033826186,10,0.00027487710250882893,0.04561763837247863,1.3151028469834432,0.4766592970588595,-0.016694415360689163,1.0,1.1529580354690552,1.1627740859985352,0.00981605052947998,0.5083472076803446,0.00981605052947998,1.0,1.0,1.0,0.9554072034123933,0.9554072034114378,1,1
19,3,articularywordrecognition_train_254,23,0.17393897302155711,0.17393897302155711,0.9999999999989999,3.978872672216652,10,0.0002681677782992472,0.03448254893453635,1.2355847785724265,0.3420032042572468,-0.03474898636341095,1.0,1.1144599914550781,1.1389250755310059,0.024465084075927734,0.5173744931817055,0.024465084075927734,1.0,1.0,1.0,0.9661051991044581,0.9661051991034919,1,1
20,2,articularywordrecognition_train_120,10,0.1399345380394514,0.1399345380394514,0.9999999999989999,3.493505257111022,10,0.000274056289229882,0.017387373467720832,1.172791320350759,0.2798768461738362,-0.1147376149892807,1.0,0.6990692019462585,0.7284430861473083,0.029373884201049805,0.5573688074946404,0.029373884201049805,1.0,1.0,1.0,0.9827629146113885,0.9827629146104057,1,1
21,3,articularywordrecognition_train_253,23,0.19520186704298526,0.19520186704298526,0.9999999999989999,4.141960471443078,10,0.0002733091877889349,0.0582111249635362,1.299145596061239,0.43565889202250496,-0.16804316639900208,1.0,0.7276499271392822,0.7568100690841675,0.029160141944885254,0.584021583199501,0.029160141944885254,1.0,1.0,1.0,0.9434507404055835,0.9434507404046399,1,1
22,2,articularywordrecognition_train_144,13,0.09875576291139132,0.09875576291139132,0.9999999999989999,3.5071395096545537,10,0.0002721969236799649,0.007659380060772875,1.1227644788964435,0.22046041442864334,-0.20748279988765717,1.0,0.4452560544013977,0.47207269072532654,0.026816636323928833,0.6037413999438286,0.026816636323928833,1.0,0.806192371012267,0.9418577113036801,0.9923698782428736,0.9346712222876099,1,1
23,1,articularywordrecognition_train_10,0,0.048058902663906944,0.048058902663906944,0.9999999999989999,4.139111572376218,10,0.00027007592423889483,0.06362852888643458,1.07458425210651,0.12258609315975649,-0.13332316279411316,1.0,0.8646155595779419,0.8791581392288208,0.014542579650878906,0.5666615813970566,0.014542579650878906,1.0,1.0,1.0,0.9383535060184741,0.9383535060175356,1,1
24,3,articularywordrecognition_train_61,5,0.23861365178060628,0.23861365178060628,0.9999999999989999,3.97071127807344,10,0.0002725070718420296,0.05268383423475966,1.2440271540949766,0.41158699581929703,-0.15437330305576324,1.0,0.9831910133361816,1.0259382724761963,0.04274725914001465,0.5771866515278816,0.04274725914001465,1.0,1.0,1.0,0.9486799051800873,0.9486799051791385,1,1
25,2,articularywordrecognition_train_89,8,0.0900503973984843,0.0900503973984843,0.9999999999989999,3.0134476637808265,10,0.00026914923998651064,0.016259710092429713,1.1089790336306313,0.1776764902320729,-0.15752989053726196,1.0,0.6169338226318359,0.6466168165206909,0.02968299388885498,0.578764945268631,0.02968299388885498,1.0,1.0,1.0,0.9838717654445233,0.9838717654435393,1,1
26,2,articularywordrecognition_train_228,20,0.1188491145338158,0.1188491145338158,0.9999999999989999,3.035568647406184,10,0.0002739042050118828,0.025072895225168614,1.1605032844955254,0.2517030124186219,-0.05474385619163513,1.0,0.5110702514648438,0.5200306177139282,0.008960366249084473,0.5273719280958176,0.008960366249084473,1.0,1.0,1.0,0.9752388191838822,0.9752388191829069,1,1
27,0,articularywordrecognition_train_32,2,0.1580559533198336,0.1580559533198336,0.9999999999989999,4.50050905865478,10,0.00028200616856633446,0.015930553999744985,1.1958764975834768,0.32523541520285304,-0.20951715111732483,1.0,1.1284098625183105,1.2057678699493408,0.07735800743103027,0.6047585755586624,0.07735800743103027,1.0,1.0,1.0,0.9841956661345581,0.9841956661335738,1,1
28,0,articularywordrecognition_train_0,0,0.09462567822922094,0.09462567822922094,0.9999999999989999,4.59835490382189,10,0.0002723166003127156,0.04578274347833973,1.1711534596244013,0.26876679087423144,-0.22014755010604858,1.0,0.25450456142425537,0.26290565729141235,0.008401095867156982,0.6100737750530243,0.008401095867156982,1.0,1.0,1.0,0.9552494738262717,0.9552494738253163,1,1
29,1,articularywordrecognition_train_82,7,0.15877761691837625,0.15877761691837625,0.9999999999989999,3.7651976073675018,10,0.0002742678300601212,0.03509499002296384,1.2477231629982006,0.3651954173705425,-0.06809791177511215,1.0,0.14238105714321136,0.1480688452720642,0.005687788128852844,0.5340489558875561,0.005687788128852844,1.0,1.0,1.0,0.9655136977331435,0.965513697732178,1,1
30,1,articularywordrecognition_train_142,12,0.2611365450652151,0.2611365450652151,0.9999999999989999,3.933613208931808,10,0.00028774196404353223,0.023246863868028454,1.4756162176135699,0.7097029039799596,-0.04830720275640488,1.0,0.652716338634491,0.6700415015220642,0.017325162887573242,0.5241536013782024,0.017325162887573242,1.0,1.0,1.0,0.977021262752056,0.9770212627510789,1,1
31,1,articularywordrecognition_train_28,2,0.1587844129410915,0.1587844129410915,0.9999999999989999,3.3023825524394157,10,0.00027433533026708225,0.026299988812401042,1.2455655398360492,0.3875097533408413,0.027600519359111786,0.0,0.583338737487793,0.5820533037185669,-0.0012854337692260742,0.4861997403204441,0.0,1.0,0.0,0.7,0.9740428438197622,0.6818299906731516,1,1
32,0,articularywordrecognition_train_105,9,0.146812911831736,0.146812911831736,0.9999999999989999,3.712049183293579,10,0.0002719170974888432,0.009259975709040975,1.168750527769776,0.2645149244408565,-0.07179233431816101,1.0,1.4950666427612305,1.5150902271270752,0.020023584365844727,0.5358961671590805,0.020023584365844727,1.0,1.0,1.0,0.990782765835728,0.9907827658347371,1,1
33,3,articularywordrecognition_train_261,23,0.07347622357775148,0.07347622357775148,0.9999999999989999,4.14526168507756,10,0.0002717763857291603,0.0601627755731028,1.1142618168953269,0.18099840070554193,-0.34485960006713867,1.0,0.49963077902793884,0.5191671252250671,0.019536346197128296,0.6724298000335693,0.019536346197128296,1.0,0.868569346450694,0.9605708039352081,0.9416112497983331,0.9044842752123163,1,1
34,0,articularywordrecognition_train_79,7,0.2719092738817786,0.2719092738817786,0.9999999999989999,3.2885713043002127,10,0.0002814254520164182,0.015027393080621397,1.2286927964120353,0.42192336308361955,-0.15192636847496033,1.0,0.3159959018230438,0.34953439235687256,0.033538490533828735,0.5759631842374802,0.033538490533828735,0.902784489898544,1.0,0.9319491429289808,0.9850849547218813,0.918049079264373,1,1
35,1,articularywordrecognition_train_215,19,0.2528527211756661,0.2528527211756661,0.9999999999989999,3.6513164132798273,10,0.0002643332719594712,0.007897739463977793,1.2221546729813966,0.3917982691162106,-0.16362625360488892,1.0,1.6570817232131958,1.7776846885681152,0.12060296535491943,0.5818131268024445,0.12060296535491943,1.0,1.0,1.0,0.9921333657395465,0.9921333657385543,1,1
36,2,articularywordrecognition_train_220,20,0.11210307157356836,0.11210307157356836,0.9999999999989999,3.4282387257431406,10,0.0002734452075237348,0.026977788520646053,1.131483988209985,0.22429027152383127,-0.15972575545310974,1.0,1.0992693901062012,1.1360152959823608,0.03674590587615967,0.5798628777265549,0.03674590587615967,0.9988401487633515,1.0,0.999188104134346,0.9733828615575625,0.9725925760355927,1,1
37,0,articularywordrecognition_train_237,21,0.17296463008261703,0.17296463008261703,0.9999999999989999,3.818963286027037,10,0.00027532049861970413,0.024607068266661085,1.1696851483635466,0.2947302728956102,-0.43423718214035034,1.0,1.1281129121780396,1.2762094736099243,0.14809656143188477,0.7171185910701752,0.14809656143188477,1.0,0.7787981426559117,0.9336394427967736,0.9756932175441273,0.9109456719675793,1,1
38,0,articularywordrecognition_train_190,17,0.25080254029808574,0.25080254029808574,0.9999999999989999,4.220711274441237,10,0.00029655063852683484,0.03549900735746813,1.3664885398875852,0.6229986831227942,-0.0420171394944191,1.0,1.0079165697097778,1.0293972492218018,0.021480679512023926,0.5210085697472095,0.021480679512023926,1.0,1.0,1.0,0.9651236922523505,0.9651236922513853,1,1
39,2,articularywordrecognition_train_90,8,0.2296292888404885,0.2296292888404885,0.9999999999989999,3.7447546330651593,10,0.0002790499186550875,0.05615304381829186,1.2765650873291323,0.4497606701373035,-0.09823465347290039,1.0,1.1251949071884155,1.1951589584350586,0.06996405124664307,0.5491173267364502,0.06996405124664307,1.0,1.0,1.0,0.9453944380435332,0.9453944380425877,1,1
40,2,articularywordrecognition_train_274,24,0.141039023284567,0.141039023284567,0.9999999999989999,4.906027300229356,10,0.0002779237863673586,0.0660081459856771,1.3309402545813407,0.4821871739396854,-0.09711143374443054,1.0,0.5132653713226318,0.5274146199226379,0.014149248600006104,0.5485557168722153,0.014149248600006104,1.0,1.0,1.0,0.9361232386140658,0.9361232386131295,1,1
41,1,articularywordrecognition_train_71,6,0.05858138071432396,0.05858138071432396,0.9999999999989999,4.734625054300605,10,0.0002692995007573461,0.03591893679242613,1.067634288680554,0.11747707002503673,-0.352292537689209,1.0,0.4883143901824951,0.5135981440544128,0.025283753871917725,0.6761462688446045,0.025283753871917725,1.0,1.0,1.0,0.9647184934889966,0.9647184934880318,1,1
42,3,articularywordrecognition_train_6,0,0.11934159440032689,0.11934159440032689,0.9999999999989999,4.455767418737881,10,0.00026960914502059707,0.03305379451929479,1.1529797513899225,0.2572339392023634,-0.19851723313331604,1.0,0.21599823236465454,0.22682547569274902,0.010827243328094482,0.599258616566658,0.010827243328094482,1.0,1.0,1.0,0.9674865127172506,0.967486512716283,1,1
43,0,articularywordrecognition_train_77,7,0.0818694857435714,0.0818694857435714,0.9999999999989999,4.1905327615336185,10,0.00026736030904213874,0.02120280122005819,1.074478361364535,0.13418040075769835,0.016815494745969772,0.0,0.8324494361877441,0.8323370218276978,-0.00011241436004638672,0.4915922526270151,0.0,1.0,0.0,0.7,0.9790203979042024,0.6853142785322562,1,1
44,3,articularywordrecognition_train_151,13,0.09653261298994037,0.09653261298994037,0.9999999999989999,3.8287799008470325,10,0.00027229913458664054,0.008963984966507813,1.0979609945276272,0.1855435992030205,-0.11686725169420242,1.0,0.28069645166397095,0.28842467069625854,0.007728219032287598,0.5584336258471012,0.007728219032287598,1.0,1.0,1.0,0.9910760717680557,0.9910760717670645,1,1
45,0,articularywordrecognition_train_250,22,0.10031877728083562,0.10031877728083562,0.9999999999989999,4.079891382879458,10,0.000271131402182353,0.022684873763842053,1.1173910393815765,0.19471605882485235,-0.0720413327217102,1.0,0.9217754006385803,0.9391527771949768,0.017377376556396484,0.5360206663608551,0.017377376556396484,1.0,1.0,1.0,0.9775704933499274,0.9775704933489497,1,1
46,2,articularywordrecognition_train_13,1,0.0335782049474179,0.0335782049474179,0.9999999999989999,4.172742313276976,10,0.0002708777905896264,0.015523396549001405,1.0444871423564486,0.07619223607011673,-0.13297563791275024,1.0,0.4707871079444885,0.4767376780509949,0.005950570106506348,0.5664878189563751,0.005950570106506348,1.0,0.613149983263881,0.8839449949791642,0.9845964703226832,0.8703291220150166,1,1
47,0,articularywordrecognition_train_36,3,0.08297691537921502,0.08297691537921502,0.9999999999989999,3.0247640283297805,10,0.00026850108500635654,0.026687728536125648,1.0937309697927986,0.15089550742291571,-0.09619361162185669,1.0,0.8423340916633606,0.853398323059082,0.011064231395721436,0.5480968058109283,0.011064231395721436,1.0,1.0,1.0,0.9736652419269612,0.9736652419259875,1,1
48,2,articularywordrecognition_train_17,1,0.13110869997627247,0.13110869997627247,0.9999999999989999,3.715358060134676,10,0.00027268582660106,0.01636415205432095,1.1134178460443829,0.22479704397210246,-0.23324765264987946,1.0,0.5279083847999573,0.5561099052429199,0.028201520442962646,0.6166238263249397,0.028201520442962646,1.0,1.0,1.0,0.9837690133130013,0.9837690133120174,1,1
49,1,articularywordrecognition_train_221,20,0.12836493136905383,0.12836493136905383,0.9999999999989999,3.7735143621564258,10,0.00027533162071909583,0.010808618133204492,1.1967812502295656,0.3062857406970024,-0.15527306497097015,1.0,0.8015509843826294,0.8400969505310059,0.038545966148376465,0.5776365324854851,0.038545966148376465,1.0,1.0,1.0,0.9892495850922144,0.9892495850912251,1,1
50,2,articularywordrecognition_train_184,16,0.051562511632451055,0.051562511632451055,0.9999999999989999,3.6677977729915616,10,0.00027029096844318764,0.006157875875081307,1.0536715932401055,0.09156226051359524,-0.13743609189987183,1.0,0.7392539381980896,0.7502822875976562,0.01102834939956665,0.5687180459499359,0.01102834939956665,1.0,0.8715669449064063,0.9614700834719219,0.9938610449852073,0.9555676618804632,1,1
