anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,1,basicmotions_train_28,2,0.19131173111880284,0.19131173111880284,0.9999999999989999,5.276856107863343,10,0.0002247962738929683,0.0009567281503987663,1.1937812931902718,0.3071078873988403,-0.01871221885085106,1.0,1.203019380569458,1.2067351341247559,0.0037157535552978516,0.5093561094254255,0.0037157535552978516,1.0,1.0,1.0,0.9990437293680596,0.9990437293670605,1,1
1,0,basicmotions_train_27,2,0.11785848980964025,0.11785848980964025,0.9999999999989999,4.351173213034091,10,0.00022262905145813526,0.0028241450159217445,1.1323333734020802,0.2061270207146025,-0.13594375550746918,1.0,1.2175543308258057,1.2183771133422852,0.0008227825164794922,0.5679718777537346,0.0008227825164794922,1.0,1.0,1.0,0.9971798391301292,0.9971798391291319,1,1
2,0,basicmotions_train_35,3,0.0787595356467816,0.0787595356467816,0.9999999999989999,2.9648048610272175,10,0.00021556976304473805,2.9672661113063836e-05,1.052894767585332,0.09854598066212308,-0.1734389066696167,1.0,1.3802108764648438,1.3807950019836426,0.0005841255187988281,0.5867194533348083,0.0005841255187988281,1.0,1.0,1.0,0.9999703277791161,0.999970327778116,1,1
3,3,basicmotions_train_26,2,0.1175066601080036,0.1175066601080036,0.9999999999989999,4.684074223865752,10,0.00022440924567144704,0.002562515252951969,1.1563206635695935,0.23326979792784874,-0.1797683984041214,1.0,1.189505934715271,1.1924853324890137,0.0029793977737426758,0.5898841992020607,0.0029793977737426758,1.0,1.0,1.0,0.9974407651866019,0.9974407651856043,1,1
4,3,basicmotions_train_3,0,0.19201178580682848,0.19201178580682848,0.9999999999989999,6.1998270696628115,10,0.00021891102102153742,0.02004370932346521,1.162079134560985,0.2432527985071963,-0.19061601161956787,1.0,0.8815650939941406,0.8822730183601379,0.0007079243659973145,0.5953080058097839,0.0007079243659973145,0.935147371919335,1.0,0.9546031603435344,0.9801558304222072,0.9356598533492447,1,1
5,1,basicmotions_train_12,1,0.05577578688947105,0.05577578688947105,0.9999999999989999,3.7513799086917614,10,0.00022024951135661634,0.0003145769699864955,1.051836637865546,0.08153857472337321,-0.3032398223876953,1.0,0.9795436263084412,0.9832165837287903,0.003672957420349121,0.6516199111938477,0.003672957420349121,1.0,1.0,1.0,0.9996854725041606,0.9996854725031609,1,1
6,2,basicmotions_train_9,0,0.13166386325188642,0.13166386325188642,0.9999999999989999,4.5268838257768165,10,0.00022450414642251728,0.010620279049557483,1.1491606437948596,0.235339741090372,-0.34505748748779297,1.0,0.9535089731216431,0.956180214881897,0.0026712417602539062,0.6725287437438965,0.0026712417602539062,1.0,1.0,1.0,0.9894359169988083,0.9894359169978187,1,1
7,3,basicmotions_train_31,3,0.14253468681708567,0.14253468681708567,0.9999999999989999,3.3057627079281313,10,0.00020732961084874964,2.9017085512587368e-05,1.0568211460889947,0.1534482944544866,-0.1935006082057953,1.0,1.3741482496261597,1.3759284019470215,0.0017801523208618164,0.5967503041028976,0.0017801523208618164,1.0,1.0,1.0,0.9999709833354791,0.999970983334479,1,1
8,2,basicmotions_train_30,3,0.07788445883664159,0.07788445883664159,0.9999999999989999,4.202793879124783,10,0.00021521538332768025,1.5269317148882476e-05,1.0463966543185985,0.09462826513777478,-0.11295734345912933,1.0,1.3038713932037354,1.3069286346435547,0.003057241439819336,0.5564786717295647,0.003057241439819336,1.0,0.5688871143053614,0.8706661342916084,0.9999847307994266,0.8706528399149007,1,1
9,1,basicmotions_train_6,0,0.1422788386594377,0.1422788386594377,0.9999999999989999,4.301637280735703,10,0.00022074452779564924,0.018382307291766375,1.130488575308871,0.2112386328982103,-0.5120176076889038,1.0,1.0498096942901611,1.0569316148757935,0.007121920585632324,0.7560088038444519,0.007121920585632324,1.0,1.0,1.0,0.9817856168005665,0.9817856167995846,1,1
10,3,basicmotions_train_15,1,0.10610941397936469,0.10610941397936469,0.9999999999989999,3.4671843963841007,10,0.0002142602084424345,0.0001216068627139536,1.1039750078769248,0.15991280856941362,-0.5932576656341553,1.0,0.6481821537017822,0.676056981086731,0.02787482738494873,0.7966288328170776,0.02787482738494873,1.0,1.0,1.0,0.9998784005311009,0.9998784005301009,1,1
11,1,basicmotions_train_36,3,0.19237105505753244,0.19237105505753244,0.9999999999989999,3.3586091441809516,10,0.00020352502586134106,2.0564888356223908e-05,1.0817925828467316,0.20350165125611908,-0.18693487346172333,1.0,1.3611745834350586,1.3660625219345093,0.004887938499450684,0.5934674367308617,0.004887938499450684,0.8083403281065618,1.0,0.8658382296745932,0.9999794353230997,0.8658204239902862,1,1
12,2,basicmotions_train_2,0,0.16264598013280598,0.16264598013280598,0.9999999999989999,4.580562902491147,10,0.00022119281042452254,0.01719151154522914,1.1365274187653085,0.20350967032554107,-0.507455587387085,1.0,0.948984682559967,0.9534786939620972,0.004494011402130127,0.7537277936935425,0.004494011402130127,1.0,1.0,1.0,0.9829554192967513,0.9829554192957684,1,1
13,2,basicmotions_train_25,2,0.11233597385374536,0.11233597385374536,0.9999999999989999,4.301637280735703,10,0.0002205529994865118,0.002207977122606239,1.1356786528752603,0.21766395019567059,-0.04547489434480667,1.0,1.1597312688827515,1.1601262092590332,0.0003949403762817383,0.5227374471724033,0.0003949403762817383,1.0,1.0,1.0,0.9977944586658293,0.9977944586648314,1,1
14,3,basicmotions_train_33,3,0.04659637644310036,0.04659637644310036,0.9999999999989999,3.949923161436401,10,0.0002194257449132795,1.1880335653472847e-05,1.0404478514856492,0.06262203376909521,0.027084238827228546,0.0,1.3309636116027832,1.3315255641937256,0.0005619525909423828,0.4864578805863857,0.0005619525909423828,1.0,1.0,1.0,0.9999881197349175,0.9999881197339174,1,1
15,1,basicmotions_train_18,1,0.08280566815738041,0.08280566815738041,0.9999999999989999,3.9188555172353006,10,0.0002140022698784018,0.000206572429519155,1.065836330404259,0.11940661004908185,-0.5469498634338379,1.0,0.8746750950813293,0.8954784274101257,0.020803332328796387,0.773474931716919,0.020803332328796387,1.0,1.0,1.0,0.9997934489050961,0.9997934489040963,1,1
16,2,basicmotions_train_10,1,0.10592195334110209,0.10592195334110209,0.9999999999989999,3.642642920039576,10,0.00021952065713212257,0.0001674145085405305,1.099050944120583,0.15297814449320862,-0.48114249110221863,1.0,0.7706342339515686,0.784051239490509,0.01341700553894043,0.7405712455511093,0.01341700553894043,1.0,1.0,1.0,0.9998325995044863,0.9998325995034865,1,1
17,3,basicmotions_train_20,2,0.1094258034493235,0.1094258034493235,0.9999999999989999,5.440523670932459,10,0.0002221570929105669,0.0012370025847438229,1.095700743506644,0.15805900085506516,-0.08844000846147537,1.0,1.1955881118774414,1.198423981666565,0.002835869789123535,0.5442200042307377,0.002835869789123535,1.0,1.0,1.0,0.9987637621875793,0.9987637621865805,1,1
18,2,basicmotions_train_0,0,0.15054532534616566,0.15054532534616566,0.9999999999989999,4.836813989314786,10,0.0002270346852973604,0.012255761794609089,1.1543418953663274,0.23059570292996384,-0.368679940700531,1.0,0.9634324312210083,0.9660231471061707,0.0025907158851623535,0.6843399703502655,0.0025907158851623535,1.0,1.0,1.0,0.9878190341816003,0.9878190341806125,1,1
19,3,basicmotions_train_21,2,0.1033005746524634,0.1033005746524634,0.9999999999989999,4.3729518049988405,10,0.00022101287808373477,0.0021490605945882193,1.1222227898090607,0.19705500573772067,-0.15997958183288574,1.0,1.23252534866333,1.2337216138839722,0.0011962652206420898,0.5799897909164429,0.0011962652206420898,1.0,1.0,1.0,0.9978532469827943,0.9978532469817963,1,1
20,0,basicmotions_train_23,2,0.04592160041121948,0.04592160041121948,0.9999999999989999,5.201240346021025,10,0.00022099584385596794,0.00156085900630311,1.052994776512642,0.09293569254384684,-0.03888501226902008,1.0,1.2200316190719604,1.220463752746582,0.00043213367462158203,0.51944250613451,0.00043213367462158203,0.7583122391876852,1.0,0.8308185674313796,0.9984403585005812,0.8295227883142964,1,1
21,3,basicmotions_train_1,0,0.13494998976791797,0.13494998976791797,0.9999999999989999,4.94546572349831,10,0.00021838283100438554,0.022245063118283497,1.1230697435404602,0.18407650430823155,-0.06655807048082352,1.0,0.9401925802230835,0.9405872821807861,0.0003947019577026367,0.5332790352404118,0.0003947019577026367,1.0,1.0,1.0,0.9780005338209432,0.9780005338199651,1,1
22,1,basicmotions_train_4,0,0.06583599764773028,0.06583599764773028,0.9999999999989999,8.992857390159559,10,0.0002206089624577329,0.06681397651883925,1.0609537980930746,0.09477599500536024,0.05964578315615654,0.0,0.867844820022583,0.8678063154220581,-3.8504600524902344e-05,0.47017710842192173,0.0,1.0,0.0,0.7,0.9353691857857888,0.6547584300493973,1,1
23,1,basicmotions_train_7,0,0.21045073421124214,0.21045073421124214,0.9999999999989999,7.089204661227887,10,0.00022889679755417046,0.05392718169126467,1.2713451242763119,0.4275647351288244,-0.49730184674263,1.0,0.9136842489242554,0.9184879064559937,0.004803657531738281,0.748650923371315,0.004803657531738281,1.0,1.0,1.0,0.9475010994173785,0.9475010994164309,1,1
