anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,epilepsy_train_19,0,0.08000600897077624,0.08000600897077624,0.9999999999989999,1.76801063768436,6,0.00016173517135308378,0.002392999893235566,1.0500548949908584,0.08891439694587742,-0.25175929069519043,1.0,0.059599850326776505,0.06050905957818031,0.0009092092514038086,0.6258796453475952,0.0009092092514038086,1.0,1.0,1.0,0.9976098610484763,0.9976098610474786,1,1
1,3,epilepsy_train_125,3,0.02655926373575673,0.02655926373575673,0.9999999999989999,1.5234531749080082,6,0.00015379108246956814,0.0024408182435582933,1.0161223996750384,0.03056885944628017,-0.005992839112877846,1.0,0.17668336629867554,0.17672865092754364,4.528462886810303e-05,0.5029964195564389,4.528462886810303e-05,1.0,1.0,1.0,0.9975621581312017,0.9975621581302041,1,1
2,0,epilepsy_train_36,1,0.16744524922934245,0.16744524922934245,0.9999999999989999,2.1142561987807365,6,0.00017424012015115155,0.0076143622030977135,1.044531422958107,0.1786568479610958,-0.3649185299873352,1.0,0.15232184529304504,0.15384015440940857,0.0015183091163635254,0.6824592649936676,0.0015183091163635254,1.0,1.0,1.0,0.9924145536144007,0.9924145536134081,1,1
3,2,epilepsy_train_54,1,0.08636276441326203,0.08636276441326203,0.9999999999989999,0.504641688221813,6,0.00016261770315232547,0.0030502302433222913,1.0497402675624687,0.0928509707448614,-0.4799172282218933,1.0,0.24033835530281067,0.24566912651062012,0.005330771207809448,0.7399586141109467,0.005330771207809448,1.0,1.0,1.0,0.9969544169827091,0.996954416981712,1,1
4,2,epilepsy_train_78,2,0.03298790532795234,0.03298790532795234,0.9999999999989999,1.3971852661699258,6,0.0001556424834116753,0.000813611294971302,1.0386950708159204,0.05445679178787014,-0.1275792121887207,1.0,0.7160618305206299,0.722822904586792,0.006761074066162109,0.5637896060943604,0.006761074066162109,1.0,1.0,1.0,0.9991867195969533,0.999186719595954,1,1
5,0,epilepsy_train_83,2,0.08940199817282427,0.08940199817282427,0.9999999999989999,1.6833263057010088,6,0.00015746687332851195,0.001163945489713699,1.1000957523207613,0.14974330089954002,-0.17303349077701569,1.0,0.5634844303131104,0.5812944173812866,0.01780998706817627,0.5865167453885078,0.01780998706817627,1.0,1.0,1.0,0.9988367316321015,0.9988367316311025,1,1
6,1,epilepsy_train_132,3,0.11888460712702442,0.11888460712702442,0.9999999999989999,1.6037502000098283,6,0.00016208568418175952,0.0017767588900940601,1.0966034058279766,0.14856973398885442,-0.44253212213516235,1.0,0.12400297820568085,0.13305604457855225,0.009053066372871399,0.7212660610675812,0.009053066372871399,0.931233467026382,1.0,0.9518634269184674,0.9982248186115644,0.950173696677719,1,1
7,0,epilepsy_train_128,3,0.04512332532364567,0.04512332532364567,0.9999999999989999,1.3745643440806534,6,0.00015250541091737805,0.004880835922839651,1.0249580920061248,0.04691555410705872,-0.3775861859321594,1.0,0.16546282172203064,0.16883012652397156,0.003367304801940918,0.6887930929660797,0.003367304801940918,1.0,1.0,1.0,0.9951310560014361,0.9951310560004409,1,1
8,0,epilepsy_train_25,0,0.030669348382803437,0.030669348382803437,0.9999999999989999,0.7336324640487447,6,0.00015673386340865235,0.0015548194261848407,1.0239976702459834,0.0344710926679486,-0.02838587760925293,1.0,0.3479428291320801,0.34863221645355225,0.000689387321472168,0.5141929388046265,0.000689387321472168,1.0,1.0,1.0,0.9984463886793296,0.998446388678331,1,1
9,0,epilepsy_train_100,2,0.16376318295250583,0.16376318295250583,0.9999999999989999,1.4677570952248256,6,0.00016734331161049858,0.0007802810544880991,1.156147074001892,0.23877399096702337,-0.13162997364997864,1.0,0.9464289546012878,0.9745266437530518,0.028097689151763916,0.5658149868249893,0.028097689151763916,1.0,1.0,1.0,0.9992200232856119,0.9992200232846126,1,1
