anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,1,handwriting_train_108,14,0.16978702760535322,0.16978702760535322,0.9999999999989999,0.3396112836684953,6,0.00016949053049705208,0.0003152325018749152,1.1419754048913406,0.23044838468305026,-0.05386388674378395,1.0,3.138043165206909,3.138637065887451,0.0005939006805419922,0.526931943371892,0.0005939006805419922,0.976175307498088,1.0,0.9833227152486617,0.9996848171786699,0.9830127888200084,1,1
1,1,handwriting_train_95,5,0.11331400941852494,0.11331400941852494,0.9999999999989999,0.338173276148754,6,0.00015247578270693492,0.0002253235323167951,1.1088082012023848,0.1486654374950923,-0.06408931314945221,1.0,3.2118897438049316,3.212909698486328,0.0010199546813964844,0.5320446565747261,0.0010199546813964844,1.0,1.0,1.0,0.9997747018511238,0.999774701850124,1,1
2,3,handwriting_train_56,12,0.05621935318055327,0.05621935318055327,0.9999999999989999,0.12066052739871196,6,0.00015702305037277716,0.000205171266154711,1.0575790106691099,0.08015115321204629,-0.020496338605880737,1.0,3.228658676147461,3.2291674613952637,0.0005087852478027344,0.5102481693029404,0.0005087852478027344,1.0,1.0,1.0,0.9997948497800302,0.9997948497790303,1,1
3,0,handwriting_train_35,25,0.048601180019176994,0.048601180019176994,0.9999999999989999,0.668692138957542,6,0.0001598376332947068,0.000553415271962524,1.035402673100516,0.06128431736140502,-0.18961361050605774,1.0,3.1806111335754395,3.18245792388916,0.0018467903137207031,0.5948068052530289,0.0018467903137207031,1.0,1.0,1.0,0.9994467378340242,0.9994467378330246,1,1
4,0,handwriting_train_83,19,0.02627027111764113,0.02627027111764113,0.9999999999989999,0.4031293327268683,6,0.000155379746619122,0.0005215957377246002,1.0273245392477286,0.0386701156864324,-0.05724621191620827,1.0,3.22296404838562,3.2230703830718994,0.00010633468627929688,0.5286231059581041,0.00010633468627929688,1.0,0.6490196078431373,0.8947058823529411,0.9994785402696843,0.8942393292639231,1,1
5,1,handwriting_train_82,15,0.05739751886030068,0.05739751886030068,0.9999999999989999,0.22282041005631392,6,0.00015791354152789057,0.00017918496804741798,1.0537521020610312,0.07842240653400986,-0.1066184937953949,1.0,3.2069592475891113,3.207578659057617,0.0006194114685058594,0.5533092468976974,0.0006194114685058594,1.0,0.6865750528541226,0.9059725158562367,0.9998208310846202,0.905810193742301,1,1
6,2,handwriting_train_67,5,0.05623665173906937,0.05623665173906937,0.9999999999989999,0.1638437502532283,6,0.00015514203995143532,0.00024212287311738088,1.0559714595357614,0.07709107204963737,-0.029847290366888046,1.0,3.202970027923584,3.202040672302246,-0.0009293556213378906,0.514923645183444,0.0,1.0,0.0,0.7,0.99975790643626,0.699830534504682,1,1
7,0,handwriting_train_106,17,0.08005819838697642,0.08005819838697642,0.9999999999989999,0.381948688544221,6,0.00015510264566409715,0.0003221881468380086,1.0778262899823032,0.10875151085900639,-0.05151204764842987,1.0,2.9973416328430176,3.001417398452759,0.004075765609741211,0.5257560238242149,0.004075765609741211,0.9049182054936573,1.0,0.9334427438455601,0.9996778637501894,0.9331420480997117,1,1
8,1,handwriting_train_5,6,0.07005902443197098,0.07005902443197098,0.9999999999989999,0.32926235474217663,6,0.00015309953191711438,0.00020974311644389272,1.0649142938730394,0.09175474400422826,-0.12984240055084229,1.0,3.2320876121520996,3.23260235786438,0.0005147457122802734,0.5649212002754211,0.0005147457122802734,1.0,1.0,1.0,0.9997902788781059,0.999790278877106,1,1
9,3,handwriting_train_2,21,0.0839125002376876,0.0839125002376876,0.9999999999989999,0.24600798394874088,6,0.0001571355556470312,0.000452268472924826,1.0903567486053745,0.12499422474106406,-0.05909009277820587,1.0,2.8048107624053955,2.817239999771118,0.012429237365722656,0.5295450463891029,0.012429237365722656,1.0,1.0,1.0,0.9995478337850444,0.9995478337840448,1,1
10,3,handwriting_train_64,15,0.019448483198650023,0.019448483198650023,0.9999999999989999,0.267768354575116,6,0.0001543445094191905,0.0004256019378889194,1.0126115749145452,0.023254495399437594,-0.03977673500776291,1.0,3.2273452281951904,3.2275900840759277,0.0002448558807373047,0.5198883675038815,0.0002448558807373047,0.7297439648119477,1.0,0.8108207753683634,0.9995744886177685,0.8104757618986839,1,1
11,2,handwriting_train_84,21,0.06661900482158416,0.06661900482158416,0.9999999999989999,0.5169555763085335,6,0.0001573512947792084,0.00041459473322365395,1.0709204881385987,0.09867361989322564,-0.03538645803928375,1.0,2.8604702949523926,2.8666799068450928,0.006209611892700195,0.5176932290196419,0.006209611892700195,1.0,1.0,1.0,0.9995854911992967,0.9995854911982971,1,1
