anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,har_train_3752,2,0.11103209692683062,0.11103209692683062,0.9999999999989999,1.630673671045188,10,0.0002760638197003962,2.1454875092924373,1.0756249583226904,0.1318905930235786,0.0390419140458107,0.0,1.7408703570254147e-05,1.56719506776426e-05,-1.7367528926115483e-06,0.48047904297709465,0.0,1.0,0.0,0.7,0.11701097919746525,0.08190768543814375,1,1
1,0,har_train_6889,5,0.06800420612275336,0.05018515704592193,0.737971368348647,0.1003703140933198,10,0.000266870117026345,4.273959432528377,1.0251854903979345,0.05130073151848866,-0.003637576475739479,1.0,0.00386701337993145,0.003867286490276456,2.731103450059891e-07,0.5018187882378697,2.731103450059891e-07,0.8462827972145356,0.6756218905472637,0.7950845252143541,0.013926532678759995,0.008171387687899287,1,1
2,3,har_train_4972,5,0.1541175039224873,0.1541175039224873,0.9999999999989999,0.967258691214366,10,0.00028325342743217767,3.8048744143570414,1.059386239840156,0.157567199360658,-0.012736993841826916,1.0,0.0025623925030231476,0.002562426496297121,3.3993273973464966e-08,0.5063684969209135,3.3993273973464966e-08,1.0,0.7373737373737373,0.9212121212121211,0.022261992777185692,0.020508017588659642,1,1
3,3,har_train_4193,4,0.06356311978038268,0.06356311978038268,0.9999999999989999,0.8376260562889316,10,0.00027431749282741115,3.2523102157719705,1.0304575264370257,0.06786706842269556,-0.04722076654434204,1.0,0.013584042899310589,0.013592303730547428,8.260831236839294e-06,0.523610383272171,8.260831236839294e-06,1.0,1.0,1.0,0.03868473443646196,0.03868473443642327,1,1
4,2,har_train_7277,0,0.08052237720734391,0.08052237720734391,0.9999999999989999,1.4153083908675657,10,0.00027283953527417154,2.1365719169694786,1.059286701593375,0.1062500070924188,-0.044885437935590744,1.0,2.7351301469025202e-05,2.9297423679963686e-05,1.9461222109384835e-06,0.5224427189677954,1.9461222109384835e-06,1.0,0.950523169814981,0.9851569509444943,0.11805886570859463,0.11630651217332828,1,1
5,3,har_train_1781,4,0.19484343848396296,0.19484343848396296,0.9999999999989999,1.2416963971414303,10,0.00025568618195580847,3.420808516115809,1.0778502694235232,0.1875057449601294,-0.09620438516139984,1.0,0.6466590762138367,0.6451656818389893,-0.0014933943748474121,0.5481021925806999,0.0,1.0,0.0,0.7,0.032685997097334996,0.022880197968111613,1,1
6,3,har_train_2388,4,0.2020942083549801,0.2020942083549801,0.9999999999989999,0.5774814226633047,10,0.00028863669143492347,3.698720575782558,1.0572182472015828,0.206569664472459,-0.024923453107476234,1.0,0.08046994358301163,0.08055683225393295,8.688867092132568e-05,0.5124617265537381,8.688867092132568e-05,1.0,1.0,1.0,0.02475517859277442,0.02475517859274966,1,1
7,3,har_train_312,1,0.09637669974749664,0.09637669974749664,0.9999999999989999,1.9683128782236654,10,0.00027180299864072103,2.054529188308382,1.0713113850172904,0.1271956375682232,-0.02480456233024597,1.0,1.0268008736602496e-06,1.0366693459218368e-06,9.868472261587158e-09,0.512402281165123,9.868472261587158e-09,1.0,1.0,1.0,0.12815315738112537,0.1281531573809972,1,1
8,2,har_train_7022,3,0.05747774202752765,0.05747774202752765,0.9999999999989999,0.2668712931047255,10,0.0002706313177444823,3.8206508967372828,1.0335434201910454,0.06185969744039935,-0.022777967154979706,1.0,0.6096096634864807,0.6096199750900269,1.0311603546142578e-05,0.5113889835774899,1.0311603546142578e-05,1.0,0.3574380165289256,0.8072314049586776,0.02191353280423412,0.017689291873152286,1,1
9,0,har_train_5393,0,0.12322709008740823,0.12322709008740823,0.9999999999989999,1.4185351702080782,10,0.0002601454191015436,2.515447529153433,1.0592977716207714,0.1396429162739476,-0.1614031195640564,1.0,9.966124343918636e-05,0.00012637348845601082,2.6712245016824454e-05,0.5807015597820282,2.6712245016824454e-05,1.0,0.9499248997693304,0.9849774699307992,0.08082673179255859,0.07961250978373002,1,1
