anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate,selected_rank
0,0,heartbeat_train_39,0,0.14319711372950863,0.14319711372950863,0.9999999999989999,3.1829143260557156,10,0.0007124476336730055,10.491466288552404,1.0431229767162937,0.15943318112633056,-0.07346031069755554,1.0,0.6780222058296204,0.677947998046875,-7.420778274536133e-05,0.5367301553487778,0.0,1.0,0.0,0.7,2.7772442981397733e-05,1.944071008695897e-05,1,1
1,0,heartbeat_train_25,0,0.044539385406879385,0.044539385406879385,0.9999999999989999,6.281663671611269,10,0.0007006410651049441,7.749455469667567,1.0242729092423768,0.06100748663645676,-0.08496701717376709,1.0,0.6908411979675293,0.6908355951309204,-5.602836608886719e-06,0.5424835085868835,0.0,1.0,0.0,0.7,0.0004309771568265354,0.00030168400977827306,1,1
2,0,heartbeat_train_55,0,0.04886608367206907,0.04886608367206907,0.9999999999989999,5.3514362221741285,10,0.0007038023643334196,8.021471526691448,1.0398728910642268,0.08443106499335146,-0.09253153204917908,1.0,0.6905361413955688,0.6904971599578857,-3.898143768310547e-05,0.5462657660245895,0.0,1.0,0.0,0.7,0.00032833651121115043,0.0002298355578475754,1,1
3,1,heartbeat_train_87,1,0.1613754812291678,0.1613754812291678,0.9999999999989999,3.245714449919734,10,0.0006967252024979334,10.09263716601741,1.0410324526440289,0.16252615240414778,-0.06877660751342773,1.0,0.6908939480781555,0.6909911632537842,9.721517562866211e-05,0.5343883037567139,9.721517562866211e-05,1.0,1.0,1.0,4.1383133396895696e-05,4.1383133396854306e-05,1,1
4,1,heartbeat_train_4,0,0.08924068048391033,0.08924068048391033,0.9999999999989999,3.1628324893736277,10,0.0007029188447933408,9.379435163559954,1.0392601037106755,0.10681626875230324,-0.09743557870388031,1.0,0.6905707120895386,0.6904721260070801,-9.85860824584961e-05,0.5487177893519402,0.0,1.0,0.0,0.7,8.444288548435973e-05,5.9110019838992694e-05,1,1
5,0,heartbeat_train_199,1,0.11328204861054555,0.11328204861054555,0.9999999999989999,3.4117116098402542,10,0.0006988468001407441,10.209680778344742,1.0552161586316455,0.13491867243868658,-0.11986646056175232,1.0,0.6885009407997131,0.6886503100395203,0.0001493692398071289,0.5599332302808762,0.0001493692398071289,1.0,1.0,1.0,3.681221721510808e-05,3.681221721507127e-05,1,1
6,1,heartbeat_train_163,1,0.2463122423504548,0.2463122423504548,0.9999999999989999,2.971566740999869,10,0.000693414115867621,10.65767956996692,1.0710087828872534,0.25480802076819675,-0.058258481323719025,1.0,0.6914061307907104,0.6914902329444885,8.410215377807617e-05,0.5291292406618595,8.410215377807617e-05,1.0,1.0,1.0,2.3519526428789852e-05,2.351952642876633e-05,1,1
7,3,heartbeat_train_63,1,0.06974697659173662,0.06974697659173662,0.9999999999989999,2.8907372165269662,10,0.0007020136383301491,10.066424512160284,1.048682213822179,0.09643298737880697,-0.10177557915449142,1.0,0.6859058141708374,0.6859350204467773,2.9206275939941406e-05,0.5508877895772457,2.9206275939941406e-05,1.0,1.0,1.0,4.248223743253165e-05,4.248223743248916e-05,1,1
8,3,heartbeat_train_42,0,0.181219192734343,0.181219192734343,0.9999999999989999,2.9842755317128287,10,0.0007073321417979015,9.688441168215224,1.06091818912361,0.20375410760614007,-0.022436868399381638,1.0,0.6927749514579773,0.6927704215049744,-4.5299530029296875e-06,0.5112184341996908,0.0,1.0,0.0,0.7,6.199597042259863e-05,4.339717929577564e-05,1,1
9,1,heartbeat_train_62,1,0.12113837108664953,0.12113837108664953,0.9999999999989999,2.859106434358257,10,0.0006991103875966245,11.101070775820766,1.060863030829483,0.1376913153922297,-0.1042773574590683,1.0,0.6714295148849487,0.6716447472572327,0.00021523237228393555,0.5521386787295341,0.00021523237228393555,0.9742202215444759,1.0,0.9819541550811332,1.50961505694212e-05,1.4823727777358737e-05,1,1
10,2,heartbeat_train_84,1,0.0821415267933949,0.0821415267933949,0.9999999999989999,2.8657763996183743,10,0.0007007445455760047,10.68225342390532,1.0441106571141892,0.09696111386323933,-0.1147765964269638,1.0,0.682626485824585,0.6827796697616577,0.0001531839370727539,0.5573882982134819,0.0001531839370727539,1.0,1.0,1.0,2.294860462624906e-05,2.2948604626226108e-05,1,1
11,2,heartbeat_train_159,1,0.08316922319635309,0.08316922319635309,0.9999999999989999,3.264876428792808,10,0.0007003225959632576,9.31157764780834,1.0382476105979483,0.09163712248554472,-0.06693525612354279,1.0,0.686930775642395,0.6869673728942871,3.6597251892089844e-05,0.5334676280617714,3.6597251892089844e-05,1.0,1.0,1.0,9.03718576866893e-05,9.037185768659891e-05,1,1
12,0,heartbeat_train_20,0,0.06734131888111583,0.06734131888111583,0.9999999999989999,6.256445840597055,10,0.0007051510023484788,8.036595491136943,1.0314862058646526,0.08864740898401813,-0.09424806386232376,1.0,0.688302755355835,0.6882211565971375,-8.159875869750977e-05,0.5471240319311619,0.0,1.0,0.0,0.7,0.00032340812380794395,0.00022638568666533433,1,1
13,0,heartbeat_train_93,1,0.19526139175421794,0.19526139175421794,0.9999999999989999,4.090436434011072,10,0.0007116615144063093,11.450504539599986,1.06218242105868,0.20680672228075536,-0.08201472461223602,1.0,0.6546475887298584,0.6547149419784546,6.73532485961914e-05,0.541007362306118,6.73532485961914e-05,1.0,1.0,1.0,1.064410287740587e-05,1.0644102877395225e-05,1,1
14,1,heartbeat_train_203,1,0.09288769830419462,0.09288769830419462,0.9999999999989999,3.7371397506382467,10,0.0006993549434376072,9.971079646173738,1.0357495394708438,0.10505152752922987,-0.04199479520320892,1.0,0.6773504614830017,0.6773865222930908,3.606081008911133e-05,0.5209973976016045,3.606081008911133e-05,1.0,1.0,1.0,4.673208210518818e-05,4.6732082105141444e-05,1,1
15,2,heartbeat_train_0,0,0.14996413099951061,0.14996413099951061,0.9999999999989999,2.2226832170814492,10,0.0007068760938816728,11.339655023504264,1.0485834073608031,0.1553006944480627,-0.004823991097509861,1.0,0.6689505577087402,0.6689479351043701,-2.6226043701171875e-06,0.5024119955487549,0.0,1.0,0.0,0.7,1.1891876672562393e-05,8.324313670785349e-06,1,1
16,0,heartbeat_train_69,1,0.07361519526501438,0.07361519526501438,0.9999999999989999,2.568957551063907,10,0.000701728534937373,10.205160714495367,1.04278709792108,0.08605596854553456,-0.0701763778924942,1.0,0.6839423775672913,0.6840119361877441,6.955862045288086e-05,0.5350881889462471,6.955862045288086e-05,1.0,1.0,1.0,3.697898740938083e-05,3.697898740934385e-05,1,1
17,0,heartbeat_train_191,1,0.10103211602481456,0.10103211602481456,0.9999999999989999,2.9842755317128287,10,0.0006997833918191708,9.325060405307685,1.075378723751463,0.14814339634729656,-0.1244191825389862,1.0,0.6887381076812744,0.6889629364013672,0.00022482872009277344,0.5622095912694931,0.00022482872009277344,0.9356054703310668,1.0,0.9549238292317468,8.916157316530475e-05,8.514251086725423e-05,1,1
