anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate
0,0,motorimagery_train_253,0,0.07402397716766666,0.07402397716766666,0.9999999999989999,5.191633618292209,10,0.0007178177349471832,8.888188095855436e-05,1.0480614925781162,0.12416999448812079,0.021155184134840965,0.0,0.6890361309051514,0.6885460615158081,-0.0004900693893432617,0.4894224079325795,0.0,0.05200636104404644,0.0,0.03640445273083251,0.9999111220689189,0.03640121717835525,1
0,1,motorimagery_train_253,0,0.10738235574070507,0.10738235574070507,0.9999999999989999,5.191633618292209,10,0.0007169564566096644,8.885252017823432e-05,1.0654047415600154,0.1740261405351773,-0.024764105677604675,1.0,0.6890361309051514,0.6895644068717957,0.0005282759666442871,0.5123820528388023,0.0005282759666442871,1.0,1.0,1.0,0.9999111514270901,0.9999111514260901,1
0,2,motorimagery_train_253,0,0.14826798286318457,0.14826798286318457,0.9999999999989999,5.191633618292209,10,0.0007148241336728175,8.881375727120767e-05,1.0695089332775913,0.21310614439337303,0.018572546541690826,0.0,0.6890361309051514,0.6884982585906982,-0.000537872314453125,0.4907137267291546,0.0,0.10532434614431402,0.0,0.07372704230101981,0.9999111901865538,0.0737204946160734,1
0,3,motorimagery_train_253,0,0.08315037460141832,0.08315037460141832,0.9999999999989999,5.191633618292209,10,0.0007153222453149248,8.878460118396594e-05,1.0421719482140541,0.12248853893813046,0.023674288764595985,0.0,0.6890361309051514,0.6887720227241516,-0.00026410818099975586,0.488162855617702,0.0,0.0,0.0,0.0,0.9999112193400521,0.0,1
1,0,motorimagery_train_45,1,0.23751835073931457,0.23751835073931457,0.9999999999989999,5.933630580153005,10,0.0007187460192938638,0.00010827415549319734,1.2379219660057195,0.4152031188190765,0.02557125873863697,0.0,0.24901655316352844,0.24164915084838867,-0.0073674023151397705,0.4872143706306815,0.0,0.0,0.0,0.0,0.9998917317059417,0.0,1
1,1,motorimagery_train_45,1,0.18712084280319977,0.18712084280319977,0.9999999999989999,5.933630580153005,10,0.0007159779455905861,0.0001080390090665765,1.1301332610332262,0.293179096379238,0.006356626283377409,0.0,0.24901655316352844,0.24782969057559967,-0.001186862587928772,0.4968216868583113,0.0,0.47898212753541336,0.0,0.33528748927478935,0.999891966826937,0.3352512671030994,1
1,2,motorimagery_train_45,1,0.20508974498751587,0.20508974498751587,0.9999999999989999,5.933630580153005,10,0.0007256333528504851,0.00010809455690933256,1.1092476741680137,0.2998695687324857,0.004173671826720238,0.0,0.24901655316352844,0.24828079342842102,-0.0007357597351074219,0.4979131640866399,0.0,0.5333987900657631,0.0,0.37337915304603414,0.9998919112850968,0.37333879497283634,1
1,3,motorimagery_train_45,1,0.11819468956414796,0.11819468956414796,0.9999999999989999,5.933630580153005,10,0.0007173874694420674,0.00010799867425877854,1.1269539491289418,0.2276619478206218,-0.014544293284416199,1.0,0.24901655316352844,0.25041472911834717,0.0013981759548187256,0.5072721466422081,0.0013981759548187256,1.0,1.0,1.0,0.9998920071573881,0.9998920071563882,1
2,0,motorimagery_train_169,1,0.21345896670534853,0.21345896670534853,0.9999999999989999,4.961788672741905,10,0.0007150354611735095,6.54021262390214e-05,1.1926236642312495,0.4013483252922815,0.06081569939851761,0.0,0.555833101272583,0.5646253824234009,0.008792281150817871,0.4695921503007412,0.008792281150817871,0.0,1.0,0.30000000000000004,0.9999346000124335,0.2999803800034301,1
2,1,motorimagery_train_169,1,0.2557712967862595,0.2557712967862595,0.9999999999989999,4.961788672741905,10,0.0007282066628455678,6.554892295794976e-05,1.2857810044391598,0.5092296137107571,-0.03282681107521057,1.0,0.555833101272583,0.5477780103683472,-0.00805509090423584,0.5164134055376053,0.0,1.0,0.0,0.7,0.9999344532253258,0.6999541172570279,1
2,2,motorimagery_train_169,1,0.1775545507093238,0.1775545507093238,0.9999999999989999,4.961788672741905,10,0.0007238152443226304,6.544082437063871e-05,1.1793388854263969,0.3717558646779049,0.04281027615070343,0.0,0.555833101272583,0.5628610849380493,0.007027983665466309,0.4785948619246483,0.007027983665466309,0.19227830561917367,0.7993356382618128,0.3743955054119654,0.9999345613168334,0.3743710054627334,1
2,3,motorimagery_train_169,1,0.21550021933086488,0.21550021933086488,0.9999999999989999,4.961788672741905,10,0.0007155109784455478,6.53220259611604e-05,1.1491354190935923,0.3764622024355717,0.03093397617340088,0.0,0.555833101272583,0.5601393580436707,0.0043062567710876465,0.48453301191329956,0.0043062567710876465,0.31910425162619044,0.48977696427360856,0.3703060654204159,0.999934680107476,0.37028187706765137,1
3,0,motorimagery_train_107,0,0.14613015310190308,0.14613015310190308,0.9999999999989999,5.968356738294744,10,0.0007111586642970539,0.00010553478801076148,1.062042062321963,0.18775636639261295,-0.1409887671470642,1.0,0.6858282089233398,0.6813646554946899,-0.004463553428649902,0.5704943835735321,0.0,1.0,0.0,0.7,0.9998944707805891,0.6999261295457123,1
3,1,motorimagery_train_107,0,0.13528023927698837,0.13528023927698837,0.9999999999989999,5.968356738294744,10,0.0007085535526730344,0.00010546004250064147,1.0471468666500912,0.1678669094522503,-0.030100222676992416,1.0,0.6858282089233398,0.6849769353866577,-0.0008512735366821289,0.5150501113384962,0.0,0.0,0.0,0.0,0.9998945455182142,0.0,1
3,2,motorimagery_train_107,0,0.08066097546468638,0.08066097546468638,0.9999999999989999,5.968356738294744,10,0.0007176958231980282,0.00010575080712288598,1.0418956828367405,0.11846354326948033,-0.11072995513677597,1.0,0.6858282089233398,0.6834958791732788,-0.002332329750061035,0.555364977568388,0.0,0.7271240942435229,0.0,0.5089868659704659,0.9998942547842967,0.5089330430440248,1
3,3,motorimagery_train_107,0,0.12357336522858191,0.12357336522858191,0.9999999999989999,5.968356738294744,10,0.0007122962210496745,0.000105547334909061,1.0635765140682536,0.1772557944930751,-0.05478884279727936,1.0,0.6858282089233398,0.6843369007110596,-0.0014913082122802734,0.5273944213986397,0.0,0.22264355834294736,0.0,0.15585049084006314,0.999894458235015,0.15583404210403023,1
4,0,motorimagery_train_193,0,0.12977097550186387,0.12977097550186387,0.9999999999989999,5.157665047919663,10,0.0007251139658976721,9.539002724592487e-05,1.0752658528082981,0.2006083191442352,0.03177054971456528,0.0,0.5290477275848389,0.5328781604766846,0.003830432891845703,0.48411472514271736,0.003830432891845703,0.5841298011668382,0.1392967534128398,0.45067988684063864,0.9999046145222381,0.450636898523864,1
4,1,motorimagery_train_193,0,0.14768031633592488,0.14768031633592488,0.9999999999989999,5.157665047919663,10,0.0007281453037240646,9.53596237748516e-05,1.0704199065652484,0.21995264792643504,0.11260674148797989,0.0,0.5290477275848389,0.5565460920333862,0.027498364448547363,0.44369662925601006,0.027498364448547363,0.0,1.0,0.30000000000000004,0.9999046449228096,0.29997139347654295,1
4,2,motorimagery_train_193,0,0.09652289527203521,0.09652289527203521,0.9999999999989999,5.157665047919663,10,0.000727791035219265,9.547126280521092e-05,1.0379699442792725,0.13320639921224856,0.07761751115322113,0.0,0.5290477275848389,0.5353882908821106,0.0063405632972717285,0.46119124442338943,0.0063405632972717285,0.2528354157963323,0.23057965171476505,0.24615868657186213,0.9999045332944309,0.2461351866127617,1
4,3,motorimagery_train_193,0,0.23383652384979473,0.23383652384979473,0.9999999999989999,5.157665047919663,10,0.0007123604861705204,9.523615061553662e-05,1.131809550154209,0.35880205830417816,-0.025780636817216873,1.0,0.5290477275848389,0.5236128568649292,-0.005434870719909668,0.5128903184086084,0.0,1.0,0.0,0.7,0.9999047683842027,0.6999333378682419,1
5,0,motorimagery_train_50,1,0.1680171082781679,0.1680171082781679,0.9999999999989999,6.335207484687489,10,0.0007153268765620146,0.0001352266670004987,1.1089874553007464,0.24625680481078918,-0.013674742542207241,1.0,0.5822975635528564,0.5838402509689331,0.0015426874160766602,0.5068373712711036,0.0015426874160766602,0.6811345423005557,0.1917611321034304,0.534322519241418,0.9998647824757132,0.5342502694726613,1
5,1,motorimagery_train_50,1,0.18376124314060474,0.18376124314060474,0.9999999999989999,6.335207484687489,10,0.0007153692845025252,0.00013516310490272157,1.1388539334972017,0.3094729189486135,-0.06277821958065033,1.0,0.5822975635528564,0.5903424024581909,0.008044838905334473,0.5313891097903252,0.008044838905334473,1.0,1.0,1.0,0.9998648460292182,0.9998648460282182,1
5,2,motorimagery_train_50,1,0.20976139345626743,0.20976139345626743,0.9999999999989999,6.335207484687489,10,0.0007327777555842823,0.00013637474251370458,1.096549192136977,0.3124743902802021,-0.049779392778873444,1.0,0.5822975635528564,0.5888243317604065,0.006526768207550049,0.5248896963894367,0.006526768207550049,0.9155889336622869,0.8112988071423279,0.8843018957062992,0.9998636345560988,0.8841813074848643,1
5,3,motorimagery_train_50,1,0.2958867349510981,0.2958867349510981,0.9999999999989999,6.335207484687489,10,0.0007198082911556351,0.00013547177647961185,1.2462088771895614,0.45921059467458725,0.09121612459421158,0.0,0.5822975635528564,0.5560702085494995,-0.026227355003356934,0.4543919377028942,0.0,0.0,0.0,0.0,0.9998645373994072,0.0,1
6,0,motorimagery_train_109,1,0.25792024382239315,0.25792024382239315,0.9999999999989999,5.788561608027553,10,0.0007164791201393782,0.0001345360702177354,1.2146279652807248,0.42790411927579897,0.04686536639928818,0.0,0.29099640250205994,0.2827811539173126,-0.008215248584747314,0.4765673168003559,0.0,0.34880379459866334,0.0,0.24416265621906433,0.9998654729793536,0.2441298097441259,1
6,1,motorimagery_train_109,1,0.2617367199820051,0.2617367199820051,0.9999999999989999,5.788561608027553,10,0.0007254061364024519,0.00013532672731549089,1.1752610748488275,0.39622309753577883,0.062336333096027374,0.0,0.29099640250205994,0.2785985469818115,-0.012397855520248413,0.4688318334519863,0.0,0.11438154530379326,0.0,0.08006708171265528,0.9998646824289331,0.08005624722955544,1
6,2,motorimagery_train_109,1,0.1864265218395519,0.1864265218395519,0.9999999999989999,5.788561608027553,10,0.0007231242370183077,0.00013480964053855758,1.0920180969018811,0.27212459040970816,0.06988507509231567,0.0,0.29099640250205994,0.28364312648773193,-0.007353276014328003,0.46505746245384216,0.0,0.0,0.0,0.0,0.9998651994458728,0.0,1
6,3,motorimagery_train_109,1,0.2194396443505034,0.2194396443505034,0.9999999999989999,5.788561608027553,10,0.0007329189253743175,0.0001353924712974692,1.2007915911267464,0.3834515199130479,0.0038889218121767044,0.0,0.29099640250205994,0.29049718379974365,-0.0004992187023162842,0.49805553909391165,0.0,1.0,0.0,0.7,0.9998646166938496,0.6999052316849946,1
7,0,motorimagery_train_143,1,0.17395214121715638,0.17395214121715638,0.9999999999989999,5.581615301777731,10,0.0007114999539786766,0.00011539324502645479,1.0691986648957723,0.243395664605257,0.07300564646720886,0.0,0.6128350496292114,0.6030203104019165,-0.009814739227294922,0.46349717676639557,0.0,0.0,0.0,0.0,0.999884613412518,0.0,1
7,1,motorimagery_train_143,1,0.1622554443940731,0.1622554443940731,0.9999999999989999,5.581615301777731,10,0.0007167146270110605,0.00011530270242194541,1.16014147400096,0.2795662992686096,0.04517483711242676,0.0,0.6128350496292114,0.6065369844436646,-0.006298065185546875,0.4774125814437866,0.0,0.13604256819650037,0.0,0.09522979773755026,0.9998847039446792,0.0952188181174269,1
7,2,motorimagery_train_143,1,0.12796660329137935,0.12796660329137935,0.9999999999989999,5.581615301777731,10,0.000725099876467454,0.00011572780602497337,1.0715043716821537,0.19523100673841626,-0.13156862556934357,1.0,0.6128350496292114,0.6264950037002563,0.013659954071044922,0.5657843127846718,0.013659954071044922,1.0,1.0,1.0,0.9998842788901793,0.9998842788891793,1
